Prefecture,Category,Place,Location
fukushima,Selection of best 100 beach,Futaba beach,
fukushima,the 100 LocalLine of Japan,Aizu railway Aizu Line,
fukushima,the 100 LocalLine of Japan,Fukushima traffic Izaka Line,
fukushima,the 100 LocalLine of Japan,JR Suigun Line,
fukushima,the 100 LocalLine of Japan,JR Banetsusai Line,
fukushima,New Flower Mountains 100,Kamakuradake,
fukushima,New Flower Mountains 100,Mt.Otakine,
fukushima,New Flower Mountains 100,AizuKomagatake,
fukushima,New Flower Mountains 100,Hiuchigatake,
fukushima,New Flower Mountains 100,Asakusadake,
fukushima,The 100 New Japan Travel Destinations,Goshiki pond,
fukushima,The 100 New Japan Travel Destinations,Oze,
fukushima,Japan Top 100 Sakura Viewing Sites,Weeping cherry of Miharu-cho,Miharu-cho Tamura-gun Fukushima
fukushima,Japan Top 100 Sakura Viewing Sites,Kasumigajo Park,Nihonmatsu-shi Fukushima
fukushima,Japan Top 100 Sakura Viewing Sites,Tsurugajo Park,Aizuwakamatsu-shi Fukushima
fukushima,Geology 100 selections of Japan,Bandaisan,
fukushima,The best 100th of Public Building,Fukushima Museum of Art,
fukushima,The best 100th of Public Building,Library . Fukushima .,
fukushima,The best 100th of Public Building,Koriyama City Museum of Art . Koriyama,
fukushima,The best 100th of Public Building,Fukushima .,
fukushima,the 100 Japanese hot springs,Higashiyama Onsen,
fukushima,the 100 Japanese hot springs,Iizaka Onsen,
fukushima,the 100 Japanese hot springs,Futamata Onsen,
fukushima,100 Japanese bridge,Nobuo bridge,"Yanagimachi Fukushima-shi, Fukushima"
fukushima,100 Japanese bridge,Totsunabashi,"Yunokami Fukushima-shi, Fukushima"
fukushima,100 famous Pass in Japan,Ouchi pass .,
fukushima,100 famous Pass in Japan,Rokujurigoe .,
fukushima,100 selections of Beautiful Japanese Village Landscape,Kosyounai,Fukushima Ootama
fukushima,100 selections of Beautiful Japanese Village Landscape,Nakajima,Fukushima Shinchi
fukushima,100 selections of Beautiful Japanese Village Landscape,Minamiyakata,Kashima Fukushima
fukushima,Japanese city park best 100,Midorigaoka park months,"Sukagawa, Fukushima Prefecture"
fukushima,The 100 elections of the waterfall in Japan,Otsujiga Falls,"Sukagawa, Fukushima"
fukushima,The 100 elections of the waterfall in Japan,Choshiga Falls,"Koriyama, Fukushima"
fukushima,The 100 elections of the waterfall in Japan,Sanjo Falls,Cypress branch
fukushima,Hometown Rice Ball Onigiri Top 100,Gomoku Sasamaki,Fukushima Aizu
fukushima,Hometown Rice Ball Onigiri Top 100,Hokkimeshi,Fukushima Soma
fukushima,Hometown Rice Ball Onigiri Top 100,Sansaiajifukashi,Fukushima Tamura Miharu
fukushima,Top 100 Dam Lake,Hatoriko - Hatori Dam,Fukushima Iwase Tenei
fukushima,Top 100 Dam Lake,Tagokurako - Tagokura Dam,Fukushima Minamiaizu-gun Tadami
fukushima,Top 100 Dam Lake,Okutadamiko ( Ginzan lake ) - Okutadami Dam,Fukushima Minamiaizu Hinoemata
fukushima,Top 100 Famous Water,Bandai Nishiyama spring water group,Fukushima Yama Bandai
fukushima,Top 100 Famous Water,Onogawa spring water,Fukushima Yama Kitashiobara
