Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Minoru Akiyama,5,2 週間前,"今日は4月に入って初めての週末で桜の花も満開でした。
私も何回か来ては いるのですが本日は子供連れのお客様が多く遊具に乗るにも並ぶようでした。ジェットコースターが350円で一番高くメリーゴーランドは70円でした。
どの乗り物もう リーズナブルでした。
子供連れには最高だと思いました。",Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
Minoru Akiyama,5,2 週間前,"今日は4月に入って初めての週末で桜の花も満開でした。
私も何回か来ては いるのですが本日は子供連れのお客様が多く遊具に乗るにも並ぶようでした。ジェットコースターが350円で一番高くメリーゴーランドは70円でした。
どの乗り物もう リーズナブルでした。
子供連れには最高だと思いました。",Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
由和,5,1 週間前,"桜が綺麗でした。入園料無料でアトラクションはチケット1枚70円～です。
子供が小さかった頃は50円でしたが(笑)
大きな観覧車もあり結構楽しめます。
とてもおすすめです。",Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
由和,5,1 週間前,"桜が綺麗でした。入園料無料でアトラクションはチケット1枚70円～です。
子供が小さかった頃は50円でしたが(笑)
大きな観覧車もあり結構楽しめます。
とてもおすすめです。",Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
Y T,4,2 週間前,20250409波志江沼から1キロ。駐車場🈵で🎡の隣りに新しい🅿️を発見。ジェットコースター🎢に乗るとさらに桜🌸を楽しめます。なんと70円🎫5枚で🎢に乗れます👍 …,Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
Y T,4,2 週間前,20250409波志江沼から1キロ。駐車場🈵で🎡の隣りに新しい🅿️を発見。ジェットコースター🎢に乗るとさらに桜🌸を楽しめます。なんと70円🎫5枚で🎢に乗れます👍 …,Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
おおくらBON,5,2 か月前,リーズナブルで小さい子どももそれなりの子どもも楽しめます。ジェットコースターは350円、観覧車は280円、汽車、メリーゴーランドは70円です。駐車場はあちこちにあるので、探すのがちょっと大変です。,Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
おおくらBON,5,2 か月前,リーズナブルで小さい子どももそれなりの子どもも楽しめます。ジェットコースターは350円、観覧車は280円、汽車、メリーゴーランドは70円です。駐車場はあちこちにあるので、探すのがちょっと大変です。,Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
こうへいとも,2,2 か月前,"連休初日に伺いました。混雑はありません。
回数券式でフリーパスはありません。当日はジェットコースター、急流滑り休止で残念な状態。
安いようであまり安さを感じない...係員がチケットを渡すと空に向けて本物か？確認されたり、子供に優しくない塩対応が多いです！入園料はないので、ちょっと遊ぶ程度ならおすすめですが、わざわざ遠方から行くような所ではありません。ちょっと足を伸ばして、渋川スカイランドに行く方が全然良いです。職員のマナーも数段違います。園外に公園、遊具があります。駐車場は無料です。1000円で70円券17枚です。
ジェットコースターは休止でしたが、5枚、観覧車4枚です。家族で乗ると結構かかります。",Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
こうへいとも,2,2 か月前,"連休初日に伺いました。混雑はありません。
回数券式でフリーパスはありません。当日はジェットコースター、急流滑り休止で残念な状態。
安いようであまり安さを感じない...係員がチケットを渡すと空に向けて本物か？確認されたり、子供に優しくない塩対応が多いです！入園料はないので、ちょっと遊ぶ程度ならおすすめですが、わざわざ遠方から行くような所ではありません。ちょっと足を伸ばして、渋川スカイランドに行く方が全然良いです。職員のマナーも数段違います。園外に公園、遊具があります。駐車場は無料です。1000円で70円券17枚です。
ジェットコースターは休止でしたが、5枚、観覧車4枚です。家族で乗ると結構かかります。",Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
pyon Fuji,5,2 週間前,"老若男女問わず人気の場所です。
ファミリー層にはお財布に優しい価格です。
デートでも楽しめると思います。
桜が綺麗でした🌸
公園もあるので１日遊べますよ!",Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
pyon Fuji,5,2 週間前,"老若男女問わず人気の場所です。
ファミリー層にはお財布に優しい価格です。
デートでも楽しめると思います。
桜が綺麗でした🌸
公園もあるので１日遊べますよ!",Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
kei,5,3 か月前,"遠くからでも目立つ観覧車のある伊勢崎の遊園地。
観覧車の最高点は65mとのことで、眺めは素晴らしかったです。
電車やゴーカートなど、子どもが楽しめるアトラクションがたくさんあります。週末でもどの乗り物も待ち時間10分ほとで乗れたので、グズることなく待てたのがありがたい。

売店では、子どもも食べられるようなフライドポテトやチュロス、焼きおにぎりなども販売しているので一応手ぶらでも楽しめるが、購入までの待ち時間は結構かかった。一番待つアトラクションは売店かもしれない。",Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
kei,5,3 か月前,"遠くからでも目立つ観覧車のある伊勢崎の遊園地。
観覧車の最高点は65mとのことで、眺めは素晴らしかったです。
電車やゴーカートなど、子どもが楽しめるアトラクションがたくさんあります。週末でもどの乗り物も待ち時間10分ほとで乗れたので、グズることなく待てたのがありがたい。

売店では、子どもも食べられるようなフライドポテトやチュロス、焼きおにぎりなども販売しているので一応手ぶらでも楽しめるが、購入までの待ち時間は結構かかった。一番待つアトラクションは売店かもしれない。",Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
オイラよっしー,5,1 週間前,"初めて行きました。

想像してたより敷地も広くかなり楽しめました‼️
身長制限が120㎝からで次女もクリア✨初めてのジェットコースター体験で大興奮✨
値段も激安で70円券が17枚つづりで1000円の物を購入。
3兄弟✖️1000円🟰3000円。
駐車場、入場料無料。
ジェットコースターが1番高く70円券✖️5枚で350円。
小さなお子さんも楽しめる乗り物も沢山ありました。
オジサン的に懐かしい雰囲気満載でした。
乗り物券に有効期限が無いみたいなので余っても安心。
リピートします。
強いて言えば週末は駐車場停めるのが混んでて大変でした、",Auto Mirai 華蔵寺遊園地,"
〒372-0003 群馬県伊勢崎市華蔵寺町１","
0270-25-4478",https://kezoujiyuenchi.com/,"4.2
(2,583)",Unknown,〒372-0003 群馬県伊勢崎市華蔵寺町１,36.3416856,139.1978572
