Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Hiroko Suzuki,5,6 か月前,"友人から教えてもらったカフェ。
人形の家の一階。
シアトルから直輸入豆で作ってくれたカフェラテはめっちゃ美味しかった。
豆が品切れた瞬間だったみたいで国産の豆を使いますと言われたから、いつ来れば飲めるのか？と食い下がって聞いたら、かわいそうだと思ってくれたのか、一杯なら、ということで提供してくれた。
ありがとうございました。",Cafe Elliott Avenue横浜,"
〒231-0023 神奈川県横浜市中区山下町１８ 1F","
045-664-5757",http://www.elliott.jp/,"4.4
(305)",Unknown,〒231-0023 神奈川県横浜市中区山下町１８ 1F,35.44317,139.652095
Hiroko Suzuki,5,6 か月前,"友人から教えてもらったカフェ。
人形の家の一階。
シアトルから直輸入豆で作ってくれたカフェラテはめっちゃ美味しかった。
豆が品切れた瞬間だったみたいで国産の豆を使いますと言われたから、いつ来れば飲めるのか？と食い下がって聞いたら、かわいそうだと思ってくれたのか、一杯なら、ということで提供してくれた。
ありがとうございました。",Cafe Elliott Avenue横浜,"
〒231-0023 神奈川県横浜市中区山下町１８ 1F","
045-664-5757",http://www.elliott.jp/,"4.4
(305)",Unknown,〒231-0023 神奈川県横浜市中区山下町１８ 1F,35.44317,139.652095
na ri,3,2 週間前,"喉が渇いたので立ち寄った。
テラス席もあり。
コーヒーが美味しかった。
食器はセルフで片付けが必要。",Cafe Elliott Avenue横浜,"
〒231-0023 神奈川県横浜市中区山下町１８ 1F","
045-664-5757",http://www.elliott.jp/,"4.4
(305)",Unknown,〒231-0023 神奈川県横浜市中区山下町１８ 1F,35.44317,139.652095
na ri,3,2 週間前,"喉が渇いたので立ち寄った。
テラス席もあり。
コーヒーが美味しかった。
食器はセルフで片付けが必要。",Cafe Elliott Avenue横浜,"
〒231-0023 神奈川県横浜市中区山下町１８ 1F","
045-664-5757",http://www.elliott.jp/,"4.4
(305)",Unknown,〒231-0023 神奈川県横浜市中区山下町１８ 1F,35.44317,139.652095
アラポノ,5,1 年前,"2024年4月
SNSでその存在を知った
ラミントンなるものを食べてみたくて検索してこちらに来てみました。

人形の家に併設されているこぢんまりとしたカフェです。

バリスタのお兄さんが大変感じよくメニューの説明をしてくださり
ラミントンさえ食べられたら良し！と思っていましたがおすすめのシアトルの豆で入れたカフェラテを注文(国内焙煎？の普通のカフェラテもあります。)

お好きなお席へどうぞ、と言われたので眺めの良いカウンター席へ。

程なくしてお兄さんがカップを持ってきてくださり、目の前でミルクを注いで素敵なラテアートを作ってくださいました★エンターテイメント★

温かいうちにどうぞ、しかしわたしは猫舌だ…
でもラミントンも持ってきて頂いたし…

ええいままよ！とひとくち、あれ、適温〜
変な渋みもなく、でも深みのある味わい
とっっても美味しいカフェラテです！！

語彙力が乏しくて申し訳ないのですがわたしのベスト・オブ　コーヒー2024にノミネートされました！暫定首位。

念願のラミントンも期待通りの美味しさ。

お気に入りのカフェになりそうです。定期的に通いたい。
友達とワイワイ、というよりは
ひとりで元町を散策してコーヒーを楽しみに立ち寄る感じがいいかな。

ラミントンはココナッツをまぶしたオーストラリアではとてもポピュラーなケーキだそうです。
ココナッツを散らかしたのでもう一周り大きいお皿だと嬉しいです。また伺います、ごちそうさまでした！",Cafe Elliott Avenue横浜,"
〒231-0023 神奈川県横浜市中区山下町１８ 1F","
045-664-5757",http://www.elliott.jp/,"4.4
(305)",Unknown,〒231-0023 神奈川県横浜市中区山下町１８ 1F,35.44317,139.652095
アラポノ,5,1 年前,"2024年4月
SNSでその存在を知った
ラミントンなるものを食べてみたくて検索してこちらに来てみました。

人形の家に併設されているこぢんまりとしたカフェです。

バリスタのお兄さんが大変感じよくメニューの説明をしてくださり
ラミントンさえ食べられたら良し！と思っていましたがおすすめのシアトルの豆で入れたカフェラテを注文(国内焙煎？の普通のカフェラテもあります。)

お好きなお席へどうぞ、と言われたので眺めの良いカウンター席へ。

程なくしてお兄さんがカップを持ってきてくださり、目の前でミルクを注いで素敵なラテアートを作ってくださいました★エンターテイメント★

温かいうちにどうぞ、しかしわたしは猫舌だ…
でもラミントンも持ってきて頂いたし…

ええいままよ！とひとくち、あれ、適温〜
変な渋みもなく、でも深みのある味わい
とっっても美味しいカフェラテです！！

語彙力が乏しくて申し訳ないのですがわたしのベスト・オブ　コーヒー2024にノミネートされました！暫定首位。

念願のラミントンも期待通りの美味しさ。

お気に入りのカフェになりそうです。定期的に通いたい。
友達とワイワイ、というよりは
ひとりで元町を散策してコーヒーを楽しみに立ち寄る感じがいいかな。

ラミントンはココナッツをまぶしたオーストラリアではとてもポピュラーなケーキだそうです。
ココナッツを散らかしたのでもう一周り大きいお皿だと嬉しいです。また伺います、ごちそうさまでした！",Cafe Elliott Avenue横浜,"
〒231-0023 神奈川県横浜市中区山下町１８ 1F","
045-664-5757",http://www.elliott.jp/,"4.4
(305)",Unknown,〒231-0023 神奈川県横浜市中区山下町１８ 1F,35.44317,139.652095
やえけい（やえけい）,5,3 か月前,日本で唯一シアトル直輸入のコーヒー豆を取り扱っているお店があると知ってやってきました。元町中華街駅から歩いてすぐのところにお店がありました。お店に入ると元気な声で出迎えてくれます。席に座る前に注文するスタイルです。メニューを観て目当てのシアトルのコーヒー豆のカフェラテを注文しばらくしてやってきました。カフェラテは店員さんが目の前でラテアートを作ってくれます。手際良く綺麗に作ってくれたカフェラテをひと口美味しいです。口触りがふわふわで滑らかで香りが良く口に入れるとコクがあって飲みやすいカフェラテでした。お店の雰囲気も良くゆったりする事が出来ました。美味しかったです。ごちそうさまでした。,Cafe Elliott Avenue横浜,"
〒231-0023 神奈川県横浜市中区山下町１８ 1F","
045-664-5757",http://www.elliott.jp/,"4.4
(305)",Unknown,〒231-0023 神奈川県横浜市中区山下町１８ 1F,35.44317,139.652095
やえけい（やえけい）,5,3 か月前,日本で唯一シアトル直輸入のコーヒー豆を取り扱っているお店があると知ってやってきました。元町中華街駅から歩いてすぐのところにお店がありました。お店に入ると元気な声で出迎えてくれます。席に座る前に注文するスタイルです。メニューを観て目当てのシアトルのコーヒー豆のカフェラテを注文しばらくしてやってきました。カフェラテは店員さんが目の前でラテアートを作ってくれます。手際良く綺麗に作ってくれたカフェラテをひと口美味しいです。口触りがふわふわで滑らかで香りが良く口に入れるとコクがあって飲みやすいカフェラテでした。お店の雰囲気も良くゆったりする事が出来ました。美味しかったです。ごちそうさまでした。,Cafe Elliott Avenue横浜,"
〒231-0023 神奈川県横浜市中区山下町１８ 1F","
045-664-5757",http://www.elliott.jp/,"4.4
(305)",Unknown,〒231-0023 神奈川県横浜市中区山下町１８ 1F,35.44317,139.652095
to fu,5,1 年前,"山下公園周辺の癒しカフェスポット。
暖かい日はテラス席がおすすめ。

コーヒー好きならビバーチェ選択でカフェラテを。
美しいラテアートで横浜最高のカフェラテが飲めます",Cafe Elliott Avenue横浜,"
〒231-0023 神奈川県横浜市中区山下町１８ 1F","
045-664-5757",http://www.elliott.jp/,"4.4
(305)",Unknown,〒231-0023 神奈川県横浜市中区山下町１８ 1F,35.44317,139.652095
to fu,5,1 年前,"山下公園周辺の癒しカフェスポット。
暖かい日はテラス席がおすすめ。

コーヒー好きならビバーチェ選択でカフェラテを。
美しいラテアートで横浜最高のカフェラテが飲めます",Cafe Elliott Avenue横浜,"
〒231-0023 神奈川県横浜市中区山下町１８ 1F","
045-664-5757",http://www.elliott.jp/,"4.4
(305)",Unknown,〒231-0023 神奈川県横浜市中区山下町１８ 1F,35.44317,139.652095
