Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Chenke chen,5,4 か月前,酥肉坊で西安料理を堪能しました！特に酥肉烩菜（スーロウ鍋）が絶品で、スープの深い味わいと柔らかいお肉が最高でした。干炸丸子（揚げ肉団子）は外はカリカリ、中はジューシーでお酒のお供にもぴったり！米粉肉夹馍（中華風サンドイッチ）はボリューム満点で、香辛料の香りが食欲をそそります。お店の雰囲気もアットホームで、スタッフさんが親切に対応してくれました。西安の味を東京で楽しめる貴重なお店です！また来たいと思います。,Halal Suroufang 東京清真酥肉坊(スーローファン) 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目１８−１","
080-5126-8808",Unknown,"4.7
(99)",ウェブサイトを追加してください,ハラル料理店,35.731227,139.4044661
Chenke chen,5,4 か月前,酥肉坊で西安料理を堪能しました！特に酥肉烩菜（スーロウ鍋）が絶品で、スープの深い味わいと柔らかいお肉が最高でした。干炸丸子（揚げ肉団子）は外はカリカリ、中はジューシーでお酒のお供にもぴったり！米粉肉夹馍（中華風サンドイッチ）はボリューム満点で、香辛料の香りが食欲をそそります。お店の雰囲気もアットホームで、スタッフさんが親切に対応してくれました。西安の味を東京で楽しめる貴重なお店です！また来たいと思います。,Halal Suroufang 東京清真酥肉坊(スーローファン) 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目１８−１","
080-5126-8808",Unknown,"4.7
(99)",ウェブサイトを追加してください,ハラル料理店,35.731227,139.4044661
田中M,5,3 か月前,"中1の娘と2人で初訪問。
迷いましたが、ガチ中華初の娘も食べやすそうな回民街ラオワン麺を注文しました。
店員さんに辛くないかと尋ねたところ娘の方は唐辛子少なめにしてくれました。
ボリュームがあり深みのあるお味！手打ちの麺がつるっと喉に入ってめちゃくちゃ美味しかったです。
揚げ干し豆腐も沢山あって日本の厚揚げとはまた違う美味しさでした。

そしてお味に加えて、オーナーご家族のあたたかさに感動しました。拙い中国語で会話しましたが、本当にご親切に対応いただき、家から近ければ通い詰めるのになと帰るのが寂しくなるくらいでした。
娘もまた行きたいとずっと言っています。池袋に行く時は必ず再訪したいです！",Halal Suroufang 東京清真酥肉坊(スーローファン) 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目１８−１","
080-5126-8808",Unknown,"4.7
(99)",ウェブサイトを追加してください,ハラル料理店,35.731227,139.4044661
田中M,5,3 か月前,"中1の娘と2人で初訪問。
迷いましたが、ガチ中華初の娘も食べやすそうな回民街ラオワン麺を注文しました。
店員さんに辛くないかと尋ねたところ娘の方は唐辛子少なめにしてくれました。
ボリュームがあり深みのあるお味！手打ちの麺がつるっと喉に入ってめちゃくちゃ美味しかったです。
揚げ干し豆腐も沢山あって日本の厚揚げとはまた違う美味しさでした。

そしてお味に加えて、オーナーご家族のあたたかさに感動しました。拙い中国語で会話しましたが、本当にご親切に対応いただき、家から近ければ通い詰めるのになと帰るのが寂しくなるくらいでした。
娘もまた行きたいとずっと言っています。池袋に行く時は必ず再訪したいです！",Halal Suroufang 東京清真酥肉坊(スーローファン) 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目１８−１","
080-5126-8808",Unknown,"4.7
(99)",ウェブサイトを追加してください,ハラル料理店,35.731227,139.4044661
E M,5,5 か月前,"牛肉麺 1,180円
西安料理だそう。
唐辛子辣油が多くて、とても美味しかった！

｢混ぜて｣と教えて貰った。
イスラム教徒、中国人が多い。
日本語は通じないかもしれない。
中国で食べた食事の写真を見せて、似たようなのを注文した。",Halal Suroufang 東京清真酥肉坊(スーローファン) 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目１８−１","
080-5126-8808",Unknown,"4.7
(99)",ウェブサイトを追加してください,ハラル料理店,35.731227,139.4044661
E M,5,5 か月前,"牛肉麺 1,180円
西安料理だそう。
唐辛子辣油が多くて、とても美味しかった！

｢混ぜて｣と教えて貰った。
イスラム教徒、中国人が多い。
日本語は通じないかもしれない。
中国で食べた食事の写真を見せて、似たようなのを注文した。",Halal Suroufang 東京清真酥肉坊(スーローファン) 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目１８−１","
080-5126-8808",Unknown,"4.7
(99)",ウェブサイトを追加してください,ハラル料理店,35.731227,139.4044661
妖妖灵,5,6 か月前,"2回目の訪問です。

料理は全てオーナーさんの手作りなので安心感がありますね。

麺はボリューム感あり、満足度が高いです。
麺の香りが良く、味はピリ辛ですが、辛い物苦手の方でも全然食べれますね。

コスパがすごく良かったです。",Halal Suroufang 東京清真酥肉坊(スーローファン) 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目１８−１","
080-5126-8808",Unknown,"4.7
(99)",ウェブサイトを追加してください,ハラル料理店,35.731227,139.4044661
妖妖灵,5,6 か月前,"2回目の訪問です。

料理は全てオーナーさんの手作りなので安心感がありますね。

麺はボリューム感あり、満足度が高いです。
麺の香りが良く、味はピリ辛ですが、辛い物苦手の方でも全然食べれますね。

コスパがすごく良かったです。",Halal Suroufang 東京清真酥肉坊(スーローファン) 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目１８−１","
080-5126-8808",Unknown,"4.7
(99)",ウェブサイトを追加してください,ハラル料理店,35.731227,139.4044661
MaoowL!の何でもチャンネル,5,4 か月前,西安本場の味でやみつきになりました。西安にある本店は200席もある30年の歴史がある老舗。調味料は本店から輸入しているだけあって、中国にいた頃を思い出しました。本当にお勧めできるお店です。,Halal Suroufang 東京清真酥肉坊(スーローファン) 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目１８−１","
080-5126-8808",Unknown,"4.7
(99)",ウェブサイトを追加してください,ハラル料理店,35.731227,139.4044661
MaoowL!の何でもチャンネル,5,4 か月前,西安本場の味でやみつきになりました。西安にある本店は200席もある30年の歴史がある老舗。調味料は本店から輸入しているだけあって、中国にいた頃を思い出しました。本当にお勧めできるお店です。,Halal Suroufang 東京清真酥肉坊(スーローファン) 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目１８−１","
080-5126-8808",Unknown,"4.7
(99)",ウェブサイトを追加してください,ハラル料理店,35.731227,139.4044661
