Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
rin 2347,5,7 か月前,カリフォルニアのミシュラン星付きレストランに負けない新鮮で美味しいお寿司！魚はとても新鮮で、お寿司はとても美味しいので、いつもここに行きたいと思っています:) ここのスタッフは素晴らしく、気配りがあり、とても素敵です。これまでのところ、5回の訪問で試したことはすべて、また来たいと思わせるものでした。エビシュウマイ、ベガスロール、ロリポップロール、ブルックリンロール、エンペラーロール、チキンカレー、チョコレート溶岩ケーキが特におすすめです。,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
rin 2347,5,7 か月前,カリフォルニアのミシュラン星付きレストランに負けない新鮮で美味しいお寿司！魚はとても新鮮で、お寿司はとても美味しいので、いつもここに行きたいと思っています:) ここのスタッフは素晴らしく、気配りがあり、とても素敵です。これまでのところ、5回の訪問で試したことはすべて、また来たいと思わせるものでした。エビシュウマイ、ベガスロール、ロリポップロール、ブルックリンロール、エンペラーロール、チキンカレー、チョコレート溶岩ケーキが特におすすめです。,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Tolga Ercan,5,1 週間前,"美味しいお寿司と素敵な雰囲気。

タコの刺身にはスパイシーなタレがかかっていて美味しかったです。カリカリのスパイシーなツナロールは、一種のスパイダーロールと同様に美味しかったです（完全な名前は思いつきません）。

知り合いが多かったので、近所のたまり場のようです。 :)

飲み物はまあまあでした。塩梅マルガリータは私には甘すぎましたが、デートの相手は気に入ってくれました。私の好みではパロマの方がずっと美味しかったです。

この場所にはいくつかの駐車場が予約されていますが、木曜日の夜6時30分には駐車場がいっぱいだったので、路上に駐車しなければなりませんでした。週末は間違いなく路上駐車になると思います。",Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Tolga Ercan,5,1 週間前,"美味しいお寿司と素敵な雰囲気。

タコの刺身にはスパイシーなタレがかかっていて美味しかったです。カリカリのスパイシーなツナロールは、一種のスパイダーロールと同様に美味しかったです（完全な名前は思いつきません）。

知り合いが多かったので、近所のたまり場のようです。 :)

飲み物はまあまあでした。塩梅マルガリータは私には甘すぎましたが、デートの相手は気に入ってくれました。私の好みではパロマの方がずっと美味しかったです。

この場所にはいくつかの駐車場が予約されていますが、木曜日の夜6時30分には駐車場がいっぱいだったので、路上に駐車しなければなりませんでした。週末は間違いなく路上駐車になると思います。",Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Brett Stark,5,3 か月前,私たちは食べ物にとても満足していました。お寿司はとても美味しかったし、チキン焼きそばも美味しかったです。サービスは素晴らしく、スペースはうまくできていました。私たちはすでに帰国の計画を立てています。,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Brett Stark,5,3 か月前,私たちは食べ物にとても満足していました。お寿司はとても美味しかったし、チキン焼きそばも美味しかったです。サービスは素晴らしく、スペースはうまくできていました。私たちはすでに帰国の計画を立てています。,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Rob Fosdyck,5,7 か月前,"これは私が今まで食べた中で最高の寿司です！  私はアメリカ全土で寿司を食べてきましたが、ほとんどの考えに反して、中西部の寿司は西海岸で食べたものよりも美味しかったです。

その夜のサーバーとバーテンダーは人柄が良く、思いやりがありました。  私がグルテンフリーの商品が欲しいと表明したところ、サーバーはグルテンフリーの醤油を持ってきてくれたので、食べ物をさらに楽しむことができました。

注文した品物はどれも素晴らしく、味はまろやかでニュアンスのあるものでした。  醤油を使わなくても、寿司や刺身は自立することができました。  サーモンの刺身はバターの風味が素晴らしく、しっかりとした滑らかな食感で今まで食べた中で最高でした。

雰囲気はモダンな美学を備えた魅力的で落ち着いたものでした。  バーにはたくさんのテーブルとスペースがあり、すべてが清潔でした。

お寿司が好きならここで食べることを強くお勧めします。",Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Rob Fosdyck,5,7 か月前,"これは私が今まで食べた中で最高の寿司です！  私はアメリカ全土で寿司を食べてきましたが、ほとんどの考えに反して、中西部の寿司は西海岸で食べたものよりも美味しかったです。

その夜のサーバーとバーテンダーは人柄が良く、思いやりがありました。  私がグルテンフリーの商品が欲しいと表明したところ、サーバーはグルテンフリーの醤油を持ってきてくれたので、食べ物をさらに楽しむことができました。

注文した品物はどれも素晴らしく、味はまろやかでニュアンスのあるものでした。  醤油を使わなくても、寿司や刺身は自立することができました。  サーモンの刺身はバターの風味が素晴らしく、しっかりとした滑らかな食感で今まで食べた中で最高でした。

雰囲気はモダンな美学を備えた魅力的で落ち着いたものでした。  バーにはたくさんのテーブルとスペースがあり、すべてが清潔でした。

お寿司が好きならここで食べることを強くお勧めします。",Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
John Barnes,5,2 か月前,素晴らしいサービスを備えたエレガントなダイニングスペース。手巻きからお弁当まで、食べ物は素晴らしかったです。バーではあらゆる種類の日本のウイスキーと日本酒を取り揃えています。強くお勧めします！,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
John Barnes,5,2 か月前,素晴らしいサービスを備えたエレガントなダイニングスペース。手巻きからお弁当まで、食べ物は素晴らしかったです。バーではあらゆる種類の日本のウイスキーと日本酒を取り揃えています。強くお勧めします！,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Indira Camargo,5,2 か月前,蓮野さん大好きでした！彼らは、あなたが可能な限り歓迎されていると感じてもらうことに重点を置いています。ロールパンとNYステーキ焼きそばを食べました。すべてが完璧で新鮮でした,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Indira Camargo,5,2 か月前,蓮野さん大好きでした！彼らは、あなたが可能な限り歓迎されていると感じてもらうことに重点を置いています。ロールパンとNYステーキ焼きそばを食べました。すべてが完璧で新鮮でした,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Cory Stevens,5,4 か月前,正直なところ、ここでの食事よりも良いランチ体験はできませんでした！出てくる食べ物はどれもとても新鮮で、スタッフはとても丁寧でした！,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Cory Stevens,5,4 か月前,正直なところ、ここでの食事よりも良いランチ体験はできませんでした！出てくる食べ物はどれもとても新鮮で、スタッフはとても丁寧でした！,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Laura Fonseca,5,3 週間前,魚はとても新鮮で美味しかったです。組み合わせは素晴らしかったです。スタッフはフレンドリーで親切でした。,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Laura Fonseca,5,3 週間前,魚はとても新鮮で美味しかったです。組み合わせは素晴らしかったです。スタッフはフレンドリーで親切でした。,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Juan Megar,5,2 か月前,インディアナポリスで食べた本当に最高の食事。  素晴らしい雰囲気とスタッフは信じられないほど思いやりがありました。  私の乗組員は、火をつける 2 つのロールが最も気に入りました。  来年また来るときは、ここが最もリクエストの多い食事場所になるでしょう。,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
Juan Megar,5,2 か月前,インディアナポリスで食べた本当に最高の食事。  素晴らしい雰囲気とスタッフは信じられないほど思いやりがありました。  私の乗組員は、火をつける 2 つのロールが最も気に入りました。  来年また来るときは、ここが最もリクエストの多い食事場所になるでしょう。,Hasuno,"
435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国","
+1 317-600-3020",https://www.hasunoindy.com/,"4.9
(162)",Unknown,"435 Virginia Ave #1700, Indianapolis, IN 46203 アメリカ合衆国",39.7603927,-86.1490174
