Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
kee,5,3 か月前,図書館に併設しているのがとても便利で使い勝手も良いです。パスタランチしか食べたことがないのですがいつ行っても美味しいです。キッズメニューがあるともっと嬉しいかなと思います。,IL BLU（イルブル）遊学館,"
〒990-0041 山形県山形市緑町１丁目２−３６","
023-631-7808",https://www.ilblu-yamagata.com/,"4.2
(158)",Unknown,イタリア料理店,38.2554702,140.344555
kee,5,3 か月前,図書館に併設しているのがとても便利で使い勝手も良いです。パスタランチしか食べたことがないのですがいつ行っても美味しいです。キッズメニューがあるともっと嬉しいかなと思います。,IL BLU（イルブル）遊学館,"
〒990-0041 山形県山形市緑町１丁目２−３６","
023-631-7808",https://www.ilblu-yamagata.com/,"4.2
(158)",Unknown,イタリア料理店,38.2554702,140.344555
71 BJ,5,7 か月前,平日に行ってみた。カルパッチョとパスタのフルコースランチ。鯛のカルパッチョと鶏のラグーと舞茸のフリカッセのパスタ。鯛は少し寝かせて味が出て食べ頃。ちょっと早いがもってのほかを合わせている。一番下にひと口ご飯が隠してある。パスタは鶏オイルの味と香りがとても良い。舞茸もカラッと揚がり食感の違いが楽しめる。食前のジュース（黒葡萄を選んだ）、アペタイザーとデザートが付く。オーダー時に前払いだが、現金かPayPayしか使えないのは非常に不便なのでサービスは星ふたつ。季節毎に行きたい。お土産にパンを買った。,IL BLU（イルブル）遊学館,"
〒990-0041 山形県山形市緑町１丁目２−３６","
023-631-7808",https://www.ilblu-yamagata.com/,"4.2
(158)",Unknown,イタリア料理店,38.2554702,140.344555
71 BJ,5,7 か月前,平日に行ってみた。カルパッチョとパスタのフルコースランチ。鯛のカルパッチョと鶏のラグーと舞茸のフリカッセのパスタ。鯛は少し寝かせて味が出て食べ頃。ちょっと早いがもってのほかを合わせている。一番下にひと口ご飯が隠してある。パスタは鶏オイルの味と香りがとても良い。舞茸もカラッと揚がり食感の違いが楽しめる。食前のジュース（黒葡萄を選んだ）、アペタイザーとデザートが付く。オーダー時に前払いだが、現金かPayPayしか使えないのは非常に不便なのでサービスは星ふたつ。季節毎に行きたい。お土産にパンを買った。,IL BLU（イルブル）遊学館,"
〒990-0041 山形県山形市緑町１丁目２−３６","
023-631-7808",https://www.ilblu-yamagata.com/,"4.2
(158)",Unknown,イタリア料理店,38.2554702,140.344555
mi wa,5,4 か月前,ソフトクリームが美味しくて図書館に来たときは子供と一緒に食べに来ます。牛乳の味というか、本当に美味しいんです。コーンだと子供が汚すのでいつもカップでお願いするんですが、1人一個だと食べきれないくらいたっぷり入ってるんです。それを忘れていつも1人一個で頼んでしまって後で後悔するくらい笑　ご飯もパンもとっても美味しそうなので、今度はランチに伺います。ちなみにソフトクリーム一個450円でした。,IL BLU（イルブル）遊学館,"
〒990-0041 山形県山形市緑町１丁目２−３６","
023-631-7808",https://www.ilblu-yamagata.com/,"4.2
(158)",Unknown,イタリア料理店,38.2554702,140.344555
mi wa,5,4 か月前,ソフトクリームが美味しくて図書館に来たときは子供と一緒に食べに来ます。牛乳の味というか、本当に美味しいんです。コーンだと子供が汚すのでいつもカップでお願いするんですが、1人一個だと食べきれないくらいたっぷり入ってるんです。それを忘れていつも1人一個で頼んでしまって後で後悔するくらい笑　ご飯もパンもとっても美味しそうなので、今度はランチに伺います。ちなみにソフトクリーム一個450円でした。,IL BLU（イルブル）遊学館,"
〒990-0041 山形県山形市緑町１丁目２−３６","
023-631-7808",https://www.ilblu-yamagata.com/,"4.2
(158)",Unknown,イタリア料理店,38.2554702,140.344555
ぐぴぴ,5,1 年前,"定期的に通いたくなるお店です。どうしてもワンプレートランチが食べたくなり訪問。
白菜のクリームパスタを注文。一口目はちょっと味が薄いかなーと思いましたが、食べすすめるとちょうど良く、白菜の甘みが感じられて美味しかったです。そして胡椒？の粒がアクセントになっていてとっても美味しかったです。
ワンプレートのお野菜はいつも通り美味しかったです。ラフランスのスープは初めて飲みました。

1人でも入りやすくゆっくり出来るのでおすすめです。
－－－－－－
白子のパスタ。美味しかったです。

素材を活かしたパスタやサラダを食べたいのであれば山形ではイルブルさんが1番だと個人的に思います。
サラダも一つ一つ丁寧に味付けされていて美味しいです。
遊学館の館内の雰囲気も素敵です。
また伺います。",IL BLU（イルブル）遊学館,"
〒990-0041 山形県山形市緑町１丁目２−３６","
023-631-7808",https://www.ilblu-yamagata.com/,"4.2
(158)",Unknown,イタリア料理店,38.2554702,140.344555
ぐぴぴ,5,1 年前,"定期的に通いたくなるお店です。どうしてもワンプレートランチが食べたくなり訪問。
白菜のクリームパスタを注文。一口目はちょっと味が薄いかなーと思いましたが、食べすすめるとちょうど良く、白菜の甘みが感じられて美味しかったです。そして胡椒？の粒がアクセントになっていてとっても美味しかったです。
ワンプレートのお野菜はいつも通り美味しかったです。ラフランスのスープは初めて飲みました。

1人でも入りやすくゆっくり出来るのでおすすめです。
－－－－－－
白子のパスタ。美味しかったです。

素材を活かしたパスタやサラダを食べたいのであれば山形ではイルブルさんが1番だと個人的に思います。
サラダも一つ一つ丁寧に味付けされていて美味しいです。
遊学館の館内の雰囲気も素敵です。
また伺います。",IL BLU（イルブル）遊学館,"
〒990-0041 山形県山形市緑町１丁目２−３６","
023-631-7808",https://www.ilblu-yamagata.com/,"4.2
(158)",Unknown,イタリア料理店,38.2554702,140.344555
fish Jerry,4,1 年前,"移転してから初めての訪問でした。カルパッチョとデザートが美味しいです。お土産に買った敷地内のパンも極ウマでした。

メニューが変わったかな？カルパッチョコースは１９００円で、前菜、カルパッチョ、メインの選べるパスタの３品になっていました。デザートプレートがなくなっていました。デザートとドリンクはフルコースの３３００円だったかな？？ワンプレートコースはカルパッチョ抜きで、魚介が苦手な方にお勧めです。１２００円。手頃な値段で居心地もいいので、時々来訪しています。お土産にできたてのパンを買います。お目当てのパンは早めに行かないとなくなります。",IL BLU（イルブル）遊学館,"
〒990-0041 山形県山形市緑町１丁目２−３６","
023-631-7808",https://www.ilblu-yamagata.com/,"4.2
(158)",Unknown,イタリア料理店,38.2554702,140.344555
fish Jerry,4,1 年前,"移転してから初めての訪問でした。カルパッチョとデザートが美味しいです。お土産に買った敷地内のパンも極ウマでした。

メニューが変わったかな？カルパッチョコースは１９００円で、前菜、カルパッチョ、メインの選べるパスタの３品になっていました。デザートプレートがなくなっていました。デザートとドリンクはフルコースの３３００円だったかな？？ワンプレートコースはカルパッチョ抜きで、魚介が苦手な方にお勧めです。１２００円。手頃な値段で居心地もいいので、時々来訪しています。お土産にできたてのパンを買います。お目当てのパンは早めに行かないとなくなります。",IL BLU（イルブル）遊学館,"
〒990-0041 山形県山形市緑町１丁目２−３６","
023-631-7808",https://www.ilblu-yamagata.com/,"4.2
(158)",Unknown,イタリア料理店,38.2554702,140.344555
