Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Devin Yoshimoto,N/A,"Google
より（4 年前）","Stayed at Kainoa Guest House the other weekend. It feels very much like a tiny spacious apartment rather than a tightly packed business hotel. The bed, sheets and pillows are super comfortable and the bathroom has a shower rather than a bath tub which I prefer.

Would have been good to have a digital alarm clock and a small table to eat on but other than that, pretty much has all you need for a comfortable stay. Would definitely stay again.

先日”kainowa”ホテルに泊まりました！

内装は茶色がメインで家のようにリラックスして過ごす事ができました！ベットもふかふかでとても寝心地が良かったです^_^

シャワールームもトイレもオシャレで清潔感があって良かったです！
また泊まりたいです^_^",Kainoa Guest House,"
〒170-0013 東京都豊島区東池袋２丁目５−５−２","
080-4333-0013",Unknown,"5.0
(50)",ウェブサイトを追加してください,Unknown,35.7840499,139.6744845
Devin Yoshimoto,N/A,"Google
より（4 年前）","Stayed at Kainoa Guest House the other weekend. It feels very much like a tiny spacious apartment rather than a tightly packed business hotel. The bed, sheets and pillows are super comfortable and the bathroom has a shower rather than a bath tub which I prefer.

Would have been good to have a digital alarm clock and a small table to eat on but other than that, pretty much has all you need for a comfortable stay. Would definitely stay again.

先日”kainowa”ホテルに泊まりました！

内装は茶色がメインで家のようにリラックスして過ごす事ができました！ベットもふかふかでとても寝心地が良かったです^_^

シャワールームもトイレもオシャレで清潔感があって良かったです！
また泊まりたいです^_^",Kainoa Guest House,"
〒170-0013 東京都豊島区東池袋２丁目５−５−２","
080-4333-0013",Unknown,"5.0
(50)",ウェブサイトを追加してください,Unknown,35.7840499,139.6744845
Dave Nickle,N/A,"Google
より（2 週間前）",クイーンベッドとソファベッドを備えた素敵な広さのお部屋。素晴らしいシャワーと基本的なアメニティが備わっています。スズキF1グランプリの後、初めて東京に来た私たちに、ユキはやるべきことについて良いアドバイスをくれました。大塚駅から歩いてすぐの好立地。このゲストハウスを滞在場所として強くお勧めします。,Kainoa Guest House,"
〒170-0013 東京都豊島区東池袋２丁目５−５−２","
080-4333-0013",Unknown,"5.0
(50)",ウェブサイトを追加してください,Unknown,35.7840499,139.6744845
Dave Nickle,N/A,"Google
より（2 週間前）",クイーンベッドとソファベッドを備えた素敵な広さのお部屋。素晴らしいシャワーと基本的なアメニティが備わっています。スズキF1グランプリの後、初めて東京に来た私たちに、ユキはやるべきことについて良いアドバイスをくれました。大塚駅から歩いてすぐの好立地。このゲストハウスを滞在場所として強くお勧めします。,Kainoa Guest House,"
〒170-0013 東京都豊島区東池袋２丁目５−５−２","
080-4333-0013",Unknown,"5.0
(50)",ウェブサイトを追加してください,Unknown,35.7840499,139.6744845
Ruoyu Chen,N/A,"Google
より（4 か月前）","素晴らしい場所です！
旅行中にここに 1 週間滞在しました。部屋は居心地が良く、清潔で、よく手入れされています。ここにはちょっとした売店や洗濯などの設備が揃っていてとても便利です。この家には興味深いディテールもたくさんあります。 JR線に近いロケーションは最高で、ホストは親切です！
強くお勧めします。",Kainoa Guest House,"
〒170-0013 東京都豊島区東池袋２丁目５−５−２","
080-4333-0013",Unknown,"5.0
(50)",ウェブサイトを追加してください,Unknown,35.7840499,139.6744845
Ruoyu Chen,N/A,"Google
より（4 か月前）","素晴らしい場所です！
旅行中にここに 1 週間滞在しました。部屋は居心地が良く、清潔で、よく手入れされています。ここにはちょっとした売店や洗濯などの設備が揃っていてとても便利です。この家には興味深いディテールもたくさんあります。 JR線に近いロケーションは最高で、ホストは親切です！
強くお勧めします。",Kainoa Guest House,"
〒170-0013 東京都豊島区東池袋２丁目５−５−２","
080-4333-0013",Unknown,"5.0
(50)",ウェブサイトを追加してください,Unknown,35.7840499,139.6744845
Franz Jrard Colcol,N/A,"Google
より（4 か月前）",Airbnbでこの宿を予約しました。部屋はとても素敵で、2人で泊まるには十分な広さがありました。立地も良く、大塚駅から徒歩6～8分です。オーナーはとても親切で気配りがあり、1週間の滞在だったので、週ごとの清掃に来てくれる日を柔軟に調整してくれました。近くにコインランドリーとセブンイレブンがあるのも良かったです。池袋周辺でショッピングを楽しみたいなら、サンシャインシティまで徒歩10～15分です。全体的に良い滞在だったので、また利用したいと思います。,Kainoa Guest House,"
〒170-0013 東京都豊島区東池袋２丁目５−５−２","
080-4333-0013",Unknown,"5.0
(50)",ウェブサイトを追加してください,Unknown,35.7840499,139.6744845
Franz Jrard Colcol,N/A,"Google
より（4 か月前）",Airbnbでこの宿を予約しました。部屋はとても素敵で、2人で泊まるには十分な広さがありました。立地も良く、大塚駅から徒歩6～8分です。オーナーはとても親切で気配りがあり、1週間の滞在だったので、週ごとの清掃に来てくれる日を柔軟に調整してくれました。近くにコインランドリーとセブンイレブンがあるのも良かったです。池袋周辺でショッピングを楽しみたいなら、サンシャインシティまで徒歩10～15分です。全体的に良い滞在だったので、また利用したいと思います。,Kainoa Guest House,"
〒170-0013 東京都豊島区東池袋２丁目５−５−２","
080-4333-0013",Unknown,"5.0
(50)",ウェブサイトを追加してください,Unknown,35.7840499,139.6744845
Kuo Jim,N/A,"Google
より（2 週間前）",部屋は清潔で、きちんとしていて、快適です。サンシティのすぐ近くにあり、駅からは徒歩約10分です。全体的な満足度はとても高いです！,Kainoa Guest House,"
〒170-0013 東京都豊島区東池袋２丁目５−５−２","
080-4333-0013",Unknown,"5.0
(50)",ウェブサイトを追加してください,Unknown,35.7840499,139.6744845
Kuo Jim,N/A,"Google
より（2 週間前）",部屋は清潔で、きちんとしていて、快適です。サンシティのすぐ近くにあり、駅からは徒歩約10分です。全体的な満足度はとても高いです！,Kainoa Guest House,"
〒170-0013 東京都豊島区東池袋２丁目５−５−２","
080-4333-0013",Unknown,"5.0
(50)",ウェブサイトを追加してください,Unknown,35.7840499,139.6744845
