Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
DICS IS,4,2 週間前,ピッチからの距離も近く、設備も古くなく、よいスタジアム。RBの資本が入ったので、バックスタンドを二層式にし、メインスタンドを増築、全席屋根付き、みたいに改装して欲しい。,NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
DICS IS,4,2 週間前,ピッチからの距離も近く、設備も古くなく、よいスタジアム。RBの資本が入ったので、バックスタンドを二層式にし、メインスタンドを増築、全席屋根付き、みたいに改装して欲しい。,NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
KK KK,5,2 週間前,"サッカー専用スタジアムとしては小ぶり。
ゴール裏は立席、アッパー席は階段が急。
狭い土地に一生懸命スタジアムを作った感が否めない…
ピッチが近いのはとても良い👌
屋根はメインスタンド側に6割程度。",NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
KK KK,5,2 週間前,"サッカー専用スタジアムとしては小ぶり。
ゴール裏は立席、アッパー席は階段が急。
狭い土地に一生懸命スタジアムを作った感が否めない…
ピッチが近いのはとても良い👌
屋根はメインスタンド側に6割程度。",NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
馬好きMen,5,2 か月前,"2025年開幕戦より試合観戦してきました、初めて来た感想は最高に楽しかったです。また来たいと思うスタジアムでした⚽️
ご指摘されてる方がおっしゃる通りフードやドリンク、トイレはめっちゃ混むのと並びます。フードなんて並んでたのに途中で品切れで並んだ意味ないとも思いましたが、それも含めて楽しいと思えました。サポーターの方々もマナーが良く好印象でした。RB体制になって活気が溢れてると感じました。レッドブルカーから無料でレッドブルを配布してました、イベンターの方々も美男美女でカッコよかったです。",NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
馬好きMen,5,2 か月前,"2025年開幕戦より試合観戦してきました、初めて来た感想は最高に楽しかったです。また来たいと思うスタジアムでした⚽️
ご指摘されてる方がおっしゃる通りフードやドリンク、トイレはめっちゃ混むのと並びます。フードなんて並んでたのに途中で品切れで並んだ意味ないとも思いましたが、それも含めて楽しいと思えました。サポーターの方々もマナーが良く好印象でした。RB体制になって活気が溢れてると感じました。レッドブルカーから無料でレッドブルを配布してました、イベンターの方々も美男美女でカッコよかったです。",NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
JUNJUN,5,4 週間前,"RB大宮アルディージャのホームスタジアム。
ピッチと席の距離が近く、臨場感溢れるサッカーが見られる。
レッドブルの演出もテンションが上がる。",NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
JUNJUN,5,4 週間前,"RB大宮アルディージャのホームスタジアム。
ピッチと席の距離が近く、臨場感溢れるサッカーが見られる。
レッドブルの演出もテンションが上がる。",NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
ローレクルー,5,6 か月前,"アルディージャファンですがJリーグの試合をナクスタで観戦したことはなく、冬(2022年12月)の高校サッカー観戦で何度か利用しています。

日本で最古のサッカー専用スタジアムで、ワールドカップではブラジル代表が利用した伝統あるスタジアムは、臨場感があり見やすくスタイリッシュなスタジアムです。

緑の多い大宮公園内というロケーションも良いですよね。

2022年のこの時はゴール裏で伝説の誤審(ノーゴール)がはっきり見えました。
結果的にそのまま敗れた高校は気の毒でしたが、それほど見やすい席でした。

昨年は選手権の会場から外されてしまい訪問出来ませんでしたが、今年はまた復活するそうなので、また訪問出来ればと思います。",NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
ローレクルー,5,6 か月前,"アルディージャファンですがJリーグの試合をナクスタで観戦したことはなく、冬(2022年12月)の高校サッカー観戦で何度か利用しています。

日本で最古のサッカー専用スタジアムで、ワールドカップではブラジル代表が利用した伝統あるスタジアムは、臨場感があり見やすくスタイリッシュなスタジアムです。

緑の多い大宮公園内というロケーションも良いですよね。

2022年のこの時はゴール裏で伝説の誤審(ノーゴール)がはっきり見えました。
結果的にそのまま敗れた高校は気の毒でしたが、それほど見やすい席でした。

昨年は選手権の会場から外されてしまい訪問出来ませんでしたが、今年はまた復活するそうなので、また訪問出来ればと思います。",NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
Hotaru Ika,5,4 か月前,"2024.11.24にカターレ富山対大宮アルディージャの試合観戦で訪れました。
サッカー専用スタジアムということもあり、ピッチとの距離が近く、臨場感も味わえます。",NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
Hotaru Ika,5,4 か月前,"2024.11.24にカターレ富山対大宮アルディージャの試合観戦で訪れました。
サッカー専用スタジアムということもあり、ピッチとの距離が近く、臨場感も味わえます。",NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
ROAJ1GO!,5,5 か月前,"サッカー専用スタジアム
ピッチと観客席が近いためとても見やすく臨場感があります。他スタジアムは知らないが、スタグルが充実していると思います。とても美味しいです。試合前、ハーフタイム中は結構混み合います。

屋根がかかっている席は一部のみです。雨天はカッパを持って行きましょう。
大宮駅からNACKに行く途中にオレスクがありグッズを買うことが出来ます。(試合当日はスタジアム内でも売ります)

ホーム、アウェイサポは全力で声、手拍子、ジャンプをして選手と共に戦いましょう！！",NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
ROAJ1GO!,5,5 か月前,"サッカー専用スタジアム
ピッチと観客席が近いためとても見やすく臨場感があります。他スタジアムは知らないが、スタグルが充実していると思います。とても美味しいです。試合前、ハーフタイム中は結構混み合います。

屋根がかかっている席は一部のみです。雨天はカッパを持って行きましょう。
大宮駅からNACKに行く途中にオレスクがありグッズを買うことが出来ます。(試合当日はスタジアム内でも売ります)

ホーム、アウェイサポは全力で声、手拍子、ジャンプをして選手と共に戦いましょう！！",NACK5スタジアム大宮,"
〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目","
048-644-7950",https://www.omiyaparksoccerstadium.com/,"4.2
(1,648)",Unknown,〒330-0803 埼玉県さいたま市大宮区高鼻町４丁目,35.9188242,139.6314088
