Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Richard A Francisco,4,3 年前,この場所は、イフガオ県のあまり知られていない棚田の 1 つですが、それでも荘厳で息を呑むほどの美しさです。私が来たときは入り口がありませんでした。幹線道路からは脇道を下り、そこからテラスに降りる階段があります。側道には、どこで降りて歩くべきかを示す標識があります。,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Richard A Francisco,4,3 年前,この場所は、イフガオ県のあまり知られていない棚田の 1 つですが、それでも荘厳で息を呑むほどの美しさです。私が来たときは入り口がありませんでした。幹線道路からは脇道を下り、そこからテラスに降りる階段があります。側道には、どこで降りて歩くべきかを示す標識があります。,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Abi LI,5,3 年前,■素晴らしい場所■,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Abi LI,5,3 年前,■素晴らしい場所■,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Flordeliza Diase,5,2 年前,      2 年前 訪問日 週末 待ち時間… もっと見る  いいね  共有,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Flordeliza Diase,5,2 年前,      2 年前 訪問日 週末 待ち時間… もっと見る  いいね  共有,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Paul Van Itterbeeck,5,5 年前,美しい,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Paul Van Itterbeeck,5,5 年前,美しい,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Jan Vincent Francisco,5,1 年前,ユネスコのサイト,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Jan Vincent Francisco,5,1 年前,ユネスコのサイト,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Kerve Supnet,5,6 年前,     6 年前,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Kerve Supnet,5,6 年前,     6 年前,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Mark Anthony Perez,5,6 年前,      6 年前,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Mark Anthony Perez,5,6 年前,      6 年前,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Maylyn Viray,4,6 年前,      6 年前,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Maylyn Viray,4,6 年前,      6 年前,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Noreen Alazada,5,6 年前,      6 年前,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Noreen Alazada,5,6 年前,      6 年前,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Juan Santos Jr.,4,7 年前,      7 年前,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
Juan Santos Jr.,4,7 年前,      7 年前,Rice Terrace Clusters of Kiangan: Nagacadan UNESCO world Heritage site,"
Q3J7+CQ3, Kiangan, Ifugao, フィリピン",Unknown,Unknown,"4.7
(10)",お店やスポットの電話番号を追加する,"Q3J7+CQ3, Kiangan, Ifugao, フィリピン",27.5476138,130.5219565
