Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
麻ー子,4,3 か月前,"SONPO美術館に行きました‼️

以前は東郷青児美術館で東郷青児の作品が多数収蔵されています。

今はゴッホのひまわりで有名な美術館です。
1987年に安田火災海上保険が53億円で入札した時には史上最高値としてすごいニュースでした。

平日は来館者も少なくてゆっくり見れました。
混み具合は企画展によると思います。

ゴッホのひまわりはアジアで唯一こちらの美術館で見れるらしく、ひまわりの前には誰もいなくてひまわりを存分に鑑賞出来ました。
贅沢ですね。

この絵だけは厳重にガラスで覆われていて、日本の絵画ばかりの中で１枚だけ海外のもので、感慨深いものがありました。
ゴッホが今ここでこの絵を見たらどう思うかなって。

東郷青児の作品は展示会によって作品を変えるらしく今回は３作品。
少なくてちょっとがっかり。
ゴッホのひまわりはいつでも見れますが、ホームページで確認したほうがよさそうです。

平日は事前にチケットを購入しなくてもいいですが、休日は必要かもしれません。",SOMPO美術館,"
〒160-0023 東京都新宿区西新宿１丁目２６−１","
050-5541-8600",https://www.sompo-museum.org/,"4.2
(2,633)",Unknown,〒160-0023 東京都新宿区西新宿１丁目２６−１,35.4037426,139.3062083
麻ー子,4,3 か月前,"SONPO美術館に行きました‼️

以前は東郷青児美術館で東郷青児の作品が多数収蔵されています。

今はゴッホのひまわりで有名な美術館です。
1987年に安田火災海上保険が53億円で入札した時には史上最高値としてすごいニュースでした。

平日は来館者も少なくてゆっくり見れました。
混み具合は企画展によると思います。

ゴッホのひまわりはアジアで唯一こちらの美術館で見れるらしく、ひまわりの前には誰もいなくてひまわりを存分に鑑賞出来ました。
贅沢ですね。

この絵だけは厳重にガラスで覆われていて、日本の絵画ばかりの中で１枚だけ海外のもので、感慨深いものがありました。
ゴッホが今ここでこの絵を見たらどう思うかなって。

東郷青児の作品は展示会によって作品を変えるらしく今回は３作品。
少なくてちょっとがっかり。
ゴッホのひまわりはいつでも見れますが、ホームページで確認したほうがよさそうです。

平日は事前にチケットを購入しなくてもいいですが、休日は必要かもしれません。",SOMPO美術館,"
〒160-0023 東京都新宿区西新宿１丁目２６−１","
050-5541-8600",https://www.sompo-museum.org/,"4.2
(2,633)",Unknown,〒160-0023 東京都新宿区西新宿１丁目２６−１,35.4037426,139.3062083
Yoshimi Y,5,4 か月前,ゴッホのひまわり🌻、企画展（カナレット）鑑賞のため来館。平日夕方の来訪、事前予約なしでスムーズに入館。無料のロッカーが入口にあり（コイン不要）。5階から3階まで鑑賞時移動が多いため、荷物はロッカーに預けるのがお勧め。ゴッホは写真撮影できます！✨新宿駅から徒歩5分ほどと近い立地で、ゴッホが人混みもなくゆっくりと鑑賞できるなんて感激です。企画展のカナレットも一部を除くと写真撮影でき、お目当てのクロードモネ（後半に2作品展示あり）鑑賞できて大満足でした♪カナレットのヴェドゥータは、精密な描写が印象的で、精密ななかにも陽光を感じる温かい風景がまるで目の前に広がっているかのよう。日本にいながら、ヴェネツィアを旅行しているような気分を味わうことができ、とても素敵な展示でした。オーディオガイドの解説も素晴らしく、背景知識を踏まえて、カナレットの作品にどっぷりと浸れました。鑑賞時間は1時間半ほどでした。,SOMPO美術館,"
〒160-0023 東京都新宿区西新宿１丁目２６−１","
050-5541-8600",https://www.sompo-museum.org/,"4.2
(2,633)",Unknown,〒160-0023 東京都新宿区西新宿１丁目２６−１,35.4037426,139.3062083
Yoshimi Y,5,4 か月前,ゴッホのひまわり🌻、企画展（カナレット）鑑賞のため来館。平日夕方の来訪、事前予約なしでスムーズに入館。無料のロッカーが入口にあり（コイン不要）。5階から3階まで鑑賞時移動が多いため、荷物はロッカーに預けるのがお勧め。ゴッホは写真撮影できます！✨新宿駅から徒歩5分ほどと近い立地で、ゴッホが人混みもなくゆっくりと鑑賞できるなんて感激です。企画展のカナレットも一部を除くと写真撮影でき、お目当てのクロードモネ（後半に2作品展示あり）鑑賞できて大満足でした♪カナレットのヴェドゥータは、精密な描写が印象的で、精密ななかにも陽光を感じる温かい風景がまるで目の前に広がっているかのよう。日本にいながら、ヴェネツィアを旅行しているような気分を味わうことができ、とても素敵な展示でした。オーディオガイドの解説も素晴らしく、背景知識を踏まえて、カナレットの作品にどっぷりと浸れました。鑑賞時間は1時間半ほどでした。,SOMPO美術館,"
〒160-0023 東京都新宿区西新宿１丁目２６−１","
050-5541-8600",https://www.sompo-museum.org/,"4.2
(2,633)",Unknown,〒160-0023 東京都新宿区西新宿１丁目２６−１,35.4037426,139.3062083
望月友和,5,5 日前,"《SOMPO美術館(10:00～18:00OPEN 月曜休館(あと入替時も不定休))》入館料、一般(26歳以上)1,800円、25歳以外1,200円、小中高校生と障害者手帳持参の方 無料、を観覧した。
現在6月22日(日)まで開催《藤田嗣治 7つの情熱》(写真NG)が展覧されてます。あと、ここには、あの！教科書でしか見た事がない？ゴッホ《ひまわり》(これだけは写真OK)の絵画が飾られてます。これも観覧してきました。目の保養になり良かったです。",SOMPO美術館,"
〒160-0023 東京都新宿区西新宿１丁目２６−１","
050-5541-8600",https://www.sompo-museum.org/,"4.2
(2,633)",Unknown,〒160-0023 東京都新宿区西新宿１丁目２６−１,35.4037426,139.3062083
望月友和,5,5 日前,"《SOMPO美術館(10:00～18:00OPEN 月曜休館(あと入替時も不定休))》入館料、一般(26歳以上)1,800円、25歳以外1,200円、小中高校生と障害者手帳持参の方 無料、を観覧した。
現在6月22日(日)まで開催《藤田嗣治 7つの情熱》(写真NG)が展覧されてます。あと、ここには、あの！教科書でしか見た事がない？ゴッホ《ひまわり》(これだけは写真OK)の絵画が飾られてます。これも観覧してきました。目の保養になり良かったです。",SOMPO美術館,"
〒160-0023 東京都新宿区西新宿１丁目２６−１","
050-5541-8600",https://www.sompo-museum.org/,"4.2
(2,633)",Unknown,〒160-0023 東京都新宿区西新宿１丁目２６−１,35.4037426,139.3062083
09,5,3 か月前,"12月27日、金曜日、午後イチに行きました。年末だからか平日なのにすごい人。ロッカーが足りてなかったです。

そしてどんどん人が増えます。ゆっくり見たい方は午前中のほうがいいと思います。

カナレットは初めて見ましたが、写真かと思うような精密さ。視力が追いつきません。これは実際に見るべきだと思います。

ゴッホのひまわりは想像より大きく、立体的でした。絵の具の重ね具合がすごい。

カナレットは５階がカナレットのフロア、４階がカナレットの下書きの絵が少しと関連する他の作者の作品。３階は他の作者の作品でした。

作品は一部撮影NG。

２階はお土産コーナーでした。",SOMPO美術館,"
〒160-0023 東京都新宿区西新宿１丁目２６−１","
050-5541-8600",https://www.sompo-museum.org/,"4.2
(2,633)",Unknown,〒160-0023 東京都新宿区西新宿１丁目２６−１,35.4037426,139.3062083
09,5,3 か月前,"12月27日、金曜日、午後イチに行きました。年末だからか平日なのにすごい人。ロッカーが足りてなかったです。

そしてどんどん人が増えます。ゆっくり見たい方は午前中のほうがいいと思います。

カナレットは初めて見ましたが、写真かと思うような精密さ。視力が追いつきません。これは実際に見るべきだと思います。

ゴッホのひまわりは想像より大きく、立体的でした。絵の具の重ね具合がすごい。

カナレットは５階がカナレットのフロア、４階がカナレットの下書きの絵が少しと関連する他の作者の作品。３階は他の作者の作品でした。

作品は一部撮影NG。

２階はお土産コーナーでした。",SOMPO美術館,"
〒160-0023 東京都新宿区西新宿１丁目２６−１","
050-5541-8600",https://www.sompo-museum.org/,"4.2
(2,633)",Unknown,〒160-0023 東京都新宿区西新宿１丁目２６−１,35.4037426,139.3062083
Shigezou Chiba,5,4 か月前,"【 2024/12/17(火)拝観 】
📺NHK Eテレの「日曜美術館 アートシーン」で紹介されていたのを見て👀、2024年10/12(土)〜12/28(土)の期間、開催されている「カナレットとヴェネツィアの輝き」を拝観しました。

ヴェドゥータ(景観図→遠近法を用い、主として都市の景観を精密に描いた絵画🖼️)の巨匠カナレット(Canaletto：1697-1768)の全貌を紹介する日本で初めての展覧会だそうです。

カナレットの本名はジョヴァンニ・アントニオ・カナル(Giovanni Antonio Canal)で…  生地である水の都ヴェネツィアの陽光きらめく都市景観を鮮やかに描き出した景観画「ヴェドゥータ」で名を馳せ、グランド・ツアーでヴェネツィアを訪れた英国貴族たちが、旅の記念としてこぞってこの絵を買い求めたそうです。といったことから、現在カナレットの作品の多くはイギリス🇬🇧に残され、その最大規模の所蔵者は英国王室とのことです。

イタリア🇮🇹北東部に位置するヴェネツィアはラグーナ(潟)に浮かぶ水上都市で、魚の形をした本島には逆S字を描く大運河「カナル・グランデ」が流れています。ヴェネツィアを探訪するには徒歩🚶か船のみで、車はもちろん、自転車🚲や馬車も進入禁止だそうです。死ぬまでに行く機会があるかな〜😅💦

平日(火曜日)の13時くらいに訪れました。チケット売場にはほとんど人が居ませんでしたが、展示室内には思っていたより人が居ました。が、混雑していたワケではなく、一つ一つの作品をじっくり見ることは出来ました❗️また、動画🎥やフラッシュを使用した撮影📸はNGですが、「NO Photo」と書かれた作品以外は📷撮影OKという太っ腹な展覧会でした❗️✨😁👍

SOMPO美術館(Sompo Museum of Art)の休館日は月曜日(※月曜日が祝日㊗️の場合は開館し、翌日が休館)・展示替期間・年末年始で、開館時間は10:00〜18:00 (金曜日は20:00まで)で、最終入場は閉館30分前までです。観覧料は一般￥1,800でした。

チケット売場は1階ですが、エレベーター🛗で5階まで上がり、5階展示室→4階展示室→3階展示室の順に見た後、2階：ミュージアムショップ→1階と、5階から順に下の階へ下りていく感じです。

※3階展示室の出口付近には、SOMPO美術館が所蔵するフィンセント・ファン・ゴッホ(Vincent van Gogh)の「びまわり(sunflowers)」が展示されていて、📷撮影OKでしたので、撮らせていただきました❗️（^人^）

SOMPO美術館へのアクセスは、JR新宿駅西口からだと徒歩約5分で、webサイトのアクセス「地下ルート(JR)」に従って行きました🚶↓

まず、新宿駅西改札を出て「西口地下広場」方面へ進み、新宿駅西口交番を右手に見ながら、まっすぐ進みます。ロータリーを左手に見ながら「東京都庁・中央公園方面」N2-N6出口方面へ進み、壁面オブジェ「新宿の目」を右手に見ながら道なりに進みます。N4出口で地上に上がると、前方にSOMPO美術館が見えますので、横断歩道を渡って建物の方へ進みます。

とても見やすい展示(構成)でしたし、ほとんどの作品が📷撮影OKということもあって、一通り🖼️見終えた後の満足度はとても大きかったです❗️✨😁👍 ので、また気になる展覧会が開催されている時に訪れたいと思います❗️

自分の場合ですが、拝観時間は1時間半くらいでした。参考までに。",SOMPO美術館,"
〒160-0023 東京都新宿区西新宿１丁目２６−１","
050-5541-8600",https://www.sompo-museum.org/,"4.2
(2,633)",Unknown,〒160-0023 東京都新宿区西新宿１丁目２６−１,35.4037426,139.3062083
Shigezou Chiba,5,4 か月前,"【 2024/12/17(火)拝観 】
📺NHK Eテレの「日曜美術館 アートシーン」で紹介されていたのを見て👀、2024年10/12(土)〜12/28(土)の期間、開催されている「カナレットとヴェネツィアの輝き」を拝観しました。

ヴェドゥータ(景観図→遠近法を用い、主として都市の景観を精密に描いた絵画🖼️)の巨匠カナレット(Canaletto：1697-1768)の全貌を紹介する日本で初めての展覧会だそうです。

カナレットの本名はジョヴァンニ・アントニオ・カナル(Giovanni Antonio Canal)で…  生地である水の都ヴェネツィアの陽光きらめく都市景観を鮮やかに描き出した景観画「ヴェドゥータ」で名を馳せ、グランド・ツアーでヴェネツィアを訪れた英国貴族たちが、旅の記念としてこぞってこの絵を買い求めたそうです。といったことから、現在カナレットの作品の多くはイギリス🇬🇧に残され、その最大規模の所蔵者は英国王室とのことです。

イタリア🇮🇹北東部に位置するヴェネツィアはラグーナ(潟)に浮かぶ水上都市で、魚の形をした本島には逆S字を描く大運河「カナル・グランデ」が流れています。ヴェネツィアを探訪するには徒歩🚶か船のみで、車はもちろん、自転車🚲や馬車も進入禁止だそうです。死ぬまでに行く機会があるかな〜😅💦

平日(火曜日)の13時くらいに訪れました。チケット売場にはほとんど人が居ませんでしたが、展示室内には思っていたより人が居ました。が、混雑していたワケではなく、一つ一つの作品をじっくり見ることは出来ました❗️また、動画🎥やフラッシュを使用した撮影📸はNGですが、「NO Photo」と書かれた作品以外は📷撮影OKという太っ腹な展覧会でした❗️✨😁👍

SOMPO美術館(Sompo Museum of Art)の休館日は月曜日(※月曜日が祝日㊗️の場合は開館し、翌日が休館)・展示替期間・年末年始で、開館時間は10:00〜18:00 (金曜日は20:00まで)で、最終入場は閉館30分前までです。観覧料は一般￥1,800でした。

チケット売場は1階ですが、エレベーター🛗で5階まで上がり、5階展示室→4階展示室→3階展示室の順に見た後、2階：ミュージアムショップ→1階と、5階から順に下の階へ下りていく感じです。

※3階展示室の出口付近には、SOMPO美術館が所蔵するフィンセント・ファン・ゴッホ(Vincent van Gogh)の「びまわり(sunflowers)」が展示されていて、📷撮影OKでしたので、撮らせていただきました❗️（^人^）

SOMPO美術館へのアクセスは、JR新宿駅西口からだと徒歩約5分で、webサイトのアクセス「地下ルート(JR)」に従って行きました🚶↓

まず、新宿駅西改札を出て「西口地下広場」方面へ進み、新宿駅西口交番を右手に見ながら、まっすぐ進みます。ロータリーを左手に見ながら「東京都庁・中央公園方面」N2-N6出口方面へ進み、壁面オブジェ「新宿の目」を右手に見ながら道なりに進みます。N4出口で地上に上がると、前方にSOMPO美術館が見えますので、横断歩道を渡って建物の方へ進みます。

とても見やすい展示(構成)でしたし、ほとんどの作品が📷撮影OKということもあって、一通り🖼️見終えた後の満足度はとても大きかったです❗️✨😁👍 ので、また気になる展覧会が開催されている時に訪れたいと思います❗️

自分の場合ですが、拝観時間は1時間半くらいでした。参考までに。",SOMPO美術館,"
〒160-0023 東京都新宿区西新宿１丁目２６−１","
050-5541-8600",https://www.sompo-museum.org/,"4.2
(2,633)",Unknown,〒160-0023 東京都新宿区西新宿１丁目２６−１,35.4037426,139.3062083
