Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
すばるうまうま,4,1 か月前,"グランスタ東京改札内にある、おにぎり専門店。
日替わり弁当も美味しそうだったのですが、単品でも買えそうだったのでそちらで試してみることにしました。 …",TARO TOKYO ONIGIRI グランスタ東京,"
〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１","
03-6259-1717",https://www.tarotokyo.jp/,"3.8
(26)",Unknown,〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１,35.6940355,139.7478672
すばるうまうま,4,1 か月前,"グランスタ東京改札内にある、おにぎり専門店。
日替わり弁当も美味しそうだったのですが、単品でも買えそうだったのでそちらで試してみることにしました。 …",TARO TOKYO ONIGIRI グランスタ東京,"
〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１","
03-6259-1717",https://www.tarotokyo.jp/,"3.8
(26)",Unknown,〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１,35.6940355,139.7478672
ラビタロ,3,3 か月前,テレビの情報番組で初めてこちらのお店を知って伺いました。店頭ではおにぎりとお弁当を販売していて、購入したいおにぎりをトレイに載せてレジで会計するシステムになっています。 …,TARO TOKYO ONIGIRI グランスタ東京,"
〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１","
03-6259-1717",https://www.tarotokyo.jp/,"3.8
(26)",Unknown,〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１,35.6940355,139.7478672
ラビタロ,3,3 か月前,テレビの情報番組で初めてこちらのお店を知って伺いました。店頭ではおにぎりとお弁当を販売していて、購入したいおにぎりをトレイに載せてレジで会計するシステムになっています。 …,TARO TOKYO ONIGIRI グランスタ東京,"
〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１","
03-6259-1717",https://www.tarotokyo.jp/,"3.8
(26)",Unknown,〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１,35.6940355,139.7478672
まなみ,5,5 か月前,"珍しいおにぎり！タロウ劇場、開幕！！

友人と食べ歩き中に見つけたこちら。 …",TARO TOKYO ONIGIRI グランスタ東京,"
〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１","
03-6259-1717",https://www.tarotokyo.jp/,"3.8
(26)",Unknown,〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１,35.6940355,139.7478672
まなみ,5,5 か月前,"珍しいおにぎり！タロウ劇場、開幕！！

友人と食べ歩き中に見つけたこちら。 …",TARO TOKYO ONIGIRI グランスタ東京,"
〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１","
03-6259-1717",https://www.tarotokyo.jp/,"3.8
(26)",Unknown,〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１,35.6940355,139.7478672
Hi de,3,6 か月前,"おにぎり専門店です。
場所が分からず、めっちゃ探しました。
要するに中央通路の地下１階、一番人通りのある通りの並びで（調べてないけど銀の鈴のある通りかな？）、山手線とかの下あたりのイメージです。 …",TARO TOKYO ONIGIRI グランスタ東京,"
〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１","
03-6259-1717",https://www.tarotokyo.jp/,"3.8
(26)",Unknown,〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１,35.6940355,139.7478672
Hi de,3,6 か月前,"おにぎり専門店です。
場所が分からず、めっちゃ探しました。
要するに中央通路の地下１階、一番人通りのある通りの並びで（調べてないけど銀の鈴のある通りかな？）、山手線とかの下あたりのイメージです。 …",TARO TOKYO ONIGIRI グランスタ東京,"
〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１","
03-6259-1717",https://www.tarotokyo.jp/,"3.8
(26)",Unknown,〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１,35.6940355,139.7478672
しらす,4,6 か月前,"東京駅構内のグランスタにあります、新幹線で食べる朝食として購入しました。
時間帯と商品の性格もあり少し並びました。
お洒落なパッケージで海苔は別に付いてきます。 …",TARO TOKYO ONIGIRI グランスタ東京,"
〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１","
03-6259-1717",https://www.tarotokyo.jp/,"3.8
(26)",Unknown,〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１,35.6940355,139.7478672
しらす,4,6 か月前,"東京駅構内のグランスタにあります、新幹線で食べる朝食として購入しました。
時間帯と商品の性格もあり少し並びました。
お洒落なパッケージで海苔は別に付いてきます。 …",TARO TOKYO ONIGIRI グランスタ東京,"
〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１","
03-6259-1717",https://www.tarotokyo.jp/,"3.8
(26)",Unknown,〒100-0005 東京都千代田区丸の内１丁目９−１ グランスタ東京 B１,35.6940355,139.7478672
