Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
はやしゆ,4,3 週間前,"チュクミ炒め＆焼きサムギョプサルコース

・ナムル盛り合わせ
左から 　もやしナムル、ほうれん草ナムル、
にんじんナムル、ぜんまいナムル。

・キムチ盛り合わせ
韓国キムチの酸っぱい感がある。
左から　きゅうりキムチ、カクテキ、
白菜キムチ？だった。

ナムルとキムチは全く同じものが、
食べ放題メニューの中にもあって、
味も同じだったから気に入ったらお代わりできる。

・チュクミ炒め
一口タコみたいなタコで、
すでに調理した状態で出てくる。
ハサミがないから一口で食べるけど、
タコが弾力が結構強め。
口回りがもれなく汚れます、要注意。
甘辛のタレがかかってて、
辛いけど後を引く辛さじゃない。

・焼きサムギョプサルセット
焼いた状態で提供なので服ににおいもつかない。
セットの中で一番おいしかった。
サンチュ・コチュジャンありで好みで調節できる。

■ 食べ放題メニュー
・チャプチェ ・キンパ ・チヂミ ・トッポギ ・キムチ ・カクテキ ・オイキムチ ・ほうれん草ナムル ・もやしナムル ・ぜんまいナムル ・にんじんナムル ・だいこんナムル ・ネギナムル ・チョレギサラダ ・ヤンニョムチキン ・フライドチキン

食べ残しや飲み残しがひどい場合は、
追加料金がかかるとメニュー表に記載されていますが、
食べ放題メニューは食べきれる量で、
配膳してくれるからお腹の満腹具合を見ながらわ
調節して食べられる。

上の中で食べてないのは、
だいこんナムルとチョレギサラダ以外は食べてみた。

・ヤンニョムチキンは、
ケチャップ？トマトベースが強めで全く辛くない。
辛いもの食べられない人でもなんなく食べられる。

・フライドチキンは、
周りの衣？ぱりぱりのがすごいおいしかった。

・チャプチェはちょい味が濃い目。

・チヂミはイメージ通り。

・トッポギは温かいので、
一番辛さを感じたけれど余裕で食べられる。

この中でリピートしたのは、
キンパとフライドチキン。
すべて注文を受けてから作ってそう、熱々だった。

・デザート
一口サイズのチーズケーキ。
ラストオーダー確認後に配膳してくれた。
味は普通。さっぱりチーズケーキ。

３Fはテラス席、２Fは店内で、
店内はダーツも多かったから二次会とかにもよさそう。
３Fのテラス席は屋根もあるしないところもある。
風通りはすごく良いから寒い日とかはやばい。
風邪ひく。行った日はブランケットはなさそう。

あとに残る感じの辛さじゃなくて、
食べ終わってドリンク飲んだら辛み消えたぐらい。
全体的に辛さは控えめだった。
カレーの甘口しか食べられない...
って人以外は普通においしく食べられるぐらい。
辛さの調節は特に聞かれませんでした。

駅から近いし予約も取りやすい印象です。",TERRACE GARDEN 8848,"
〒169-0073 東京都新宿区百人町１丁目１１−２８ 大長今ビル 2F","
080-4172-0688",https://terracegarden8848.com/,"3.9
(187)",Unknown,ビアガーデン,27.0293896,130.5545845
はやしゆ,4,3 週間前,"チュクミ炒め＆焼きサムギョプサルコース

・ナムル盛り合わせ
左から 　もやしナムル、ほうれん草ナムル、
にんじんナムル、ぜんまいナムル。

・キムチ盛り合わせ
韓国キムチの酸っぱい感がある。
左から　きゅうりキムチ、カクテキ、
白菜キムチ？だった。

ナムルとキムチは全く同じものが、
食べ放題メニューの中にもあって、
味も同じだったから気に入ったらお代わりできる。

・チュクミ炒め
一口タコみたいなタコで、
すでに調理した状態で出てくる。
ハサミがないから一口で食べるけど、
タコが弾力が結構強め。
口回りがもれなく汚れます、要注意。
甘辛のタレがかかってて、
辛いけど後を引く辛さじゃない。

・焼きサムギョプサルセット
焼いた状態で提供なので服ににおいもつかない。
セットの中で一番おいしかった。
サンチュ・コチュジャンありで好みで調節できる。

■ 食べ放題メニュー
・チャプチェ ・キンパ ・チヂミ ・トッポギ ・キムチ ・カクテキ ・オイキムチ ・ほうれん草ナムル ・もやしナムル ・ぜんまいナムル ・にんじんナムル ・だいこんナムル ・ネギナムル ・チョレギサラダ ・ヤンニョムチキン ・フライドチキン

食べ残しや飲み残しがひどい場合は、
追加料金がかかるとメニュー表に記載されていますが、
食べ放題メニューは食べきれる量で、
配膳してくれるからお腹の満腹具合を見ながらわ
調節して食べられる。

上の中で食べてないのは、
だいこんナムルとチョレギサラダ以外は食べてみた。

・ヤンニョムチキンは、
ケチャップ？トマトベースが強めで全く辛くない。
辛いもの食べられない人でもなんなく食べられる。

・フライドチキンは、
周りの衣？ぱりぱりのがすごいおいしかった。

・チャプチェはちょい味が濃い目。

・チヂミはイメージ通り。

・トッポギは温かいので、
一番辛さを感じたけれど余裕で食べられる。

この中でリピートしたのは、
キンパとフライドチキン。
すべて注文を受けてから作ってそう、熱々だった。

・デザート
一口サイズのチーズケーキ。
ラストオーダー確認後に配膳してくれた。
味は普通。さっぱりチーズケーキ。

３Fはテラス席、２Fは店内で、
店内はダーツも多かったから二次会とかにもよさそう。
３Fのテラス席は屋根もあるしないところもある。
風通りはすごく良いから寒い日とかはやばい。
風邪ひく。行った日はブランケットはなさそう。

あとに残る感じの辛さじゃなくて、
食べ終わってドリンク飲んだら辛み消えたぐらい。
全体的に辛さは控えめだった。
カレーの甘口しか食べられない...
って人以外は普通においしく食べられるぐらい。
辛さの調節は特に聞かれませんでした。

駅から近いし予約も取りやすい印象です。",TERRACE GARDEN 8848,"
〒169-0073 東京都新宿区百人町１丁目１１−２８ 大長今ビル 2F","
080-4172-0688",https://terracegarden8848.com/,"3.9
(187)",Unknown,ビアガーデン,27.0293896,130.5545845
銀座の看護師,4,5 か月前,"新大久保にある「TERRACE GARDEN 8848」　で
青空の下　BBQを楽しんできました✨（@terrace_garden_8848 ）

全14品の豪華ラインナップを、特別価格【5000円（税抜）】で堪能✨（飲み放題付き）

🍆 【野菜BBQ】　　新鮮なお野菜たちが勢揃い🌽

• 甘さ引き立つ【ナス】
• ホクホクの【カボチャ】
• ジューシーな【コーン】
• 香ばしく焼き上げる【玉ねぎ】
• 色鮮やかな【ピーマン】
• グリルで旨味を引き出す【ズッキーニ】
シンプルに塩胡椒で焼いて素材本来の美味しさを堪能できました🎃

🦐 【シーフードBBQ】　　海の恵みを直火焼きで🐚

ぷりぷりの【エビ】や贅沢な【ホタテ】など、新鮮な海鮮が口いっぱいに広がる旨味と香りは、最高😆

🥩 【ミートBBQ】豪快に焼くこれぞBBQの醍醐味！

•     肉厚ジューシーな【アンガスビーフカルビ】
• 柔らかく旨味たっぷり【国産ポークカルビ】
• ジューシーな【国産ソーセージ】
• 香ばしさが食欲をそそる【地鶏モモ肉】🐔

塩、胡椒をして、BBQコンロで、まだかまだかと固唾をのんで焼きます（空腹で待ちきれない〜😋）
付け合わせのタレが甘辛くて、お肉の美味しさをブラッシュアップしてくれました✨

🍜 【焼きそば】　みんな大好き〆の焼きそば
お店の方が可愛くハート💕に形成して焼きあげたものを持ってきてくださいました。
楽ちんで美味しい✨ホッとする味＆ボリュームいっぱいで大満足◎

🍰 【デザート】
アイスチーズケーキ　チョコレートソースがけ
なめらかで濃厚な味わいが口の中に広がり、BBQの締めにぴったりでした👏

🌅 TERRACE GARDEN 8848の開放感あふれるテラスで、心地よい風と光を感じながら　飲んで食べて、楽しかった〜💕
都内でおしゃれで美味しくBBQできちゃうなんてすごい👌

食材やコンロ等もALL完備　もちろん大変なお片付けもなく、ストレスフリーでできちゃうのも魅力的✨

しかも、寒い時は🥶炬燵等もあるので、季節問わず使えると思います✨（別コースなので要確認してね）

ご家族やお友達、同僚との集まりに最適なこのコース
楽しく美味しく過ごせること間違いなしです💕

📍 新宿区歌舞伎町2-14-8 メトロプラザ2ビル3F
🚃：JR新宿駅東口から徒歩7分
🕰️：12:00〜23:00（最終入店22:00）
☎️：03-3209-2233

手軽にBBQを満喫することができました👌
お肉やお野菜　美味しかったです✨
ご馳走様でした😋",TERRACE GARDEN 8848,"
〒169-0073 東京都新宿区百人町１丁目１１−２８ 大長今ビル 2F","
080-4172-0688",https://terracegarden8848.com/,"3.9
(187)",Unknown,ビアガーデン,27.0293896,130.5545845
銀座の看護師,4,5 か月前,"新大久保にある「TERRACE GARDEN 8848」　で
青空の下　BBQを楽しんできました✨（@terrace_garden_8848 ）

全14品の豪華ラインナップを、特別価格【5000円（税抜）】で堪能✨（飲み放題付き）

🍆 【野菜BBQ】　　新鮮なお野菜たちが勢揃い🌽

• 甘さ引き立つ【ナス】
• ホクホクの【カボチャ】
• ジューシーな【コーン】
• 香ばしく焼き上げる【玉ねぎ】
• 色鮮やかな【ピーマン】
• グリルで旨味を引き出す【ズッキーニ】
シンプルに塩胡椒で焼いて素材本来の美味しさを堪能できました🎃

🦐 【シーフードBBQ】　　海の恵みを直火焼きで🐚

ぷりぷりの【エビ】や贅沢な【ホタテ】など、新鮮な海鮮が口いっぱいに広がる旨味と香りは、最高😆

🥩 【ミートBBQ】豪快に焼くこれぞBBQの醍醐味！

•     肉厚ジューシーな【アンガスビーフカルビ】
• 柔らかく旨味たっぷり【国産ポークカルビ】
• ジューシーな【国産ソーセージ】
• 香ばしさが食欲をそそる【地鶏モモ肉】🐔

塩、胡椒をして、BBQコンロで、まだかまだかと固唾をのんで焼きます（空腹で待ちきれない〜😋）
付け合わせのタレが甘辛くて、お肉の美味しさをブラッシュアップしてくれました✨

🍜 【焼きそば】　みんな大好き〆の焼きそば
お店の方が可愛くハート💕に形成して焼きあげたものを持ってきてくださいました。
楽ちんで美味しい✨ホッとする味＆ボリュームいっぱいで大満足◎

🍰 【デザート】
アイスチーズケーキ　チョコレートソースがけ
なめらかで濃厚な味わいが口の中に広がり、BBQの締めにぴったりでした👏

🌅 TERRACE GARDEN 8848の開放感あふれるテラスで、心地よい風と光を感じながら　飲んで食べて、楽しかった〜💕
都内でおしゃれで美味しくBBQできちゃうなんてすごい👌

食材やコンロ等もALL完備　もちろん大変なお片付けもなく、ストレスフリーでできちゃうのも魅力的✨

しかも、寒い時は🥶炬燵等もあるので、季節問わず使えると思います✨（別コースなので要確認してね）

ご家族やお友達、同僚との集まりに最適なこのコース
楽しく美味しく過ごせること間違いなしです💕

📍 新宿区歌舞伎町2-14-8 メトロプラザ2ビル3F
🚃：JR新宿駅東口から徒歩7分
🕰️：12:00〜23:00（最終入店22:00）
☎️：03-3209-2233

手軽にBBQを満喫することができました👌
お肉やお野菜　美味しかったです✨
ご馳走様でした😋",TERRACE GARDEN 8848,"
〒169-0073 東京都新宿区百人町１丁目１１−２８ 大長今ビル 2F","
080-4172-0688",https://terracegarden8848.com/,"3.9
(187)",Unknown,ビアガーデン,27.0293896,130.5545845
めらる,5,2 か月前,本格的なキャンプが出来る屋上で鍋パ！こたつもあるし、楽しすぎる。〆のラーメンも沁みました！,TERRACE GARDEN 8848,"
〒169-0073 東京都新宿区百人町１丁目１１−２８ 大長今ビル 2F","
080-4172-0688",https://terracegarden8848.com/,"3.9
(187)",Unknown,ビアガーデン,27.0293896,130.5545845
めらる,5,2 か月前,本格的なキャンプが出来る屋上で鍋パ！こたつもあるし、楽しすぎる。〆のラーメンも沁みました！,TERRACE GARDEN 8848,"
〒169-0073 東京都新宿区百人町１丁目１１−２８ 大長今ビル 2F","
080-4172-0688",https://terracegarden8848.com/,"3.9
(187)",Unknown,ビアガーデン,27.0293896,130.5545845
ごたま,4,6 か月前,"🎉雨でも安心！屋上BBQ🎉

都心で、手ぶらでBBQを楽しめるのは新大久保✨💖新大久保駅から徒歩圏内でアクセス抜群！全天候型だから、突然の雨でも安心👌専用テントや開閉式のサンシェードで暑さ対策もバッチリ🌞さらに、荒天時には屋内席に移動できるからスケジュールの心配ナシ💡

手ぶらで楽しむ、贅沢BBQパーティーの2時間飲み放題を楽しみまくってきたよぉ〜🍖🍤

野菜BBQ🥒🍆
ヘルシーな野菜、ナス、カボチャ、玉ねぎ、ズッキーニ、パプリカ😍💚

シーフードBBQ🦐🐚
新鮮なシーフードのエビやホタテは1人1つ食べれるから最高🍤💕

ミートBBQ🍖🍗
カルビ、国産ポーク、地鶏モモ肉で豪華すぎた🍖食べ応え満点！1番おすすめは、柔らかい鶏モモ肉🥩
焼きそばもあってお腹満腹すぎた💫

デザート🍰
BBQの締めくくりは、スポンジケーキ🍮✨

2時間飲み放題メニュー🍹🍺
ビールにカクテル、ハイボールも盛りだくさん🍻💖ソフトドリンクも充実してるから安心✨

BBQだけじゃなく、ダーツ🎯カラオケ🎤ビリヤード🎱も遊び放題！お得な飲み放題プラン付きだから、女子会や飲み会にもピッタリ🥂💕

みんなでワイワイ盛り上がって、心もお腹も大満足したい人はおすすめ🍫🦞😋",TERRACE GARDEN 8848,"
〒169-0073 東京都新宿区百人町１丁目１１−２８ 大長今ビル 2F","
080-4172-0688",https://terracegarden8848.com/,"3.9
(187)",Unknown,ビアガーデン,27.0293896,130.5545845
ごたま,4,6 か月前,"🎉雨でも安心！屋上BBQ🎉

都心で、手ぶらでBBQを楽しめるのは新大久保✨💖新大久保駅から徒歩圏内でアクセス抜群！全天候型だから、突然の雨でも安心👌専用テントや開閉式のサンシェードで暑さ対策もバッチリ🌞さらに、荒天時には屋内席に移動できるからスケジュールの心配ナシ💡

手ぶらで楽しむ、贅沢BBQパーティーの2時間飲み放題を楽しみまくってきたよぉ〜🍖🍤

野菜BBQ🥒🍆
ヘルシーな野菜、ナス、カボチャ、玉ねぎ、ズッキーニ、パプリカ😍💚

シーフードBBQ🦐🐚
新鮮なシーフードのエビやホタテは1人1つ食べれるから最高🍤💕

ミートBBQ🍖🍗
カルビ、国産ポーク、地鶏モモ肉で豪華すぎた🍖食べ応え満点！1番おすすめは、柔らかい鶏モモ肉🥩
焼きそばもあってお腹満腹すぎた💫

デザート🍰
BBQの締めくくりは、スポンジケーキ🍮✨

2時間飲み放題メニュー🍹🍺
ビールにカクテル、ハイボールも盛りだくさん🍻💖ソフトドリンクも充実してるから安心✨

BBQだけじゃなく、ダーツ🎯カラオケ🎤ビリヤード🎱も遊び放題！お得な飲み放題プラン付きだから、女子会や飲み会にもピッタリ🥂💕

みんなでワイワイ盛り上がって、心もお腹も大満足したい人はおすすめ🍫🦞😋",TERRACE GARDEN 8848,"
〒169-0073 東京都新宿区百人町１丁目１１−２８ 大長今ビル 2F","
080-4172-0688",https://terracegarden8848.com/,"3.9
(187)",Unknown,ビアガーデン,27.0293896,130.5545845
神崎美羽,4,6 か月前,"屋上グランピングで手ぶらBBQできるので楽ちん

この日は全14品付きのビアガーデンBBQコースをいただきました！
飲み放題付き
（予約は3名からです）

コース内容は
〈野菜BBQ〉
ナス、カボチャ、コーン、玉ねぎ、ピーマン、ズッキーニ

〈シーフードBBQ〉
エビ、ホタテ

〈ミートBBQ〉
アンガスビーフカルビ、国産ポークカルビ、国産ソーセージ、地鶏モモ肉

〈焼きそば〉
〈本日のデザート〉

この日はあいにくの雨でしたが天候に左右されずBBQ楽しめたのもよかったです！
お天気いい日は都心の景色を一望できるみたい

大人数でも楽しめてビアガーデンとしても利用できるみたいなので用途に合わせて使えそうなお店でおすすめ",TERRACE GARDEN 8848,"
〒169-0073 東京都新宿区百人町１丁目１１−２８ 大長今ビル 2F","
080-4172-0688",https://terracegarden8848.com/,"3.9
(187)",Unknown,ビアガーデン,27.0293896,130.5545845
神崎美羽,4,6 か月前,"屋上グランピングで手ぶらBBQできるので楽ちん

この日は全14品付きのビアガーデンBBQコースをいただきました！
飲み放題付き
（予約は3名からです）

コース内容は
〈野菜BBQ〉
ナス、カボチャ、コーン、玉ねぎ、ピーマン、ズッキーニ

〈シーフードBBQ〉
エビ、ホタテ

〈ミートBBQ〉
アンガスビーフカルビ、国産ポークカルビ、国産ソーセージ、地鶏モモ肉

〈焼きそば〉
〈本日のデザート〉

この日はあいにくの雨でしたが天候に左右されずBBQ楽しめたのもよかったです！
お天気いい日は都心の景色を一望できるみたい

大人数でも楽しめてビアガーデンとしても利用できるみたいなので用途に合わせて使えそうなお店でおすすめ",TERRACE GARDEN 8848,"
〒169-0073 東京都新宿区百人町１丁目１１−２８ 大長今ビル 2F","
080-4172-0688",https://terracegarden8848.com/,"3.9
(187)",Unknown,ビアガーデン,27.0293896,130.5545845
