Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
DiSKe,5,10 か月前,"知り合いに情報もらって来店。お魚系定食ー！と言われたんだけど、麻婆豆腐に。
サラダが別皿でついて、780税別はいいね！
ランチビールもやってます❤️
また来ます。",YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
DiSKe,5,10 か月前,"知り合いに情報もらって来店。お魚系定食ー！と言われたんだけど、麻婆豆腐に。
サラダが別皿でついて、780税別はいいね！
ランチビールもやってます❤️
また来ます。",YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
MADOKA TANAKA,5,7 か月前,友人達と集まりやすい店です。,YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
MADOKA TANAKA,5,7 か月前,友人達と集まりやすい店です。,YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
MaoowL!の何でもチャンネル,5,8 か月前,料理も美味しく、雰囲気がよく、大きなスクリーン付きのカラオケもあるので、貸し切りでパーティーしてもいいですね。,YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
MaoowL!の何でもチャンネル,5,8 か月前,料理も美味しく、雰囲気がよく、大きなスクリーン付きのカラオケもあるので、貸し切りでパーティーしてもいいですね。,YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
Junichi Hibi,5,10 か月前,おまかせコースがとてもお得です！クオリティも高いです。ちょっと変わった外観にだまされないで行ってみてください。,YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
Junichi Hibi,5,10 か月前,おまかせコースがとてもお得です！クオリティも高いです。ちょっと変わった外観にだまされないで行ってみてください。,YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
Ryo.N,5,10 か月前,"おいしい和食屋さん
店内すごく綺麗なので利用目的かなり選べます",YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
Ryo.N,5,10 か月前,"おいしい和食屋さん
店内すごく綺麗なので利用目的かなり選べます",YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
柳和男,5,7 か月前,衛生的で、是非また来たいお店です！,YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
柳和男,5,7 か月前,衛生的で、是非また来たいお店です！,YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
ちゃんたか,5,1 年前,"おすすめの和食のお店♪
美味しかったなぁ…",YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
ちゃんたか,5,1 年前,"おすすめの和食のお店♪
美味しかったなぁ…",YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
pc z,5,7 か月前,このお店は雰囲気も良くて料理も美味しいです,YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
pc z,5,7 か月前,このお店は雰囲気も良くて料理も美味しいです,YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
ichijun sai,5,7 か月前,     7 か月前 オーナーからの返信 7 か月前 この度は「創作居酒屋 YOURS DINING IKEBUKURO」にご来店いただきありがとうございました！  最高評価をいただき、とても嬉しく思います。 … もっと見る,YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
ichijun sai,5,7 か月前,     7 か月前 オーナーからの返信 7 か月前 この度は「創作居酒屋 YOURS DINING IKEBUKURO」にご来店いただきありがとうございました！  最高評価をいただき、とても嬉しく思います。 … もっと見る,YOURS DINING IKEBUKURO,"
〒170-0013 東京都豊島区東池袋１丁目４０−７ TC76ビル 2階","
03-5843-3753",https://tabelog.com/tokyo/A1305/A130501/13291398/,"5.0
(9)",Unknown,居酒屋,35.7291907,139.7224103
