Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
u - u,5,1 年前,落ち着いた場所です。可愛い店員さんとニコニコ笑顔の素敵なマスターがお出迎えしてくれます。私はホッケフライ定食、パパはガリバタチキン定食、小鉢が3種類にお味噌汁、ごはん、野菜たっぷりでした。ホッケフライはサクサクで身は分厚くてホクホク珍しいうえにめちゃくちゃ美味しかったです。パパのガリバタチキンは思ったより野菜がたっぷりチキンもゴロゴロ食べ応え抜群でした！また行きたいと思います,うみとねこ食堂,"
〒115-0045 東京都北区赤羽１丁目５１−４",Unknown,https://twitter.com/umitonekofood,"4.4
(38)",お店やスポットの電話番号を追加する,和食店,35.783066,61.6746517
u - u,5,1 年前,落ち着いた場所です。可愛い店員さんとニコニコ笑顔の素敵なマスターがお出迎えしてくれます。私はホッケフライ定食、パパはガリバタチキン定食、小鉢が3種類にお味噌汁、ごはん、野菜たっぷりでした。ホッケフライはサクサクで身は分厚くてホクホク珍しいうえにめちゃくちゃ美味しかったです。パパのガリバタチキンは思ったより野菜がたっぷりチキンもゴロゴロ食べ応え抜群でした！また行きたいと思います,うみとねこ食堂,"
〒115-0045 東京都北区赤羽１丁目５１−４",Unknown,https://twitter.com/umitonekofood,"4.4
(38)",お店やスポットの電話番号を追加する,和食店,35.783066,61.6746517
季節はカニ,4,1 年前,"赤羽にしては珍しい
カフェのようなごはん屋さん。
女性お一人でも来店しており店内静かで
安心してゆったりと食事できます。
メニューはどれも美味しそうですが
カキフライは注文を受けてから衣をつけます。
と書かれていてミックスフライに決めました。
お酒はキリンラガー中瓶。
揚げたてのフライで頂くビールは格別です。
R&Bが流れる店内でしばらく待つと
カウンター越しに到着。
熱々のフライが7つ乗ってました。
ホッケ3カキフライ3カキクリームコロッケ1
ザクザクとした硬めの衣にウスターソースと
酸味強めの自家製タルタルソースが合います。
お味噌汁の具はサツマイモと油揚げとわかめ。
お揚げが甘いのが特徴的でした。
小鉢は切干大根、ポテサラ、白菜漬けの3つ。
とにかく1品1品がとても丁寧に感じました。
ボリューム満点。ご飯おかわり1杯無料。
食べに来たお客さんに満足してもらいたい
という気持ちがとても伝わる良いお店です。
代金は2,150円。また食べに来たいお店です。",うみとねこ食堂,"
〒115-0045 東京都北区赤羽１丁目５１−４",Unknown,https://twitter.com/umitonekofood,"4.4
(38)",お店やスポットの電話番号を追加する,和食店,35.783066,61.6746517
季節はカニ,4,1 年前,"赤羽にしては珍しい
カフェのようなごはん屋さん。
女性お一人でも来店しており店内静かで
安心してゆったりと食事できます。
メニューはどれも美味しそうですが
カキフライは注文を受けてから衣をつけます。
と書かれていてミックスフライに決めました。
お酒はキリンラガー中瓶。
揚げたてのフライで頂くビールは格別です。
R&Bが流れる店内でしばらく待つと
カウンター越しに到着。
熱々のフライが7つ乗ってました。
ホッケ3カキフライ3カキクリームコロッケ1
ザクザクとした硬めの衣にウスターソースと
酸味強めの自家製タルタルソースが合います。
お味噌汁の具はサツマイモと油揚げとわかめ。
お揚げが甘いのが特徴的でした。
小鉢は切干大根、ポテサラ、白菜漬けの3つ。
とにかく1品1品がとても丁寧に感じました。
ボリューム満点。ご飯おかわり1杯無料。
食べに来たお客さんに満足してもらいたい
という気持ちがとても伝わる良いお店です。
代金は2,150円。また食べに来たいお店です。",うみとねこ食堂,"
〒115-0045 東京都北区赤羽１丁目５１−４",Unknown,https://twitter.com/umitonekofood,"4.4
(38)",お店やスポットの電話番号を追加する,和食店,35.783066,61.6746517
市村一貴,5,1 年前,"赤羽岩淵駅近くの定食屋さん！
ランチで行ってきました！
まだお店ができて新しいみたいで店内とても綺麗です！
悩んだ末注文したのはチキン南蛮定食！
先に出てきたのは小鉢2品と大吟醸の甘酒！
定食に甘酒付いてきたのは初めてだったので、とても印象的でした！美味しい健康的なメニューをというコンセプトなのかなと思いました！そしてメインのチキン南蛮定食は、岩手十文字鶏使用とのことで、絶妙な酸味の濃厚手作りタルタルソースとの相性もバッチリで、ここ最近食べたチキン南蛮でいちばん美味しかったです！
ご飯も粒感や粘り、最高の炊き加減であり、拘られてる点が容易に伺えました！
次は違うメニューも食べてみたいと思います！",うみとねこ食堂,"
〒115-0045 東京都北区赤羽１丁目５１−４",Unknown,https://twitter.com/umitonekofood,"4.4
(38)",お店やスポットの電話番号を追加する,和食店,35.783066,61.6746517
市村一貴,5,1 年前,"赤羽岩淵駅近くの定食屋さん！
ランチで行ってきました！
まだお店ができて新しいみたいで店内とても綺麗です！
悩んだ末注文したのはチキン南蛮定食！
先に出てきたのは小鉢2品と大吟醸の甘酒！
定食に甘酒付いてきたのは初めてだったので、とても印象的でした！美味しい健康的なメニューをというコンセプトなのかなと思いました！そしてメインのチキン南蛮定食は、岩手十文字鶏使用とのことで、絶妙な酸味の濃厚手作りタルタルソースとの相性もバッチリで、ここ最近食べたチキン南蛮でいちばん美味しかったです！
ご飯も粒感や粘り、最高の炊き加減であり、拘られてる点が容易に伺えました！
次は違うメニューも食べてみたいと思います！",うみとねこ食堂,"
〒115-0045 東京都北区赤羽１丁目５１−４",Unknown,https://twitter.com/umitonekofood,"4.4
(38)",お店やスポットの電話番号を追加する,和食店,35.783066,61.6746517
Mihi mihi,5,1 年前,"赤羽岩淵の超有名町中華「大陸」の通りに新しくできた食堂。
夜は居酒屋メニューあります。
店内はカウンターと奥に2人がけテーブルが3つあるのでゆったりできます。
ワンランク、ツーランク上の家庭料理って感じでホントにおいしいです。
ホッとします。
まだ開店したばかりなので、これからメニューが増えていくとのことでした。
楽しみですね。
赤羽駅から歩いて10分くらい、赤羽岩淵駅からはすぐの静かな通りにあります。
ランチもあるようです。

特製レモンサワーとホッケフライが最高に合います。

ここは毎日でも通いたいですね。",うみとねこ食堂,"
〒115-0045 東京都北区赤羽１丁目５１−４",Unknown,https://twitter.com/umitonekofood,"4.4
(38)",お店やスポットの電話番号を追加する,和食店,35.783066,61.6746517
Mihi mihi,5,1 年前,"赤羽岩淵の超有名町中華「大陸」の通りに新しくできた食堂。
夜は居酒屋メニューあります。
店内はカウンターと奥に2人がけテーブルが3つあるのでゆったりできます。
ワンランク、ツーランク上の家庭料理って感じでホントにおいしいです。
ホッとします。
まだ開店したばかりなので、これからメニューが増えていくとのことでした。
楽しみですね。
赤羽駅から歩いて10分くらい、赤羽岩淵駅からはすぐの静かな通りにあります。
ランチもあるようです。

特製レモンサワーとホッケフライが最高に合います。

ここは毎日でも通いたいですね。",うみとねこ食堂,"
〒115-0045 東京都北区赤羽１丁目５１−４",Unknown,https://twitter.com/umitonekofood,"4.4
(38)",お店やスポットの電話番号を追加する,和食店,35.783066,61.6746517
安兵衛,3,1 年前,"ホッケフライ定食いただきました。（¥1,000 paypay使えました。2023.12）

カウンター&テーブル15名程度のお店。ワンオペで切盛りされています。

名物とあったのでホッケフライ定食を注文。数分で提供。フライはカラッと揚がって、身はホクホクの熱々です。付け合わせのサラダや小鉢も3品ついてお買い得感あります。栄養バランスも良さそうな気がします。

麦味噌を使った味噌汁がやや塩辛い。ご飯は炊き立てではありません。",うみとねこ食堂,"
〒115-0045 東京都北区赤羽１丁目５１−４",Unknown,https://twitter.com/umitonekofood,"4.4
(38)",お店やスポットの電話番号を追加する,和食店,35.783066,61.6746517
安兵衛,3,1 年前,"ホッケフライ定食いただきました。（¥1,000 paypay使えました。2023.12）

カウンター&テーブル15名程度のお店。ワンオペで切盛りされています。

名物とあったのでホッケフライ定食を注文。数分で提供。フライはカラッと揚がって、身はホクホクの熱々です。付け合わせのサラダや小鉢も3品ついてお買い得感あります。栄養バランスも良さそうな気がします。

麦味噌を使った味噌汁がやや塩辛い。ご飯は炊き立てではありません。",うみとねこ食堂,"
〒115-0045 東京都北区赤羽１丁目５１−４",Unknown,https://twitter.com/umitonekofood,"4.4
(38)",お店やスポットの電話番号を追加する,和食店,35.783066,61.6746517
