Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
シザーマスター,5,3 か月前,"人気で予約が取りづらいので、何とかテーブル席で予約を入れて頂きました。
旬の魚や、カニ、定番のマグロまで、高級食材を産地にこだわった色々な食を楽しむ事が出来ました。
基本、大将ワンオペで、出てくるペースもゆっくり目なので、お酒を楽しみながら、ゆっくりと食事をたい方に良いお店です。

予算は1人大体20000円〜30000円くらいでしょうか？
また予約が取れれば再訪したいお店です。",おすもじ処 うを徳,"
〒131-0032 東京都墨田区東向島４丁目２４−２６","
050-5487-2063",https://uwotoku.sakura.ne.jp/,"4.6
(100)",Unknown,寿司店,35.717968,139.7601165
シザーマスター,5,3 か月前,"人気で予約が取りづらいので、何とかテーブル席で予約を入れて頂きました。
旬の魚や、カニ、定番のマグロまで、高級食材を産地にこだわった色々な食を楽しむ事が出来ました。
基本、大将ワンオペで、出てくるペースもゆっくり目なので、お酒を楽しみながら、ゆっくりと食事をたい方に良いお店です。

予算は1人大体20000円〜30000円くらいでしょうか？
また予約が取れれば再訪したいお店です。",おすもじ処 うを徳,"
〒131-0032 東京都墨田区東向島４丁目２４−２６","
050-5487-2063",https://uwotoku.sakura.ne.jp/,"4.6
(100)",Unknown,寿司店,35.717968,139.7601165
勝呂ゆう,5,5 か月前,"【東向島】

すきなお寿司屋さんの一つ
握りももちろんですが
一品料理が至極。京料理出身でしょうか？
優しい上品な味わいでこのみでした！

３時間ほどかかるのでその点のみ注意。",おすもじ処 うを徳,"
〒131-0032 東京都墨田区東向島４丁目２４−２６","
050-5487-2063",https://uwotoku.sakura.ne.jp/,"4.6
(100)",Unknown,寿司店,35.717968,139.7601165
勝呂ゆう,5,5 か月前,"【東向島】

すきなお寿司屋さんの一つ
握りももちろんですが
一品料理が至極。京料理出身でしょうか？
優しい上品な味わいでこのみでした！

３時間ほどかかるのでその点のみ注意。",おすもじ処 うを徳,"
〒131-0032 東京都墨田区東向島４丁目２４−２６","
050-5487-2063",https://uwotoku.sakura.ne.jp/,"4.6
(100)",Unknown,寿司店,35.717968,139.7601165
Biffy K,5,2 か月前,"口に入れた瞬間に全身が喜ぶお料理。寡黙ながらチャーミングなお人柄の大将は、京料理ベースに研究を重ねられた様々な調理方法と絶妙な味付けで、その時手に入る最高のお魚の旨味を引き出しきって、次は何が出るのだろうとわくわくさせてくれるコースを提供してくださいます。
3時間超かけて全力で向き合う食事という名のセッションのような楽しみがあって、これ以上のご褒美はないという気持ちを行くたびに頂いています。
シャリもネタも結構しっかり目の大きさなので、かなりおなかははち切れそうになりますので、うを徳さんへお邪魔する日は、その日の食事が1食になります笑",おすもじ処 うを徳,"
〒131-0032 東京都墨田区東向島４丁目２４−２６","
050-5487-2063",https://uwotoku.sakura.ne.jp/,"4.6
(100)",Unknown,寿司店,35.717968,139.7601165
Biffy K,5,2 か月前,"口に入れた瞬間に全身が喜ぶお料理。寡黙ながらチャーミングなお人柄の大将は、京料理ベースに研究を重ねられた様々な調理方法と絶妙な味付けで、その時手に入る最高のお魚の旨味を引き出しきって、次は何が出るのだろうとわくわくさせてくれるコースを提供してくださいます。
3時間超かけて全力で向き合う食事という名のセッションのような楽しみがあって、これ以上のご褒美はないという気持ちを行くたびに頂いています。
シャリもネタも結構しっかり目の大きさなので、かなりおなかははち切れそうになりますので、うを徳さんへお邪魔する日は、その日の食事が1食になります笑",おすもじ処 うを徳,"
〒131-0032 東京都墨田区東向島４丁目２４−２６","
050-5487-2063",https://uwotoku.sakura.ne.jp/,"4.6
(100)",Unknown,寿司店,35.717968,139.7601165
さとうさとう,5,1 年前,"駅から少し歩いた路地にあるこじんまりとした店構え。
店内はアットホームながら雰囲気がある。
前菜、お寿司と選りすぐりのネタにひと手間加えた品々に感動。
特にうなぎが美味しかったです。
サクフワのうなぎは今まで食べた中で最高でした。
ごちそうさまです！",おすもじ処 うを徳,"
〒131-0032 東京都墨田区東向島４丁目２４−２６","
050-5487-2063",https://uwotoku.sakura.ne.jp/,"4.6
(100)",Unknown,寿司店,35.717968,139.7601165
さとうさとう,5,1 年前,"駅から少し歩いた路地にあるこじんまりとした店構え。
店内はアットホームながら雰囲気がある。
前菜、お寿司と選りすぐりのネタにひと手間加えた品々に感動。
特にうなぎが美味しかったです。
サクフワのうなぎは今まで食べた中で最高でした。
ごちそうさまです！",おすもじ処 うを徳,"
〒131-0032 東京都墨田区東向島４丁目２４−２６","
050-5487-2063",https://uwotoku.sakura.ne.jp/,"4.6
(100)",Unknown,寿司店,35.717968,139.7601165
たかモン,5,2 年前,"東向島駅から徒歩数分のところにある老舗のお寿司屋さん。
創業は60年近く前で、今の大将は三代目らしい。

家からまあまあ近いので平日の夜にふらっと行ってきました。
直前でも予約の取れるいいお店です。

外観はザ老舗。
入ったらザ老舗。
靴脱ぎます。座敷です。掘りごたつ的な深くなっているカウンター席に座ります。
一応座敷にテーブルも置いてあるけど使われているのかは不明。
老舗というよりもおばあちゃんちって印象です。
カウンターは4席のみという、ちょっと異質な空間なので雰囲気としては好みが分かれそう。
知り合い4人だったら楽しいだろうし常連さんが多いイメージです。

おまかせコース22,000円をいただきました。

つまみが8品出てきます。
8品というと多そうだけどお刺身とかカラスミとかお酒のアテ的なやつをちょこちょこと出してくれます。
それでも手が込んでいるものが多くて唯一無二の独創性も感じます。
蟹とジュンサイの茶わん蒸し美味しかった。

そこから握りで、13貫。あとうな丼。
握りもしっかり出てくるのが嬉しいです。
あとウナギが関西風でパリッと地焼きされているのもかなり良かった。

シャリは芯が立ってるタイプで結構好き。
ネタも時々驚くほど良いネタがあります。
この日は超特大ボタンエビとトリ貝が素晴らしかった。
イワシの酢締めも旨味が引き出されていて美味しかったです。
この内容で2万円ちょっとはお値打ちです。
でも王道のきれいな江戸前寿司を期待する人はちょっと違うかも。

そして最後デザートおしゃれすぎたw
フレンチみたいで空間とのギャップえぐい。

かなりこじんまり空間なので家の近くにあって常連になったらかなり楽しそうやなと思いますな。",おすもじ処 うを徳,"
〒131-0032 東京都墨田区東向島４丁目２４−２６","
050-5487-2063",https://uwotoku.sakura.ne.jp/,"4.6
(100)",Unknown,寿司店,35.717968,139.7601165
たかモン,5,2 年前,"東向島駅から徒歩数分のところにある老舗のお寿司屋さん。
創業は60年近く前で、今の大将は三代目らしい。

家からまあまあ近いので平日の夜にふらっと行ってきました。
直前でも予約の取れるいいお店です。

外観はザ老舗。
入ったらザ老舗。
靴脱ぎます。座敷です。掘りごたつ的な深くなっているカウンター席に座ります。
一応座敷にテーブルも置いてあるけど使われているのかは不明。
老舗というよりもおばあちゃんちって印象です。
カウンターは4席のみという、ちょっと異質な空間なので雰囲気としては好みが分かれそう。
知り合い4人だったら楽しいだろうし常連さんが多いイメージです。

おまかせコース22,000円をいただきました。

つまみが8品出てきます。
8品というと多そうだけどお刺身とかカラスミとかお酒のアテ的なやつをちょこちょこと出してくれます。
それでも手が込んでいるものが多くて唯一無二の独創性も感じます。
蟹とジュンサイの茶わん蒸し美味しかった。

そこから握りで、13貫。あとうな丼。
握りもしっかり出てくるのが嬉しいです。
あとウナギが関西風でパリッと地焼きされているのもかなり良かった。

シャリは芯が立ってるタイプで結構好き。
ネタも時々驚くほど良いネタがあります。
この日は超特大ボタンエビとトリ貝が素晴らしかった。
イワシの酢締めも旨味が引き出されていて美味しかったです。
この内容で2万円ちょっとはお値打ちです。
でも王道のきれいな江戸前寿司を期待する人はちょっと違うかも。

そして最後デザートおしゃれすぎたw
フレンチみたいで空間とのギャップえぐい。

かなりこじんまり空間なので家の近くにあって常連になったらかなり楽しそうやなと思いますな。",おすもじ処 うを徳,"
〒131-0032 東京都墨田区東向島４丁目２４−２６","
050-5487-2063",https://uwotoku.sakura.ne.jp/,"4.6
(100)",Unknown,寿司店,35.717968,139.7601165
西山雄也,5,1 年前,"東向島のオアシス。最高の料理をゆっくり少しずつ出してくれるお店。文句なし。
トロ、イカ、サヨリ、ヒラメ、アンコウ、ウニ、イワシ、カニ等々、、、どれも最高の味。
一見無愛想に見える店主だが、お客様ではなく名前で呼んでくれて気さく。
味と満足度で勝負してくれる信頼のおける店。
お腹の具合を確認して追加や調整をしてくれるホスピタリティ。
満足&満腹。リピート必至！",おすもじ処 うを徳,"
〒131-0032 東京都墨田区東向島４丁目２４−２６","
050-5487-2063",https://uwotoku.sakura.ne.jp/,"4.6
(100)",Unknown,寿司店,35.717968,139.7601165
西山雄也,5,1 年前,"東向島のオアシス。最高の料理をゆっくり少しずつ出してくれるお店。文句なし。
トロ、イカ、サヨリ、ヒラメ、アンコウ、ウニ、イワシ、カニ等々、、、どれも最高の味。
一見無愛想に見える店主だが、お客様ではなく名前で呼んでくれて気さく。
味と満足度で勝負してくれる信頼のおける店。
お腹の具合を確認して追加や調整をしてくれるホスピタリティ。
満足&満腹。リピート必至！",おすもじ処 うを徳,"
〒131-0032 東京都墨田区東向島４丁目２４−２６","
050-5487-2063",https://uwotoku.sakura.ne.jp/,"4.6
(100)",Unknown,寿司店,35.717968,139.7601165
akimustang,5,3 年前,"約2ヶ月ぶりに東向島にある「うを徳」へグルメ友人と二人で行ってきました♪

相変わらず素晴らしい料理の数々で、12時から15時30分までとたっぷり3時間30分楽しめましたね♪

カウンター席のみで、今回は5人でした。

店内は冬なので2つのストーブで温められ、静かにジャズが流れていましたね♪

今回ドリンクは以下の2つを楽しみ、お酒と料理も合って良かったです♪
大七生酛純米は若干辛口でしょうか。

☆生ビール880円税込
☆大七生酛純米(福島)冷蔵990円税込

そして次々と以下が運ばれます♪

特に明石の真鯛や塩釜の生の本マグロ、島根県隠岐の松葉ガニが素晴らしかったですね♪

☆五島列島の赤いクエあら鯛
☆菜の花・本マグロ中トロ湯引き、宍道湖白魚、小柱、酢味噌和え
☆琵琶湖鮎の白子の氷魚、岩手の香茸
☆ベルモット(リキュール)ソース　ウド、ニンジン、ヒラメの出汁、バター、余市の鮟肝、長崎の髭ダラの西京漬け、サロマ湖の牡蠣のバターソース
☆今年のレアなカラスミ、捧げ豆のおこわと
☆明石の真鯛3.5kgの刺身と根室の落石のバフンウニ
☆島根県隠岐の松葉ガニと真鯛のしゃぶしゃぶ

以下からお鮨など♪
☆塩釜の生の本マグロ大トロ
☆長崎の髭ダラ昆布締め
☆塩釜の生の本マグロ中トロ
☆カニ身・カニ味噌丼
☆白味噌カニのお汁
☆天草のコハダ
☆塩釜の生の本マグロ赤身
☆北海道野付の小柱
☆生に近いタラの白子
☆浜名湖のうなぎ
☆追加でトロたく
☆追加で真鯛塩・レモン
☆追加で苫小牧の北寄貝
☆黒豆・佐賀ほのかイチゴ・熊本木の静かイチゴなど自家製アイスクリーム

締めて24,700円税込で大満足な内容でした♪

それから、お年賀ということで焼き海苔も頂けたのはとても嬉しかったですね♪

うを徳は、旬の美味しいツマミやお鮨を頂けとてもオススメです！",おすもじ処 うを徳,"
〒131-0032 東京都墨田区東向島４丁目２４−２６","
050-5487-2063",https://uwotoku.sakura.ne.jp/,"4.6
(100)",Unknown,寿司店,35.717968,139.7601165
