Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
かっちゃん（かっちゃん）,4,6 か月前,"友人の退院祝いで、大森駅から近くて、落ち着けるお洒落なお店を探していて、見つけました。
名前の通り、野菜メインの創作料理のお店ですが、拘りを感じるメニュー、ポリシーを持って提供される職人技の料理人の素敵さも、味わうことが出来ました。
お腹を空かせて行けば、前菜から〆まで味わえると思います。
私が食べた中でも、青トマトの食感と、塩やジュレをつけて食べる味の変化にも感動。
ポテトサラダは、それぞれの素材を生かして、単品でも、あわせて食べても美味しく酒の肴にも。
メンチもソース要らずで、しっかり味がついていて、美味しかったです。
赤ワインとの相性もピッタリ。
至福の時間を堪能出来ました。
大森ですが、西麻布や広尾辺りで食事しているような感覚も最高でした。
オーナー、シェフ、ご馳走さまでした。
また、お邪魔させていただきます。",お野菜料理専門店 活菜やちまき,"
〒143-0016 東京都大田区大森北１丁目３８−１","
03-6673-4980",http://chimaki.ne.jp/,"4.5
(123)",Unknown,〒143-0016 東京都大田区大森北１丁目３８−１,35.5746986,139.6513403
かっちゃん（かっちゃん）,4,6 か月前,"友人の退院祝いで、大森駅から近くて、落ち着けるお洒落なお店を探していて、見つけました。
名前の通り、野菜メインの創作料理のお店ですが、拘りを感じるメニュー、ポリシーを持って提供される職人技の料理人の素敵さも、味わうことが出来ました。
お腹を空かせて行けば、前菜から〆まで味わえると思います。
私が食べた中でも、青トマトの食感と、塩やジュレをつけて食べる味の変化にも感動。
ポテトサラダは、それぞれの素材を生かして、単品でも、あわせて食べても美味しく酒の肴にも。
メンチもソース要らずで、しっかり味がついていて、美味しかったです。
赤ワインとの相性もピッタリ。
至福の時間を堪能出来ました。
大森ですが、西麻布や広尾辺りで食事しているような感覚も最高でした。
オーナー、シェフ、ご馳走さまでした。
また、お邪魔させていただきます。",お野菜料理専門店 活菜やちまき,"
〒143-0016 東京都大田区大森北１丁目３８−１","
03-6673-4980",http://chimaki.ne.jp/,"4.5
(123)",Unknown,〒143-0016 東京都大田区大森北１丁目３８−１,35.5746986,139.6513403
さぼてん,5,1 か月前,"元同僚が以前から大森に美味しい野菜料理のお店があるんだよと会うたびに熱く語っていたので、とても気になっていたお店です。
一言で言ってしまうと元同僚よ、このお店を教えてくれてありがとう。女性だけでも入りやすく、気さくなお店でした。こんなに野菜を美味しく食べさせてくれるお店があるんだと感動。旬の野菜の旨みをそのままシンプルに食べるものもあれば、自家製のソイネーズをつけて更に箸が止まらない美味しさに。そして今までお目にかかったことがないポテトサラダや具羅堪（グラタン）など驚きの連続。季節ごとに旬の野菜でメニューが変わるそうなので、楽しみ増してまた足を運びたくなるお店です。",お野菜料理専門店 活菜やちまき,"
〒143-0016 東京都大田区大森北１丁目３８−１","
03-6673-4980",http://chimaki.ne.jp/,"4.5
(123)",Unknown,〒143-0016 東京都大田区大森北１丁目３８−１,35.5746986,139.6513403
さぼてん,5,1 か月前,"元同僚が以前から大森に美味しい野菜料理のお店があるんだよと会うたびに熱く語っていたので、とても気になっていたお店です。
一言で言ってしまうと元同僚よ、このお店を教えてくれてありがとう。女性だけでも入りやすく、気さくなお店でした。こんなに野菜を美味しく食べさせてくれるお店があるんだと感動。旬の野菜の旨みをそのままシンプルに食べるものもあれば、自家製のソイネーズをつけて更に箸が止まらない美味しさに。そして今までお目にかかったことがないポテトサラダや具羅堪（グラタン）など驚きの連続。季節ごとに旬の野菜でメニューが変わるそうなので、楽しみ増してまた足を運びたくなるお店です。",お野菜料理専門店 活菜やちまき,"
〒143-0016 東京都大田区大森北１丁目３８−１","
03-6673-4980",http://chimaki.ne.jp/,"4.5
(123)",Unknown,〒143-0016 東京都大田区大森北１丁目３８−１,35.5746986,139.6513403
bon moment,4,2 年前,"外食でも美味しい野菜がたくさん食べられて満足感ヘルシー感いっぱい(^-^)。
色々説明してくださるので、どれも美味しそうで迷ってしまいますが、結局どれも美味しい💕。
個人的には春菊の天ぷら茶漬けとサツマイモのスープ（甘くてデザート感ありです）が美味しかったです。
春夏秋冬で内容も変わるようなので、1年中季節を感じられて良さそう。
季節が変わるのが楽しみです♪。",お野菜料理専門店 活菜やちまき,"
〒143-0016 東京都大田区大森北１丁目３８−１","
03-6673-4980",http://chimaki.ne.jp/,"4.5
(123)",Unknown,〒143-0016 東京都大田区大森北１丁目３８−１,35.5746986,139.6513403
bon moment,4,2 年前,"外食でも美味しい野菜がたくさん食べられて満足感ヘルシー感いっぱい(^-^)。
色々説明してくださるので、どれも美味しそうで迷ってしまいますが、結局どれも美味しい💕。
個人的には春菊の天ぷら茶漬けとサツマイモのスープ（甘くてデザート感ありです）が美味しかったです。
春夏秋冬で内容も変わるようなので、1年中季節を感じられて良さそう。
季節が変わるのが楽しみです♪。",お野菜料理専門店 活菜やちまき,"
〒143-0016 東京都大田区大森北１丁目３８−１","
03-6673-4980",http://chimaki.ne.jp/,"4.5
(123)",Unknown,〒143-0016 東京都大田区大森北１丁目３８−１,35.5746986,139.6513403
ハギコーキ,1,1 週間前,"飯はそれなりに美味しいのに接客態度が最悪でガッカリしました。カップルで行ったのですが、カウンター接客の従業員が自分の仕事を馬鹿にするわマウント取ってくる。しまいには自分の連れの女性をナンパしてくる始末。従業員の男が公私混同してて勘違いしてるような接客態度でした。

もう２度と行かないし、周りの友達にも絶対に勧めません。",お野菜料理専門店 活菜やちまき,"
〒143-0016 東京都大田区大森北１丁目３８−１","
03-6673-4980",http://chimaki.ne.jp/,"4.5
(123)",Unknown,〒143-0016 東京都大田区大森北１丁目３８−１,35.5746986,139.6513403
ハギコーキ,1,1 週間前,"飯はそれなりに美味しいのに接客態度が最悪でガッカリしました。カップルで行ったのですが、カウンター接客の従業員が自分の仕事を馬鹿にするわマウント取ってくる。しまいには自分の連れの女性をナンパしてくる始末。従業員の男が公私混同してて勘違いしてるような接客態度でした。

もう２度と行かないし、周りの友達にも絶対に勧めません。",お野菜料理専門店 活菜やちまき,"
〒143-0016 東京都大田区大森北１丁目３８−１","
03-6673-4980",http://chimaki.ne.jp/,"4.5
(123)",Unknown,〒143-0016 東京都大田区大森北１丁目３８−１,35.5746986,139.6513403
Satoko Tozawa,5,1 年前,"落ち着いた雰囲気で旬のお野菜を楽しめる、大好きなお店です。ご褒美ディナーとしていつも行かせていただいてます(^^)

季節ごとにメニューが変わるので、お料理の説明を聞いてどれにするか選ぶのも楽しいです！
毎回頼むのはポテトサラダと坦々麺ですが、何度食べても感動するほど本当においしいです(*^^*)

お店の方も気さくなので、会話しながらお野菜の料理を楽しみたい方にはピッタリのお店なんじゃないかなと思います！",お野菜料理専門店 活菜やちまき,"
〒143-0016 東京都大田区大森北１丁目３８−１","
03-6673-4980",http://chimaki.ne.jp/,"4.5
(123)",Unknown,〒143-0016 東京都大田区大森北１丁目３８−１,35.5746986,139.6513403
Satoko Tozawa,5,1 年前,"落ち着いた雰囲気で旬のお野菜を楽しめる、大好きなお店です。ご褒美ディナーとしていつも行かせていただいてます(^^)

季節ごとにメニューが変わるので、お料理の説明を聞いてどれにするか選ぶのも楽しいです！
毎回頼むのはポテトサラダと坦々麺ですが、何度食べても感動するほど本当においしいです(*^^*)

お店の方も気さくなので、会話しながらお野菜の料理を楽しみたい方にはピッタリのお店なんじゃないかなと思います！",お野菜料理専門店 活菜やちまき,"
〒143-0016 東京都大田区大森北１丁目３８−１","
03-6673-4980",http://chimaki.ne.jp/,"4.5
(123)",Unknown,〒143-0016 東京都大田区大森北１丁目３８−１,35.5746986,139.6513403
