Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
s ss,5,2 か月前,"平日18時に予約して行きました
食べログを見るとコース推しでしたが席だけで予約

お店の方に聞いてみると コースはオープンキャンペーンでお得に提供しているみたいです

注文はタブレットでしたが丁寧に操作方法を教えて頂けるので年配の方でも安心です。
食べたいものが決まっていたので割高ではありますが単品で注文させて頂きました。
かに刺し、かにグラタン、かに味噌、タラバのステーキ、かにしゃぶ鍋、しめにうどんと卵を注文しました
全て絶品でしたが、個人的なおすすめですと かに味噌とタラバステーキはアテとして一生お酒が飲めそうです♪

タラバステーキは写真で伝わらないのが残念なくらい迫力あります。思っていたよりデカ！と声を出してしまいました。付け合せのソテーはどこにでもあるぼんやりとしたバターのソテーなのかな、と思っていたらとっても美味しいスパイスがかかっていました···！このスパイスでお酒が飲めます。···スパイスは購入可能ですか？

また席は、全ての席がボックス席だったので 隣の会話が気になることなくお食事が楽しめました！",かに伍寅,"
〒171-0014 東京都豊島区池袋２丁目４０−１ 第2シャンボールビル B1","
03-6709-1244",https://tabelog.com/tokyo/A1305/A130501/13275116/,"4.5
(24)",Unknown,かに料理店,35.7339151,139.6986636
s ss,5,2 か月前,"平日18時に予約して行きました
食べログを見るとコース推しでしたが席だけで予約

お店の方に聞いてみると コースはオープンキャンペーンでお得に提供しているみたいです

注文はタブレットでしたが丁寧に操作方法を教えて頂けるので年配の方でも安心です。
食べたいものが決まっていたので割高ではありますが単品で注文させて頂きました。
かに刺し、かにグラタン、かに味噌、タラバのステーキ、かにしゃぶ鍋、しめにうどんと卵を注文しました
全て絶品でしたが、個人的なおすすめですと かに味噌とタラバステーキはアテとして一生お酒が飲めそうです♪

タラバステーキは写真で伝わらないのが残念なくらい迫力あります。思っていたよりデカ！と声を出してしまいました。付け合せのソテーはどこにでもあるぼんやりとしたバターのソテーなのかな、と思っていたらとっても美味しいスパイスがかかっていました···！このスパイスでお酒が飲めます。···スパイスは購入可能ですか？

また席は、全ての席がボックス席だったので 隣の会話が気になることなくお食事が楽しめました！",かに伍寅,"
〒171-0014 東京都豊島区池袋２丁目４０−１ 第2シャンボールビル B1","
03-6709-1244",https://tabelog.com/tokyo/A1305/A130501/13275116/,"4.5
(24)",Unknown,かに料理店,35.7339151,139.6986636
吉原未歩,5,3 週間前,"初めて伺いました。
全部食べやすく、スムーズに食べることができました。
焼き蟹もとても美味しかったです。

お肉のしゃぶしゃぶもあったので、飽きずにずっと食べられました。
店員さんもとても親切でした。
また伺いたいです。",かに伍寅,"
〒171-0014 東京都豊島区池袋２丁目４０−１ 第2シャンボールビル B1","
03-6709-1244",https://tabelog.com/tokyo/A1305/A130501/13275116/,"4.5
(24)",Unknown,かに料理店,35.7339151,139.6986636
吉原未歩,5,3 週間前,"初めて伺いました。
全部食べやすく、スムーズに食べることができました。
焼き蟹もとても美味しかったです。

お肉のしゃぶしゃぶもあったので、飽きずにずっと食べられました。
店員さんもとても親切でした。
また伺いたいです。",かに伍寅,"
〒171-0014 東京都豊島区池袋２丁目４０−１ 第2シャンボールビル B1","
03-6709-1244",https://tabelog.com/tokyo/A1305/A130501/13275116/,"4.5
(24)",Unknown,かに料理店,35.7339151,139.6986636
高木泰之,5,2 か月前,"オープン記念価格ですがカニ鍋コース3980円は本当にお得でした。
蟹の身もぎっしりで身も甘く満足度が高いです。
本来6980円とのことですが、適正価格なのかと思います。
ビールが選べる飲み放題は1980円でした。",かに伍寅,"
〒171-0014 東京都豊島区池袋２丁目４０−１ 第2シャンボールビル B1","
03-6709-1244",https://tabelog.com/tokyo/A1305/A130501/13275116/,"4.5
(24)",Unknown,かに料理店,35.7339151,139.6986636
高木泰之,5,2 か月前,"オープン記念価格ですがカニ鍋コース3980円は本当にお得でした。
蟹の身もぎっしりで身も甘く満足度が高いです。
本来6980円とのことですが、適正価格なのかと思います。
ビールが選べる飲み放題は1980円でした。",かに伍寅,"
〒171-0014 東京都豊島区池袋２丁目４０−１ 第2シャンボールビル B1","
03-6709-1244",https://tabelog.com/tokyo/A1305/A130501/13275116/,"4.5
(24)",Unknown,かに料理店,35.7339151,139.6986636
真田駿,5,2 か月前,"カニの鍋が最高に美味しく接客でもカニを食べ慣れていない人に対するサービスが良く人当たりもすごく良かったのでまたぜひリピートして使いたいと思っています。
房総ポークという豚肉を使っており鍋に入れてもアクが出づらくさっぱりした味わいでとても美味しかったです！",かに伍寅,"
〒171-0014 東京都豊島区池袋２丁目４０−１ 第2シャンボールビル B1","
03-6709-1244",https://tabelog.com/tokyo/A1305/A130501/13275116/,"4.5
(24)",Unknown,かに料理店,35.7339151,139.6986636
真田駿,5,2 か月前,"カニの鍋が最高に美味しく接客でもカニを食べ慣れていない人に対するサービスが良く人当たりもすごく良かったのでまたぜひリピートして使いたいと思っています。
房総ポークという豚肉を使っており鍋に入れてもアクが出づらくさっぱりした味わいでとても美味しかったです！",かに伍寅,"
〒171-0014 東京都豊島区池袋２丁目４０−１ 第2シャンボールビル B1","
03-6709-1244",https://tabelog.com/tokyo/A1305/A130501/13275116/,"4.5
(24)",Unknown,かに料理店,35.7339151,139.6986636
渡邊美紅,5,2 か月前,"かにの鍋のだしがとても美味しくさっぱりした味わいで食べやすすぎました！
色々な種類もあり締めの雑炊がとても落ち着く味でした！
特にかにの茶碗蒸しと焼売が絶品でした！",かに伍寅,"
〒171-0014 東京都豊島区池袋２丁目４０−１ 第2シャンボールビル B1","
03-6709-1244",https://tabelog.com/tokyo/A1305/A130501/13275116/,"4.5
(24)",Unknown,かに料理店,35.7339151,139.6986636
渡邊美紅,5,2 か月前,"かにの鍋のだしがとても美味しくさっぱりした味わいで食べやすすぎました！
色々な種類もあり締めの雑炊がとても落ち着く味でした！
特にかにの茶碗蒸しと焼売が絶品でした！",かに伍寅,"
〒171-0014 東京都豊島区池袋２丁目４０−１ 第2シャンボールビル B1","
03-6709-1244",https://tabelog.com/tokyo/A1305/A130501/13275116/,"4.5
(24)",Unknown,かに料理店,35.7339151,139.6986636
