Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
はっか,5,1 か月前,"料理もお酒も美味しかったです。
店内の雰囲気も◯
ただ、手書きメニューが達筆すぎて読み辛かったです。(特に値段)
裏メニュー？的なのも多そうなので、店員さんにおすすめ等を伺ったほうが良さそうです。

お酒の種類も多く、食べてみたいものも多いのでまた伺います！",こけら,"
〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102","
03-3413-3231",https://tabelog.com/tokyo/A1318/A131802/13114304/,"4.2
(301)",Unknown,〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102,35.6829628,139.6445181
はっか,5,1 か月前,"料理もお酒も美味しかったです。
店内の雰囲気も◯
ただ、手書きメニューが達筆すぎて読み辛かったです。(特に値段)
裏メニュー？的なのも多そうなので、店員さんにおすすめ等を伺ったほうが良さそうです。

お酒の種類も多く、食べてみたいものも多いのでまた伺います！",こけら,"
〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102","
03-3413-3231",https://tabelog.com/tokyo/A1318/A131802/13114304/,"4.2
(301)",Unknown,〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102,35.6829628,139.6445181
Harumi Ueda,4,1 か月前,"シモキタ重鎮マダムw？！のおすすめで秋に初めて伺い、とても良かったので忘年会、そして送別飲み会にと続けて来てます🐟️
魚料理がとっても美味しいけどたくさんある一品料理もよきよき👍
人気店につき、予約した方がよいのと2時間制です（いつもかどうかは不明）
グループで予約の場合、刺身を一人前ずつ盛りで出してもらうのがとても良いですね〜新鮮なお魚をたっぷりいただけます
案外ハムカツも美味しくてまたしばらくしたら行きたくなるかも",こけら,"
〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102","
03-3413-3231",https://tabelog.com/tokyo/A1318/A131802/13114304/,"4.2
(301)",Unknown,〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102,35.6829628,139.6445181
Harumi Ueda,4,1 か月前,"シモキタ重鎮マダムw？！のおすすめで秋に初めて伺い、とても良かったので忘年会、そして送別飲み会にと続けて来てます🐟️
魚料理がとっても美味しいけどたくさんある一品料理もよきよき👍
人気店につき、予約した方がよいのと2時間制です（いつもかどうかは不明）
グループで予約の場合、刺身を一人前ずつ盛りで出してもらうのがとても良いですね〜新鮮なお魚をたっぷりいただけます
案外ハムカツも美味しくてまたしばらくしたら行きたくなるかも",こけら,"
〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102","
03-3413-3231",https://tabelog.com/tokyo/A1318/A131802/13114304/,"4.2
(301)",Unknown,〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102,35.6829628,139.6445181
뽀시래기,5,2 か月前,"下北沢に初めて覚えているのですが、最高の食堂を見つけることができてとても満足な旅行になりました。 韓国人ですが、難しいメニューにも親切な店員さんのおかげで、おすすめのメニューでうまく注文できました。 特に生エビがとてもおいしかったです。 人生車海老。🦐もし東京に戻ったらこの生エビを食べるためです。
ありがとうございます☺️🫶🏻",こけら,"
〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102","
03-3413-3231",https://tabelog.com/tokyo/A1318/A131802/13114304/,"4.2
(301)",Unknown,〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102,35.6829628,139.6445181
뽀시래기,5,2 か月前,"下北沢に初めて覚えているのですが、最高の食堂を見つけることができてとても満足な旅行になりました。 韓国人ですが、難しいメニューにも親切な店員さんのおかげで、おすすめのメニューでうまく注文できました。 特に生エビがとてもおいしかったです。 人生車海老。🦐もし東京に戻ったらこの生エビを食べるためです。
ありがとうございます☺️🫶🏻",こけら,"
〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102","
03-3413-3231",https://tabelog.com/tokyo/A1318/A131802/13114304/,"4.2
(301)",Unknown,〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102,35.6829628,139.6445181
ポンたぬき,4,5 か月前,"そういえば、下北沢って、初めて降りるかも。

先輩と一緒に来訪。
なかなか鮮度の良さを表現できている海鮮系のお店も無かったので、レベル高いなぁと感心。

全体的に魅せ方、メニューのラインナップの幅広さが上手な老舗。
すこーしお高めですが充分満足できる。

席が時間制じゃ無かったら飲みすぎてたかも！
日本酒の種類も豊富でグッド！

メニューはめちゃくちゃ達筆で読みにくいです笑

また来ます。",こけら,"
〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102","
03-3413-3231",https://tabelog.com/tokyo/A1318/A131802/13114304/,"4.2
(301)",Unknown,〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102,35.6829628,139.6445181
ポンたぬき,4,5 か月前,"そういえば、下北沢って、初めて降りるかも。

先輩と一緒に来訪。
なかなか鮮度の良さを表現できている海鮮系のお店も無かったので、レベル高いなぁと感心。

全体的に魅せ方、メニューのラインナップの幅広さが上手な老舗。
すこーしお高めですが充分満足できる。

席が時間制じゃ無かったら飲みすぎてたかも！
日本酒の種類も豊富でグッド！

メニューはめちゃくちゃ達筆で読みにくいです笑

また来ます。",こけら,"
〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102","
03-3413-3231",https://tabelog.com/tokyo/A1318/A131802/13114304/,"4.2
(301)",Unknown,〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102,35.6829628,139.6445181
マリンキッカー1,5,4 か月前,"こちら下北沢にある和食系のお店。
コースで頼みましたがどれもこれも美味しい
お酒もいろいろな種類があってとても良いと思います。平日木曜日に行ったのですがすぐに満席になりました。多分予約してから行った方が席に落ち着いて入れると思いました。",こけら,"
〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102","
03-3413-3231",https://tabelog.com/tokyo/A1318/A131802/13114304/,"4.2
(301)",Unknown,〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102,35.6829628,139.6445181
マリンキッカー1,5,4 か月前,"こちら下北沢にある和食系のお店。
コースで頼みましたがどれもこれも美味しい
お酒もいろいろな種類があってとても良いと思います。平日木曜日に行ったのですがすぐに満席になりました。多分予約してから行った方が席に落ち着いて入れると思いました。",こけら,"
〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102","
03-3413-3231",https://tabelog.com/tokyo/A1318/A131802/13114304/,"4.2
(301)",Unknown,〒155-0031 東京都世田谷区北沢２丁目３−１２ 友和ビル 102,35.6829628,139.6445181
