Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
安藤結香（あんとん）,5,3 週間前,"たまたま寄った道の駅でしたが、オススメの海鮮丼とカレイの唐揚げ定食を頼みました。

海鮮丼は、醤油の味が濃すぎずに、海鮮の味を引き立てていました。あと、こういうところで付いてくる小鉢は既製品な味付けですが、ひじきが優しい味付けで、梅干しもはちみつ漬けの美味しいやつで小さな感動でした。
海鮮は臭みもなくとても良かったです。

カレイの唐揚げは厚みがしっかりあり、揚げたてサクサク。酢ダレとの相性も抜群！
外国人で味噌汁や小鉢に馴染みのない相方が、梅干し以外の全てを完食していていました。",ごゑん,"
〒699-0902 島根県出雲市多伎町多岐１３５−１","
0853-86-3008",http://www.kirara-taki.co.jp/goen/,"3.7
(282)",Unknown,海鮮丼専門店,35.2907828,132.6324756
安藤結香（あんとん）,5,3 週間前,"たまたま寄った道の駅でしたが、オススメの海鮮丼とカレイの唐揚げ定食を頼みました。

海鮮丼は、醤油の味が濃すぎずに、海鮮の味を引き立てていました。あと、こういうところで付いてくる小鉢は既製品な味付けですが、ひじきが優しい味付けで、梅干しもはちみつ漬けの美味しいやつで小さな感動でした。
海鮮は臭みもなくとても良かったです。

カレイの唐揚げは厚みがしっかりあり、揚げたてサクサク。酢ダレとの相性も抜群！
外国人で味噌汁や小鉢に馴染みのない相方が、梅干し以外の全てを完食していていました。",ごゑん,"
〒699-0902 島根県出雲市多伎町多岐１３５−１","
0853-86-3008",http://www.kirara-taki.co.jp/goen/,"3.7
(282)",Unknown,海鮮丼専門店,35.2907828,132.6324756
デンハウス,4,1 か月前,キララビーチを眺めらながら食事ができるカウンター席が最高なお店、このロケーションで価格も抑えめで良心的。今回はおすすめの海鮮丼を食べたが景色も良いこともあり満足な内容だった。味噌汁はあら汁かな？具はワカメだけだがとても美味しかった。,ごゑん,"
〒699-0902 島根県出雲市多伎町多岐１３５−１","
0853-86-3008",http://www.kirara-taki.co.jp/goen/,"3.7
(282)",Unknown,海鮮丼専門店,35.2907828,132.6324756
デンハウス,4,1 か月前,キララビーチを眺めらながら食事ができるカウンター席が最高なお店、このロケーションで価格も抑えめで良心的。今回はおすすめの海鮮丼を食べたが景色も良いこともあり満足な内容だった。味噌汁はあら汁かな？具はワカメだけだがとても美味しかった。,ごゑん,"
〒699-0902 島根県出雲市多伎町多岐１３５−１","
0853-86-3008",http://www.kirara-taki.co.jp/goen/,"3.7
(282)",Unknown,海鮮丼専門店,35.2907828,132.6324756
KIY,3,3 か月前,"【日本海が一望できる道の駅グルメin島根出雲】

この日は久しぶりの里帰り。
地元の友人と初詣に行き、その流れでこちらの遅めの昼食を食べに行きました。
島根県出雲市にある【海鮮丼屋ごゑん】さんです。
こちらの道の駅は実家からも近くドライブスポットとしてもよくお世話になっていました！
懐かしさもありなんだか嬉しい気持ちになりますよね〜

早速入店です。
店内はカウンター席とテーブル席がメイン。
海も目の前に広がるロケーションで雰囲気いいですね！
早速注文です。
本当は海鮮丼が人気のお店なので海鮮系にしようかなと思っていましたが、夜から焼肉に行く予定もあったので軽めにしようということで縁起よくお蕎麦をいただくことに！

かき揚げそば単品　1050円
こちらを注文！
本当はご縁セットにしたかったのですが、セットのミニ鉄火丼が品切れということで断念、、、
そんなこんなで10分ほど談笑して待っているといざ運ばれてきました！
このシンプルなビジュアル！
出雲そばならではの黒いお出汁！
これが慣れ親しんで食べてきたビジュアルですね〜
早速いただきます！

スープの色とは裏腹にあっさりとしたお出汁の効いたそばですね！
落ち着く味ですなあ〜
美味しい！！
そばも若干太めで食べ応えあって美味しい！
かき揚げはちょっと歯に引っかかる感じがうーんという感じでしたが、まあご愛嬌。
お蕎麦自体いい値段しますからね！
この値段でこの量、クオリティなら十分及第点じゃないでしょうか！

とにかくこのお出汁の効いたスープが寒い日には体を温めてくれますね！

良い2025年の始まりです！！
ごちそうさまでした！",ごゑん,"
〒699-0902 島根県出雲市多伎町多岐１３５−１","
0853-86-3008",http://www.kirara-taki.co.jp/goen/,"3.7
(282)",Unknown,海鮮丼専門店,35.2907828,132.6324756
KIY,3,3 か月前,"【日本海が一望できる道の駅グルメin島根出雲】

この日は久しぶりの里帰り。
地元の友人と初詣に行き、その流れでこちらの遅めの昼食を食べに行きました。
島根県出雲市にある【海鮮丼屋ごゑん】さんです。
こちらの道の駅は実家からも近くドライブスポットとしてもよくお世話になっていました！
懐かしさもありなんだか嬉しい気持ちになりますよね〜

早速入店です。
店内はカウンター席とテーブル席がメイン。
海も目の前に広がるロケーションで雰囲気いいですね！
早速注文です。
本当は海鮮丼が人気のお店なので海鮮系にしようかなと思っていましたが、夜から焼肉に行く予定もあったので軽めにしようということで縁起よくお蕎麦をいただくことに！

かき揚げそば単品　1050円
こちらを注文！
本当はご縁セットにしたかったのですが、セットのミニ鉄火丼が品切れということで断念、、、
そんなこんなで10分ほど談笑して待っているといざ運ばれてきました！
このシンプルなビジュアル！
出雲そばならではの黒いお出汁！
これが慣れ親しんで食べてきたビジュアルですね〜
早速いただきます！

スープの色とは裏腹にあっさりとしたお出汁の効いたそばですね！
落ち着く味ですなあ〜
美味しい！！
そばも若干太めで食べ応えあって美味しい！
かき揚げはちょっと歯に引っかかる感じがうーんという感じでしたが、まあご愛嬌。
お蕎麦自体いい値段しますからね！
この値段でこの量、クオリティなら十分及第点じゃないでしょうか！

とにかくこのお出汁の効いたスープが寒い日には体を温めてくれますね！

良い2025年の始まりです！！
ごちそうさまでした！",ごゑん,"
〒699-0902 島根県出雲市多伎町多岐１３５−１","
0853-86-3008",http://www.kirara-taki.co.jp/goen/,"3.7
(282)",Unknown,海鮮丼専門店,35.2907828,132.6324756
macoh,4,5 か月前,"道の駅、キララ多岐内にあるレストラン。
初訪問でしたが、海に面していて眺め良し◎
店内はゆったり広々していて、家族連れなどでも使いやすい雰囲気。

海鮮丼と迷いつつ、ご縁セットをオーダー。ミニ鉄火丼とお蕎麦かうどんが付いてきます。
お蕎麦もミニ丼も美味しくいただきました。

海鮮丼も好評のようなので、次行けた時は海鮮丼も頼んでみたい！",ごゑん,"
〒699-0902 島根県出雲市多伎町多岐１３５−１","
0853-86-3008",http://www.kirara-taki.co.jp/goen/,"3.7
(282)",Unknown,海鮮丼専門店,35.2907828,132.6324756
macoh,4,5 か月前,"道の駅、キララ多岐内にあるレストラン。
初訪問でしたが、海に面していて眺め良し◎
店内はゆったり広々していて、家族連れなどでも使いやすい雰囲気。

海鮮丼と迷いつつ、ご縁セットをオーダー。ミニ鉄火丼とお蕎麦かうどんが付いてきます。
お蕎麦もミニ丼も美味しくいただきました。

海鮮丼も好評のようなので、次行けた時は海鮮丼も頼んでみたい！",ごゑん,"
〒699-0902 島根県出雲市多伎町多岐１３５−１","
0853-86-3008",http://www.kirara-taki.co.jp/goen/,"3.7
(282)",Unknown,海鮮丼専門店,35.2907828,132.6324756
t aa,4,2 週間前,"道の駅の　中にある　レストラン🍴🍝です。
海鮮丼が　ボリュームあって　美味しかったです😁",ごゑん,"
〒699-0902 島根県出雲市多伎町多岐１３５−１","
0853-86-3008",http://www.kirara-taki.co.jp/goen/,"3.7
(282)",Unknown,海鮮丼専門店,35.2907828,132.6324756
t aa,4,2 週間前,"道の駅の　中にある　レストラン🍴🍝です。
海鮮丼が　ボリュームあって　美味しかったです😁",ごゑん,"
〒699-0902 島根県出雲市多伎町多岐１３５−１","
0853-86-3008",http://www.kirara-taki.co.jp/goen/,"3.7
(282)",Unknown,海鮮丼専門店,35.2907828,132.6324756
