Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
taicho Takadamaru,4,2 週間前,"2025年4月の訪問です。まだ残る桜の花と菜の花とのコントラストがとても綺麗でした。古墳に繁る緑も青々として、いい季節なんだなと感じます。平日にもかかわらずそこそこの人出があり、やはり日本人は桜が好きなんだなとわかります。
それにしても大きな前方後円墳があちこちにいくつもあり、まさに古墳群の名の通りで想像以上に広いところです。ここが自宅の傍なら毎日楽しく散歩が出来るのにと羨ましさいっぱいです。いい公園です。",さきたま古墳公園,"
〒361-0025 埼玉県行田市埼玉４８３４番地","
048-559-1111",https://sakitama-muse.spec.ed.jp/%E3%81%95%E3%81%8D%E3%81%9F%E3%81%BE%E5%8F%A4%E5%A2%B3%E5%85%AC%E5%9C%92,"4.1
(3,013)",Unknown,〒361-0025 埼玉県行田市埼玉４８３４番地,36.1248369,139.4756415
taicho Takadamaru,4,2 週間前,"2025年4月の訪問です。まだ残る桜の花と菜の花とのコントラストがとても綺麗でした。古墳に繁る緑も青々として、いい季節なんだなと感じます。平日にもかかわらずそこそこの人出があり、やはり日本人は桜が好きなんだなとわかります。
それにしても大きな前方後円墳があちこちにいくつもあり、まさに古墳群の名の通りで想像以上に広いところです。ここが自宅の傍なら毎日楽しく散歩が出来るのにと羨ましさいっぱいです。いい公園です。",さきたま古墳公園,"
〒361-0025 埼玉県行田市埼玉４８３４番地","
048-559-1111",https://sakitama-muse.spec.ed.jp/%E3%81%95%E3%81%8D%E3%81%9F%E3%81%BE%E5%8F%A4%E5%A2%B3%E5%85%AC%E5%9C%92,"4.1
(3,013)",Unknown,〒361-0025 埼玉県行田市埼玉４８３４番地,36.1248369,139.4756415
Hiro Dadacha,5,3 週間前,"関東最大級の古墳パラダイスではないでしょうか。
古墳が密集した場所は前橋や中百舌鳥など他にもありますが、ここの特徴は民家がなく古墳の全景を眺められる事と、児童向け遊具も無いのでちょっと古代人になった気分で古墳巡りができる点です。

古墳に登って周囲の古墳を見渡すと、当時この地を治めた権力者の気分にもなれます。

駐車場にはショップやレストランもあり、さまざまな古墳グッズの他、古墳おはぎもありました。

古墳好きな方にはぜひ訪れてほしい場所です。",さきたま古墳公園,"
〒361-0025 埼玉県行田市埼玉４８３４番地","
048-559-1111",https://sakitama-muse.spec.ed.jp/%E3%81%95%E3%81%8D%E3%81%9F%E3%81%BE%E5%8F%A4%E5%A2%B3%E5%85%AC%E5%9C%92,"4.1
(3,013)",Unknown,〒361-0025 埼玉県行田市埼玉４８３４番地,36.1248369,139.4756415
Hiro Dadacha,5,3 週間前,"関東最大級の古墳パラダイスではないでしょうか。
古墳が密集した場所は前橋や中百舌鳥など他にもありますが、ここの特徴は民家がなく古墳の全景を眺められる事と、児童向け遊具も無いのでちょっと古代人になった気分で古墳巡りができる点です。

古墳に登って周囲の古墳を見渡すと、当時この地を治めた権力者の気分にもなれます。

駐車場にはショップやレストランもあり、さまざまな古墳グッズの他、古墳おはぎもありました。

古墳好きな方にはぜひ訪れてほしい場所です。",さきたま古墳公園,"
〒361-0025 埼玉県行田市埼玉４８３４番地","
048-559-1111",https://sakitama-muse.spec.ed.jp/%E3%81%95%E3%81%8D%E3%81%9F%E3%81%BE%E5%8F%A4%E5%A2%B3%E5%85%AC%E5%9C%92,"4.1
(3,013)",Unknown,〒361-0025 埼玉県行田市埼玉４８３４番地,36.1248369,139.4756415
Kenji Hara,5,2 週間前,"桜と菜の花が綺麗でした
公園内はトイレやベンチも整備されています
古墳の周りの散策路はほぼ平坦なので小さい子供さん連れの方も沢山訪れていました
歴史も感じられ春の散歩にはピッタリの場所です",さきたま古墳公園,"
〒361-0025 埼玉県行田市埼玉４８３４番地","
048-559-1111",https://sakitama-muse.spec.ed.jp/%E3%81%95%E3%81%8D%E3%81%9F%E3%81%BE%E5%8F%A4%E5%A2%B3%E5%85%AC%E5%9C%92,"4.1
(3,013)",Unknown,〒361-0025 埼玉県行田市埼玉４８３４番地,36.1248369,139.4756415
Kenji Hara,5,2 週間前,"桜と菜の花が綺麗でした
公園内はトイレやベンチも整備されています
古墳の周りの散策路はほぼ平坦なので小さい子供さん連れの方も沢山訪れていました
歴史も感じられ春の散歩にはピッタリの場所です",さきたま古墳公園,"
〒361-0025 埼玉県行田市埼玉４８３４番地","
048-559-1111",https://sakitama-muse.spec.ed.jp/%E3%81%95%E3%81%8D%E3%81%9F%E3%81%BE%E5%8F%A4%E5%A2%B3%E5%85%AC%E5%9C%92,"4.1
(3,013)",Unknown,〒361-0025 埼玉県行田市埼玉４８３４番地,36.1248369,139.4756415
鑫#イ言θ月,5,2 か月前,埼玉の地名の由来ともなったさきたま古墳群のある公園。丸墓山古墳の南にある大駐車場のほか将軍山古墳横にも駐車場あり。とても広い公園で多くの散歩する人がいる。園内はよく整備されていて歩きやすい。ここに沢山ある古墳の中で特に見るべきなのが石田三成が陣を敷いたと言われる丸墓山古墳。19ｍと非常に高い円墳で見晴らしが良い。この古墳に向かって伸びる道は石田提なのでそこも忘れず見るべき。その右隣にある稲荷山古墳はワカタケル大王との銘文が入った有名な鉄剣が出土した古墳なのでここも必見のスポットである。さらにその先には墳丘上に土器が並び石室が見学できる将軍山古墳、武蔵国で最大の大きさだという二子山古墳がある。この4ヶ所くらい見れば充分であろう。道路を挟んだ先には博物館や物産館もあるので半日は楽しめる場所です。,さきたま古墳公園,"
〒361-0025 埼玉県行田市埼玉４８３４番地","
048-559-1111",https://sakitama-muse.spec.ed.jp/%E3%81%95%E3%81%8D%E3%81%9F%E3%81%BE%E5%8F%A4%E5%A2%B3%E5%85%AC%E5%9C%92,"4.1
(3,013)",Unknown,〒361-0025 埼玉県行田市埼玉４８３４番地,36.1248369,139.4756415
鑫#イ言θ月,5,2 か月前,埼玉の地名の由来ともなったさきたま古墳群のある公園。丸墓山古墳の南にある大駐車場のほか将軍山古墳横にも駐車場あり。とても広い公園で多くの散歩する人がいる。園内はよく整備されていて歩きやすい。ここに沢山ある古墳の中で特に見るべきなのが石田三成が陣を敷いたと言われる丸墓山古墳。19ｍと非常に高い円墳で見晴らしが良い。この古墳に向かって伸びる道は石田提なのでそこも忘れず見るべき。その右隣にある稲荷山古墳はワカタケル大王との銘文が入った有名な鉄剣が出土した古墳なのでここも必見のスポットである。さらにその先には墳丘上に土器が並び石室が見学できる将軍山古墳、武蔵国で最大の大きさだという二子山古墳がある。この4ヶ所くらい見れば充分であろう。道路を挟んだ先には博物館や物産館もあるので半日は楽しめる場所です。,さきたま古墳公園,"
〒361-0025 埼玉県行田市埼玉４８３４番地","
048-559-1111",https://sakitama-muse.spec.ed.jp/%E3%81%95%E3%81%8D%E3%81%9F%E3%81%BE%E5%8F%A4%E5%A2%B3%E5%85%AC%E5%9C%92,"4.1
(3,013)",Unknown,〒361-0025 埼玉県行田市埼玉４８３４番地,36.1248369,139.4756415
m c,4,5 か月前,"利根大堰へ行った帰りに寄りました。
名前は知っていましたが、これだけ大きな古墳群の公園とは知りましたでした！
稲荷山古墳とか国宝が出土した有名どころもあり、歩いてようやく頂上に登れました。
見晴らしが良く、眺めも良かったです。

小規模な群集墳のイメージでしたが、それなりに大きな古墳で、単なる円墳ではなく、前方後円墳とは！！

近くには式内社の前玉神社もあるし、実に興味深いです。

どこまでも広く平らな空間にニョキニョキと古墳があり、綺麗に芝生が整備されていて素敵な後円墳です。

近くだったら、家のワンちゃんを連れて来たかったぐらいです。
散策にも向いていますね。

また、駐車場は無料でそこそこのスペースがあり、車で来やすい点でもポイント高いです。",さきたま古墳公園,"
〒361-0025 埼玉県行田市埼玉４８３４番地","
048-559-1111",https://sakitama-muse.spec.ed.jp/%E3%81%95%E3%81%8D%E3%81%9F%E3%81%BE%E5%8F%A4%E5%A2%B3%E5%85%AC%E5%9C%92,"4.1
(3,013)",Unknown,〒361-0025 埼玉県行田市埼玉４８３４番地,36.1248369,139.4756415
m c,4,5 か月前,"利根大堰へ行った帰りに寄りました。
名前は知っていましたが、これだけ大きな古墳群の公園とは知りましたでした！
稲荷山古墳とか国宝が出土した有名どころもあり、歩いてようやく頂上に登れました。
見晴らしが良く、眺めも良かったです。

小規模な群集墳のイメージでしたが、それなりに大きな古墳で、単なる円墳ではなく、前方後円墳とは！！

近くには式内社の前玉神社もあるし、実に興味深いです。

どこまでも広く平らな空間にニョキニョキと古墳があり、綺麗に芝生が整備されていて素敵な後円墳です。

近くだったら、家のワンちゃんを連れて来たかったぐらいです。
散策にも向いていますね。

また、駐車場は無料でそこそこのスペースがあり、車で来やすい点でもポイント高いです。",さきたま古墳公園,"
〒361-0025 埼玉県行田市埼玉４８３４番地","
048-559-1111",https://sakitama-muse.spec.ed.jp/%E3%81%95%E3%81%8D%E3%81%9F%E3%81%BE%E5%8F%A4%E5%A2%B3%E5%85%AC%E5%9C%92,"4.1
(3,013)",Unknown,〒361-0025 埼玉県行田市埼玉４８３４番地,36.1248369,139.4756415
