Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
mayu3,5,1 年前,"多目的ダムとして西日本一の規模を誇る四国の水がめ。ちょうど数日前に台風が一過したこともあり貯水率は100%で大量放水中でした。そのため、普段は見れない壮大な景色を目にすることができました。
工事中で向側への通行は出来ませんでしたが、全放水中のダムは圧巻でした。
近くにある展望台は途中で車を停めてから歩いて上がります。
上がりきると、湖が見えてステキだったのですが、木製の展望デッキの目の前は樹木がかなり茂っていて、景色は全く見えませんでした。残念。
春には桜や藤棚もあるので、とってもステキな展望台だと思います♪あとはお手入れだけかな〜",さめうら湖,"
〒781-3522 高知県土佐郡土佐町","
0887-82-0485",Unknown,"4.3
(17)",ウェブサイトを追加してください,〒781-3522 高知県土佐郡土佐町,33.7574305,133.5393749
mayu3,5,1 年前,"多目的ダムとして西日本一の規模を誇る四国の水がめ。ちょうど数日前に台風が一過したこともあり貯水率は100%で大量放水中でした。そのため、普段は見れない壮大な景色を目にすることができました。
工事中で向側への通行は出来ませんでしたが、全放水中のダムは圧巻でした。
近くにある展望台は途中で車を停めてから歩いて上がります。
上がりきると、湖が見えてステキだったのですが、木製の展望デッキの目の前は樹木がかなり茂っていて、景色は全く見えませんでした。残念。
春には桜や藤棚もあるので、とってもステキな展望台だと思います♪あとはお手入れだけかな〜",さめうら湖,"
〒781-3522 高知県土佐郡土佐町","
0887-82-0485",Unknown,"4.3
(17)",ウェブサイトを追加してください,〒781-3522 高知県土佐郡土佐町,33.7574305,133.5393749
トッシー,5,2 年前,"最近龍神様にご縁が多く
噂でダム湖が龍の形をしていると聞いたことはあった
最近道の駅巡りをしていて 道の駅さめうら
に寄ってなんとなく湖を地図で確認
あ～～‼️ここだ ここのことだと即車を走らせやって来ました😁あいにくの曇り写真撮って帰るか☺️って思った瞬間光がさしてきました 何かと気にかけていただいているのかと思ってしまいました
写真はほぼ同じ時間です",さめうら湖,"
〒781-3522 高知県土佐郡土佐町","
0887-82-0485",Unknown,"4.3
(17)",ウェブサイトを追加してください,〒781-3522 高知県土佐郡土佐町,33.7574305,133.5393749
トッシー,5,2 年前,"最近龍神様にご縁が多く
噂でダム湖が龍の形をしていると聞いたことはあった
最近道の駅巡りをしていて 道の駅さめうら
に寄ってなんとなく湖を地図で確認
あ～～‼️ここだ ここのことだと即車を走らせやって来ました😁あいにくの曇り写真撮って帰るか☺️って思った瞬間光がさしてきました 何かと気にかけていただいているのかと思ってしまいました
写真はほぼ同じ時間です",さめうら湖,"
〒781-3522 高知県土佐郡土佐町","
0887-82-0485",Unknown,"4.3
(17)",ウェブサイトを追加してください,〒781-3522 高知県土佐郡土佐町,33.7574305,133.5393749
三太郎阿倍,3,2 年前,"2022年11月8日
平日の朝方に行きました
肌寒かったです

でも静かで静かで
心が洗われましたが

ダムの塗装工事等々で
キャンプ場まで行けませんでしたので

ヘリポートの展望台から撮影しました",さめうら湖,"
〒781-3522 高知県土佐郡土佐町","
0887-82-0485",Unknown,"4.3
(17)",ウェブサイトを追加してください,〒781-3522 高知県土佐郡土佐町,33.7574305,133.5393749
三太郎阿倍,3,2 年前,"2022年11月8日
平日の朝方に行きました
肌寒かったです

でも静かで静かで
心が洗われましたが

ダムの塗装工事等々で
キャンプ場まで行けませんでしたので

ヘリポートの展望台から撮影しました",さめうら湖,"
〒781-3522 高知県土佐郡土佐町","
0887-82-0485",Unknown,"4.3
(17)",ウェブサイトを追加してください,〒781-3522 高知県土佐郡土佐町,33.7574305,133.5393749
Y M,5,9 か月前,"2024年7月6日
貯水量は多めでした。",さめうら湖,"
〒781-3522 高知県土佐郡土佐町","
0887-82-0485",Unknown,"4.3
(17)",ウェブサイトを追加してください,〒781-3522 高知県土佐郡土佐町,33.7574305,133.5393749
Y M,5,9 か月前,"2024年7月6日
貯水量は多めでした。",さめうら湖,"
〒781-3522 高知県土佐郡土佐町","
0887-82-0485",Unknown,"4.3
(17)",ウェブサイトを追加してください,〒781-3522 高知県土佐郡土佐町,33.7574305,133.5393749
Ewen,3,1 年前,とても静かな湖です。元々急峻な立地に造られた人造湖であるのか、湖畔は少ない印象でした。,さめうら湖,"
〒781-3522 高知県土佐郡土佐町","
0887-82-0485",Unknown,"4.3
(17)",ウェブサイトを追加してください,〒781-3522 高知県土佐郡土佐町,33.7574305,133.5393749
Ewen,3,1 年前,とても静かな湖です。元々急峻な立地に造られた人造湖であるのか、湖畔は少ない印象でした。,さめうら湖,"
〒781-3522 高知県土佐郡土佐町","
0887-82-0485",Unknown,"4.3
(17)",ウェブサイトを追加してください,〒781-3522 高知県土佐郡土佐町,33.7574305,133.5393749
