Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
トライ,4,2 週間前,"夜行バスで東京駅に早朝5時くらいに降りてそのまま築地にきた。この時間やっているお店は24時間営業のすしざんまいくらい。何もわざわざここまで来てすしざんまいって気もするが、まあ折角だし本店に行ってみるのもいいかもしれない。流石に時間が時間だったので店内に客はほぼおらず。普段は行列ができているらしい。
「こころ粋」一人前を注文した。なんやかんやこのクオリティの寿司14貫で3000円ちょっとは悪くないのでは。追加で頼んだマグロ三点セットも美味しかった。
今や築地すしざんまいは半分観光地みたいなものだし、一度行ってみるのも経験だと思う。",すしざんまい 本店,"
〒104-0045 東京都中央区築地４丁目１１−９","
03-3541-1117",https://www.kiyomura.co.jp/store/detail/1,"4.2
(8,160)",Unknown,寿司店,35.6991139,139.7406692
トライ,4,2 週間前,"夜行バスで東京駅に早朝5時くらいに降りてそのまま築地にきた。この時間やっているお店は24時間営業のすしざんまいくらい。何もわざわざここまで来てすしざんまいって気もするが、まあ折角だし本店に行ってみるのもいいかもしれない。流石に時間が時間だったので店内に客はほぼおらず。普段は行列ができているらしい。
「こころ粋」一人前を注文した。なんやかんやこのクオリティの寿司14貫で3000円ちょっとは悪くないのでは。追加で頼んだマグロ三点セットも美味しかった。
今や築地すしざんまいは半分観光地みたいなものだし、一度行ってみるのも経験だと思う。",すしざんまい 本店,"
〒104-0045 東京都中央区築地４丁目１１−９","
03-3541-1117",https://www.kiyomura.co.jp/store/detail/1,"4.2
(8,160)",Unknown,寿司店,35.6991139,139.7406692
長田千穂,4,4 か月前,"初めて行きました！

激混みでしたが

3階に案内されテーブル席に！

端だったのでゆっくり出来ました！

・キンキ煮付け
・アワビ刺身
コリコリして美味しかったです。
・ふぐ唐揚げ×2
唐揚げよりあっさりしてて美味しかったです。
・マグロ脳天、マグロ頬肉 寿司
ドリンク
・日本酒 八海山

お寿司には日本酒！

席数多いのが嬉しい
そして、すしざんまいの中で1番美味しいと感じました。",すしざんまい 本店,"
〒104-0045 東京都中央区築地４丁目１１−９","
03-3541-1117",https://www.kiyomura.co.jp/store/detail/1,"4.2
(8,160)",Unknown,寿司店,35.6991139,139.7406692
長田千穂,4,4 か月前,"初めて行きました！

激混みでしたが

3階に案内されテーブル席に！

端だったのでゆっくり出来ました！

・キンキ煮付け
・アワビ刺身
コリコリして美味しかったです。
・ふぐ唐揚げ×2
唐揚げよりあっさりしてて美味しかったです。
・マグロ脳天、マグロ頬肉 寿司
ドリンク
・日本酒 八海山

お寿司には日本酒！

席数多いのが嬉しい
そして、すしざんまいの中で1番美味しいと感じました。",すしざんまい 本店,"
〒104-0045 東京都中央区築地４丁目１１−９","
03-3541-1117",https://www.kiyomura.co.jp/store/detail/1,"4.2
(8,160)",Unknown,寿司店,35.6991139,139.7406692
419 ma-chyan,4,3 か月前,"初めてのすしざんまい利用です。
ここだけは法外なインバウンド価格を設定していない築地で唯一のお店。
こころ粋という¥2.980-を軸に色々頼みましたが回る寿司とは別物でしたので違う意味で感動しました。
この値段でこのクオリティーなら大満足です。
店内も落ち着いた雰囲気で築地市場の雑踏から抜け出してリフレッシュするには最適です。",すしざんまい 本店,"
〒104-0045 東京都中央区築地４丁目１１−９","
03-3541-1117",https://www.kiyomura.co.jp/store/detail/1,"4.2
(8,160)",Unknown,寿司店,35.6991139,139.7406692
419 ma-chyan,4,3 か月前,"初めてのすしざんまい利用です。
ここだけは法外なインバウンド価格を設定していない築地で唯一のお店。
こころ粋という¥2.980-を軸に色々頼みましたが回る寿司とは別物でしたので違う意味で感動しました。
この値段でこのクオリティーなら大満足です。
店内も落ち着いた雰囲気で築地市場の雑踏から抜け出してリフレッシュするには最適です。",すしざんまい 本店,"
〒104-0045 東京都中央区築地４丁目１１−９","
03-3541-1117",https://www.kiyomura.co.jp/store/detail/1,"4.2
(8,160)",Unknown,寿司店,35.6991139,139.7406692
ひーちゃん,5,2 か月前,初すしざんまい！築地本店にお邪魔しました。並んでましたが段取り良く案内いただきました。マグロ美味しいですね。回らないお寿司屋さんなので職人さんが目の前で握ってくださいます。,すしざんまい 本店,"
〒104-0045 東京都中央区築地４丁目１１−９","
03-3541-1117",https://www.kiyomura.co.jp/store/detail/1,"4.2
(8,160)",Unknown,寿司店,35.6991139,139.7406692
ひーちゃん,5,2 か月前,初すしざんまい！築地本店にお邪魔しました。並んでましたが段取り良く案内いただきました。マグロ美味しいですね。回らないお寿司屋さんなので職人さんが目の前で握ってくださいます。,すしざんまい 本店,"
〒104-0045 東京都中央区築地４丁目１１−９","
03-3541-1117",https://www.kiyomura.co.jp/store/detail/1,"4.2
(8,160)",Unknown,寿司店,35.6991139,139.7406692
東橋達矢,5,3 か月前,"【2024.10.21 本店ならでは？】
すしざんまいは過去に行ったことが
ありますが、本店ならちょっと行って
みたいな〜と思って寄ってみました！

心なしか本店はメニューが豊富な
気がしました〜。ドリンクも寿司も
おつまみもあるので飲むだけの方や
お寿司食べる方だけの方も一緒に
行ける感じ。

寿司はどれも美味しかったですが、
にしんが184円のクオリティーじゃ
なかったので、特にオススメですね！

接客も明るくキビキビしてて、好感
持てます。醤油は2種類ありましたが、
これは何だったか忘れました。",すしざんまい 本店,"
〒104-0045 東京都中央区築地４丁目１１−９","
03-3541-1117",https://www.kiyomura.co.jp/store/detail/1,"4.2
(8,160)",Unknown,寿司店,35.6991139,139.7406692
東橋達矢,5,3 か月前,"【2024.10.21 本店ならでは？】
すしざんまいは過去に行ったことが
ありますが、本店ならちょっと行って
みたいな〜と思って寄ってみました！

心なしか本店はメニューが豊富な
気がしました〜。ドリンクも寿司も
おつまみもあるので飲むだけの方や
お寿司食べる方だけの方も一緒に
行ける感じ。

寿司はどれも美味しかったですが、
にしんが184円のクオリティーじゃ
なかったので、特にオススメですね！

接客も明るくキビキビしてて、好感
持てます。醤油は2種類ありましたが、
これは何だったか忘れました。",すしざんまい 本店,"
〒104-0045 東京都中央区築地４丁目１１−９","
03-3541-1117",https://www.kiyomura.co.jp/store/detail/1,"4.2
(8,160)",Unknown,寿司店,35.6991139,139.7406692
