Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
szk,4,1 週間前,"平日の遅めランチで立ち寄りました！
時間は14時半頃でしたが、遅い時間でも営業していて、ゆったりと過ごせるのがありがたかったです🥹 …",すしまみれ 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目２１−１３","
03-5953-0737",https://shop.amiyakitei.co.jp/detail/s1007?utm_source=google&utm_medium=maps&utm_campaign=gbp,"3.6
(788)",Unknown,〒171-0021 東京都豊島区西池袋１丁目２１−１３,35.6963261,139.7455959
szk,4,1 週間前,"平日の遅めランチで立ち寄りました！
時間は14時半頃でしたが、遅い時間でも営業していて、ゆったりと過ごせるのがありがたかったです🥹 …",すしまみれ 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目２１−１３","
03-5953-0737",https://shop.amiyakitei.co.jp/detail/s1007?utm_source=google&utm_medium=maps&utm_campaign=gbp,"3.6
(788)",Unknown,〒171-0021 東京都豊島区西池袋１丁目２１−１３,35.6963261,139.7455959
8 SE3,5,1 か月前,"先日ランチに行ったら、夜とは違って空いていて、ゆっくり食事ができました。テーブル席に案内してもらい、おしゃべりしながら美味しいお寿司を堪能。
ネタは新鮮で種類も豊富。ランチタイム限定のお得なセットメニューもあって、色々楽しめました。特にマグロの赤身は、とろけるような口どけで最高！昼飲みにもおすすめです。 …",すしまみれ 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目２１−１３","
03-5953-0737",https://shop.amiyakitei.co.jp/detail/s1007?utm_source=google&utm_medium=maps&utm_campaign=gbp,"3.6
(788)",Unknown,〒171-0021 東京都豊島区西池袋１丁目２１−１３,35.6963261,139.7455959
8 SE3,5,1 か月前,"先日ランチに行ったら、夜とは違って空いていて、ゆっくり食事ができました。テーブル席に案内してもらい、おしゃべりしながら美味しいお寿司を堪能。
ネタは新鮮で種類も豊富。ランチタイム限定のお得なセットメニューもあって、色々楽しめました。特にマグロの赤身は、とろけるような口どけで最高！昼飲みにもおすすめです。 …",すしまみれ 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目２１−１３","
03-5953-0737",https://shop.amiyakitei.co.jp/detail/s1007?utm_source=google&utm_medium=maps&utm_campaign=gbp,"3.6
(788)",Unknown,〒171-0021 東京都豊島区西池袋１丁目２１−１３,35.6963261,139.7455959
なんだもん吉,3,4 か月前,"5:00〜2:30までやっている寿司屋さん。ほぼ24時間で頑張っていらっしゃる。

ロマンス通りに入ってすぐあった。 …",すしまみれ 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目２１−１３","
03-5953-0737",https://shop.amiyakitei.co.jp/detail/s1007?utm_source=google&utm_medium=maps&utm_campaign=gbp,"3.6
(788)",Unknown,〒171-0021 東京都豊島区西池袋１丁目２１−１３,35.6963261,139.7455959
なんだもん吉,3,4 か月前,"5:00〜2:30までやっている寿司屋さん。ほぼ24時間で頑張っていらっしゃる。

ロマンス通りに入ってすぐあった。 …",すしまみれ 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目２１−１３","
03-5953-0737",https://shop.amiyakitei.co.jp/detail/s1007?utm_source=google&utm_medium=maps&utm_campaign=gbp,"3.6
(788)",Unknown,〒171-0021 東京都豊島区西池袋１丁目２１−１３,35.6963261,139.7455959
ことこと,5,1 か月前,"ランチで2回ほど行かせていただきました！
お寿司なのにこの値段で良いの？ってくらいコスパ良し◎
シャリも赤シャリで美味しかったです！ …",すしまみれ 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目２１−１３","
03-5953-0737",https://shop.amiyakitei.co.jp/detail/s1007?utm_source=google&utm_medium=maps&utm_campaign=gbp,"3.6
(788)",Unknown,〒171-0021 東京都豊島区西池袋１丁目２１−１３,35.6963261,139.7455959
ことこと,5,1 か月前,"ランチで2回ほど行かせていただきました！
お寿司なのにこの値段で良いの？ってくらいコスパ良し◎
シャリも赤シャリで美味しかったです！ …",すしまみれ 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目２１−１３","
03-5953-0737",https://shop.amiyakitei.co.jp/detail/s1007?utm_source=google&utm_medium=maps&utm_campaign=gbp,"3.6
(788)",Unknown,〒171-0021 東京都豊島区西池袋１丁目２１−１３,35.6963261,139.7455959
Y,4,1 か月前,"西池袋ロサ会館側にある、すしまみれさん！
早い時間からこんでいました。どれもとても美味しかったです。雰囲気は静かで落ち着いてお寿司食べれました♪アオサのお味噌汁でホッとしました〜",すしまみれ 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目２１−１３","
03-5953-0737",https://shop.amiyakitei.co.jp/detail/s1007?utm_source=google&utm_medium=maps&utm_campaign=gbp,"3.6
(788)",Unknown,〒171-0021 東京都豊島区西池袋１丁目２１−１３,35.6963261,139.7455959
Y,4,1 か月前,"西池袋ロサ会館側にある、すしまみれさん！
早い時間からこんでいました。どれもとても美味しかったです。雰囲気は静かで落ち着いてお寿司食べれました♪アオサのお味噌汁でホッとしました〜",すしまみれ 池袋店,"
〒171-0021 東京都豊島区西池袋１丁目２１−１３","
03-5953-0737",https://shop.amiyakitei.co.jp/detail/s1007?utm_source=google&utm_medium=maps&utm_campaign=gbp,"3.6
(788)",Unknown,〒171-0021 東京都豊島区西池袋１丁目２１−１３,35.6963261,139.7455959
