Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
えいみ,4,1 週間前,"25.4/半蔵門線水天宮駅3番出口から上がってすぐのところにあります。
山口のうどんらしく讃岐うどんとは違い腰はないですが、個人的には好きなタイプです。

注文カウンターの右でトレイを取り左に流れていく方式で、まずうどんを頼んでから天ぷらおにぎりなど好きなものを取って左端で会計します。
冷かけ小380円と白身魚の天ぷら（名前失念、珍しいものだった）130円を注文。色々なキャッシュレスが使えます。

つゆは甘めでうどんはやわふわ。添えてあるレモンを入れたところ、甘めのつゆと爽やかな酸味が合う！正直、讃岐うどんの出汁より合うかも。
天ぷらは衣薄めでちょうどいい揚がり具合。種類も多く、エビのかき揚げが美味しそうでした。

讃岐のような味わいを期待していくとおそらく期待外れなので、柔らかいうどんを食べたい時にはぴったりだと思います。ごちそうさまでした。",すなだ どんどん 箱崎T-CAT店,"
〒103-0015 東京都中央区日本橋箱崎町２２−１","
03-5847-4306",http://www.s-dondon.co.jp/,"3.8
(439)",Unknown,うどん屋,35.6478431,139.7429734
えいみ,4,1 週間前,"25.4/半蔵門線水天宮駅3番出口から上がってすぐのところにあります。
山口のうどんらしく讃岐うどんとは違い腰はないですが、個人的には好きなタイプです。

注文カウンターの右でトレイを取り左に流れていく方式で、まずうどんを頼んでから天ぷらおにぎりなど好きなものを取って左端で会計します。
冷かけ小380円と白身魚の天ぷら（名前失念、珍しいものだった）130円を注文。色々なキャッシュレスが使えます。

つゆは甘めでうどんはやわふわ。添えてあるレモンを入れたところ、甘めのつゆと爽やかな酸味が合う！正直、讃岐うどんの出汁より合うかも。
天ぷらは衣薄めでちょうどいい揚がり具合。種類も多く、エビのかき揚げが美味しそうでした。

讃岐のような味わいを期待していくとおそらく期待外れなので、柔らかいうどんを食べたい時にはぴったりだと思います。ごちそうさまでした。",すなだ どんどん 箱崎T-CAT店,"
〒103-0015 東京都中央区日本橋箱崎町２２−１","
03-5847-4306",http://www.s-dondon.co.jp/,"3.8
(439)",Unknown,うどん屋,35.6478431,139.7429734
tommy _ym,3,2 か月前,"山口県のソウルフードだと誰かに聞いてお邪魔してきました。
柔らかいうどんはお隣の福岡県のうどんに近いのですが、こちらにはごぼう天ぷらはありません
手短にお腹を満たす普段遣いのお店としては最高ですね。

I heard from someone that it is soul food in Yamaguchi Prefecture, so I stopped by.
The soft udon is close to the udon in Fukuoka Prefecture next door, but there is no burdock tempura here.
It's the best as an everyday shop that fills your stomach with a short time.",すなだ どんどん 箱崎T-CAT店,"
〒103-0015 東京都中央区日本橋箱崎町２２−１","
03-5847-4306",http://www.s-dondon.co.jp/,"3.8
(439)",Unknown,うどん屋,35.6478431,139.7429734
tommy _ym,3,2 か月前,"山口県のソウルフードだと誰かに聞いてお邪魔してきました。
柔らかいうどんはお隣の福岡県のうどんに近いのですが、こちらにはごぼう天ぷらはありません
手短にお腹を満たす普段遣いのお店としては最高ですね。

I heard from someone that it is soul food in Yamaguchi Prefecture, so I stopped by.
The soft udon is close to the udon in Fukuoka Prefecture next door, but there is no burdock tempura here.
It's the best as an everyday shop that fills your stomach with a short time.",すなだ どんどん 箱崎T-CAT店,"
〒103-0015 東京都中央区日本橋箱崎町２２−１","
03-5847-4306",http://www.s-dondon.co.jp/,"3.8
(439)",Unknown,うどん屋,35.6478431,139.7429734
Keiji M,3,5 か月前,"山口県萩市のうどん屋「どんどん」が箱崎にあると知り、訪問してみました。
甘口で出汁のきいたツユと牛バラ肉、ネギかけ放題は本店と同じです。
天ぷらやおむすびを自分で選ぶシステムは、チェーン店ではよくあるものですが、本店とは違います。
本店との違いを最も感じたのは麺です。外側はもちっとした食感で、柔らかい中にうどんのコシを感じる特徴が、箱崎店では感じられませんでした。水の違いなのか茹で方なのかわかりませんが、別系列店と思うくらい違います。
それでも、東京でも「どんどん」を楽しめるのは嬉しい限りです。",すなだ どんどん 箱崎T-CAT店,"
〒103-0015 東京都中央区日本橋箱崎町２２−１","
03-5847-4306",http://www.s-dondon.co.jp/,"3.8
(439)",Unknown,うどん屋,35.6478431,139.7429734
Keiji M,3,5 か月前,"山口県萩市のうどん屋「どんどん」が箱崎にあると知り、訪問してみました。
甘口で出汁のきいたツユと牛バラ肉、ネギかけ放題は本店と同じです。
天ぷらやおむすびを自分で選ぶシステムは、チェーン店ではよくあるものですが、本店とは違います。
本店との違いを最も感じたのは麺です。外側はもちっとした食感で、柔らかい中にうどんのコシを感じる特徴が、箱崎店では感じられませんでした。水の違いなのか茹で方なのかわかりませんが、別系列店と思うくらい違います。
それでも、東京でも「どんどん」を楽しめるのは嬉しい限りです。",すなだ どんどん 箱崎T-CAT店,"
〒103-0015 東京都中央区日本橋箱崎町２２−１","
03-5847-4306",http://www.s-dondon.co.jp/,"3.8
(439)",Unknown,うどん屋,35.6478431,139.7429734
サンロレンソルイス,3,4 週間前,"近くの現場仕事の日曜は箱崎周辺は休みが多い、ということで当店訪問肉うどん大盛その他で￥１３００値段はしょうがないでお味は甘くて優しい味肝心の麺は柔い直ぐ提供されのにこれは柔すぎ天ぷら等も美味しくとろろもパックに入ったものを切ってぴゅー、問題なしでも50過ぎた自分には大盛はきつすぎたでも肉体労働なのですぐお腹は正常に箱崎に限らずビジネス街は日曜日休みが多く困りますね。
後から福しんが近くで営業を知り次回はここかなと",すなだ どんどん 箱崎T-CAT店,"
〒103-0015 東京都中央区日本橋箱崎町２２−１","
03-5847-4306",http://www.s-dondon.co.jp/,"3.8
(439)",Unknown,うどん屋,35.6478431,139.7429734
サンロレンソルイス,3,4 週間前,"近くの現場仕事の日曜は箱崎周辺は休みが多い、ということで当店訪問肉うどん大盛その他で￥１３００値段はしょうがないでお味は甘くて優しい味肝心の麺は柔い直ぐ提供されのにこれは柔すぎ天ぷら等も美味しくとろろもパックに入ったものを切ってぴゅー、問題なしでも50過ぎた自分には大盛はきつすぎたでも肉体労働なのですぐお腹は正常に箱崎に限らずビジネス街は日曜日休みが多く困りますね。
後から福しんが近くで営業を知り次回はここかなと",すなだ どんどん 箱崎T-CAT店,"
〒103-0015 東京都中央区日本橋箱崎町２２−１","
03-5847-4306",http://www.s-dondon.co.jp/,"3.8
(439)",Unknown,うどん屋,35.6478431,139.7429734
koji ito (recobagio),3,3 週間前,"山口では有名なお店との事。
コシが無いタイプのうどんなので好き嫌いが分かれるような気がしました。
個人的にはイトヨリの天ぷらが気に入りました！",すなだ どんどん 箱崎T-CAT店,"
〒103-0015 東京都中央区日本橋箱崎町２２−１","
03-5847-4306",http://www.s-dondon.co.jp/,"3.8
(439)",Unknown,うどん屋,35.6478431,139.7429734
koji ito (recobagio),3,3 週間前,"山口では有名なお店との事。
コシが無いタイプのうどんなので好き嫌いが分かれるような気がしました。
個人的にはイトヨリの天ぷらが気に入りました！",すなだ どんどん 箱崎T-CAT店,"
〒103-0015 東京都中央区日本橋箱崎町２２−１","
03-5847-4306",http://www.s-dondon.co.jp/,"3.8
(439)",Unknown,うどん屋,35.6478431,139.7429734
ローリン,4,6 か月前,"【山口のどんどんが東京で食べれる】

最初に言っておくと、こちらのどんどんは山口のどんどんと運営元は同じですがうどんの受け取り方や天ぷら・おにぎりの受け取り方がまるで違います。

こちらはセルフサービス中心なので、まるで丸亀製麺のようです。
麺質は山口で食べるどんどんと同じですが、店の雰囲気が違うので全く違う店舗のようです。

とはいえ、甘い出汁でおなじみのどんどんが恋しくてたまらない時には足を運んでもいいかもしれませんね。",すなだ どんどん 箱崎T-CAT店,"
〒103-0015 東京都中央区日本橋箱崎町２２−１","
03-5847-4306",http://www.s-dondon.co.jp/,"3.8
(439)",Unknown,うどん屋,35.6478431,139.7429734
