Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Fumiya H,5,3 か月前,東京タワーの真下、ロケーション抜群、従業員教育もしっかりしていて、素晴らしい料理屋さん！,とうふ屋うかい 日本庭園,"
〒107-0052 東京都港区赤坂４丁目３−２９ 東京芝とうふ屋うかい","
03-3436-1028",https://www.ukai.co.jp/shiba/,"4.8
(5)",Unknown,庭園,35.6572889,139.7453639
Fumiya H,5,3 か月前,東京タワーの真下、ロケーション抜群、従業員教育もしっかりしていて、素晴らしい料理屋さん！,とうふ屋うかい 日本庭園,"
〒107-0052 東京都港区赤坂４丁目３−２９ 東京芝とうふ屋うかい","
03-3436-1028",https://www.ukai.co.jp/shiba/,"4.8
(5)",Unknown,庭園,35.6572889,139.7453639
M ISHI,5,21 時間前,庭園！！,とうふ屋うかい 日本庭園,"
〒107-0052 東京都港区赤坂４丁目３−２９ 東京芝とうふ屋うかい","
03-3436-1028",https://www.ukai.co.jp/shiba/,"4.8
(5)",Unknown,庭園,35.6572889,139.7453639
M ISHI,5,21 時間前,庭園！！,とうふ屋うかい 日本庭園,"
〒107-0052 東京都港区赤坂４丁目３−２９ 東京芝とうふ屋うかい","
03-3436-1028",https://www.ukai.co.jp/shiba/,"4.8
(5)",Unknown,庭園,35.6572889,139.7453639
Muhammad Anwar,5,2 か月前,      2 か月前,とうふ屋うかい 日本庭園,"
〒107-0052 東京都港区赤坂４丁目３−２９ 東京芝とうふ屋うかい","
03-3436-1028",https://www.ukai.co.jp/shiba/,"4.8
(5)",Unknown,庭園,35.6572889,139.7453639
Muhammad Anwar,5,2 か月前,      2 か月前,とうふ屋うかい 日本庭園,"
〒107-0052 東京都港区赤坂４丁目３−２９ 東京芝とうふ屋うかい","
03-3436-1028",https://www.ukai.co.jp/shiba/,"4.8
(5)",Unknown,庭園,35.6572889,139.7453639
Hide N,4,3 か月前,      3 か月前,とうふ屋うかい 日本庭園,"
〒107-0052 東京都港区赤坂４丁目３−２９ 東京芝とうふ屋うかい","
03-3436-1028",https://www.ukai.co.jp/shiba/,"4.8
(5)",Unknown,庭園,35.6572889,139.7453639
Hide N,4,3 か月前,      3 か月前,とうふ屋うかい 日本庭園,"
〒107-0052 東京都港区赤坂４丁目３−２９ 東京芝とうふ屋うかい","
03-3436-1028",https://www.ukai.co.jp/shiba/,"4.8
(5)",Unknown,庭園,35.6572889,139.7453639
Tokyo Jepang,5,6 か月前,     6 か月前,とうふ屋うかい 日本庭園,"
〒107-0052 東京都港区赤坂４丁目３−２９ 東京芝とうふ屋うかい","
03-3436-1028",https://www.ukai.co.jp/shiba/,"4.8
(5)",Unknown,庭園,35.6572889,139.7453639
Tokyo Jepang,5,6 か月前,     6 か月前,とうふ屋うかい 日本庭園,"
〒107-0052 東京都港区赤坂４丁目３−２９ 東京芝とうふ屋うかい","
03-3436-1028",https://www.ukai.co.jp/shiba/,"4.8
(5)",Unknown,庭園,35.6572889,139.7453639
