Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
mym,4,2 か月前,"初めて行きました！
1月だったので、お花はほぼ何もない状況でしたが…それでも、個性的な彫刻の数々や、世界を旅する植物園、珍しい猿がたくさんいる動物園、ペリカン島などなど見応えバツグンでした！
ランチは、ハワイアンレストランのロコモコをいただきました！肉感あふれるハンバーグで美味しかったです。
日本初の石炭記念館も興味深いものがありました。（一部を除いて撮影不可）
野生の鳥たちもたくさんいて、その鳴き声に癒される素敵な時間を過ごせました☺︎
またお花がたくさん咲く季節に訪れたいです。",ときわ公園,"
〒755-0003 山口県宇部市則貞３丁目４−１","
0836-54-0551",https://www.tokiwapark.jp/,"4.2
(2,632)",Unknown,〒755-0003 山口県宇部市則貞３丁目４−１,33.945782,126.4051076
mym,4,2 か月前,"初めて行きました！
1月だったので、お花はほぼ何もない状況でしたが…それでも、個性的な彫刻の数々や、世界を旅する植物園、珍しい猿がたくさんいる動物園、ペリカン島などなど見応えバツグンでした！
ランチは、ハワイアンレストランのロコモコをいただきました！肉感あふれるハンバーグで美味しかったです。
日本初の石炭記念館も興味深いものがありました。（一部を除いて撮影不可）
野生の鳥たちもたくさんいて、その鳴き声に癒される素敵な時間を過ごせました☺︎
またお花がたくさん咲く季節に訪れたいです。",ときわ公園,"
〒755-0003 山口県宇部市則貞３丁目４−１","
0836-54-0551",https://www.tokiwapark.jp/,"4.2
(2,632)",Unknown,〒755-0003 山口県宇部市則貞３丁目４−１,33.945782,126.4051076
ボス猫,4,1 か月前,"小さい頃から何度も来てます。
動物園は動物の種類が少なくて有料になってしまったけど、毎回散歩がてらにゆっくり見て回ってます。
動物園の敷地内に遊具が少しあります。
遊園地は幼児向けで、大きな子供からはあまり楽しめないかもしれないです。
湖の白鳥、鯉に餌をあげるのも楽しいです。",ときわ公園,"
〒755-0003 山口県宇部市則貞３丁目４−１","
0836-54-0551",https://www.tokiwapark.jp/,"4.2
(2,632)",Unknown,〒755-0003 山口県宇部市則貞３丁目４−１,33.945782,126.4051076
ボス猫,4,1 か月前,"小さい頃から何度も来てます。
動物園は動物の種類が少なくて有料になってしまったけど、毎回散歩がてらにゆっくり見て回ってます。
動物園の敷地内に遊具が少しあります。
遊園地は幼児向けで、大きな子供からはあまり楽しめないかもしれないです。
湖の白鳥、鯉に餌をあげるのも楽しいです。",ときわ公園,"
〒755-0003 山口県宇部市則貞３丁目４−１","
0836-54-0551",https://www.tokiwapark.jp/,"4.2
(2,632)",Unknown,〒755-0003 山口県宇部市則貞３丁目４−１,33.945782,126.4051076
おかみちゃん,3,6 日前,"花いっぱいの季節がやってきた。
久しぶりのときわ公園❤️。桜はすでに散っていたけど次々と新しい花が咲いて賑わっていた。牡丹、シャクヤク、クリスマスローズ、５月くらいには菖蒲やは蓮の花が咲くみたい💐楽しみ楽しみ。お弁当持って好きな場所でランチ🍙みんなそれぞれに楽しんでいる。 …",ときわ公園,"
〒755-0003 山口県宇部市則貞３丁目４−１","
0836-54-0551",https://www.tokiwapark.jp/,"4.2
(2,632)",Unknown,〒755-0003 山口県宇部市則貞３丁目４−１,33.945782,126.4051076
おかみちゃん,3,6 日前,"花いっぱいの季節がやってきた。
久しぶりのときわ公園❤️。桜はすでに散っていたけど次々と新しい花が咲いて賑わっていた。牡丹、シャクヤク、クリスマスローズ、５月くらいには菖蒲やは蓮の花が咲くみたい💐楽しみ楽しみ。お弁当持って好きな場所でランチ🍙みんなそれぞれに楽しんでいる。 …",ときわ公園,"
〒755-0003 山口県宇部市則貞３丁目４−１","
0836-54-0551",https://www.tokiwapark.jp/,"4.2
(2,632)",Unknown,〒755-0003 山口県宇部市則貞３丁目４−１,33.945782,126.4051076
さぬjun,5,4 か月前,"めちゃ広い！キレイ！素敵な公園です。
大きな湖(池？)に沿って様々な見所があります。

あちこちに常設された巨大なアート、エヴァンゲリオンに出てくるロンギヌスの槍(実物大)
ペリカンがいる池＆島、キレイな錦鯉、動物園、菖蒲苑、ぼたん苑、日本庭園、長い橋を渡って行く小島の神社
石炭記念館、実物のSL蒸気機関車、売店、レストラン…

盛りだくさん！景色も最高！週末は割と来園者が多いですがそれでも人混み感は無く、一日中のんびりと過ごせます。",ときわ公園,"
〒755-0003 山口県宇部市則貞３丁目４−１","
0836-54-0551",https://www.tokiwapark.jp/,"4.2
(2,632)",Unknown,〒755-0003 山口県宇部市則貞３丁目４−１,33.945782,126.4051076
さぬjun,5,4 か月前,"めちゃ広い！キレイ！素敵な公園です。
大きな湖(池？)に沿って様々な見所があります。

あちこちに常設された巨大なアート、エヴァンゲリオンに出てくるロンギヌスの槍(実物大)
ペリカンがいる池＆島、キレイな錦鯉、動物園、菖蒲苑、ぼたん苑、日本庭園、長い橋を渡って行く小島の神社
石炭記念館、実物のSL蒸気機関車、売店、レストラン…

盛りだくさん！景色も最高！週末は割と来園者が多いですがそれでも人混み感は無く、一日中のんびりと過ごせます。",ときわ公園,"
〒755-0003 山口県宇部市則貞３丁目４−１","
0836-54-0551",https://www.tokiwapark.jp/,"4.2
(2,632)",Unknown,〒755-0003 山口県宇部市則貞３丁目４−１,33.945782,126.4051076
saAya,5,2 週間前,満開の桜と湖の対比がとても良かったです。園内も広く散歩をするのに最高でした。また桜の時期に訪れたいです。,ときわ公園,"
〒755-0003 山口県宇部市則貞３丁目４−１","
0836-54-0551",https://www.tokiwapark.jp/,"4.2
(2,632)",Unknown,〒755-0003 山口県宇部市則貞３丁目４−１,33.945782,126.4051076
saAya,5,2 週間前,満開の桜と湖の対比がとても良かったです。園内も広く散歩をするのに最高でした。また桜の時期に訪れたいです。,ときわ公園,"
〒755-0003 山口県宇部市則貞３丁目４−１","
0836-54-0551",https://www.tokiwapark.jp/,"4.2
(2,632)",Unknown,〒755-0003 山口県宇部市則貞３丁目４−１,33.945782,126.4051076
