Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
矢的猛,1,3 か月前,"最低の店主の接客に呆れてしまいました。
きび団子は、黒蜜ときな粉があり、店主に「どちらが人気ありますか？」と問えば、「その人の好みですよ」という返答にあんぐり…

五平餅も注文するも、注文を受けてから焼くので、待つのは構わないのですが、一緒に注文した、既に出来ている　きび団子・赤飯を先に受け取って、食べながら車中で待とうと思い、そう告げるも…

「品物は、全てが揃ってからじゃないと渡せません」と取り付く島も無い返答を返されました。

じゃあ店頭に停めている車で待って居ます。と伝えれば…

焼き上がりの頃合いを見計らって、そちらから取りに来てください！

そして焼き上がりの頃合いをみて、こちらから、引き取りに店内に出向けば、赤飯には箸すら、ついて無い。

すいませんがお箸を頂けませんか？
というと…

うちは持ち帰りしかしてないので、割箸の用意がありません！

というのです…

購入した五平餅…
串代りに割り箸を使ってますよね？

今どき、信じられない程の天動説の店主で、もう二度と行く気にはなりませんね。

ハッキリいって最低の接客態度です。",なこの団子 五平餅のながさか,"
〒344-0032 埼玉県春日部市備後東６丁目１１−３０ コーポサンライズ","
048-797-8774",Unknown,"3.3
(20)",ウェブサイトを追加してください,和菓子屋,35.4447116,138.4761175
矢的猛,1,3 か月前,"最低の店主の接客に呆れてしまいました。
きび団子は、黒蜜ときな粉があり、店主に「どちらが人気ありますか？」と問えば、「その人の好みですよ」という返答にあんぐり…

五平餅も注文するも、注文を受けてから焼くので、待つのは構わないのですが、一緒に注文した、既に出来ている　きび団子・赤飯を先に受け取って、食べながら車中で待とうと思い、そう告げるも…

「品物は、全てが揃ってからじゃないと渡せません」と取り付く島も無い返答を返されました。

じゃあ店頭に停めている車で待って居ます。と伝えれば…

焼き上がりの頃合いを見計らって、そちらから取りに来てください！

そして焼き上がりの頃合いをみて、こちらから、引き取りに店内に出向けば、赤飯には箸すら、ついて無い。

すいませんがお箸を頂けませんか？
というと…

うちは持ち帰りしかしてないので、割箸の用意がありません！

というのです…

購入した五平餅…
串代りに割り箸を使ってますよね？

今どき、信じられない程の天動説の店主で、もう二度と行く気にはなりませんね。

ハッキリいって最低の接客態度です。",なこの団子 五平餅のながさか,"
〒344-0032 埼玉県春日部市備後東６丁目１１−３０ コーポサンライズ","
048-797-8774",Unknown,"3.3
(20)",ウェブサイトを追加してください,和菓子屋,35.4447116,138.4761175
Harry Cat (ハリネコ),4,4 年前,土日祝のみ営業しているお団子屋さんです。注文を受けてから焼いてくれるので出来立てが美味しいです。最寄り駅は武里駅ですが徒歩で10分くらいかかります。駐車場はありません。なこの団子と五平餅は事前に電話しておくとスムーズです。,なこの団子 五平餅のながさか,"
〒344-0032 埼玉県春日部市備後東６丁目１１−３０ コーポサンライズ","
048-797-8774",Unknown,"3.3
(20)",ウェブサイトを追加してください,和菓子屋,35.4447116,138.4761175
Harry Cat (ハリネコ),4,4 年前,土日祝のみ営業しているお団子屋さんです。注文を受けてから焼いてくれるので出来立てが美味しいです。最寄り駅は武里駅ですが徒歩で10分くらいかかります。駐車場はありません。なこの団子と五平餅は事前に電話しておくとスムーズです。,なこの団子 五平餅のながさか,"
〒344-0032 埼玉県春日部市備後東６丁目１１−３０ コーポサンライズ","
048-797-8774",Unknown,"3.3
(20)",ウェブサイトを追加してください,和菓子屋,35.4447116,138.4761175
杉田信,5,3 か月前,初めてお店に入った品数は少ないが団子を焼いていると香波しい匂いが何とも言えない香りがして美味しいにおいがして焼きあがりが嬉しみだった又家に帰って食べたら美味しく又買いに行きたくなるだんごと吾平餅だった又吉備団子も美味しかった。クチコミではお店の人の対応が悪いと書いてあったがそんな事も無く人あたりの良い人だった営業日が土曜日と日曜日なので勿体ないと思う、,なこの団子 五平餅のながさか,"
〒344-0032 埼玉県春日部市備後東６丁目１１−３０ コーポサンライズ","
048-797-8774",Unknown,"3.3
(20)",ウェブサイトを追加してください,和菓子屋,35.4447116,138.4761175
杉田信,5,3 か月前,初めてお店に入った品数は少ないが団子を焼いていると香波しい匂いが何とも言えない香りがして美味しいにおいがして焼きあがりが嬉しみだった又家に帰って食べたら美味しく又買いに行きたくなるだんごと吾平餅だった又吉備団子も美味しかった。クチコミではお店の人の対応が悪いと書いてあったがそんな事も無く人あたりの良い人だった営業日が土曜日と日曜日なので勿体ないと思う、,なこの団子 五平餅のながさか,"
〒344-0032 埼玉県春日部市備後東６丁目１１−３０ コーポサンライズ","
048-797-8774",Unknown,"3.3
(20)",ウェブサイトを追加してください,和菓子屋,35.4447116,138.4761175
ヒカル“ヒカル”ノリキチ,4,2 年前,お団子とお赤飯しか食べたことないですが、美味しいです。お団子は、注文を受けてから、焼いてくれるので、アツアツです。店内は、凄く狭くて、一人しか入れません。基本は、土日祝だけの営業です。,なこの団子 五平餅のながさか,"
〒344-0032 埼玉県春日部市備後東６丁目１１−３０ コーポサンライズ","
048-797-8774",Unknown,"3.3
(20)",ウェブサイトを追加してください,和菓子屋,35.4447116,138.4761175
ヒカル“ヒカル”ノリキチ,4,2 年前,お団子とお赤飯しか食べたことないですが、美味しいです。お団子は、注文を受けてから、焼いてくれるので、アツアツです。店内は、凄く狭くて、一人しか入れません。基本は、土日祝だけの営業です。,なこの団子 五平餅のながさか,"
〒344-0032 埼玉県春日部市備後東６丁目１１−３０ コーポサンライズ","
048-797-8774",Unknown,"3.3
(20)",ウェブサイトを追加してください,和菓子屋,35.4447116,138.4761175
ひよちゃん,5,4 年前,土日祝日のみの営業に加え、今現在は団子と五平餅が主のラインナップ、電話予約がオススメですが、感染対策の為外で待つことになるけど１５分位です。焼きたてを持ち帰れますし、五平餅は本当に美味しい🍡💕 …,なこの団子 五平餅のながさか,"
〒344-0032 埼玉県春日部市備後東６丁目１１−３０ コーポサンライズ","
048-797-8774",Unknown,"3.3
(20)",ウェブサイトを追加してください,和菓子屋,35.4447116,138.4761175
ひよちゃん,5,4 年前,土日祝日のみの営業に加え、今現在は団子と五平餅が主のラインナップ、電話予約がオススメですが、感染対策の為外で待つことになるけど１５分位です。焼きたてを持ち帰れますし、五平餅は本当に美味しい🍡💕 …,なこの団子 五平餅のながさか,"
〒344-0032 埼玉県春日部市備後東６丁目１１−３０ コーポサンライズ","
048-797-8774",Unknown,"3.3
(20)",ウェブサイトを追加してください,和菓子屋,35.4447116,138.4761175
