Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ku 〜amour〜,4,1 か月前,"ちょうどふれあいタイムの時に行くことができました。
こちらは
グリーンパーク入園料と別途料金がかかりますがカンガルーに触れることができる貴重な体験ができます。",ひびき動物ワールド,"
〒808-0121 福岡県北九州市若松区竹並２８６","
093-741-2700",http://www.kpfmmf.jp/hibiki_animal_world/,"4.2
(704)",Unknown,動物園,33.9184186,130.728349
ku 〜amour〜,4,1 か月前,"ちょうどふれあいタイムの時に行くことができました。
こちらは
グリーンパーク入園料と別途料金がかかりますがカンガルーに触れることができる貴重な体験ができます。",ひびき動物ワールド,"
〒808-0121 福岡県北九州市若松区竹並２８６","
093-741-2700",http://www.kpfmmf.jp/hibiki_animal_world/,"4.2
(704)",Unknown,動物園,33.9184186,130.728349
あおママ,5,6 か月前,"動物ワールドと言う名前ですが、動物園とは違い、動物の種類はカンガルー、ワラビー、ワラルーのみです。
しかし、普通の動物園と比べ物にならない数のカンガルー、ワラビーがいます。
カンガルーが人慣れしているのか近づいてきてくれてかなり近くで見られてました。
ふれあいタイムは15時まででした。",ひびき動物ワールド,"
〒808-0121 福岡県北九州市若松区竹並２８６","
093-741-2700",http://www.kpfmmf.jp/hibiki_animal_world/,"4.2
(704)",Unknown,動物園,33.9184186,130.728349
あおママ,5,6 か月前,"動物ワールドと言う名前ですが、動物園とは違い、動物の種類はカンガルー、ワラビー、ワラルーのみです。
しかし、普通の動物園と比べ物にならない数のカンガルー、ワラビーがいます。
カンガルーが人慣れしているのか近づいてきてくれてかなり近くで見られてました。
ふれあいタイムは15時まででした。",ひびき動物ワールド,"
〒808-0121 福岡県北九州市若松区竹並２８６","
093-741-2700",http://www.kpfmmf.jp/hibiki_animal_world/,"4.2
(704)",Unknown,動物園,33.9184186,130.728349
寺崎武,4,1 年前,小2〜6女の子、4人連れて行って、朝から閉館時間の午後5時まで目一杯遊びました!　すべての遊具で楽しんでました。チョークアート広場は汚れもいい格好で😅　フリーマーケットもやっていました。カンガルーも大人しくずっとなでばでしてました。自転車レンタルしましたが、途中で小6二人は池一周コースに行き小2〜3と大人は半周コースで別れましたが、一周コースの通行止め区間で案内の矢印が逆で迷ってかなり遠くまで行ってしまいはぐれて大変でした!😳 …,ひびき動物ワールド,"
〒808-0121 福岡県北九州市若松区竹並２８６","
093-741-2700",http://www.kpfmmf.jp/hibiki_animal_world/,"4.2
(704)",Unknown,動物園,33.9184186,130.728349
寺崎武,4,1 年前,小2〜6女の子、4人連れて行って、朝から閉館時間の午後5時まで目一杯遊びました!　すべての遊具で楽しんでました。チョークアート広場は汚れもいい格好で😅　フリーマーケットもやっていました。カンガルーも大人しくずっとなでばでしてました。自転車レンタルしましたが、途中で小6二人は池一周コースに行き小2〜3と大人は半周コースで別れましたが、一周コースの通行止め区間で案内の矢印が逆で迷ってかなり遠くまで行ってしまいはぐれて大変でした!😳 …,ひびき動物ワールド,"
〒808-0121 福岡県北九州市若松区竹並２８６","
093-741-2700",http://www.kpfmmf.jp/hibiki_animal_world/,"4.2
(704)",Unknown,動物園,33.9184186,130.728349
野球草野,5,4 か月前,"夫婦＋幼児と行きました。
広すぎてお花畑には行かず、カンガルー、植物園、滑り台やブランコの遊具で遊びました。
用事があって泣く泣く帰りましたが、1日いれる広さとバリエーション！！

カンガルーは1日2回決められた時間に触れ合えるのでその時間帯がポイントです！
大人しくて幼児でも触れました。

植物園は1回でいいかな（笑）

駐車場300円、公園の入場料150円×2、カンガルー＆植物園のチケット1000円、トータル1600円で1日楽しめるなんて最高です！

こんな素敵なところ近くにあったらなー。。。九州行ったらまた行きます！！",ひびき動物ワールド,"
〒808-0121 福岡県北九州市若松区竹並２８６","
093-741-2700",http://www.kpfmmf.jp/hibiki_animal_world/,"4.2
(704)",Unknown,動物園,33.9184186,130.728349
野球草野,5,4 か月前,"夫婦＋幼児と行きました。
広すぎてお花畑には行かず、カンガルー、植物園、滑り台やブランコの遊具で遊びました。
用事があって泣く泣く帰りましたが、1日いれる広さとバリエーション！！

カンガルーは1日2回決められた時間に触れ合えるのでその時間帯がポイントです！
大人しくて幼児でも触れました。

植物園は1回でいいかな（笑）

駐車場300円、公園の入場料150円×2、カンガルー＆植物園のチケット1000円、トータル1600円で1日楽しめるなんて最高です！

こんな素敵なところ近くにあったらなー。。。九州行ったらまた行きます！！",ひびき動物ワールド,"
〒808-0121 福岡県北九州市若松区竹並２８６","
093-741-2700",http://www.kpfmmf.jp/hibiki_animal_world/,"4.2
(704)",Unknown,動物園,33.9184186,130.728349
ohesogahanabi,5,11 か月前,"グリーンパークへの入場料は必要ですが、
到津の森公園の運営費を支援する
年間パスポートを提示すると
ひびき動物ワールドの入園料は
無料になります。

入場すると
オオカンガルー
ワラビー
ケナガワラルー
を観察できます。

オオカンガルーの柵内は入って、
触れ合えますが
大型連休などは、
入るために行列ができていました。

フサオネズミカンガルーが2頭いましたが
「絶滅寸前」に分類されているらしいです。

9時と15時は
エサの時間　と書かれていました。

大人300円
小中学生は150円
未就学児は無料です。",ひびき動物ワールド,"
〒808-0121 福岡県北九州市若松区竹並２８６","
093-741-2700",http://www.kpfmmf.jp/hibiki_animal_world/,"4.2
(704)",Unknown,動物園,33.9184186,130.728349
ohesogahanabi,5,11 か月前,"グリーンパークへの入場料は必要ですが、
到津の森公園の運営費を支援する
年間パスポートを提示すると
ひびき動物ワールドの入園料は
無料になります。

入場すると
オオカンガルー
ワラビー
ケナガワラルー
を観察できます。

オオカンガルーの柵内は入って、
触れ合えますが
大型連休などは、
入るために行列ができていました。

フサオネズミカンガルーが2頭いましたが
「絶滅寸前」に分類されているらしいです。

9時と15時は
エサの時間　と書かれていました。

大人300円
小中学生は150円
未就学児は無料です。",ひびき動物ワールド,"
〒808-0121 福岡県北九州市若松区竹並２８６","
093-741-2700",http://www.kpfmmf.jp/hibiki_animal_world/,"4.2
(704)",Unknown,動物園,33.9184186,130.728349
