Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
乱羽ラルさん,5,2 週間前,"平日の朝8時30分頃に到着。すでに4人ほど並んでいましたが、開店と同時に入店できました。

並んで待っているときから、おかみさんが丁寧に挨拶をしてくれたりお茶のサービスもしてくれて感じが良かったです！

待ってる間にメニューを渡してくれるのでじっくりと考えられます。でもどれも魅力的で悩むなやむ😂💦

悩んだ末に決めたのはこれ

・卵黄醤油漬け＋肉そぼろ
・まぐろ角煮＋はとうがらし
・さけ＋明太マヨネーズ

目の前で作ってくれるのを眺めてるだけでワクワクします☺️✨

ついに出てきたときにおにぎりの大きさにびっくり！

３つ頼んだのはやりすぎたか？と思ったけど、ふんわり握られてるのと、具もたくさん入ってるのでご飯の量はそれほど多くはなくペロリといただけました😋✨

出来立てのおにぎりは海苔の風味もあって美味いですね！

店内はカウンターのみ8席だったかな？食べ終わる頃には10人ほど行列になってました。

テイクアウトは時間予約もできるようなので、並ぶのが苦手な方は家でゆっくり食べるのも良いかもです。",ぼんご,"
〒170-0004 東京都豊島区北大塚２丁目２７−５","
03-3910-5617",https://www.onigiribongo.info/,"4.1
(3,473)",Unknown,〒170-0004 東京都豊島区北大塚２丁目２７−５,35.7327209,139.5772484
乱羽ラルさん,5,2 週間前,"平日の朝8時30分頃に到着。すでに4人ほど並んでいましたが、開店と同時に入店できました。

並んで待っているときから、おかみさんが丁寧に挨拶をしてくれたりお茶のサービスもしてくれて感じが良かったです！

待ってる間にメニューを渡してくれるのでじっくりと考えられます。でもどれも魅力的で悩むなやむ😂💦

悩んだ末に決めたのはこれ

・卵黄醤油漬け＋肉そぼろ
・まぐろ角煮＋はとうがらし
・さけ＋明太マヨネーズ

目の前で作ってくれるのを眺めてるだけでワクワクします☺️✨

ついに出てきたときにおにぎりの大きさにびっくり！

３つ頼んだのはやりすぎたか？と思ったけど、ふんわり握られてるのと、具もたくさん入ってるのでご飯の量はそれほど多くはなくペロリといただけました😋✨

出来立てのおにぎりは海苔の風味もあって美味いですね！

店内はカウンターのみ8席だったかな？食べ終わる頃には10人ほど行列になってました。

テイクアウトは時間予約もできるようなので、並ぶのが苦手な方は家でゆっくり食べるのも良いかもです。",ぼんご,"
〒170-0004 東京都豊島区北大塚２丁目２７−５","
03-3910-5617",https://www.onigiribongo.info/,"4.1
(3,473)",Unknown,〒170-0004 東京都豊島区北大塚２丁目２７−５,35.7327209,139.5772484
康雄（まふお）,5,1 か月前,"大塚のホテルに泊まった際に、晩御飯で訪問しました。行ってみたかった有名店が近くでラッキーでした。

平日19時頃で4組待ち。20分くらいで入店しました。

具やトッピングが多く、予習してなかったので激しく悩みましたが、人気ランキングと好みを混ぜて3種注文。せっかくなのでお漬物ミックスとなめこの味噌汁も。

肉そぼろが絶品でした。鶏そぼろには無いオイリー感と甘辛い味付けがお米との相性が良かったです。
しそ昆布もシンプルにおにぎりの旨さを感じられて頼んで良かった。

出張の晩御飯としては寂しいかなと思いましたが、しみじみと旨く、何だかほっこり出来ました。

お隣のお婆ちゃんが会計の際に現金を持ってないハプニングがありましたが、さらっと人情味のある完璧なご対応され感心しました。

大塚に来たら必ず訪れたいお店でした。",ぼんご,"
〒170-0004 東京都豊島区北大塚２丁目２７−５","
03-3910-5617",https://www.onigiribongo.info/,"4.1
(3,473)",Unknown,〒170-0004 東京都豊島区北大塚２丁目２７−５,35.7327209,139.5772484
康雄（まふお）,5,1 か月前,"大塚のホテルに泊まった際に、晩御飯で訪問しました。行ってみたかった有名店が近くでラッキーでした。

平日19時頃で4組待ち。20分くらいで入店しました。

具やトッピングが多く、予習してなかったので激しく悩みましたが、人気ランキングと好みを混ぜて3種注文。せっかくなのでお漬物ミックスとなめこの味噌汁も。

肉そぼろが絶品でした。鶏そぼろには無いオイリー感と甘辛い味付けがお米との相性が良かったです。
しそ昆布もシンプルにおにぎりの旨さを感じられて頼んで良かった。

出張の晩御飯としては寂しいかなと思いましたが、しみじみと旨く、何だかほっこり出来ました。

お隣のお婆ちゃんが会計の際に現金を持ってないハプニングがありましたが、さらっと人情味のある完璧なご対応され感心しました。

大塚に来たら必ず訪れたいお店でした。",ぼんご,"
〒170-0004 東京都豊島区北大塚２丁目２７−５","
03-3910-5617",https://www.onigiribongo.info/,"4.1
(3,473)",Unknown,〒170-0004 東京都豊島区北大塚２丁目２７−５,35.7327209,139.5772484
natasha lifestyle,5,2 週間前,"テレビやYouTubeで見ててずっと目をつけていたおにぎり屋さん
見て割とすぐ行った
並ぶこと1時間
天気悪かったから並び少ない方だったかも！店内はいると
見たことあるおばちゃんいた！
人気の卵黄肉そぼろは絶対頼みたかった！
大満足だった！
おにぎり2個とお味噌汁で結構お腹いっぱいになるもんだ！
おにぎりはふわっと握られていて崩れるくらいがちょうどいい！
美味しかった！",ぼんご,"
〒170-0004 東京都豊島区北大塚２丁目２７−５","
03-3910-5617",https://www.onigiribongo.info/,"4.1
(3,473)",Unknown,〒170-0004 東京都豊島区北大塚２丁目２７−５,35.7327209,139.5772484
natasha lifestyle,5,2 週間前,"テレビやYouTubeで見ててずっと目をつけていたおにぎり屋さん
見て割とすぐ行った
並ぶこと1時間
天気悪かったから並び少ない方だったかも！店内はいると
見たことあるおばちゃんいた！
人気の卵黄肉そぼろは絶対頼みたかった！
大満足だった！
おにぎり2個とお味噌汁で結構お腹いっぱいになるもんだ！
おにぎりはふわっと握られていて崩れるくらいがちょうどいい！
美味しかった！",ぼんご,"
〒170-0004 東京都豊島区北大塚２丁目２７−５","
03-3910-5617",https://www.onigiribongo.info/,"4.1
(3,473)",Unknown,〒170-0004 東京都豊島区北大塚２丁目２７−５,35.7327209,139.5772484
W T,4,1 週間前,"素晴らしい。料理もさることながら、お客さま想いがとても伝わってくる。こちらから本当にご馳走様でしたと言いたくなる。
開店前には並んでる列に茶飲みでお茶が配られ、1人ずつにきちっとご挨拶に来る。
おにぎりは具の量が半端なくとにかくうまい。想像よりもだいぶいっぱい食える。
配慮といい、味といい、これが成功繁盛する飲食店だと痛感。",ぼんご,"
〒170-0004 東京都豊島区北大塚２丁目２７−５","
03-3910-5617",https://www.onigiribongo.info/,"4.1
(3,473)",Unknown,〒170-0004 東京都豊島区北大塚２丁目２７−５,35.7327209,139.5772484
W T,4,1 週間前,"素晴らしい。料理もさることながら、お客さま想いがとても伝わってくる。こちらから本当にご馳走様でしたと言いたくなる。
開店前には並んでる列に茶飲みでお茶が配られ、1人ずつにきちっとご挨拶に来る。
おにぎりは具の量が半端なくとにかくうまい。想像よりもだいぶいっぱい食える。
配慮といい、味といい、これが成功繁盛する飲食店だと痛感。",ぼんご,"
〒170-0004 東京都豊島区北大塚２丁目２７−５","
03-3910-5617",https://www.onigiribongo.info/,"4.1
(3,473)",Unknown,〒170-0004 東京都豊島区北大塚２丁目２７−５,35.7327209,139.5772484
Masayuki Sanada,5,4 週間前,"以前テレビで拝見して行って見たかったお店へいざ！六義園の夜桜鑑賞前に立ち寄らせて頂きました。到着したのは17時頃で、イートイン、テイクアウトのお客様含めて約20人待ちぐらいでした。かなり待つかな…と思ったら、テイクアウトの方もいらした関係だと思いますが、30分ぐらいで店内へ。外で待ってる間は、路面電車を見たり、注文を考えたりでそれほど長く感じませんでした。肝心のおにぎりは…美味でした！
先ずは食感が…ふわふわ！ほとんど握ってない、茶碗から食べてるようなフワフワ感。そして、たっぷりの具材とご飯！塩加減も控えめで、
ご飯と具材を引き立ててました！店内はカウンターでおにぎりを作ってるのを目の前で見られるのもとてもいいです！色々注文しましたが、個人的にはシンプルな具材が1番でした！
ちなみにあまりに美味しそうだったので、
予めテイクアウトも注文してたので、
帰ってからまた頬張り…2度楽しめました！",ぼんご,"
〒170-0004 東京都豊島区北大塚２丁目２７−５","
03-3910-5617",https://www.onigiribongo.info/,"4.1
(3,473)",Unknown,〒170-0004 東京都豊島区北大塚２丁目２７−５,35.7327209,139.5772484
Masayuki Sanada,5,4 週間前,"以前テレビで拝見して行って見たかったお店へいざ！六義園の夜桜鑑賞前に立ち寄らせて頂きました。到着したのは17時頃で、イートイン、テイクアウトのお客様含めて約20人待ちぐらいでした。かなり待つかな…と思ったら、テイクアウトの方もいらした関係だと思いますが、30分ぐらいで店内へ。外で待ってる間は、路面電車を見たり、注文を考えたりでそれほど長く感じませんでした。肝心のおにぎりは…美味でした！
先ずは食感が…ふわふわ！ほとんど握ってない、茶碗から食べてるようなフワフワ感。そして、たっぷりの具材とご飯！塩加減も控えめで、
ご飯と具材を引き立ててました！店内はカウンターでおにぎりを作ってるのを目の前で見られるのもとてもいいです！色々注文しましたが、個人的にはシンプルな具材が1番でした！
ちなみにあまりに美味しそうだったので、
予めテイクアウトも注文してたので、
帰ってからまた頬張り…2度楽しめました！",ぼんご,"
〒170-0004 東京都豊島区北大塚２丁目２７−５","
03-3910-5617",https://www.onigiribongo.info/,"4.1
(3,473)",Unknown,〒170-0004 東京都豊島区北大塚２丁目２７−５,35.7327209,139.5772484
