Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
kat kit,4,10 か月前,いい感じの古い橋　橋の下の石畳が街並みから続いてて雰囲気良好,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
kat kit,4,10 か月前,いい感じの古い橋　橋の下の石畳が街並みから続いてて雰囲気良好,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
白田みさき,5,3 年前,潮風の気持ち良いローカルスポット,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
白田みさき,5,3 年前,潮風の気持ち良いローカルスポット,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Asnita Leman,4,5 か月前,レインボーブリッジ (港橋) は、東京湾北部の芝浦埠頭とお台場の臨海開発地区の間に架かる吊り橋です。長さは 798 メートル、主スパンは 580 メートルです。特に夜は虹の色に似た色とりどりの光で美しく見えます。,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Asnita Leman,4,5 か月前,レインボーブリッジ (港橋) は、東京湾北部の芝浦埠頭とお台場の臨海開発地区の間に架かる吊り橋です。長さは 798 メートル、主スパンは 580 メートルです。特に夜は虹の色に似た色とりどりの光で美しく見えます。,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Kizaku,5,1 年前,大きな橋,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Kizaku,5,1 年前,大きな橋,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Lloyd G.,5,4 年前,日本一の橋,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Lloyd G.,5,4 年前,日本一の橋,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Nicholas Fung,5,5 年前,もうほとんど信じられない,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Nicholas Fung,5,5 年前,もうほとんど信じられない,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Gabo Simpliciano,5,5 年前,フォートナイトバーガー,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Gabo Simpliciano,5,5 年前,フォートナイトバーガー,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Lucas San Juan,5,5 年前,ヨーダぬいぐるみ,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Lucas San Juan,5,5 年前,ヨーダぬいぐるみ,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Elaine Chen,5,10 か月前,      10 か月前,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Elaine Chen,5,10 か月前,      10 か月前,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Daisuke Yamamoto,5,3 年前,      3 年前,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
Daisuke Yamamoto,5,3 年前,      3 年前,みなと橋,"
〒920-0331 石川県金沢市大野町",Unknown,Unknown,"4.8
(10)",お店やスポットの電話番号を追加する,〒920-0331 石川県金沢市大野町,36.6135422,136.6065066
