Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Ryu Otani,4,1 か月前,"銀座駅直結、三越9Fにある広々空間のカフェ

こちらは、銀座三越9Fにあります。
全農さんのお店で、お隣はみのる食堂

カフェ自体のお席はちょっとなのかな？
ただ、9Fが広々としたオープンスペースなっていて、どこででもいただけます。
一部の窓際席からは銀座の街並みもみえたり、かなりまったりできるカフェ

この日はスープセットにジェラートを頂きました。

銀座でちょっと時間調整するときにかなり便利なカフェだと思います。
というかこの場所のオープンスペースは凄い便利🤗",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
Ryu Otani,4,1 か月前,"銀座駅直結、三越9Fにある広々空間のカフェ

こちらは、銀座三越9Fにあります。
全農さんのお店で、お隣はみのる食堂

カフェ自体のお席はちょっとなのかな？
ただ、9Fが広々としたオープンスペースなっていて、どこででもいただけます。
一部の窓際席からは銀座の街並みもみえたり、かなりまったりできるカフェ

この日はスープセットにジェラートを頂きました。

銀座でちょっと時間調整するときにかなり便利なカフェだと思います。
というかこの場所のオープンスペースは凄い便利🤗",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
抹茶ラテ,5,3 か月前,"スープセット（1,350円）を頂きました。
サンドイッチやドリンクをいくつかある候補の中から選べます。
彩り野菜のチキンサンドと、飲み物は和紅茶（べにふうき）を選びました。
たまたま、スープも2種類から選べたので（フェア期間中だと、フェア商品ｏｒ本日のスープから選べるようでした）本日のスープを選択。

レジのところで注文してお会計をすると番号札（レシートのようなもの）を渡されるので、番号で呼ばれたらカウンターで品物を受け取ります。

・彩り野菜のチキンサンド
野菜がたっぷり！この野菜高騰の中で、食パンよりも分厚い野菜がたっぷりサンドされています。
普通のキャベツよりも食物繊維がたっぷりの紫キャベツ、トマト、にんじん、レタス…？
新鮮で、シャキシャキしてて、とても美味しい。
チキンも真ん中あたりにありますが、野菜が主役です。
カロリーを気にせず食べられる、ボリューミーなサンドイッチでした。

・サラダ
こちらもシャキっとしていて美味しかったです。
かけられているドレッシングがこれまた美味しい。

・本日のスープ
冬らしく、根菜類＋鶏肉団子かな？が入っている和風スープでした。
こちらも優しいお味で温まりました。

・べにふうき（国産紅茶）
ちゃんと「紅茶」してました。
お手軽なお店だと「色がついたお湯」みたいな紅茶を出されることも少なくないのですが、ちゃんと紅茶の味わいを感じられました。
量もたっぷり。
美味しかったです。

銀座で、1,350円でこれだけボリュームたっぷりで、高騰してしまっている野菜をたくさん食べられるのは、本当に良心的だと思います。
野菜をたっぷり食べたい方、栄養を摂りつつカロリーを控えたい方にお勧めです。
お味も美味しかったです！",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
抹茶ラテ,5,3 か月前,"スープセット（1,350円）を頂きました。
サンドイッチやドリンクをいくつかある候補の中から選べます。
彩り野菜のチキンサンドと、飲み物は和紅茶（べにふうき）を選びました。
たまたま、スープも2種類から選べたので（フェア期間中だと、フェア商品ｏｒ本日のスープから選べるようでした）本日のスープを選択。

レジのところで注文してお会計をすると番号札（レシートのようなもの）を渡されるので、番号で呼ばれたらカウンターで品物を受け取ります。

・彩り野菜のチキンサンド
野菜がたっぷり！この野菜高騰の中で、食パンよりも分厚い野菜がたっぷりサンドされています。
普通のキャベツよりも食物繊維がたっぷりの紫キャベツ、トマト、にんじん、レタス…？
新鮮で、シャキシャキしてて、とても美味しい。
チキンも真ん中あたりにありますが、野菜が主役です。
カロリーを気にせず食べられる、ボリューミーなサンドイッチでした。

・サラダ
こちらもシャキっとしていて美味しかったです。
かけられているドレッシングがこれまた美味しい。

・本日のスープ
冬らしく、根菜類＋鶏肉団子かな？が入っている和風スープでした。
こちらも優しいお味で温まりました。

・べにふうき（国産紅茶）
ちゃんと「紅茶」してました。
お手軽なお店だと「色がついたお湯」みたいな紅茶を出されることも少なくないのですが、ちゃんと紅茶の味わいを感じられました。
量もたっぷり。
美味しかったです。

銀座で、1,350円でこれだけボリュームたっぷりで、高騰してしまっている野菜をたくさん食べられるのは、本当に良心的だと思います。
野菜をたっぷり食べたい方、栄養を摂りつつカロリーを控えたい方にお勧めです。
お味も美味しかったです！",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
グリーンバレー,4,3 週間前,"日曜昼、銀座で妻と待ち合わせ。小腹が減っていたのでこちらの『みのりカフェ』へ。
なかなかの行列で
私は、
・たまごサンド
・ブルーベリヨーグルトスムージー
をチョイス。全農が関わっているとのことで、おそらく素材は良いのでしょう。美味しくいただきました。",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
グリーンバレー,4,3 週間前,"日曜昼、銀座で妻と待ち合わせ。小腹が減っていたのでこちらの『みのりカフェ』へ。
なかなかの行列で
私は、
・たまごサンド
・ブルーベリヨーグルトスムージー
をチョイス。全農が関わっているとのことで、おそらく素材は良いのでしょう。美味しくいただきました。",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
ミートたけし（Piment Coffee）,5,1 か月前,"フレーバーコーヒーも魅力的でしたが
今回はイチオシのレモンスカッシュと
苺のパンナコッタにしてみました！

平日の夕方でも混んでいるので
休日は覚悟が必要かも、、、

買い物でつかれた身体をゆっくり休めて下さい♪",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
ミートたけし（Piment Coffee）,5,1 か月前,"フレーバーコーヒーも魅力的でしたが
今回はイチオシのレモンスカッシュと
苺のパンナコッタにしてみました！

平日の夕方でも混んでいるので
休日は覚悟が必要かも、、、

買い物でつかれた身体をゆっくり休めて下さい♪",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
優待太郎,3,3 か月前,"クリエイト・レストランツ・ホールディングスの株主優待が利用できます。
健康的な料理ですが、ボリュームはしっかりとあります。
食事はテラスでも可能です。",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
優待太郎,3,3 か月前,"クリエイト・レストランツ・ホールディングスの株主優待が利用できます。
健康的な料理ですが、ボリュームはしっかりとあります。
食事はテラスでも可能です。",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
kaosuke,4,5 か月前,"これほどかというくらいにお野菜たっぷりでヘルシー
いい気候だったので外でのんびり食べることができました
次はスムージーとジェラートもいただいてみたいです",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
kaosuke,4,5 か月前,"これほどかというくらいにお野菜たっぷりでヘルシー
いい気候だったので外でのんびり食べることができました
次はスムージーとジェラートもいただいてみたいです",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
Steven Bara,4,11 か月前,"食事は普通だった。 ただのカフェだと思えばまあまあかな。 特に野菜が多いのが良かった。
混んでいてもQRコード注文のおかげで注文しやすかったです。
料理もそれなりに早く来ました。
ビルの上の雰囲気もいい。
ただ、観光客が多いのが大きなマイナス点。 素行の悪い人が多かった。 彼らが西洋人の外国人を見たことがないのはわかるが、ランチを食べているときに言い寄られるのは好きではない。 あと...食事中は口を閉じましょう😒。",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
Steven Bara,4,11 か月前,"食事は普通だった。 ただのカフェだと思えばまあまあかな。 特に野菜が多いのが良かった。
混んでいてもQRコード注文のおかげで注文しやすかったです。
料理もそれなりに早く来ました。
ビルの上の雰囲気もいい。
ただ、観光客が多いのが大きなマイナス点。 素行の悪い人が多かった。 彼らが西洋人の外国人を見たことがないのはわかるが、ランチを食べているときに言い寄られるのは好きではない。 あと...食事中は口を閉じましょう😒。",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
Toru I,5,2 年前,"2回目の訪問。

前回も今回もお昼過ぎに来ましたが、とても混んでいて席を取るのが大変です。でも横にフリースペースの座席、窓際にカウンターもあるので、お店のテーブル外でも食べられると思えば回転率も良いと思います。

またベビーカーもお店のテーブル、フリースペース共に余裕を持って置いておけるので安心。

今回もたまごサンドのポテトセット、アイスコーヒーを頼みました。たまごサンドのたまごがビッシリ入っていて、某コンビニのサンドイッチに参考にしてもらいたいくらいです。ポテトはしっかり温かく、ちょうど良い塩加減でカリカリで中はホクホク。サラダもとても美味しいです。

隣が喫煙室になっているので、ドアの開け閉めがあると煙の匂いが漂って来る事だけマイナスでしょうか。でも美味しいのでオススメです。

また銀座に行った時に行きたいと思います。",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
Toru I,5,2 年前,"2回目の訪問。

前回も今回もお昼過ぎに来ましたが、とても混んでいて席を取るのが大変です。でも横にフリースペースの座席、窓際にカウンターもあるので、お店のテーブル外でも食べられると思えば回転率も良いと思います。

またベビーカーもお店のテーブル、フリースペース共に余裕を持って置いておけるので安心。

今回もたまごサンドのポテトセット、アイスコーヒーを頼みました。たまごサンドのたまごがビッシリ入っていて、某コンビニのサンドイッチに参考にしてもらいたいくらいです。ポテトはしっかり温かく、ちょうど良い塩加減でカリカリで中はホクホク。サラダもとても美味しいです。

隣が喫煙室になっているので、ドアの開け閉めがあると煙の匂いが漂って来る事だけマイナスでしょうか。でも美味しいのでオススメです。

また銀座に行った時に行きたいと思います。",みのりカフェ 三越銀座店,"
〒104-0061 東京都中央区銀座４丁目６−１６ テラス銀座 三越 9","
03-5524-3127",http://minoriminoru.jp/cafe/,"3.8
(474)",Unknown,コーヒーショップ・喫茶店,35.671214,139.7659268
