Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
座敷わらし,4,1 か月前,"明礬(みょうばん）温泉と読みます。

温泉たまごが１ケ¥50で買える。
香りもよく付いていて美味しかったです。おすすめです。d(⁠^⁠^⁠)

お土産店があり、手ぬぐいや湯の花の販売、その他名産品など購入出来ます。

家族風呂もあります。

また、高台にある露天風呂にも入る事が出来ます。

湯の香りが強く効能が凄そうって感じのお湯で、今回の滞在期間でもかなり印象に残った温泉になりました。

いいお湯でした。(⁠ ⁠ꈍ⁠ᴗ⁠ꈍ⁠)",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
座敷わらし,4,1 か月前,"明礬(みょうばん）温泉と読みます。

温泉たまごが１ケ¥50で買える。
香りもよく付いていて美味しかったです。おすすめです。d(⁠^⁠^⁠)

お土産店があり、手ぬぐいや湯の花の販売、その他名産品など購入出来ます。

家族風呂もあります。

また、高台にある露天風呂にも入る事が出来ます。

湯の香りが強く効能が凄そうって感じのお湯で、今回の滞在期間でもかなり印象に残った温泉になりました。

いいお湯でした。(⁠ ⁠ꈍ⁠ᴗ⁠ꈍ⁠)",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
姫ライン,3,2 週間前,"温泉卵が50円でした。しっかりとなかまで色がついていて。感動した。
湯の花も売っていて。2回目の購入！
自宅でも温泉気分が味わえます。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
姫ライン,3,2 週間前,"温泉卵が50円でした。しっかりとなかまで色がついていて。感動した。
湯の花も売っていて。2回目の購入！
自宅でも温泉気分が味わえます。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
みいこ,5,1 か月前,"母が皮膚が乾燥して痒いと言っていたので明礬温泉に行きました。
着いたら硫黄の匂いがフワーと。
10時過ぎに着きましたが、貸切風呂は1時間待ちでした。
葦の屋根のこぢんまりとした小屋の扉を開けると、岩で作られたお風呂に乳白色のお湯が。
熱いお湯も掛け流しでした。
すごく熱くないので40分位ゆっくり使って体の芯までホカホカになりました。

後日談で次の日も肌がなめらかな感じがして、母も何もつけずに過ごせてました。
露天風呂もあり、天気が良ければ気持ちいいと思います。
趣があってよかったです。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
みいこ,5,1 か月前,"母が皮膚が乾燥して痒いと言っていたので明礬温泉に行きました。
着いたら硫黄の匂いがフワーと。
10時過ぎに着きましたが、貸切風呂は1時間待ちでした。
葦の屋根のこぢんまりとした小屋の扉を開けると、岩で作られたお風呂に乳白色のお湯が。
熱いお湯も掛け流しでした。
すごく熱くないので40分位ゆっくり使って体の芯までホカホカになりました。

後日談で次の日も肌がなめらかな感じがして、母も何もつけずに過ごせてました。
露天風呂もあり、天気が良ければ気持ちいいと思います。
趣があってよかったです。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
K U,4,2 か月前,"貸切風呂の待ち時間にお土産と食事を！
土曜の11時くらいに行きましたが、お風呂はすでに2時間待ち、お土産見たり、軽食をして、ちょうどいい時間になりましたが、家族風呂を利用される方は、先に予約して、食事やお土産見るなど時間使うのがおすすめです！
明礬温泉は、硫黄泉で別府のどの温泉よりも硫黄臭が強く、その日は体から硫黄の臭いが取れないレベルですが、自分は、それが好きでよく利用してます！",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
K U,4,2 か月前,"貸切風呂の待ち時間にお土産と食事を！
土曜の11時くらいに行きましたが、お風呂はすでに2時間待ち、お土産見たり、軽食をして、ちょうどいい時間になりましたが、家族風呂を利用される方は、先に予約して、食事やお土産見るなど時間使うのがおすすめです！
明礬温泉は、硫黄泉で別府のどの温泉よりも硫黄臭が強く、その日は体から硫黄の臭いが取れないレベルですが、自分は、それが好きでよく利用してます！",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
maki,5,3 週間前,"入り口の小さな藁葺き屋根🛖に、ワクワクする😏これは家族風呂、わたしは奥の共同の温泉へ、まあ熱いので、ならし風呂にはいり☺湯の花が見える♨
肌にも肩こりにもいい、嬉しい
蒸したタマゴの美味しいこと
いろんな所で食べたけど一番安かった５０円
大量に買えばよかった。甘酒の瓶
買ったら試飲たまたま飲めて絶品。湯の花ももっと買っておけば、通販は+送料
🚌で別府駅へ帰ります３０分位",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
maki,5,3 週間前,"入り口の小さな藁葺き屋根🛖に、ワクワクする😏これは家族風呂、わたしは奥の共同の温泉へ、まあ熱いので、ならし風呂にはいり☺湯の花が見える♨
肌にも肩こりにもいい、嬉しい
蒸したタマゴの美味しいこと
いろんな所で食べたけど一番安かった５０円
大量に買えばよかった。甘酒の瓶
買ったら試飲たまたま飲めて絶品。湯の花ももっと買っておけば、通販は+送料
🚌で別府駅へ帰ります３０分位",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
Kaori,4,3 か月前,"露天風呂に入るなら奥の方に駐車場があるので、手前に止めるとすごく歩く事になるので注意です。
内湯は狭いですが、自分でお湯を入れて温度調整出来ます。露天風呂は広くて解放感ありますが、この日は雪混じりの雨で寒かったです。ロッカーは昔ながらの鍵をかけて無料で使えます。料金の支払いはPayPayでしました。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
Kaori,4,3 か月前,"露天風呂に入るなら奥の方に駐車場があるので、手前に止めるとすごく歩く事になるので注意です。
内湯は狭いですが、自分でお湯を入れて温度調整出来ます。露天風呂は広くて解放感ありますが、この日は雪混じりの雨で寒かったです。ロッカーは昔ながらの鍵をかけて無料で使えます。料金の支払いはPayPayでしました。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
nog1 nog1,4,5 か月前,"一個５０円の温泉ゆで玉子がお勧めです。
すぐ近くの岡本屋の半額で、しっかり温泉らしさを感じます。

無料で温泉手湯対決、湯の花も見る事が出来ます。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
nog1 nog1,4,5 か月前,"一個５０円の温泉ゆで玉子がお勧めです。
すぐ近くの岡本屋の半額で、しっかり温泉らしさを感じます。

無料で温泉手湯対決、湯の花も見る事が出来ます。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
Hide K,4,2 週間前,"昔ながらの製法でミョウバンと湯の華を製造し、見学できる施設。
初めて見る製法にちょっと感動します👍 …",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
Hide K,4,2 週間前,"昔ながらの製法でミョウバンと湯の華を製造し、見学できる施設。
初めて見る製法にちょっと感動します👍 …",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
こな,5,3 か月前,"観光地にもかかわらず、テイクアウトメニューの価格がとても良心的

むしたまご50円
芋まんじゅう150円
ちまき150円
ゆずはちみつスカッシュ350円

岡本屋の温泉卵と食べ比べしましたが、湯の里の卵の方が好みでした
お土産に卵をまとめ買いしている方もいました

芋まんじゅう、ちまきもおすすめです",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
こな,5,3 か月前,"観光地にもかかわらず、テイクアウトメニューの価格がとても良心的

むしたまご50円
芋まんじゅう150円
ちまき150円
ゆずはちみつスカッシュ350円

岡本屋の温泉卵と食べ比べしましたが、湯の里の卵の方が好みでした
お土産に卵をまとめ買いしている方もいました

芋まんじゅう、ちまきもおすすめです",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
cashias,3,3 か月前,"ゆで卵が、燻製のようで変わっていて良かった。
温泉で手洗いもできてよかった。
お土産もそこそこらありました。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
cashias,3,3 か月前,"ゆで卵が、燻製のようで変わっていて良かった。
温泉で手洗いもできてよかった。
お土産もそこそこらありました。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
hi-iro,4,2 か月前,"別府の旅、最大といっても過言ではない明礬温泉
別府の中では一番標高の高い温泉地

大露天風呂もあるようですが、今回は家族湯へ
本館で予約行い、1時間の貸し切り
硫黄泉で白く濁ったお湯もよし、のんびり気兼ねなく入れるのはいい、しっかり温めてもらう
薬用 湯の花の製造工程が見学できる小屋なんかもあって大満足",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
hi-iro,4,2 か月前,"別府の旅、最大といっても過言ではない明礬温泉
別府の中では一番標高の高い温泉地

大露天風呂もあるようですが、今回は家族湯へ
本館で予約行い、1時間の貸し切り
硫黄泉で白く濁ったお湯もよし、のんびり気兼ねなく入れるのはいい、しっかり温めてもらう
薬用 湯の花の製造工程が見学できる小屋なんかもあって大満足",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
ナシアゴ,5,4 か月前,"最高でした
泉質はもちろん
大自然を眺めながらの入浴がとてつもなく癒されます",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
ナシアゴ,5,4 か月前,"最高でした
泉質はもちろん
大自然を眺めながらの入浴がとてつもなく癒されます",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
Nd4 Neda4,5,6 か月前,"別府らしい観光地。温泉の源泉からの恵みである『湯の花』が作られ、採られる施設もある。

その施設は気軽に無料で見学も出来る。

湯の花は、映ないが昔懐かしい風情があり、別府土産にも良い。

健康にも良いお土産。

駐車場はあり。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
Nd4 Neda4,5,6 か月前,"別府らしい観光地。温泉の源泉からの恵みである『湯の花』が作られ、採られる施設もある。

その施設は気軽に無料で見学も出来る。

湯の花は、映ないが昔懐かしい風情があり、別府土産にも良い。

健康にも良いお土産。

駐車場はあり。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
masagy0520,3,3 か月前,"2019年5月1日に来訪。
内風呂は無く露天風呂のみで、洗い場はシャワーではなく、カランのみです。とても強い泉質で、とても良かった。
湯の中に沈んだ、湯の華がシャリシャリで、湯の華のせいか、後々、お尻がかぶれたのが、とても痛くなった。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
masagy0520,3,3 か月前,"2019年5月1日に来訪。
内風呂は無く露天風呂のみで、洗い場はシャワーではなく、カランのみです。とても強い泉質で、とても良かった。
湯の中に沈んだ、湯の華がシャリシャリで、湯の華のせいか、後々、お尻がかぶれたのが、とても痛くなった。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
meg,5,7 か月前,"⁡꙳★*ﾟ明礬  湯の里꙳★*ﾟ

別府八湯で人気の観光スポット
「みょうばん」！！
敷地内には茅葺き屋根の「湯の花小屋」が
立ち並び江戸時代から続く
“みょうばん”製造の工程見学を楽しめる
ようになっています。
風情ある空間の中で家族湯や
露天風呂もあり
乳白色の硫黄泉が特徴的♨
郷土料理が味わえるレストラン目の前
“ともゑや”では2023年11月から
オシャレなお土産屋さんの中で
カフェもスタート𖠚ᐝ⁡
⁡⁡
⁡

※温泉蒸しプリン(￥250)
※ホットコーヒー(￥250)
温泉の噴気だけで蒸しあげたプリン！！
濃厚な甘さでちょっと固めの食感。
カラメルソースはほろ苦·͜·♡
コーヒーの味はコクと深みがある
トアルコトラジャで飲みやすい𖠚ᐝ⁡
⁡⁡
⁡

【住所】別府市明礬6組
【営業時間】9:00~18:00
【ＴＥＬ】0977-66-8166
【定休日】なし(不定休)
【駐車場】あり⁡
⁡⁡
⁡

@myouban_yunosato⁡
⁡⁡
⁡⁡",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
meg,5,7 か月前,"⁡꙳★*ﾟ明礬  湯の里꙳★*ﾟ

別府八湯で人気の観光スポット
「みょうばん」！！
敷地内には茅葺き屋根の「湯の花小屋」が
立ち並び江戸時代から続く
“みょうばん”製造の工程見学を楽しめる
ようになっています。
風情ある空間の中で家族湯や
露天風呂もあり
乳白色の硫黄泉が特徴的♨
郷土料理が味わえるレストラン目の前
“ともゑや”では2023年11月から
オシャレなお土産屋さんの中で
カフェもスタート𖠚ᐝ⁡
⁡⁡
⁡

※温泉蒸しプリン(￥250)
※ホットコーヒー(￥250)
温泉の噴気だけで蒸しあげたプリン！！
濃厚な甘さでちょっと固めの食感。
カラメルソースはほろ苦·͜·♡
コーヒーの味はコクと深みがある
トアルコトラジャで飲みやすい𖠚ᐝ⁡
⁡⁡
⁡

【住所】別府市明礬6組
【営業時間】9:00~18:00
【ＴＥＬ】0977-66-8166
【定休日】なし(不定休)
【駐車場】あり⁡
⁡⁡
⁡

@myouban_yunosato⁡
⁡⁡
⁡⁡",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
tasukiboshi,5,1 年前,"予約してから1時間半待ったし硫黄のニオイは3日位ほんのり残ったけど、それを差し置いてもとても良かったです。売店で予約した際にも親切に対応して下さって、感じが良かったです。

家族風呂はとても風情があったし、硫黄のニオイも相まって温泉に来たー！という満足感がとても高かった。お風呂は狭めです。

お湯もとても良くて、肩こりが数日治まってビックリです。ピーリング効果も凄くてお肌ツルツルになりました！ただ入ったあとは乾燥するので、保湿アイテム必須。

湯上りの生ビールは売店で400円！温泉卵や温泉蒸しプリンもとても美味しかったです。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
tasukiboshi,5,1 年前,"予約してから1時間半待ったし硫黄のニオイは3日位ほんのり残ったけど、それを差し置いてもとても良かったです。売店で予約した際にも親切に対応して下さって、感じが良かったです。

家族風呂はとても風情があったし、硫黄のニオイも相まって温泉に来たー！という満足感がとても高かった。お風呂は狭めです。

お湯もとても良くて、肩こりが数日治まってビックリです。ピーリング効果も凄くてお肌ツルツルになりました！ただ入ったあとは乾燥するので、保湿アイテム必須。

湯上りの生ビールは売店で400円！温泉卵や温泉蒸しプリンもとても美味しかったです。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
みかん,1,2 週間前,"2025年3月末ごろ貸切風呂を朝、10時から1番風呂で入りました。残念な事にお湯を変えてらっしゃらない様で、1番にも関わらず長い髪の毛が何本もお湯の中に入っていて気持ち悪かったです。にごり湯なので、見た目には綺麗に見えます。お湯をかえないなら、髪の毛を網ですくうなど、最低限の清掃はして欲しいです。清潔さとプライバシーを求めて、貸切を利用しているのでかなりがっかりしました。これなら、透明なお湯の貸切風呂に行けば良かったとかなり後悔しました。
お湯も、かなりぬるくて、37度もないくらい
でした。自分でお湯を大量に足さなければいけませんでした。水のようで寒くて、身体が温まるまでに30分は浸かっていないといけないので、皮膚がシワシワになりました。温度計で、湯温の確認もされた方がよろしいと思います。遠方からわざわざ訪れているので、よろしくお願いします。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
みかん,1,2 週間前,"2025年3月末ごろ貸切風呂を朝、10時から1番風呂で入りました。残念な事にお湯を変えてらっしゃらない様で、1番にも関わらず長い髪の毛が何本もお湯の中に入っていて気持ち悪かったです。にごり湯なので、見た目には綺麗に見えます。お湯をかえないなら、髪の毛を網ですくうなど、最低限の清掃はして欲しいです。清潔さとプライバシーを求めて、貸切を利用しているのでかなりがっかりしました。これなら、透明なお湯の貸切風呂に行けば良かったとかなり後悔しました。
お湯も、かなりぬるくて、37度もないくらい
でした。自分でお湯を大量に足さなければいけませんでした。水のようで寒くて、身体が温まるまでに30分は浸かっていないといけないので、皮膚がシワシワになりました。温度計で、湯温の確認もされた方がよろしいと思います。遠方からわざわざ訪れているので、よろしくお願いします。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
恵美首藤,5,11 か月前,"時間帯によっては静かに過ごせる。
地獄蒸しのちまきあり、とうもろこし、定番地獄蒸し卵をいただける。今日はさつまいもがなかったのが残念。明礬の硫黄泉の手湯もあり。
湯の里には家族風呂もあり、上れば大浴場(600円)ツアー客でごった返してなければ、ちよっと近場の旅な気分で過ごせるのがよい。別府ブルワリーのカボスビールも飲める。テラスにパラソルもついて、休憩の椅子、テーブルもあるので、ゆるりと過ごせる。
ちょうど新緑の季節、扇山、鶴見岳、明礬地獄、高速道路の明礬大橋、別府湾を臨むロケーションもなかなかだ。遠出できないけれどちょっと日常を忘れる時には手頃な温泉郷である。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
恵美首藤,5,11 か月前,"時間帯によっては静かに過ごせる。
地獄蒸しのちまきあり、とうもろこし、定番地獄蒸し卵をいただける。今日はさつまいもがなかったのが残念。明礬の硫黄泉の手湯もあり。
湯の里には家族風呂もあり、上れば大浴場(600円)ツアー客でごった返してなければ、ちよっと近場の旅な気分で過ごせるのがよい。別府ブルワリーのカボスビールも飲める。テラスにパラソルもついて、休憩の椅子、テーブルもあるので、ゆるりと過ごせる。
ちょうど新緑の季節、扇山、鶴見岳、明礬地獄、高速道路の明礬大橋、別府湾を臨むロケーションもなかなかだ。遠出できないけれどちょっと日常を忘れる時には手頃な温泉郷である。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
zw kinmugi,4,6 か月前,"温泉プリンを購入。
手湯があり触るだけでも泉質は良いと感じます。
お土産がたくさん売られています。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
zw kinmugi,4,6 か月前,"温泉プリンを購入。
手湯があり触るだけでも泉質は良いと感じます。
お土産がたくさん売られています。",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
小林カヨ子,4,6 か月前,別府に行き、湯の花を作ってる明礬温泉に行きました。趣のある小屋の中を見学して、温泉地に来たと感じられて、とても良かったです。,みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
小林カヨ子,4,6 か月前,別府に行き、湯の花を作ってる明礬温泉に行きました。趣のある小屋の中を見学して、温泉地に来たと感じられて、とても良かったです。,みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
YASUHIRO,3,3 か月前,三階にレストランがあって、メニューは少ないけど、とり天やだんご汁を少しお腹に入れるにはいい感じ。定食もあるけど、単品で結構ボリュームあります。,みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
YASUHIRO,3,3 か月前,三階にレストランがあって、メニューは少ないけど、とり天やだんご汁を少しお腹に入れるにはいい感じ。定食もあるけど、単品で結構ボリュームあります。,みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
take choon,5,1 年前,"こちらの温泉は、湯が白くにごっており、硫黄が香る温泉です

殺菌力が強く、皮膚病や神経痛などに効能があるそうです

家族湯は1時間で2000円から2500円。湯の花を製造する小屋を模したお部屋は雰囲気抜群

幸せが暖かさが、身体の隅々まで行き渡り、ずっと浸かっていたい気持ちになる温泉です

※ただ、結構酸性が強い温泉なので、長湯は肌の乾燥に繋がるので注意だそう😂",みょうばん湯の里,"
〒874-0840 大分県別府市鶴見6組","
0977-66-8166",http://www.yuno-hana.jp/,"4.0
(2,111)",Unknown,〒874-0840 大分県別府市鶴見6組,33.3195656,131.4539899
