Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ユーカリ,4,7 か月前,"2024/09
稲刈りする直前に伺いました。キレイに整備されています。雨降りだったので、晴れていたらもっとキレイに見れたと思いました。案山子コンテストをしていたので投票してきました。愛嬌のある色んな案山子があり楽しめます。",よこね田んぼ,"
〒399-2222 長野県飯田市千代","
0265-59-2003",https://www.yokonetanbo.jp/,"4.2
(109)",Unknown,〒399-2222 長野県飯田市千代,35.4278961,137.8726281
ユーカリ,4,7 か月前,"2024/09
稲刈りする直前に伺いました。キレイに整備されています。雨降りだったので、晴れていたらもっとキレイに見れたと思いました。案山子コンテストをしていたので投票してきました。愛嬌のある色んな案山子があり楽しめます。",よこね田んぼ,"
〒399-2222 長野県飯田市千代","
0265-59-2003",https://www.yokonetanbo.jp/,"4.2
(109)",Unknown,〒399-2222 長野県飯田市千代,35.4278961,137.8726281
真由美,5,10 か月前,"棚田100選

穏やかな時間が流れる😊
おじいちゃんとおばちゃんちゃんの案山子が
ほのぼのしていてとても良い雰囲気🎵

※散歩MAP～ゆっくりと楽しむ👀🚶‍♂️
○展望台入り口がわかりずらかったかなあ？
ちょっとした竹やぶの中へ草も多い繁って
細い竹が倒れていたので危険🙅‍♀️
展望台まで登ってしまいました😣
(徒歩５分位?)
全体に棚田を見渡せるので良いけど😅

秋の時期にも来てみたい‼️

○駐車場🅿️　有　　無料
○トイレ🚻　有",よこね田んぼ,"
〒399-2222 長野県飯田市千代","
0265-59-2003",https://www.yokonetanbo.jp/,"4.2
(109)",Unknown,〒399-2222 長野県飯田市千代,35.4278961,137.8726281
真由美,5,10 か月前,"棚田100選

穏やかな時間が流れる😊
おじいちゃんとおばちゃんちゃんの案山子が
ほのぼのしていてとても良い雰囲気🎵

※散歩MAP～ゆっくりと楽しむ👀🚶‍♂️
○展望台入り口がわかりずらかったかなあ？
ちょっとした竹やぶの中へ草も多い繁って
細い竹が倒れていたので危険🙅‍♀️
展望台まで登ってしまいました😣
(徒歩５分位?)
全体に棚田を見渡せるので良いけど😅

秋の時期にも来てみたい‼️

○駐車場🅿️　有　　無料
○トイレ🚻　有",よこね田んぼ,"
〒399-2222 長野県飯田市千代","
0265-59-2003",https://www.yokonetanbo.jp/,"4.2
(109)",Unknown,〒399-2222 長野県飯田市千代,35.4278961,137.8726281
アタオカトリスケ,5,8 か月前,8月に伺いました。青々しててとても綺麗な景色でした。こういった風景には癒やされますね。様々なカカシがとても良くできていて楽しめました。,よこね田んぼ,"
〒399-2222 長野県飯田市千代","
0265-59-2003",https://www.yokonetanbo.jp/,"4.2
(109)",Unknown,〒399-2222 長野県飯田市千代,35.4278961,137.8726281
アタオカトリスケ,5,8 か月前,8月に伺いました。青々しててとても綺麗な景色でした。こういった風景には癒やされますね。様々なカカシがとても良くできていて楽しめました。,よこね田んぼ,"
〒399-2222 長野県飯田市千代","
0265-59-2003",https://www.yokonetanbo.jp/,"4.2
(109)",Unknown,〒399-2222 長野県飯田市千代,35.4278961,137.8726281
m i,4,11 か月前,"日本の棚田100選
田んぼに写る青空がとても綺麗！
田んぼ、棚田を通じて様々な体験、イベントしてます。詳しくはHPへ。
トイレ、駐車スペースあり
かかしがリアルで驚く",よこね田んぼ,"
〒399-2222 長野県飯田市千代","
0265-59-2003",https://www.yokonetanbo.jp/,"4.2
(109)",Unknown,〒399-2222 長野県飯田市千代,35.4278961,137.8726281
m i,4,11 か月前,"日本の棚田100選
田んぼに写る青空がとても綺麗！
田んぼ、棚田を通じて様々な体験、イベントしてます。詳しくはHPへ。
トイレ、駐車スペースあり
かかしがリアルで驚く",よこね田んぼ,"
〒399-2222 長野県飯田市千代","
0265-59-2003",https://www.yokonetanbo.jp/,"4.2
(109)",Unknown,〒399-2222 長野県飯田市千代,35.4278961,137.8726281
koichi ohno,5,10 か月前,"土曜日の8時頃に行くと観光客は居ませんでしたが、ご近所？ご協力？の皆さんが草刈りをされてました。
展望台は閉鎖？されてるみたいでした。
季節を変えて再度訪れたいです。",よこね田んぼ,"
〒399-2222 長野県飯田市千代","
0265-59-2003",https://www.yokonetanbo.jp/,"4.2
(109)",Unknown,〒399-2222 長野県飯田市千代,35.4278961,137.8726281
koichi ohno,5,10 か月前,"土曜日の8時頃に行くと観光客は居ませんでしたが、ご近所？ご協力？の皆さんが草刈りをされてました。
展望台は閉鎖？されてるみたいでした。
季節を変えて再度訪れたいです。",よこね田んぼ,"
〒399-2222 長野県飯田市千代","
0265-59-2003",https://www.yokonetanbo.jp/,"4.2
(109)",Unknown,〒399-2222 長野県飯田市千代,35.4278961,137.8726281
