Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
HISASI,5,1 週間前,4月上旬は桜と花桃の赤と白のコントラストが綺麗です。売店、レストランもあるので、次の列車までゆっくりするのも良い。トロッコ列車は週末のみの運行です。,わたらせ渓谷鐵道,"
〒376-0101 群馬県みどり市大間々町大間々１６０３−１","
0277-73-2110",http://www.watetsu.com/,"4.1
(101)",Unknown,〒376-0101 群馬県みどり市大間々町大間々１６０３−１,36.4336094,139.2774211
HISASI,5,1 週間前,4月上旬は桜と花桃の赤と白のコントラストが綺麗です。売店、レストランもあるので、次の列車までゆっくりするのも良い。トロッコ列車は週末のみの運行です。,わたらせ渓谷鐵道,"
〒376-0101 群馬県みどり市大間々町大間々１６０３−１","
0277-73-2110",http://www.watetsu.com/,"4.1
(101)",Unknown,〒376-0101 群馬県みどり市大間々町大間々１６０３−１,36.4336094,139.2774211
zeb pan,5,5 か月前,"楽しかった〜。良い思い出になりました。

風に吹かれて1時間。紅葉には早かったですが景色が移り変わり飽きませんでした。

整理券の仕組みが中々分かりずらいが、何とか乗れました。大間々駅の先着順席取りも、タイミングによっては相席になっちゃいますね。。

観光時期は桐生駅から大間々駅までの電車が整理券必要な車両に切り替わっていることがあるので要注意。
トロッコ車両は椅子が硬い木のベンチ（背もたれ無し）なので、お尻弱い人は敷物を持参下さい。

弁当は予約して無くても、買えました（1200円）
ワッシーキーホルダーも思わず買っちゃいました。この路線がバスに切り替わったら寂しいな😑",わたらせ渓谷鐵道,"
〒376-0101 群馬県みどり市大間々町大間々１６０３−１","
0277-73-2110",http://www.watetsu.com/,"4.1
(101)",Unknown,〒376-0101 群馬県みどり市大間々町大間々１６０３−１,36.4336094,139.2774211
zeb pan,5,5 か月前,"楽しかった〜。良い思い出になりました。

風に吹かれて1時間。紅葉には早かったですが景色が移り変わり飽きませんでした。

整理券の仕組みが中々分かりずらいが、何とか乗れました。大間々駅の先着順席取りも、タイミングによっては相席になっちゃいますね。。

観光時期は桐生駅から大間々駅までの電車が整理券必要な車両に切り替わっていることがあるので要注意。
トロッコ車両は椅子が硬い木のベンチ（背もたれ無し）なので、お尻弱い人は敷物を持参下さい。

弁当は予約して無くても、買えました（1200円）
ワッシーキーホルダーも思わず買っちゃいました。この路線がバスに切り替わったら寂しいな😑",わたらせ渓谷鐵道,"
〒376-0101 群馬県みどり市大間々町大間々１６０３−１","
0277-73-2110",http://www.watetsu.com/,"4.1
(101)",Unknown,〒376-0101 群馬県みどり市大間々町大間々１６０３−１,36.4336094,139.2774211
1197 hk,3,2 か月前,"交通系ICカード、クレジットカードは使えません。
現金のみ。

HPから普通乗車券、
一日フリー乗車券などをチケットレスで買えるシステムを
導入しています。
(スマホで乗車券類を提示する)
相老からわ鐵に乗り換える際に、
時間が無い時はチケットレス(オンライン上決済)もご検討を。

相老駅は屋根のない階段のみの跨線橋を渡る必要があり、
改札出て切符買い直しとかになれば、
列車に乗り遅れます。

今回乗車した際(平日昼)は車掌が1部区間に乗務。
切符販売、精算、グッツ販売(助かる)をしていました。

平日に関しては大間々～間藤までは全て無人駅。
通洞、間藤駅も無人です。

なお、お手洗いが付いていない列車運用があります。
全区間乗車すると、乗車時間が90分を超えることがあり、
事前に済ませておくのが良き。",わたらせ渓谷鐵道,"
〒376-0101 群馬県みどり市大間々町大間々１６０３−１","
0277-73-2110",http://www.watetsu.com/,"4.1
(101)",Unknown,〒376-0101 群馬県みどり市大間々町大間々１６０３−１,36.4336094,139.2774211
1197 hk,3,2 か月前,"交通系ICカード、クレジットカードは使えません。
現金のみ。

HPから普通乗車券、
一日フリー乗車券などをチケットレスで買えるシステムを
導入しています。
(スマホで乗車券類を提示する)
相老からわ鐵に乗り換える際に、
時間が無い時はチケットレス(オンライン上決済)もご検討を。

相老駅は屋根のない階段のみの跨線橋を渡る必要があり、
改札出て切符買い直しとかになれば、
列車に乗り遅れます。

今回乗車した際(平日昼)は車掌が1部区間に乗務。
切符販売、精算、グッツ販売(助かる)をしていました。

平日に関しては大間々～間藤までは全て無人駅。
通洞、間藤駅も無人です。

なお、お手洗いが付いていない列車運用があります。
全区間乗車すると、乗車時間が90分を超えることがあり、
事前に済ませておくのが良き。",わたらせ渓谷鐵道,"
〒376-0101 群馬県みどり市大間々町大間々１６０３−１","
0277-73-2110",http://www.watetsu.com/,"4.1
(101)",Unknown,〒376-0101 群馬県みどり市大間々町大間々１６０３−１,36.4336094,139.2774211
VIC VIPER,4,4 か月前,桐生から日光の手前まで行ける渓谷鐵道。トロッコ列車が人気だが、運行本数が少なく、時季によっては早めに満席になるため、計画的な利用をおすすめしたい。紅葉の時期は意外に遅く11月下旬でもぼちぼち。沿線は常緑樹も多いため、雄大な紅葉を期待しすぎない方が良い。どの駅も風情があってよいので、これからも長く続いてほしい。,わたらせ渓谷鐵道,"
〒376-0101 群馬県みどり市大間々町大間々１６０３−１","
0277-73-2110",http://www.watetsu.com/,"4.1
(101)",Unknown,〒376-0101 群馬県みどり市大間々町大間々１６０３−１,36.4336094,139.2774211
VIC VIPER,4,4 か月前,桐生から日光の手前まで行ける渓谷鐵道。トロッコ列車が人気だが、運行本数が少なく、時季によっては早めに満席になるため、計画的な利用をおすすめしたい。紅葉の時期は意外に遅く11月下旬でもぼちぼち。沿線は常緑樹も多いため、雄大な紅葉を期待しすぎない方が良い。どの駅も風情があってよいので、これからも長く続いてほしい。,わたらせ渓谷鐵道,"
〒376-0101 群馬県みどり市大間々町大間々１６０３−１","
0277-73-2110",http://www.watetsu.com/,"4.1
(101)",Unknown,〒376-0101 群馬県みどり市大間々町大間々１６０３−１,36.4336094,139.2774211
R,3,5 か月前,"バスツアーで行きました。
大間々駅から神戸駅まで乗りました。紅葉には
まだ早かったです。座席は進行方向右側がお勧めです。テーブルに向かい合わせで4人がけです。下の方に流れる川もよく見えます。桜の木もたくさんあったので、春も見頃だと思います。車内販売グッズやスイーツ　お弁当も予約での販売と一般販売がありました。乗車時間40分あったので　ゆっくりお弁当も食べられました。車内に自動販売機もありましたよ。2.3両車は窓なしで風が気持ちよかったです。",わたらせ渓谷鐵道,"
〒376-0101 群馬県みどり市大間々町大間々１６０３−１","
0277-73-2110",http://www.watetsu.com/,"4.1
(101)",Unknown,〒376-0101 群馬県みどり市大間々町大間々１６０３−１,36.4336094,139.2774211
R,3,5 か月前,"バスツアーで行きました。
大間々駅から神戸駅まで乗りました。紅葉には
まだ早かったです。座席は進行方向右側がお勧めです。テーブルに向かい合わせで4人がけです。下の方に流れる川もよく見えます。桜の木もたくさんあったので、春も見頃だと思います。車内販売グッズやスイーツ　お弁当も予約での販売と一般販売がありました。乗車時間40分あったので　ゆっくりお弁当も食べられました。車内に自動販売機もありましたよ。2.3両車は窓なしで風が気持ちよかったです。",わたらせ渓谷鐵道,"
〒376-0101 群馬県みどり市大間々町大間々１６０３−１","
0277-73-2110",http://www.watetsu.com/,"4.1
(101)",Unknown,〒376-0101 群馬県みどり市大間々町大間々１６０３−１,36.4336094,139.2774211
