Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ようぽん,4,1 週間前,"2度目の訪問。前回はランチ、今回はモーニングで伺いました。平日だったので行列もなく、そのまま店内に入りました。受付2人とスタッフ1人が深刻そうに話をしていて、私達が受付いるのにいらっしゃいませの一言もなく、その会話が終わるのを待っているような状態で案内を待ちました。人気店あるあるの接客だな〜と感じながら入店しました。

しかし、パンケーキを楽しみながら、お喋りをして楽しい時間をすごしていたら、そんなことも忘れて、気持ちよく帰りました。

皆、女性だったので、モーニングでお腹いっぱいでした。

代官山らしい雰囲気を感じながら食事ができます。",アイヴィープレイス,"
〒150-0033 東京都渋谷区猿楽町１６−１５","
03-6415-3232",https://www.tysons.jp/ivyplace/,"4.2
(2,562)",Unknown,〒150-0033 東京都渋谷区猿楽町１６−１５,35.649358,121.2429117
ようぽん,4,1 週間前,"2度目の訪問。前回はランチ、今回はモーニングで伺いました。平日だったので行列もなく、そのまま店内に入りました。受付2人とスタッフ1人が深刻そうに話をしていて、私達が受付いるのにいらっしゃいませの一言もなく、その会話が終わるのを待っているような状態で案内を待ちました。人気店あるあるの接客だな〜と感じながら入店しました。

しかし、パンケーキを楽しみながら、お喋りをして楽しい時間をすごしていたら、そんなことも忘れて、気持ちよく帰りました。

皆、女性だったので、モーニングでお腹いっぱいでした。

代官山らしい雰囲気を感じながら食事ができます。",アイヴィープレイス,"
〒150-0033 東京都渋谷区猿楽町１６−１５","
03-6415-3232",https://www.tysons.jp/ivyplace/,"4.2
(2,562)",Unknown,〒150-0033 東京都渋谷区猿楽町１６−１５,35.649358,121.2429117
ヒナタ,5,1 か月前,"恵比寿方面からも渋谷方面からもお散歩がてらいける立地でした。
カフェ利用をさせていただきました。

店内かなり広く全部で200席くらいあるそう。お店の外も内装もかなりおしゃれ空間ですが居心地のいい感じでした。
スタッフさんもみなさんお声かけしてくださってて笑顔で素敵なサービスだなと感じました！

ドリンクとデザートを注文。
⭐︎クラフトジンジャーバック￥1,100
辛めが好きなのでかなり美味しかったです！
カットレモンの酸味とジンジャーの辛さと甘さが抜群でした！
⭐︎苺とヨーグルトのパンナコッタ　ジャンドゥーヤジェラート￥1,080
自家製パンナコッタめちゃ美味しかったです！苺ソースとカットの苺が乗ってて見た目も可愛い！その上にチョコのジェラートとピスタチオが乗ってました。

お手洗いまでおしゃれ。
カフェ全体の雰囲気もいいし、料理も美味しいのでまたぜひ来たいと思えるお店でした！",アイヴィープレイス,"
〒150-0033 東京都渋谷区猿楽町１６−１５","
03-6415-3232",https://www.tysons.jp/ivyplace/,"4.2
(2,562)",Unknown,〒150-0033 東京都渋谷区猿楽町１６−１５,35.649358,121.2429117
ヒナタ,5,1 か月前,"恵比寿方面からも渋谷方面からもお散歩がてらいける立地でした。
カフェ利用をさせていただきました。

店内かなり広く全部で200席くらいあるそう。お店の外も内装もかなりおしゃれ空間ですが居心地のいい感じでした。
スタッフさんもみなさんお声かけしてくださってて笑顔で素敵なサービスだなと感じました！

ドリンクとデザートを注文。
⭐︎クラフトジンジャーバック￥1,100
辛めが好きなのでかなり美味しかったです！
カットレモンの酸味とジンジャーの辛さと甘さが抜群でした！
⭐︎苺とヨーグルトのパンナコッタ　ジャンドゥーヤジェラート￥1,080
自家製パンナコッタめちゃ美味しかったです！苺ソースとカットの苺が乗ってて見た目も可愛い！その上にチョコのジェラートとピスタチオが乗ってました。

お手洗いまでおしゃれ。
カフェ全体の雰囲気もいいし、料理も美味しいのでまたぜひ来たいと思えるお店でした！",アイヴィープレイス,"
〒150-0033 東京都渋谷区猿楽町１６−１５","
03-6415-3232",https://www.tysons.jp/ivyplace/,"4.2
(2,562)",Unknown,〒150-0033 東京都渋谷区猿楽町１６−１５,35.649358,121.2429117
S,4,2 週間前,"ランチで伺いました。
並んでいましたがタイミングが良かったのか数分で席に案内していただきました。
ランチコースにしました。
しっかり量があるのでかなりお腹いっぱいになりました。
手打ちのパスタが美味しかったです。
前菜、パスタ、メインそれぞれ選べるのは良かったです。バリエーションがたくさんあるので迷ってしまいますが。
いつ来ても雰囲気が良くゆったり食事ができるところが好きです。",アイヴィープレイス,"
〒150-0033 東京都渋谷区猿楽町１６−１５","
03-6415-3232",https://www.tysons.jp/ivyplace/,"4.2
(2,562)",Unknown,〒150-0033 東京都渋谷区猿楽町１６−１５,35.649358,121.2429117
S,4,2 週間前,"ランチで伺いました。
並んでいましたがタイミングが良かったのか数分で席に案内していただきました。
ランチコースにしました。
しっかり量があるのでかなりお腹いっぱいになりました。
手打ちのパスタが美味しかったです。
前菜、パスタ、メインそれぞれ選べるのは良かったです。バリエーションがたくさんあるので迷ってしまいますが。
いつ来ても雰囲気が良くゆったり食事ができるところが好きです。",アイヴィープレイス,"
〒150-0033 東京都渋谷区猿楽町１６−１５","
03-6415-3232",https://www.tysons.jp/ivyplace/,"4.2
(2,562)",Unknown,〒150-0033 東京都渋谷区猿楽町１６−１５,35.649358,121.2429117
kimi yama,5,1 週間前,"ディナーで伺いました。
入り口が少々わかりづらい印象ですが、スタッフの皆さんは大変心地よいサービスや時間を提供くださいます。
当日コースも注文可能と教えていただき、せっかくなので…とコースをいただきました。
コースと言っても数品の中から選べますし…ほんとに美味しい食事に楽しい時間、ありがとうございました。また伺います！",アイヴィープレイス,"
〒150-0033 東京都渋谷区猿楽町１６−１５","
03-6415-3232",https://www.tysons.jp/ivyplace/,"4.2
(2,562)",Unknown,〒150-0033 東京都渋谷区猿楽町１６−１５,35.649358,121.2429117
kimi yama,5,1 週間前,"ディナーで伺いました。
入り口が少々わかりづらい印象ですが、スタッフの皆さんは大変心地よいサービスや時間を提供くださいます。
当日コースも注文可能と教えていただき、せっかくなので…とコースをいただきました。
コースと言っても数品の中から選べますし…ほんとに美味しい食事に楽しい時間、ありがとうございました。また伺います！",アイヴィープレイス,"
〒150-0033 東京都渋谷区猿楽町１６−１５","
03-6415-3232",https://www.tysons.jp/ivyplace/,"4.2
(2,562)",Unknown,〒150-0033 東京都渋谷区猿楽町１６−１５,35.649358,121.2429117
あさんて,5,1 週間前,"【2025年2月、訪問】

最近、我が家で流行っているモーニング探索。
午後は自由に過ごせることから1日がより有意義になるので気に入っています。

この日は代官山のこちらに。
代官山のシンボルの一つにもなっている「蔦屋書店」脇のカフェと言えば分かりやすいかもしれません。

聞くことろによると、天王洲アイル「T.Y.HARBOR」や、表参道「CICADA」などを運営している会社が手掛けているとのことで、その情報だけでも安心感がありました。

伺ったのは週末の朝8時過ぎ。
着いた段階でお店の前に行列がある！と思いきや順番に案内されているところでした。
大きいお店ですが確実に食べたいときは早めに行くのが良いでしょう。

さてテーブルに居を得てメニューを拝見です。
BREAKFASTメニューとしては「パンケーキ」「オムレツ」「アボカドトースト」「トマト煮込み」などが並んでいましたが、色々と楽しめる

・アイヴィーブレックファストパンケーキコンボプレート 2,380円
パンケーキ、ソーセージ、ベーコン、フライドエッグ or スクランブルエッグ
・セットドリンク 400円
Signle origin drip coffee と カフェラテを選択

をそれぞれお願いしました。
後から気づいたのですが、coffee はお代わりできるようです。

それなりに待って先にドリンクが、またさらにもう少し待って食事も登場しました。

「コンボプレート」には2枚のパンケーキの上に大きなバターがのり、その上からメープルシロップをたっぷりとかけていきます。
このたっぷり感だけでもワクワクが止まりません。

ベーコン、ソーセージ、玉子以外にサラダものり、ソーセージも大きいです。
店員さんによるとボリュームが多いので残される方もいるとのことでした。
お腹を空かせていくのが良いでしょう。

早速食べ始めると「パンケーキ」は最近流行りのフワフワ系ではなく、クラシックで厚めのモノ。
両方美味しいですが中も詰まっているパンケーキなのでボリュームがあるようにも感じました。

またベーコンやソーセージが美味しいのも良いところ。
ケチャップや塩、胡椒は付いていないのですが、無くてもそれだけで十分楽しめる力強い味わいでした。
これも旨いなぁ。

あと特筆すべきなのはコーヒーも美味しいところ。
この日はホンジュラスの豆とのことでしたが、浅煎りの良い豆だろうなぁと想像しながら頂きました。
このコーヒーがお代わりできるのは気前が良いように思います。

結局ゆっくりと食べて、待ち時間も含めて1時間以上は過ごしました。

モーニングで3,000円弱というのは安くないとは思いますが、満足度はそれ以上。
なるほど朝8時から席が埋まっていく理由に納得でした。

良いスタートが切れる、そんなモーニングでした。
ごちそうさま。",アイヴィープレイス,"
〒150-0033 東京都渋谷区猿楽町１６−１５","
03-6415-3232",https://www.tysons.jp/ivyplace/,"4.2
(2,562)",Unknown,〒150-0033 東京都渋谷区猿楽町１６−１５,35.649358,121.2429117
あさんて,5,1 週間前,"【2025年2月、訪問】

最近、我が家で流行っているモーニング探索。
午後は自由に過ごせることから1日がより有意義になるので気に入っています。

この日は代官山のこちらに。
代官山のシンボルの一つにもなっている「蔦屋書店」脇のカフェと言えば分かりやすいかもしれません。

聞くことろによると、天王洲アイル「T.Y.HARBOR」や、表参道「CICADA」などを運営している会社が手掛けているとのことで、その情報だけでも安心感がありました。

伺ったのは週末の朝8時過ぎ。
着いた段階でお店の前に行列がある！と思いきや順番に案内されているところでした。
大きいお店ですが確実に食べたいときは早めに行くのが良いでしょう。

さてテーブルに居を得てメニューを拝見です。
BREAKFASTメニューとしては「パンケーキ」「オムレツ」「アボカドトースト」「トマト煮込み」などが並んでいましたが、色々と楽しめる

・アイヴィーブレックファストパンケーキコンボプレート 2,380円
パンケーキ、ソーセージ、ベーコン、フライドエッグ or スクランブルエッグ
・セットドリンク 400円
Signle origin drip coffee と カフェラテを選択

をそれぞれお願いしました。
後から気づいたのですが、coffee はお代わりできるようです。

それなりに待って先にドリンクが、またさらにもう少し待って食事も登場しました。

「コンボプレート」には2枚のパンケーキの上に大きなバターがのり、その上からメープルシロップをたっぷりとかけていきます。
このたっぷり感だけでもワクワクが止まりません。

ベーコン、ソーセージ、玉子以外にサラダものり、ソーセージも大きいです。
店員さんによるとボリュームが多いので残される方もいるとのことでした。
お腹を空かせていくのが良いでしょう。

早速食べ始めると「パンケーキ」は最近流行りのフワフワ系ではなく、クラシックで厚めのモノ。
両方美味しいですが中も詰まっているパンケーキなのでボリュームがあるようにも感じました。

またベーコンやソーセージが美味しいのも良いところ。
ケチャップや塩、胡椒は付いていないのですが、無くてもそれだけで十分楽しめる力強い味わいでした。
これも旨いなぁ。

あと特筆すべきなのはコーヒーも美味しいところ。
この日はホンジュラスの豆とのことでしたが、浅煎りの良い豆だろうなぁと想像しながら頂きました。
このコーヒーがお代わりできるのは気前が良いように思います。

結局ゆっくりと食べて、待ち時間も含めて1時間以上は過ごしました。

モーニングで3,000円弱というのは安くないとは思いますが、満足度はそれ以上。
なるほど朝8時から席が埋まっていく理由に納得でした。

良いスタートが切れる、そんなモーニングでした。
ごちそうさま。",アイヴィープレイス,"
〒150-0033 東京都渋谷区猿楽町１６−１５","
03-6415-3232",https://www.tysons.jp/ivyplace/,"4.2
(2,562)",Unknown,〒150-0033 東京都渋谷区猿楽町１６−１５,35.649358,121.2429117
