Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
髙橋康夫,4,2 か月前,"改札口に隣接
２階の休憩スペースが割と広く
ベンチもあるのでゆったり出来る
店舗もパスタorバーガーorドーナツと
バリエーション豊か
つば九郎神社はオマケ程度かな♪

(　･ิω･ิ)ｱﾄﾃﾞｱﾄﾚﾆｲｸ♪",アトレ信濃町,"
〒160-0016 東京都新宿区信濃町３４","
03-6273-2852",http://www.atre.co.jp/store/shinanomachi,"3.7
(498)",営業時間を追加,〒160-0016 東京都新宿区信濃町３４,35.6800602,139.7203199
髙橋康夫,4,2 か月前,"改札口に隣接
２階の休憩スペースが割と広く
ベンチもあるのでゆったり出来る
店舗もパスタorバーガーorドーナツと
バリエーション豊か
つば九郎神社はオマケ程度かな♪

(　･ิω･ิ)ｱﾄﾃﾞｱﾄﾚﾆｲｸ♪",アトレ信濃町,"
〒160-0016 東京都新宿区信濃町３４","
03-6273-2852",http://www.atre.co.jp/store/shinanomachi,"3.7
(498)",営業時間を追加,〒160-0016 東京都新宿区信濃町３４,35.6800602,139.7203199
pipi pippi,5,1 週間前,"神宮球場から近いので球場内で食べるご飯を買うのに便利な施設です。
テイクアウトはおにぎり、バーガー、ドーナツなどなど
試合前でもそんなに混雑してなくて快適です

つば九郎神社もあるよ!",アトレ信濃町,"
〒160-0016 東京都新宿区信濃町３４","
03-6273-2852",http://www.atre.co.jp/store/shinanomachi,"3.7
(498)",営業時間を追加,〒160-0016 東京都新宿区信濃町３４,35.6800602,139.7203199
pipi pippi,5,1 週間前,"神宮球場から近いので球場内で食べるご飯を買うのに便利な施設です。
テイクアウトはおにぎり、バーガー、ドーナツなどなど
試合前でもそんなに混雑してなくて快適です

つば九郎神社もあるよ!",アトレ信濃町,"
〒160-0016 東京都新宿区信濃町３４","
03-6273-2852",http://www.atre.co.jp/store/shinanomachi,"3.7
(498)",営業時間を追加,〒160-0016 東京都新宿区信濃町３４,35.6800602,139.7203199
苺スキ,5,3 年前,"やっとアトレ信濃町がリニューアルしてました。
まだテナントが空きがあるようで、椅子で座れるスペースごありました。

スターバックスとバーガーキング、プロント、鎌倉パスタ、など入ってました。

千疋屋さんは、無くなってしまった。残念⤵︎😢
唯一の楽しみが…

まだテナントが空いているようなので期待したいな。
フルーツ屋さんが入ってくれると嬉しいな。

※2021年3月

久々にこちらのプロントへ
丁度、ぷ活クーポンでストロベリー🍓ドリンク🥤があったので、ランチと一緒に✨😋
めっちゃ美味しかった〜♫

※2021年5月20日",アトレ信濃町,"
〒160-0016 東京都新宿区信濃町３４","
03-6273-2852",http://www.atre.co.jp/store/shinanomachi,"3.7
(498)",営業時間を追加,〒160-0016 東京都新宿区信濃町３４,35.6800602,139.7203199
苺スキ,5,3 年前,"やっとアトレ信濃町がリニューアルしてました。
まだテナントが空きがあるようで、椅子で座れるスペースごありました。

スターバックスとバーガーキング、プロント、鎌倉パスタ、など入ってました。

千疋屋さんは、無くなってしまった。残念⤵︎😢
唯一の楽しみが…

まだテナントが空いているようなので期待したいな。
フルーツ屋さんが入ってくれると嬉しいな。

※2021年3月

久々にこちらのプロントへ
丁度、ぷ活クーポンでストロベリー🍓ドリンク🥤があったので、ランチと一緒に✨😋
めっちゃ美味しかった〜♫

※2021年5月20日",アトレ信濃町,"
〒160-0016 東京都新宿区信濃町３４","
03-6273-2852",http://www.atre.co.jp/store/shinanomachi,"3.7
(498)",営業時間を追加,〒160-0016 東京都新宿区信濃町３４,35.6800602,139.7203199
ワダエツ,3,5 か月前,イベントのときは混んでいますが2階でゆっくり過ごせます。,アトレ信濃町,"
〒160-0016 東京都新宿区信濃町３４","
03-6273-2852",http://www.atre.co.jp/store/shinanomachi,"3.7
(498)",営業時間を追加,〒160-0016 東京都新宿区信濃町３４,35.6800602,139.7203199
ワダエツ,3,5 か月前,イベントのときは混んでいますが2階でゆっくり過ごせます。,アトレ信濃町,"
〒160-0016 東京都新宿区信濃町３４","
03-6273-2852",http://www.atre.co.jp/store/shinanomachi,"3.7
(498)",営業時間を追加,〒160-0016 東京都新宿区信濃町３４,35.6800602,139.7203199
mitako,5,1 年前,"ここのアトレは初めて伺いましたが、とても気に入りました。
大好きなつば九郎にも会えて、つば九郎神社もあって楽しく過ごせました。
椅子もたくさんあって、テレビ？モニター？もたくさんあって、お店の席が満席でもテイクアウトにしてゆっくりくつろげるスペースもあって「嫌だなぁ」と思うところや「もう少しこんなのがあればいいのに」などひとつもありません。
久しぶりに会った先輩とたくさんのものを食べたり飲んだりしてかなりの時間を快適に楽しく過ごせました。
今なら「つば九郎ご朱印帳」があって楽しく飲食を楽しめます。
ご朱印帳では様々なつば九郎に会えますよ。
是非やってみてください！",アトレ信濃町,"
〒160-0016 東京都新宿区信濃町３４","
03-6273-2852",http://www.atre.co.jp/store/shinanomachi,"3.7
(498)",営業時間を追加,〒160-0016 東京都新宿区信濃町３４,35.6800602,139.7203199
mitako,5,1 年前,"ここのアトレは初めて伺いましたが、とても気に入りました。
大好きなつば九郎にも会えて、つば九郎神社もあって楽しく過ごせました。
椅子もたくさんあって、テレビ？モニター？もたくさんあって、お店の席が満席でもテイクアウトにしてゆっくりくつろげるスペースもあって「嫌だなぁ」と思うところや「もう少しこんなのがあればいいのに」などひとつもありません。
久しぶりに会った先輩とたくさんのものを食べたり飲んだりしてかなりの時間を快適に楽しく過ごせました。
今なら「つば九郎ご朱印帳」があって楽しく飲食を楽しめます。
ご朱印帳では様々なつば九郎に会えますよ。
是非やってみてください！",アトレ信濃町,"
〒160-0016 東京都新宿区信濃町３４","
03-6273-2852",http://www.atre.co.jp/store/shinanomachi,"3.7
(498)",営業時間を追加,〒160-0016 東京都新宿区信濃町３４,35.6800602,139.7203199
