Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
guc,2,5 日前,"店員の接客態度が年々悪くなっていて残念。
ガストが21時まで開いていたので、食事後20:15頃にガストを出て、連れが会計をしている間ガチャガチャを見ていたら、デブの女店員が「閉店していますので」と注意してくる。
無人のガチャガチャを閉店するとはアホらしいが、ちょうど買い物した分駐車券を無料にしてもらいたかったが、「下に行ってください」と言うだけ。何階へ行けば良いかも教えてくれない。
「どちらにしてもここから下には降りれないので出てください」と言われ、エレベーターで下に降りて、駐車券を付けてもらったところ、今度はエレベーターが上に上がれない設定になっていて、駐車場側のエレベーターを使わないといけない。
ガスとは営業してるにも関わらず、徹底的に人を追い出そうとしていて、とても不便で不快だった。",イトーヨーカドー 赤羽店,"
〒115-0055 東京都北区赤羽西１丁目７−１","
03-3905-5111",https://stores.itoyokado.co.jp/170,"3.6
(2,375)",Unknown,〒115-0055 東京都北区赤羽西１丁目７−１,35.7770739,139.6434824
guc,2,5 日前,"店員の接客態度が年々悪くなっていて残念。
ガストが21時まで開いていたので、食事後20:15頃にガストを出て、連れが会計をしている間ガチャガチャを見ていたら、デブの女店員が「閉店していますので」と注意してくる。
無人のガチャガチャを閉店するとはアホらしいが、ちょうど買い物した分駐車券を無料にしてもらいたかったが、「下に行ってください」と言うだけ。何階へ行けば良いかも教えてくれない。
「どちらにしてもここから下には降りれないので出てください」と言われ、エレベーターで下に降りて、駐車券を付けてもらったところ、今度はエレベーターが上に上がれない設定になっていて、駐車場側のエレベーターを使わないといけない。
ガスとは営業してるにも関わらず、徹底的に人を追い出そうとしていて、とても不便で不快だった。",イトーヨーカドー 赤羽店,"
〒115-0055 東京都北区赤羽西１丁目７−１","
03-3905-5111",https://stores.itoyokado.co.jp/170,"3.6
(2,375)",Unknown,〒115-0055 東京都北区赤羽西１丁目７−１,35.7770739,139.6434824
Anya Odekeke,4,7 か月前,"赤羽駅前にあり便利です。ヨーカドーは本当、駅前の立地の良い場所にお店が多いですね。

地下の食品フロアは、他のヨーカドーに比べて夕方以降の割引率が高く、オトクな感じを受けます。今は夏で冷たい麺が食べたいと思ったら冷やし中華や冷やし坦々麺、冷やしラーメンなど40%引きシールが貼ってある商品が多くありました。今日はその中で冷やし坦々麺を買って帰りました。

閉店が相次いでいるヨーカドーですが、子どもの頃から各地のヨーカドーに親しんできた身としては寂しい限りです。

1箇所で食品から衣料品、雑貨、玩具、家電まで何でも揃うオールインワンの総合スーパーという業態が時代に合わなくなっているのは確かで、閉店もやむを得ないところもあると思います。これは百貨店の閉店ラッシュにもつながる話ですね。ネットで買う人も多くなってますし。

衣料品ならGU、家電ならノジマといったように各分野の専門店をテナントに入れてますので、その方向でなんとか生き残っていって欲しいです。ヨーカドーってなんか落ち着くんですよね。昔から来ているからなのかな？このまったりとした落ち着く感じが好きなんです。",イトーヨーカドー 赤羽店,"
〒115-0055 東京都北区赤羽西１丁目７−１","
03-3905-5111",https://stores.itoyokado.co.jp/170,"3.6
(2,375)",Unknown,〒115-0055 東京都北区赤羽西１丁目７−１,35.7770739,139.6434824
Anya Odekeke,4,7 か月前,"赤羽駅前にあり便利です。ヨーカドーは本当、駅前の立地の良い場所にお店が多いですね。

地下の食品フロアは、他のヨーカドーに比べて夕方以降の割引率が高く、オトクな感じを受けます。今は夏で冷たい麺が食べたいと思ったら冷やし中華や冷やし坦々麺、冷やしラーメンなど40%引きシールが貼ってある商品が多くありました。今日はその中で冷やし坦々麺を買って帰りました。

閉店が相次いでいるヨーカドーですが、子どもの頃から各地のヨーカドーに親しんできた身としては寂しい限りです。

1箇所で食品から衣料品、雑貨、玩具、家電まで何でも揃うオールインワンの総合スーパーという業態が時代に合わなくなっているのは確かで、閉店もやむを得ないところもあると思います。これは百貨店の閉店ラッシュにもつながる話ですね。ネットで買う人も多くなってますし。

衣料品ならGU、家電ならノジマといったように各分野の専門店をテナントに入れてますので、その方向でなんとか生き残っていって欲しいです。ヨーカドーってなんか落ち着くんですよね。昔から来ているからなのかな？このまったりとした落ち着く感じが好きなんです。",イトーヨーカドー 赤羽店,"
〒115-0055 東京都北区赤羽西１丁目７−１","
03-3905-5111",https://stores.itoyokado.co.jp/170,"3.6
(2,375)",Unknown,〒115-0055 東京都北区赤羽西１丁目７−１,35.7770739,139.6434824
丸茂豊,4,8 か月前,"おいしいコーヒーを生み出すジョージアカフェの自販機が2階トイレ前に設置されています。ここ以外でこの自販機を見かけた事がありません。

以前、自販機の前を通りかかったお母さんが「こういうコーヒーじいじいに買って貰ったけど、家で作った方がおいしい」と娘さんに話していました。
確かにそういう自販機もありますが、ここの自販機は違います。注文してから豆を挽き、その様子を見る事が出来る仕掛けになっています。ジョージア製品のコーヒーやココアはその辺の自販機で買えてその時点でおいしいですが、作り立てはヤバい程うまいです。

最近は1階南側入口にオレンジジュースの自販機が設置され、350円でオレンジ4個分のたっぷり生絞りジュースが飲めます。こちらは客が絶えない人気の自販機になっています。",イトーヨーカドー 赤羽店,"
〒115-0055 東京都北区赤羽西１丁目７−１","
03-3905-5111",https://stores.itoyokado.co.jp/170,"3.6
(2,375)",Unknown,〒115-0055 東京都北区赤羽西１丁目７−１,35.7770739,139.6434824
丸茂豊,4,8 か月前,"おいしいコーヒーを生み出すジョージアカフェの自販機が2階トイレ前に設置されています。ここ以外でこの自販機を見かけた事がありません。

以前、自販機の前を通りかかったお母さんが「こういうコーヒーじいじいに買って貰ったけど、家で作った方がおいしい」と娘さんに話していました。
確かにそういう自販機もありますが、ここの自販機は違います。注文してから豆を挽き、その様子を見る事が出来る仕掛けになっています。ジョージア製品のコーヒーやココアはその辺の自販機で買えてその時点でおいしいですが、作り立てはヤバい程うまいです。

最近は1階南側入口にオレンジジュースの自販機が設置され、350円でオレンジ4個分のたっぷり生絞りジュースが飲めます。こちらは客が絶えない人気の自販機になっています。",イトーヨーカドー 赤羽店,"
〒115-0055 東京都北区赤羽西１丁目７−１","
03-3905-5111",https://stores.itoyokado.co.jp/170,"3.6
(2,375)",Unknown,〒115-0055 東京都北区赤羽西１丁目７−１,35.7770739,139.6434824
成彰岩瀬,1,2 か月前,地下の食料品売り場で商品の補充をしてる男性がやたら威圧的。客が商品を見てもまったく無視して、スペースを開けようせず、逆に客をどかせるために無言で圧をかけてくる。商品が入った段ボールを床にバーンと音を響かせて投げるように置くなど。今やってることが気に入らないなら、他の仕事を探せばいいと思う。不愉快を通り越して怖い。,イトーヨーカドー 赤羽店,"
〒115-0055 東京都北区赤羽西１丁目７−１","
03-3905-5111",https://stores.itoyokado.co.jp/170,"3.6
(2,375)",Unknown,〒115-0055 東京都北区赤羽西１丁目７−１,35.7770739,139.6434824
成彰岩瀬,1,2 か月前,地下の食料品売り場で商品の補充をしてる男性がやたら威圧的。客が商品を見てもまったく無視して、スペースを開けようせず、逆に客をどかせるために無言で圧をかけてくる。商品が入った段ボールを床にバーンと音を響かせて投げるように置くなど。今やってることが気に入らないなら、他の仕事を探せばいいと思う。不愉快を通り越して怖い。,イトーヨーカドー 赤羽店,"
〒115-0055 東京都北区赤羽西１丁目７−１","
03-3905-5111",https://stores.itoyokado.co.jp/170,"3.6
(2,375)",Unknown,〒115-0055 東京都北区赤羽西１丁目７−１,35.7770739,139.6434824
美,4,2 か月前,広いから買い物がゆったりできます。ショップもいろいろ入っているので良いのですがどんなに買い物しても駐車場は2時間までなのでオーバーしてしまう事がある。駐車場は慣れてない人は出口のコースが少し悩むと思う。,イトーヨーカドー 赤羽店,"
〒115-0055 東京都北区赤羽西１丁目７−１","
03-3905-5111",https://stores.itoyokado.co.jp/170,"3.6
(2,375)",Unknown,〒115-0055 東京都北区赤羽西１丁目７−１,35.7770739,139.6434824
美,4,2 か月前,広いから買い物がゆったりできます。ショップもいろいろ入っているので良いのですがどんなに買い物しても駐車場は2時間までなのでオーバーしてしまう事がある。駐車場は慣れてない人は出口のコースが少し悩むと思う。,イトーヨーカドー 赤羽店,"
〒115-0055 東京都北区赤羽西１丁目７−１","
03-3905-5111",https://stores.itoyokado.co.jp/170,"3.6
(2,375)",Unknown,〒115-0055 東京都北区赤羽西１丁目７−１,35.7770739,139.6434824
