Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
はやぶささくら,5,6 か月前,"関西空港の北側にあるホテルや飲食店が凝縮されたモールで、南海やJRを降りてから改札口を出て右側に進むと辿り着きます。
電車やバスの乗り継ぎ合間のちょっとした休憩や食事なんかに最適です。
館内の飲食店は比較的安く、空港施設にしては庶民的ですね。",エアロプラザ,"
〒549-0001 大阪府泉佐野市泉州空港北","
072-455-2500",http://www.kansai-airport.or.jp/index.asp,"4.0
(3,087)",Unknown,ショッピング モール,34.4358031,135.2402292
はやぶささくら,5,6 か月前,"関西空港の北側にあるホテルや飲食店が凝縮されたモールで、南海やJRを降りてから改札口を出て右側に進むと辿り着きます。
電車やバスの乗り継ぎ合間のちょっとした休憩や食事なんかに最適です。
館内の飲食店は比較的安く、空港施設にしては庶民的ですね。",エアロプラザ,"
〒549-0001 大阪府泉佐野市泉州空港北","
072-455-2500",http://www.kansai-airport.or.jp/index.asp,"4.0
(3,087)",Unknown,ショッピング モール,34.4358031,135.2402292
LACO,4,1 か月前,"エアホプラザの方が人が少なくて良い😆
お店の単価も安い😆景色も良い😆
中心は緑が多くて癒される😆 …",エアロプラザ,"
〒549-0001 大阪府泉佐野市泉州空港北","
072-455-2500",http://www.kansai-airport.or.jp/index.asp,"4.0
(3,087)",Unknown,ショッピング モール,34.4358031,135.2402292
LACO,4,1 か月前,"エアホプラザの方が人が少なくて良い😆
お店の単価も安い😆景色も良い😆
中心は緑が多くて癒される😆 …",エアロプラザ,"
〒549-0001 大阪府泉佐野市泉州空港北","
072-455-2500",http://www.kansai-airport.or.jp/index.asp,"4.0
(3,087)",Unknown,ショッピング モール,34.4358031,135.2402292
N H,3,5 か月前,"国内線Peachへ搭乗の第2ターミナルでは飲食の選択肢がないので、ここで飲食しようとしたけど、建物内のマップがなんか分かりにくい。Googleマップも、関西国際空港のWebページもわかりにくかった。初見で、ネット検索では逆に迷いそうです。迷うあいだに時間が迫ってしまい。結局、Peach対応の第2ターミナルにあったココスで軽食をとった。
また、機内持ち込みの荷物重量制限のためオーバーした荷物をあらかじめ送って減らそうと思いましたが、郵便局が徒歩片道15分と遠い。
関西国際空港駅とエアロプラザ内にある郵便局は、ATMとポストだけらしいです。せめて、コンビニにレターパックが買えたらポスト投函できるのに。

第2ターミナル行きの無料のシャトルバスがある、エアロプラザ1階のレンタカー受付から外に出て、歩くと乗り場がある。スタッフが誘導するけど、指示どおりに動かないと声を張って誘導しようとします。
時刻表はわからないが頻度は多いかも。蛇腹付きの長いバスが物珍しくて、楽しかった。",エアロプラザ,"
〒549-0001 大阪府泉佐野市泉州空港北","
072-455-2500",http://www.kansai-airport.or.jp/index.asp,"4.0
(3,087)",Unknown,ショッピング モール,34.4358031,135.2402292
N H,3,5 か月前,"国内線Peachへ搭乗の第2ターミナルでは飲食の選択肢がないので、ここで飲食しようとしたけど、建物内のマップがなんか分かりにくい。Googleマップも、関西国際空港のWebページもわかりにくかった。初見で、ネット検索では逆に迷いそうです。迷うあいだに時間が迫ってしまい。結局、Peach対応の第2ターミナルにあったココスで軽食をとった。
また、機内持ち込みの荷物重量制限のためオーバーした荷物をあらかじめ送って減らそうと思いましたが、郵便局が徒歩片道15分と遠い。
関西国際空港駅とエアロプラザ内にある郵便局は、ATMとポストだけらしいです。せめて、コンビニにレターパックが買えたらポスト投函できるのに。

第2ターミナル行きの無料のシャトルバスがある、エアロプラザ1階のレンタカー受付から外に出て、歩くと乗り場がある。スタッフが誘導するけど、指示どおりに動かないと声を張って誘導しようとします。
時刻表はわからないが頻度は多いかも。蛇腹付きの長いバスが物珍しくて、楽しかった。",エアロプラザ,"
〒549-0001 大阪府泉佐野市泉州空港北","
072-455-2500",http://www.kansai-airport.or.jp/index.asp,"4.0
(3,087)",Unknown,ショッピング モール,34.4358031,135.2402292
ゆの,3,4 週間前,"食事処と土産屋を求めてたどり着きました。
店舗数は少なく、食事処を選ぶ選択肢は少ないと思います。
また土産屋はないと思っていいと思います。関西空港のサイトを熟読した結果、土産屋はチェックイン前後に少店舗あるようでした。
少し安める所（仮眠又は入浴施設）もさほど無く、ラウンジのような所はあるようです。",エアロプラザ,"
〒549-0001 大阪府泉佐野市泉州空港北","
072-455-2500",http://www.kansai-airport.or.jp/index.asp,"4.0
(3,087)",Unknown,ショッピング モール,34.4358031,135.2402292
ゆの,3,4 週間前,"食事処と土産屋を求めてたどり着きました。
店舗数は少なく、食事処を選ぶ選択肢は少ないと思います。
また土産屋はないと思っていいと思います。関西空港のサイトを熟読した結果、土産屋はチェックイン前後に少店舗あるようでした。
少し安める所（仮眠又は入浴施設）もさほど無く、ラウンジのような所はあるようです。",エアロプラザ,"
〒549-0001 大阪府泉佐野市泉州空港北","
072-455-2500",http://www.kansai-airport.or.jp/index.asp,"4.0
(3,087)",Unknown,ショッピング モール,34.4358031,135.2402292
S.T,5,1 年前,関空に併設したホテルや飲食店、ラウンジ、休憩スペースなんかの複合施設。建築空間がポストモダン期の雰囲気がたっぷりで、リッチ。ゆとりのある内部空間で、好みです。,エアロプラザ,"
〒549-0001 大阪府泉佐野市泉州空港北","
072-455-2500",http://www.kansai-airport.or.jp/index.asp,"4.0
(3,087)",Unknown,ショッピング モール,34.4358031,135.2402292
S.T,5,1 年前,関空に併設したホテルや飲食店、ラウンジ、休憩スペースなんかの複合施設。建築空間がポストモダン期の雰囲気がたっぷりで、リッチ。ゆとりのある内部空間で、好みです。,エアロプラザ,"
〒549-0001 大阪府泉佐野市泉州空港北","
072-455-2500",http://www.kansai-airport.or.jp/index.asp,"4.0
(3,087)",Unknown,ショッピング モール,34.4358031,135.2402292
アカツキ,4,5 か月前,"第2ターミナルへのバスが出ている重要な場所。

第2のレストランが非常に微妙なので、この食事をするならエアロプラザがオススメ。",エアロプラザ,"
〒549-0001 大阪府泉佐野市泉州空港北","
072-455-2500",http://www.kansai-airport.or.jp/index.asp,"4.0
(3,087)",Unknown,ショッピング モール,34.4358031,135.2402292
アカツキ,4,5 か月前,"第2ターミナルへのバスが出ている重要な場所。

第2のレストランが非常に微妙なので、この食事をするならエアロプラザがオススメ。",エアロプラザ,"
〒549-0001 大阪府泉佐野市泉州空港北","
072-455-2500",http://www.kansai-airport.or.jp/index.asp,"4.0
(3,087)",Unknown,ショッピング モール,34.4358031,135.2402292
ゆうこりん,5,9 か月前,"私のお誕生日祝いとして、平日のランチに友達と一緒に訪問しました。
予約の際、その旨を伝えていたからか、お店の方から、記念写真とメッセージカードのプレゼントがあり、とても良い記念になりました。

食事の方も、とても美味しく頂きました。値段もお手軽で、ぜひ又訪問したいです。",エアロプラザ,"
〒549-0001 大阪府泉佐野市泉州空港北","
072-455-2500",http://www.kansai-airport.or.jp/index.asp,"4.0
(3,087)",Unknown,ショッピング モール,34.4358031,135.2402292
