Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
山崎いづみ,4,2 か月前,サングラスリボン可愛くて、ついつい買ってしまうのです。また行きたいお店の一つです,オハラ,"
〒220-0005 神奈川県横浜市西区南幸１丁目４","
045-311-6592",http://ohara-co.com/,"3.2
(6)",Unknown,〒220-0005 神奈川県横浜市西区南幸１丁目４,35.4667637,139.5828858
山崎いづみ,4,2 か月前,サングラスリボン可愛くて、ついつい買ってしまうのです。また行きたいお店の一つです,オハラ,"
〒220-0005 神奈川県横浜市西区南幸１丁目４","
045-311-6592",http://ohara-co.com/,"3.2
(6)",Unknown,〒220-0005 神奈川県横浜市西区南幸１丁目４,35.4667637,139.5828858
takenaka satoshi,5,2 年前,      2 年前,オハラ,"
〒220-0005 神奈川県横浜市西区南幸１丁目４","
045-311-6592",http://ohara-co.com/,"3.2
(6)",Unknown,〒220-0005 神奈川県横浜市西区南幸１丁目４,35.4667637,139.5828858
takenaka satoshi,5,2 年前,      2 年前,オハラ,"
〒220-0005 神奈川県横浜市西区南幸１丁目４","
045-311-6592",http://ohara-co.com/,"3.2
(6)",Unknown,〒220-0005 神奈川県横浜市西区南幸１丁目４,35.4667637,139.5828858
Maple Roko,3,5 年前,      5 年前,オハラ,"
〒220-0005 神奈川県横浜市西区南幸１丁目４","
045-311-6592",http://ohara-co.com/,"3.2
(6)",Unknown,〒220-0005 神奈川県横浜市西区南幸１丁目４,35.4667637,139.5828858
Maple Roko,3,5 年前,      5 年前,オハラ,"
〒220-0005 神奈川県横浜市西区南幸１丁目４","
045-311-6592",http://ohara-co.com/,"3.2
(6)",Unknown,〒220-0005 神奈川県横浜市西区南幸１丁目４,35.4667637,139.5828858
東海林正俊,5,6 年前,      6 年前,オハラ,"
〒220-0005 神奈川県横浜市西区南幸１丁目４","
045-311-6592",http://ohara-co.com/,"3.2
(6)",Unknown,〒220-0005 神奈川県横浜市西区南幸１丁目４,35.4667637,139.5828858
東海林正俊,5,6 年前,      6 年前,オハラ,"
〒220-0005 神奈川県横浜市西区南幸１丁目４","
045-311-6592",http://ohara-co.com/,"3.2
(6)",Unknown,〒220-0005 神奈川県横浜市西区南幸１丁目４,35.4667637,139.5828858
久津摩亮介,1,6 年前,      6 年前,オハラ,"
〒220-0005 神奈川県横浜市西区南幸１丁目４","
045-311-6592",http://ohara-co.com/,"3.2
(6)",Unknown,〒220-0005 神奈川県横浜市西区南幸１丁目４,35.4667637,139.5828858
久津摩亮介,1,6 年前,      6 年前,オハラ,"
〒220-0005 神奈川県横浜市西区南幸１丁目４","
045-311-6592",http://ohara-co.com/,"3.2
(6)",Unknown,〒220-0005 神奈川県横浜市西区南幸１丁目４,35.4667637,139.5828858
M K,1,6 年前,      6 年前,オハラ,"
〒220-0005 神奈川県横浜市西区南幸１丁目４","
045-311-6592",http://ohara-co.com/,"3.2
(6)",Unknown,〒220-0005 神奈川県横浜市西区南幸１丁目４,35.4667637,139.5828858
M K,1,6 年前,      6 年前,オハラ,"
〒220-0005 神奈川県横浜市西区南幸１丁目４","
045-311-6592",http://ohara-co.com/,"3.2
(6)",Unknown,〒220-0005 神奈川県横浜市西区南幸１丁目４,35.4667637,139.5828858
