Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Yosuke Matsuno,5,2 年前,"9月初旬に登りました。
オロフレ展望台から登山道入口があり、そこから１時間半ぐらいで行けます。
展望台から山頂までは標高差は300mながらザレ場や急勾配な箇所かあるので、決して甘く見てはいけません。
また、白樺の木が斜めに生えているエリアも多く、風が強い時が多い場所と思われます。朝７時前に登り始めた時も強めの風が吹いてました。なので、防寒装備もきちんと持っていくのがおすすめのです。
山頂からは少し草木があるものの、360°展望が広がります。途中でも、十分景色は楽しめます。
平日に登りましたが、車でのアクセスが容易なのもあり、朝9時を過ぎた頃から何組もの登山者とすれ違いました。
山頂もそれほど広くは無い（20人もいたらかなりの混雑かも）ので、週末行かれる方は混雑にもご注意下さい。",オロフレ山,"
〒059-0642 北海道白老郡白老町竹浦",Unknown,Unknown,"4.7
(24)",Unknown,〒059-0642 北海道白老郡白老町竹浦,42.5629991,141.087132
Yosuke Matsuno,5,2 年前,"9月初旬に登りました。
オロフレ展望台から登山道入口があり、そこから１時間半ぐらいで行けます。
展望台から山頂までは標高差は300mながらザレ場や急勾配な箇所かあるので、決して甘く見てはいけません。
また、白樺の木が斜めに生えているエリアも多く、風が強い時が多い場所と思われます。朝７時前に登り始めた時も強めの風が吹いてました。なので、防寒装備もきちんと持っていくのがおすすめのです。
山頂からは少し草木があるものの、360°展望が広がります。途中でも、十分景色は楽しめます。
平日に登りましたが、車でのアクセスが容易なのもあり、朝9時を過ぎた頃から何組もの登山者とすれ違いました。
山頂もそれほど広くは無い（20人もいたらかなりの混雑かも）ので、週末行かれる方は混雑にもご注意下さい。",オロフレ山,"
〒059-0642 北海道白老郡白老町竹浦",Unknown,Unknown,"4.7
(24)",Unknown,〒059-0642 北海道白老郡白老町竹浦,42.5629991,141.087132
Hidemi,5,2 年前,"9月上旬の晴天の日、朝方は風があり、頂上に着いたときはダウンを着るとちょうどよいぐらいに冷えていましたが、昼前にはだいぶ気温が上がり半袖でちょうどよいぐらいに。
防寒着と、暑くなった時のために水分は大目に持参して正解でした。
ゲーターをつけていましたが、クマザサの朝露でぐっしょり濡れていました。

ゆっくり登っても1時間ぐらいで頂上につきますが、下りのほうが時間がかかりました。頂上からしばらくの下りは、幅が狭く、下から上ってくる人を待ったり、ガレ場がある場所などでは通過に時間がかかったようです。
駐車場の標高が930Mと記載されており、頂上では1230Mとあったので、標高差はあまりありませんが、最後の登りは山登りらしいコースとなっており、思ったより登りごたえがありました。

晴天ですと、素晴らしい景色を堪能できます。
陽に照らされた美しい海岸沿いの風景、登別から立ち上る白い蒸気、洞爺湖や羊蹄山など有名な名勝が見渡せます。

頂上はあまり広くなく、ベンチなどありません。
駐車場に戻ればテーブルベンチがありますので、そちらで持参したお弁当を食べるのもいいかもしれません。",オロフレ山,"
〒059-0642 北海道白老郡白老町竹浦",Unknown,Unknown,"4.7
(24)",Unknown,〒059-0642 北海道白老郡白老町竹浦,42.5629991,141.087132
Hidemi,5,2 年前,"9月上旬の晴天の日、朝方は風があり、頂上に着いたときはダウンを着るとちょうどよいぐらいに冷えていましたが、昼前にはだいぶ気温が上がり半袖でちょうどよいぐらいに。
防寒着と、暑くなった時のために水分は大目に持参して正解でした。
ゲーターをつけていましたが、クマザサの朝露でぐっしょり濡れていました。

ゆっくり登っても1時間ぐらいで頂上につきますが、下りのほうが時間がかかりました。頂上からしばらくの下りは、幅が狭く、下から上ってくる人を待ったり、ガレ場がある場所などでは通過に時間がかかったようです。
駐車場の標高が930Mと記載されており、頂上では1230Mとあったので、標高差はあまりありませんが、最後の登りは山登りらしいコースとなっており、思ったより登りごたえがありました。

晴天ですと、素晴らしい景色を堪能できます。
陽に照らされた美しい海岸沿いの風景、登別から立ち上る白い蒸気、洞爺湖や羊蹄山など有名な名勝が見渡せます。

頂上はあまり広くなく、ベンチなどありません。
駐車場に戻ればテーブルベンチがありますので、そちらで持参したお弁当を食べるのもいいかもしれません。",オロフレ山,"
〒059-0642 北海道白老郡白老町竹浦",Unknown,Unknown,"4.7
(24)",Unknown,〒059-0642 北海道白老郡白老町竹浦,42.5629991,141.087132
勘吉両津,5,1 年前,途中の道は危険な場所が有ります！１人の登山は止めましょう！頂上は景色が良いです！洞爺湖も見えます！天候が変わりやすいので注意⚠️,オロフレ山,"
〒059-0642 北海道白老郡白老町竹浦",Unknown,Unknown,"4.7
(24)",Unknown,〒059-0642 北海道白老郡白老町竹浦,42.5629991,141.087132
勘吉両津,5,1 年前,途中の道は危険な場所が有ります！１人の登山は止めましょう！頂上は景色が良いです！洞爺湖も見えます！天候が変わりやすいので注意⚠️,オロフレ山,"
〒059-0642 北海道白老郡白老町竹浦",Unknown,Unknown,"4.7
(24)",Unknown,〒059-0642 北海道白老郡白老町竹浦,42.5629991,141.087132
洋阿相,5,5 年前,登別温泉や洞爺湖温泉に近くシラネアオイの群生地　他の高山植物の種類も多く四季を通じて楽しめる　風が吹き抜けるので強風時は要注意　夏季はガスが多い。ケルンのある通称テント場までは高低差の少ない歩きやすいルートであるが、頂上直下から推定距離300ｍは予想以上の急登攀を強いられるのでそれなりの体力が必要。,オロフレ山,"
〒059-0642 北海道白老郡白老町竹浦",Unknown,Unknown,"4.7
(24)",Unknown,〒059-0642 北海道白老郡白老町竹浦,42.5629991,141.087132
洋阿相,5,5 年前,登別温泉や洞爺湖温泉に近くシラネアオイの群生地　他の高山植物の種類も多く四季を通じて楽しめる　風が吹き抜けるので強風時は要注意　夏季はガスが多い。ケルンのある通称テント場までは高低差の少ない歩きやすいルートであるが、頂上直下から推定距離300ｍは予想以上の急登攀を強いられるのでそれなりの体力が必要。,オロフレ山,"
〒059-0642 北海道白老郡白老町竹浦",Unknown,Unknown,"4.7
(24)",Unknown,〒059-0642 北海道白老郡白老町竹浦,42.5629991,141.087132
田中邦衛門,5,6 年前,"実質の登山標高は300mほどと低山クラス。
この僅かな登山距離で1,000mクラスの高山植物を拝めるのは非常にありがたいです。
登山自体はそれほど難しい山ではありません、小学生でも登れる山です、
しかし途中急な岩場などもありますので全くの初心者には向きません。
近隣は天気が悪いことが多く、その上標高が高いこともあって天候も変わりやすいので雨具の用意は忘れずに。
駐車場付近や途中の眺めはいいのですが、山頂は笹原の中に黒土のちょっとした広場でがっかりします。

山開きの直後ぐらいはバス等で駐車場がごった返すことが多いので注意が必要。
また６月下旬ぐらいは近辺がタケノコ取りの人で溢れますので、

なお、以前（20年ぐらい前？）は駐車場脇に売店があったようですが、現在はありません。
飲料などは事前に壮瞥か登別で購入してから来てください。
高齢者の方で、売店での購入を当てにして飲料を持ってこず、駐車場脇で途方に暮れているのをしばし見かけます。",オロフレ山,"
〒059-0642 北海道白老郡白老町竹浦",Unknown,Unknown,"4.7
(24)",Unknown,〒059-0642 北海道白老郡白老町竹浦,42.5629991,141.087132
田中邦衛門,5,6 年前,"実質の登山標高は300mほどと低山クラス。
この僅かな登山距離で1,000mクラスの高山植物を拝めるのは非常にありがたいです。
登山自体はそれほど難しい山ではありません、小学生でも登れる山です、
しかし途中急な岩場などもありますので全くの初心者には向きません。
近隣は天気が悪いことが多く、その上標高が高いこともあって天候も変わりやすいので雨具の用意は忘れずに。
駐車場付近や途中の眺めはいいのですが、山頂は笹原の中に黒土のちょっとした広場でがっかりします。

山開きの直後ぐらいはバス等で駐車場がごった返すことが多いので注意が必要。
また６月下旬ぐらいは近辺がタケノコ取りの人で溢れますので、

なお、以前（20年ぐらい前？）は駐車場脇に売店があったようですが、現在はありません。
飲料などは事前に壮瞥か登別で購入してから来てください。
高齢者の方で、売店での購入を当てにして飲料を持ってこず、駐車場脇で途方に暮れているのをしばし見かけます。",オロフレ山,"
〒059-0642 北海道白老郡白老町竹浦",Unknown,Unknown,"4.7
(24)",Unknown,〒059-0642 北海道白老郡白老町竹浦,42.5629991,141.087132
