Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
キミ,5,6 か月前,"知らぬ間に、貸し切り状態😘
ありがとうございます✨
天気も良く、ゆっくりリゾート気分を味わえました😍
お料理も大変美味しくて、ペロリ🤤ステーキプレートは、単品で、注文すると、１６００円。ドリンクとデザート付きで。１７００円！！プラス１００円で、デザートもドリンクも付いてくる！！
接客も◎、料理の満足度◎。
私が入る前には二組いらっしゃいましたが、いつの間にか貸し切り状態に。
お店の方もありがとうございました✨
今日も幸せな１日、でした✨",カフェ・ラ・ルナ,"
〒985-0803 宮城県宮城郡七ヶ浜町花渕浜大山１−１","
022-357-6991",https://www.instagram.com/cafelaluna/,"4.0
(51)",Unknown,カフェ・喫茶,38.298464,141.067864
キミ,5,6 か月前,"知らぬ間に、貸し切り状態😘
ありがとうございます✨
天気も良く、ゆっくりリゾート気分を味わえました😍
お料理も大変美味しくて、ペロリ🤤ステーキプレートは、単品で、注文すると、１６００円。ドリンクとデザート付きで。１７００円！！プラス１００円で、デザートもドリンクも付いてくる！！
接客も◎、料理の満足度◎。
私が入る前には二組いらっしゃいましたが、いつの間にか貸し切り状態に。
お店の方もありがとうございました✨
今日も幸せな１日、でした✨",カフェ・ラ・ルナ,"
〒985-0803 宮城県宮城郡七ヶ浜町花渕浜大山１−１","
022-357-6991",https://www.instagram.com/cafelaluna/,"4.0
(51)",Unknown,カフェ・喫茶,38.298464,141.067864
xx w xx,4,2 年前,"眺めがめちゃくちゃ良いです。
ランチタイム利用しました。
平日だからか混んでいなくて良かったです。
ディナーは完全予約制らしいです。
悩んで、悩んで、店員さんに聞いたらシーフードオムカレーがよく注文されるそうですが、結局タコライスとデザートいただきました。
おしゃれ映ます。
そして、お料理は注文から来るまで激早。
味もしっかり本格的でびっくりしました。
デザートのプリンはかためで好きな感じ。
個室でくつろげるし、ゆっくりまったり過ごせました。ひとりでも入りやすいのは良い。
天気が良い日に来た方が絶対に良い場所。
青が綺麗。
癒されました。",カフェ・ラ・ルナ,"
〒985-0803 宮城県宮城郡七ヶ浜町花渕浜大山１−１","
022-357-6991",https://www.instagram.com/cafelaluna/,"4.0
(51)",Unknown,カフェ・喫茶,38.298464,141.067864
xx w xx,4,2 年前,"眺めがめちゃくちゃ良いです。
ランチタイム利用しました。
平日だからか混んでいなくて良かったです。
ディナーは完全予約制らしいです。
悩んで、悩んで、店員さんに聞いたらシーフードオムカレーがよく注文されるそうですが、結局タコライスとデザートいただきました。
おしゃれ映ます。
そして、お料理は注文から来るまで激早。
味もしっかり本格的でびっくりしました。
デザートのプリンはかためで好きな感じ。
個室でくつろげるし、ゆっくりまったり過ごせました。ひとりでも入りやすいのは良い。
天気が良い日に来た方が絶対に良い場所。
青が綺麗。
癒されました。",カフェ・ラ・ルナ,"
〒985-0803 宮城県宮城郡七ヶ浜町花渕浜大山１−１","
022-357-6991",https://www.instagram.com/cafelaluna/,"4.0
(51)",Unknown,カフェ・喫茶,38.298464,141.067864
ai,4,10 か月前,"海外のリゾート地のようなローションが最高。のんびりご飯がいただけました。
タコライスは周りの野菜の水気が残ってライスが少し残念な感じに…。プリンもすが多いです。その為お料理自体は★3ですが、ローションの良さと込1700円で食事＋選べるドリンク＋デザートプレートは満足感がありました。

トイレは年期が入っていました。
チルしたい日にまた訪れたいと思います。",カフェ・ラ・ルナ,"
〒985-0803 宮城県宮城郡七ヶ浜町花渕浜大山１−１","
022-357-6991",https://www.instagram.com/cafelaluna/,"4.0
(51)",Unknown,カフェ・喫茶,38.298464,141.067864
ai,4,10 か月前,"海外のリゾート地のようなローションが最高。のんびりご飯がいただけました。
タコライスは周りの野菜の水気が残ってライスが少し残念な感じに…。プリンもすが多いです。その為お料理自体は★3ですが、ローションの良さと込1700円で食事＋選べるドリンク＋デザートプレートは満足感がありました。

トイレは年期が入っていました。
チルしたい日にまた訪れたいと思います。",カフェ・ラ・ルナ,"
〒985-0803 宮城県宮城郡七ヶ浜町花渕浜大山１−１","
022-357-6991",https://www.instagram.com/cafelaluna/,"4.0
(51)",Unknown,カフェ・喫茶,38.298464,141.067864
team alap_Photographer /SAGAWA,5,1 年前,ランチメニューからステーキを頂きました。デザートと珈琲も付いて1700円。美味かったです。ランチメニューはメイン、デザート、ドリンクそれぞれ数種類選べます。,カフェ・ラ・ルナ,"
〒985-0803 宮城県宮城郡七ヶ浜町花渕浜大山１−１","
022-357-6991",https://www.instagram.com/cafelaluna/,"4.0
(51)",Unknown,カフェ・喫茶,38.298464,141.067864
team alap_Photographer /SAGAWA,5,1 年前,ランチメニューからステーキを頂きました。デザートと珈琲も付いて1700円。美味かったです。ランチメニューはメイン、デザート、ドリンクそれぞれ数種類選べます。,カフェ・ラ・ルナ,"
〒985-0803 宮城県宮城郡七ヶ浜町花渕浜大山１−１","
022-357-6991",https://www.instagram.com/cafelaluna/,"4.0
(51)",Unknown,カフェ・喫茶,38.298464,141.067864
Lonely Rider,4,3 年前,"店内のインテリアや色合い、メニューなど、異国情緒があります。
大きな窓から見える景色は南国のリゾート地のようで、雰囲気やロケーションはなかなか良いかと。",カフェ・ラ・ルナ,"
〒985-0803 宮城県宮城郡七ヶ浜町花渕浜大山１−１","
022-357-6991",https://www.instagram.com/cafelaluna/,"4.0
(51)",Unknown,カフェ・喫茶,38.298464,141.067864
Lonely Rider,4,3 年前,"店内のインテリアや色合い、メニューなど、異国情緒があります。
大きな窓から見える景色は南国のリゾート地のようで、雰囲気やロケーションはなかなか良いかと。",カフェ・ラ・ルナ,"
〒985-0803 宮城県宮城郡七ヶ浜町花渕浜大山１−１","
022-357-6991",https://www.instagram.com/cafelaluna/,"4.0
(51)",Unknown,カフェ・喫茶,38.298464,141.067864
