Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
小川徹,4,10 か月前,"グランフロント大阪の北館7階、9階にあるテラスガーデン。お昼になるとオフィスの人がお昼休憩に来られます。きれいに整備されていて、ゆっくり過ごすことができました。
ただ、上のオフィスフロアからは、ここでの様子は丸見えだと思われます。",グランフロント大阪 北館テラスガーデン,"
〒530-0011 大阪府大阪市北区大深町３ グランフロント北館 9F",Unknown,https://www.gfo-sc.jp/information/floor/north/9f,"3.8
(11)",お店やスポットの電話番号を追加する,庭園,34.7058335,135.4941913
小川徹,4,10 か月前,"グランフロント大阪の北館7階、9階にあるテラスガーデン。お昼になるとオフィスの人がお昼休憩に来られます。きれいに整備されていて、ゆっくり過ごすことができました。
ただ、上のオフィスフロアからは、ここでの様子は丸見えだと思われます。",グランフロント大阪 北館テラスガーデン,"
〒530-0011 大阪府大阪市北区大深町３ グランフロント北館 9F",Unknown,https://www.gfo-sc.jp/information/floor/north/9f,"3.8
(11)",お店やスポットの電話番号を追加する,庭園,34.7058335,135.4941913
S,4,1 年前,"お昼に行きました
工事現場を見下ろしながら、たまに飛んでいる飛行機を眺めながら、ベンチでゆっくりとくつろぎました。
知る人ぞ知る場所なので、人も少なかったです。
お天気がいい日は、少し足を伸ばして訪れるのもおすすめです。",グランフロント大阪 北館テラスガーデン,"
〒530-0011 大阪府大阪市北区大深町３ グランフロント北館 9F",Unknown,https://www.gfo-sc.jp/information/floor/north/9f,"3.8
(11)",お店やスポットの電話番号を追加する,庭園,34.7058335,135.4941913
S,4,1 年前,"お昼に行きました
工事現場を見下ろしながら、たまに飛んでいる飛行機を眺めながら、ベンチでゆっくりとくつろぎました。
知る人ぞ知る場所なので、人も少なかったです。
お天気がいい日は、少し足を伸ばして訪れるのもおすすめです。",グランフロント大阪 北館テラスガーデン,"
〒530-0011 大阪府大阪市北区大深町３ グランフロント北館 9F",Unknown,https://www.gfo-sc.jp/information/floor/north/9f,"3.8
(11)",お店やスポットの電話番号を追加する,庭園,34.7058335,135.4941913
Meet26,4,3 年前,"人が少なく、のんびりできます。

眺めよくて、おちつきますが、
ベンチは少ないです。",グランフロント大阪 北館テラスガーデン,"
〒530-0011 大阪府大阪市北区大深町３ グランフロント北館 9F",Unknown,https://www.gfo-sc.jp/information/floor/north/9f,"3.8
(11)",お店やスポットの電話番号を追加する,庭園,34.7058335,135.4941913
Meet26,4,3 年前,"人が少なく、のんびりできます。

眺めよくて、おちつきますが、
ベンチは少ないです。",グランフロント大阪 北館テラスガーデン,"
〒530-0011 大阪府大阪市北区大深町３ グランフロント北館 9F",Unknown,https://www.gfo-sc.jp/information/floor/north/9f,"3.8
(11)",お店やスポットの電話番号を追加する,庭園,34.7058335,135.4941913
ZLUO,4,1 年前,フェンスが高いのが残念。,グランフロント大阪 北館テラスガーデン,"
〒530-0011 大阪府大阪市北区大深町３ グランフロント北館 9F",Unknown,https://www.gfo-sc.jp/information/floor/north/9f,"3.8
(11)",お店やスポットの電話番号を追加する,庭園,34.7058335,135.4941913
ZLUO,4,1 年前,フェンスが高いのが残念。,グランフロント大阪 北館テラスガーデン,"
〒530-0011 大阪府大阪市北区大深町３ グランフロント北館 9F",Unknown,https://www.gfo-sc.jp/information/floor/north/9f,"3.8
(11)",お店やスポットの電話番号を追加する,庭園,34.7058335,135.4941913
Régis Caspar,3,1 年前,それは大丈夫だが、「今年のもの」ではない,グランフロント大阪 北館テラスガーデン,"
〒530-0011 大阪府大阪市北区大深町３ グランフロント北館 9F",Unknown,https://www.gfo-sc.jp/information/floor/north/9f,"3.8
(11)",お店やスポットの電話番号を追加する,庭園,34.7058335,135.4941913
Régis Caspar,3,1 年前,それは大丈夫だが、「今年のもの」ではない,グランフロント大阪 北館テラスガーデン,"
〒530-0011 大阪府大阪市北区大深町３ グランフロント北館 9F",Unknown,https://www.gfo-sc.jp/information/floor/north/9f,"3.8
(11)",お店やスポットの電話番号を追加する,庭園,34.7058335,135.4941913
ともとも,5,8 か月前,      8 か月前 +2,グランフロント大阪 北館テラスガーデン,"
〒530-0011 大阪府大阪市北区大深町３ グランフロント北館 9F",Unknown,https://www.gfo-sc.jp/information/floor/north/9f,"3.8
(11)",お店やスポットの電話番号を追加する,庭園,34.7058335,135.4941913
ともとも,5,8 か月前,      8 か月前 +2,グランフロント大阪 北館テラスガーデン,"
〒530-0011 大阪府大阪市北区大深町３ グランフロント北館 9F",Unknown,https://www.gfo-sc.jp/information/floor/north/9f,"3.8
(11)",お店やスポットの電話番号を追加する,庭園,34.7058335,135.4941913
