Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
NAOKI SUGI,5,2 週間前,"めちゃくちゃ良いので、是非行ってほしい！
少し歩きますが、ジップラインの終点近くの桟橋！天気が良ければ、とっても素敵な写真が撮影できますし、ぼーっと時間を過ごせる素敵な時間を過ごせます😊

海は透き通っていて、小さな色鮮やかな魚さんが泳いでいるのが見えます。

次はここで、ゆっくりしたい🙌",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
NAOKI SUGI,5,2 週間前,"めちゃくちゃ良いので、是非行ってほしい！
少し歩きますが、ジップラインの終点近くの桟橋！天気が良ければ、とっても素敵な写真が撮影できますし、ぼーっと時間を過ごせる素敵な時間を過ごせます😊

海は透き通っていて、小さな色鮮やかな魚さんが泳いでいるのが見えます。

次はここで、ゆっくりしたい🙌",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
334,4,5 か月前,"社員でビーチバレーをしました。
11月だというのに暖かくて海に飛び込んでいる者もいました。
みんな幸せそうで何よりです。",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
334,4,5 か月前,"社員でビーチバレーをしました。
11月だというのに暖かくて海に飛び込んでいる者もいました。
みんな幸せそうで何よりです。",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Kiyo Horimoto,5,4 年前,"シェラトンホテルのビーチです。プレミア会員だと特典でアクティビティが何個か無料になります。
宿泊者割引もあり、お得に利用できます。
今回はペダルボートと傘とシートレンタル、マーブルというバナナボートの少人数タイプのやつをお願いしました。うみ～って感じでいいです🥰 …",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Kiyo Horimoto,5,4 年前,"シェラトンホテルのビーチです。プレミア会員だと特典でアクティビティが何個か無料になります。
宿泊者割引もあり、お得に利用できます。
今回はペダルボートと傘とシートレンタル、マーブルというバナナボートの少人数タイプのやつをお願いしました。うみ～って感じでいいです🥰 …",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
高瀬鐵藏,4,8 か月前,"台風の影響で遊泳禁止
風が強く人もほとんど居ない
海は綺麗なのに残念",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
高瀬鐵藏,4,8 か月前,"台風の影響で遊泳禁止
風が強く人もほとんど居ない
海は綺麗なのに残念",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Hiro KMM,3,5 年前,"駐車場は有料です。基本的にはシェラトンの宿泊者向けですね。ビジターにとってはパラソルから何から高いだけです。1日過ごすとかなら良いと思いますが、少しだけビーチで過ごすことを目的とするのにはあんまり向いてないかな。。
海は綺麗です。ただ、やたらとワカメが浮いてて写真を撮るのに向かないかな。",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Hiro KMM,3,5 年前,"駐車場は有料です。基本的にはシェラトンの宿泊者向けですね。ビジターにとってはパラソルから何から高いだけです。1日過ごすとかなら良いと思いますが、少しだけビーチで過ごすことを目的とするのにはあんまり向いてないかな。。
海は綺麗です。ただ、やたらとワカメが浮いてて写真を撮るのに向かないかな。",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
喜福,4,2 か月前,～海を渡るジップラインがサイコー⤴⤴⤴,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
喜福,4,2 か月前,～海を渡るジップラインがサイコー⤴⤴⤴,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
K S,4,5 か月前,ライフガードが溺れかけた子どもを救助するのを見た！,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
K S,4,5 か月前,ライフガードが溺れかけた子どもを救助するのを見た！,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
tori yaki,5,6 年前,"この付近ではかなり綺麗で整備されたビーチ
遊歩道の先は危険なのか立ち入り禁止になってるのは残念
歩いてリザンシー側まで行けるのも良い",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
tori yaki,5,6 年前,"この付近ではかなり綺麗で整備されたビーチ
遊歩道の先は危険なのか立ち入り禁止になってるのは残念
歩いてリザンシー側まで行けるのも良い",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
riki watanabe,4,3 年前,"良い。ビーチパラソル、チェアのセットで非宿泊者は4,400円／日。カード払い可",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
riki watanabe,4,3 年前,"良い。ビーチパラソル、チェアのセットで非宿泊者は4,400円／日。カード払い可",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
d d,5,6 年前,"遊歩道はとてもキレイでした。
のんびり散策を楽しめます。",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
d d,5,6 年前,"遊歩道はとてもキレイでした。
のんびり散策を楽しめます。",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
吉田陸,5,4 年前,ジップライン最高、値段も安い、感動する。海は透明度も高く、店員さんも親切な方が多い。,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
吉田陸,5,4 年前,ジップライン最高、値段も安い、感動する。海は透明度も高く、店員さんも親切な方が多い。,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Yoshihiro T,4,2 年前,ビーチはきれいでアクティビティは充実しています。,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Yoshihiro T,4,2 年前,ビーチはきれいでアクティビティは充実しています。,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
三宅朋子,4,2 年前,ジップライン。風が強くて旅行初日はやってなくて、帰りは雨で午前中は様子みるとかで、諦めて那覇まで戻ったが昼からやってたので、またUターンして体験しました。宿泊者は安くなるよーです。大人２名で4400円払い、ドローン撮影はプラス4400円。後、駐車場が１時間６００円と、沖縄にしては高く１時間５分になり、1200円払ったの納得できないので体験者には駐車場割引とかあればいいと思う。,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
三宅朋子,4,2 年前,ジップライン。風が強くて旅行初日はやってなくて、帰りは雨で午前中は様子みるとかで、諦めて那覇まで戻ったが昼からやってたので、またUターンして体験しました。宿泊者は安くなるよーです。大人２名で4400円払い、ドローン撮影はプラス4400円。後、駐車場が１時間６００円と、沖縄にしては高く１時間５分になり、1200円払ったの納得できないので体験者には駐車場割引とかあればいいと思う。,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Ko “Miyak-Marl” Ma,4,4 年前,"ホテルシェラトンサンマリーナのプライベートビーチ。
透明度も抜群で魚も泳いでいるのを入ってスグのところからも確認することができる。
また護岸があるので波も穏やかで海水浴も安心して楽しめる。

護岸も桟橋で繋がっており、海の上を散歩することができ、桟橋の上からは魚を見ることができる。

また各種マリンアクティビティやダイビング、シュノーケリングも楽しめるのはもちろん。
ジップラインなどのアクティビティも楽しむことができる。
施設も揃っていて、シャワーや更衣室なども綺麗でソープ類もシェラトンのクオリティでよい香り。
またビーチのところどころにハンモックなどの休憩スペースがあり、そこから海を眺めるのもよい。

景色もよく、サンセットを望むことができて夕陽は本当に美しい。",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Ko “Miyak-Marl” Ma,4,4 年前,"ホテルシェラトンサンマリーナのプライベートビーチ。
透明度も抜群で魚も泳いでいるのを入ってスグのところからも確認することができる。
また護岸があるので波も穏やかで海水浴も安心して楽しめる。

護岸も桟橋で繋がっており、海の上を散歩することができ、桟橋の上からは魚を見ることができる。

また各種マリンアクティビティやダイビング、シュノーケリングも楽しめるのはもちろん。
ジップラインなどのアクティビティも楽しむことができる。
施設も揃っていて、シャワーや更衣室なども綺麗でソープ類もシェラトンのクオリティでよい香り。
またビーチのところどころにハンモックなどの休憩スペースがあり、そこから海を眺めるのもよい。

景色もよく、サンセットを望むことができて夕陽は本当に美しい。",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
藤川忠力,5,6 年前,"ゴミも全然ないですし、白い砂浜に晴れたら真っ青なオーシャンブルーの海が最高に綺麗です。
海に入らなくても眺めてるだけで時間を忘れて癒されます",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
藤川忠力,5,6 年前,"ゴミも全然ないですし、白い砂浜に晴れたら真っ青なオーシャンブルーの海が最高に綺麗です。
海に入らなくても眺めてるだけで時間を忘れて癒されます",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
むぎかんな,1,5 年前,"昔は桟橋があり、海中散歩が楽しめたのに、老朽化のせいか立ち入り禁止になっていた
海の透明度も悪く、西海岸のリゾートエリアは本土なみに汚れていて残念
ロープスライダーのアクティビティがあり、ドローン撮影してくれるようだが、沖縄のビーチでなくてはならないものではない気がする",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
むぎかんな,1,5 年前,"昔は桟橋があり、海中散歩が楽しめたのに、老朽化のせいか立ち入り禁止になっていた
海の透明度も悪く、西海岸のリゾートエリアは本土なみに汚れていて残念
ロープスライダーのアクティビティがあり、ドローン撮影してくれるようだが、沖縄のビーチでなくてはならないものではない気がする",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Takanori Isoyama,5,1 年前,"【サンマリーナビーチ】
シェラトン沖縄サンマリーナのプライベートビーチ。桟橋が素敵です。",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Takanori Isoyama,5,1 年前,"【サンマリーナビーチ】
シェラトン沖縄サンマリーナのプライベートビーチ。桟橋が素敵です。",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
A K,5,6 年前,"ホテルの目の前のビーチで安心して楽しめます。
マリンアクティビティのスタッフの方もよい方たちです！",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
A K,5,6 年前,"ホテルの目の前のビーチで安心して楽しめます。
マリンアクティビティのスタッフの方もよい方たちです！",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
本郷裕理,5,9 か月前,よく遊べるし綺麗 で面白い,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
本郷裕理,5,9 か月前,よく遊べるし綺麗 で面白い,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
内間一也,5,1 年前,"海！　空！　施設！　サービス！
全て最高です！",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
内間一也,5,1 年前,"海！　空！　施設！　サービス！
全て最高です！",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
attaco journey,4,4 年前,"絶景

桟橋がとても素敵な雰囲気を醸し出すビーチです。",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
attaco journey,4,4 年前,"絶景

桟橋がとても素敵な雰囲気を醸し出すビーチです。",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
A L,5,6 年前,ホテルの横のビーチで、きれいによく管理されていました。,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
A L,5,6 年前,ホテルの横のビーチで、きれいによく管理されていました。,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
KZ (KZ),3,4 年前,さまぁーずのサマーリゾートで紹介,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
KZ (KZ),3,4 年前,さまぁーずのサマーリゾートで紹介,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Masa Hiro,5,4 年前,ジップライン最高です,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Masa Hiro,5,4 年前,ジップライン最高です,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Naoko Terakawa,5,5 年前,とても綺麗なビーチ,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Naoko Terakawa,5,5 年前,とても綺麗なビーチ,サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
Mei Yeh,5,5 か月前,"ホテルの有料駐車場に駐車し、ビーチまでは徒歩約3分です。
訪問者はビーチに入るのに料金を支払う必要はありません
監視員も常駐しているので安心です。
また、有料の遊び施設やレンタル用品も多数あります。
開店時間は08:30、閉店時間は必ずしも定かではありませんが、おそらく17:00～18:00と当日朝の掲示板に書いてあります",サンマリーナビーチ,"
〒904-0413 沖縄県冨着",Unknown,Unknown,"4.5
(65)",Unknown,浜,26.4619873,127.8115459
