Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
らめ,N/A,"Google
より（3 週間前）","団体で行ったのですが、最悪でした。
まず、茂原駅が最寄りで、送迎バスに乗って宿に行くのですが、送迎バスに全員乗れる！スタッフの方が仰ってたにも関わらず、20人くらい乗れませんでした。そのため、外で40分ほど待たされました。まだ晴れていたから良かったものの、雨が降っていたり、寒かったらどうしてくれたのでしょうか。
次に、ご飯です。あり得ないほどご飯がおいしくなく、体調が悪い時を除きご飯を初めて残しました。ご飯があるのにも関わらず、ペペロンチーノの上にハンバーグが乗せられ、唐揚げ、天ぷらが付いていました。おいしかったらいいのですが、美味しくなく、吐きそうでした。
次に、客室です。",スパ&リゾート九十九里 太陽の里,"
〒299-4327 千葉県長生郡長生村一松３４４５","
0475-32-5550",http://www.taiyounosato.co.jp/,"3.5
(2,040)",Unknown,Unknown,37.7139592,135.9938996
らめ,N/A,"Google
より（3 週間前）","団体で行ったのですが、最悪でした。
まず、茂原駅が最寄りで、送迎バスに乗って宿に行くのですが、送迎バスに全員乗れる！スタッフの方が仰ってたにも関わらず、20人くらい乗れませんでした。そのため、外で40分ほど待たされました。まだ晴れていたから良かったものの、雨が降っていたり、寒かったらどうしてくれたのでしょうか。
次に、ご飯です。あり得ないほどご飯がおいしくなく、体調が悪い時を除きご飯を初めて残しました。ご飯があるのにも関わらず、ペペロンチーノの上にハンバーグが乗せられ、唐揚げ、天ぷらが付いていました。おいしかったらいいのですが、美味しくなく、吐きそうでした。
次に、客室です。",スパ&リゾート九十九里 太陽の里,"
〒299-4327 千葉県長生郡長生村一松３４４５","
0475-32-5550",http://www.taiyounosato.co.jp/,"3.5
(2,040)",Unknown,Unknown,37.7139592,135.9938996
大ちゃん,N/A,"Google
より（3 か月前）","夜勤明けで、1日休みしかないけどその後6連勤だから旅行行きたいと思い4時間寝て予約して行きました。
車で2時間しないうちに着きました。

自分はずっとホテル、旅館業に携わってきて今も飲食で働いてるのですが、接客すごく良かったです。
部屋も静かですし、料理も美味しかったです。
古さはありますが、ちゃんと清掃されており綺麗でした。
3階だったので外に出れるスペースがあり、そこからの空のグラデーション最高でした😭👏✨

お風呂も数種類あるし、温度は確かにまちまちですが、
それもまた良かったです。

また行きます✨
次はリラクゼーションとか色々やりたいかなー。
今年最初の旅行、ありがとうございました😊",スパ&リゾート九十九里 太陽の里,"
〒299-4327 千葉県長生郡長生村一松３４４５","
0475-32-5550",http://www.taiyounosato.co.jp/,"3.5
(2,040)",Unknown,Unknown,37.7139592,135.9938996
大ちゃん,N/A,"Google
より（3 か月前）","夜勤明けで、1日休みしかないけどその後6連勤だから旅行行きたいと思い4時間寝て予約して行きました。
車で2時間しないうちに着きました。

自分はずっとホテル、旅館業に携わってきて今も飲食で働いてるのですが、接客すごく良かったです。
部屋も静かですし、料理も美味しかったです。
古さはありますが、ちゃんと清掃されており綺麗でした。
3階だったので外に出れるスペースがあり、そこからの空のグラデーション最高でした😭👏✨

お風呂も数種類あるし、温度は確かにまちまちですが、
それもまた良かったです。

また行きます✨
次はリラクゼーションとか色々やりたいかなー。
今年最初の旅行、ありがとうございました😊",スパ&リゾート九十九里 太陽の里,"
〒299-4327 千葉県長生郡長生村一松３４４５","
0475-32-5550",http://www.taiyounosato.co.jp/,"3.5
(2,040)",Unknown,Unknown,37.7139592,135.9938996
佐藤雄太,N/A,"Google
より（3 か月前）","2025.1.24宿泊17:00以降レイトチェックイン朝食のみプランで来館しました
結論先にいうと大人1人￥10648とリーズナブルだと思います。（予約は太陽の里公式サイトでしました）
ただし、建物内外設備のキレイさを重視する方は期待と違うと思います。他所をお探しください。
冬だからか、館内利用者が少なく空いてて良かったです。やはり夏は混むのでしょうか?

駐車場は広くて停めやすかったです。
チェックイン時の説明はとても詳しく助かりました。
重要事項をわざわざマーカーペンで記してくれました。従業員の方々の対応も感じ良かったです。
お風呂は経年劣化はあるものの、マメに清掃していてきれいでした。脱衣所に毛がほとんど落ちていなく、清掃の努力を感じました。
宿泊は本館２階和室でしたが、こちらも経年劣化はあるもののしっかりメンテナンス、清掃がされていてきれいでした。
また機会があればお世話になりたいと思いました。",スパ&リゾート九十九里 太陽の里,"
〒299-4327 千葉県長生郡長生村一松３４４５","
0475-32-5550",http://www.taiyounosato.co.jp/,"3.5
(2,040)",Unknown,Unknown,37.7139592,135.9938996
佐藤雄太,N/A,"Google
より（3 か月前）","2025.1.24宿泊17:00以降レイトチェックイン朝食のみプランで来館しました
結論先にいうと大人1人￥10648とリーズナブルだと思います。（予約は太陽の里公式サイトでしました）
ただし、建物内外設備のキレイさを重視する方は期待と違うと思います。他所をお探しください。
冬だからか、館内利用者が少なく空いてて良かったです。やはり夏は混むのでしょうか?

駐車場は広くて停めやすかったです。
チェックイン時の説明はとても詳しく助かりました。
重要事項をわざわざマーカーペンで記してくれました。従業員の方々の対応も感じ良かったです。
お風呂は経年劣化はあるものの、マメに清掃していてきれいでした。脱衣所に毛がほとんど落ちていなく、清掃の努力を感じました。
宿泊は本館２階和室でしたが、こちらも経年劣化はあるもののしっかりメンテナンス、清掃がされていてきれいでした。
また機会があればお世話になりたいと思いました。",スパ&リゾート九十九里 太陽の里,"
〒299-4327 千葉県長生郡長生村一松３４４５","
0475-32-5550",http://www.taiyounosato.co.jp/,"3.5
(2,040)",Unknown,Unknown,37.7139592,135.9938996
--,N/A,"Google
より（1 か月前）","ランニングの帰りに寄りました
ここは館内着もタオルも入館料金と別です。
入館料金は1500円
タオルや館内着を借りると2000円を超えてきます
タオルは持っていたので館内着ぐらいは借りたかったのですが400円という値段でまぁ風呂入るだけだから いらないかと思い借りませんでした。
土日ではありましたが冬で天候が悪いことも相まって非常に快適でした
お風呂 なのですが露天風呂のいくつかがお湯が抜いてあり経費削減でしょうか
気になったところとしてはトイレが少し臭うということとお風呂から出る手前のシャワーの壁がカビで覆われていて見るだけで ヌメヌメしてそうでした
清潔感は大事なのでそういうところは気をつけた方がいいと思います
2階にはスーパー銭湯 らしく休みをできるフロアがありました
それと 軽食を取れるところがあり
自分はとろろご飯が食べたかったのですが
なかったのでとろろそばとライスを頼み
無理やり とろろご飯にしました（笑）
是非メニューに追加してください（笑）
夜の一時を超えると別に深夜料金が発生するみたいです
そんなこんなで 眠くなる前に撤収しました
また利用しようと思います。",スパ&リゾート九十九里 太陽の里,"
〒299-4327 千葉県長生郡長生村一松３４４５","
0475-32-5550",http://www.taiyounosato.co.jp/,"3.5
(2,040)",Unknown,Unknown,37.7139592,135.9938996
--,N/A,"Google
より（1 か月前）","ランニングの帰りに寄りました
ここは館内着もタオルも入館料金と別です。
入館料金は1500円
タオルや館内着を借りると2000円を超えてきます
タオルは持っていたので館内着ぐらいは借りたかったのですが400円という値段でまぁ風呂入るだけだから いらないかと思い借りませんでした。
土日ではありましたが冬で天候が悪いことも相まって非常に快適でした
お風呂 なのですが露天風呂のいくつかがお湯が抜いてあり経費削減でしょうか
気になったところとしてはトイレが少し臭うということとお風呂から出る手前のシャワーの壁がカビで覆われていて見るだけで ヌメヌメしてそうでした
清潔感は大事なのでそういうところは気をつけた方がいいと思います
2階にはスーパー銭湯 らしく休みをできるフロアがありました
それと 軽食を取れるところがあり
自分はとろろご飯が食べたかったのですが
なかったのでとろろそばとライスを頼み
無理やり とろろご飯にしました（笑）
是非メニューに追加してください（笑）
夜の一時を超えると別に深夜料金が発生するみたいです
そんなこんなで 眠くなる前に撤収しました
また利用しようと思います。",スパ&リゾート九十九里 太陽の里,"
〒299-4327 千葉県長生郡長生村一松３４４５","
0475-32-5550",http://www.taiyounosato.co.jp/,"3.5
(2,040)",Unknown,Unknown,37.7139592,135.9938996
やりゃん,N/A,"Google
より（1 か月前）","客も店も休憩室のそばなのに大声で騒ぎ最悪。
ブランケットは有料で、仮眠室も「コロナ対策」という今時謎の名目で封鎖しており、宿を取るか、有料仮眠室を使わせたくてわざと大声出したり最悪の対応をしてるのではないかと思わず邪推してしまう
過去本当に数多くのスーパー銭湯の仮眠室や休憩室を経験してきたがこんなひどいのは初めて　全国で最悪です。
値段は一見普通だが、館内着もタオルセットも含まずでこの値段なので正直割高

人が飯を食べようとしてるテーブルをわざわざ動かしてきたり(食べ終わってからでいいでしょうよ)、タオル受付のおばさんがやたら高圧的だったり、男性脱衣所にロッカー点検に入ってきたおばさんは目の前に落ちてるゴミも拾わずに放置
色々とお粗末だなと感じます
千葉の奥地で競合相手がいない状況のためでしょうか

店の入り口にわざわざ「列の割り込み者は入店拒否」とまで書いていて、客のモラルのなさについて一抹の不安を抱えていましたが、見事に当たってしまうどころか店側のモラルも疑問視してしまう最悪の結果となりました。",スパ&リゾート九十九里 太陽の里,"
〒299-4327 千葉県長生郡長生村一松３４４５","
0475-32-5550",http://www.taiyounosato.co.jp/,"3.5
(2,040)",Unknown,Unknown,37.7139592,135.9938996
やりゃん,N/A,"Google
より（1 か月前）","客も店も休憩室のそばなのに大声で騒ぎ最悪。
ブランケットは有料で、仮眠室も「コロナ対策」という今時謎の名目で封鎖しており、宿を取るか、有料仮眠室を使わせたくてわざと大声出したり最悪の対応をしてるのではないかと思わず邪推してしまう
過去本当に数多くのスーパー銭湯の仮眠室や休憩室を経験してきたがこんなひどいのは初めて　全国で最悪です。
値段は一見普通だが、館内着もタオルセットも含まずでこの値段なので正直割高

人が飯を食べようとしてるテーブルをわざわざ動かしてきたり(食べ終わってからでいいでしょうよ)、タオル受付のおばさんがやたら高圧的だったり、男性脱衣所にロッカー点検に入ってきたおばさんは目の前に落ちてるゴミも拾わずに放置
色々とお粗末だなと感じます
千葉の奥地で競合相手がいない状況のためでしょうか

店の入り口にわざわざ「列の割り込み者は入店拒否」とまで書いていて、客のモラルのなさについて一抹の不安を抱えていましたが、見事に当たってしまうどころか店側のモラルも疑問視してしまう最悪の結果となりました。",スパ&リゾート九十九里 太陽の里,"
〒299-4327 千葉県長生郡長生村一松３４４５","
0475-32-5550",http://www.taiyounosato.co.jp/,"3.5
(2,040)",Unknown,Unknown,37.7139592,135.9938996
