Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ketone,5,9 か月前,"車で行きましたが、近くに駐車場があり1時間300円でした。事前精算で、コインボックスに入れる仕組みです。仕切りもない場所に、5台くらいは停めれると思います。
外国人観光客の方が多かったです。日曜の昼間に行ったので、30分に１本でした。ワンマン電車の乗り方が分からずに乗り損ねましたが、ショップを見ながら案外が時間を潰せました。車内は結構揺れましたが、猫の絵がたくさんで可愛かったです。",スーパー駅長たま,"
〒640-0413 和歌山県紀の川市貴志川町神戸",Unknown,Unknown,"4.5
(85)",お店やスポットの電話番号を追加する,運輸サービス,34.2201984,135.2393946
ketone,5,9 か月前,"車で行きましたが、近くに駐車場があり1時間300円でした。事前精算で、コインボックスに入れる仕組みです。仕切りもない場所に、5台くらいは停めれると思います。
外国人観光客の方が多かったです。日曜の昼間に行ったので、30分に１本でした。ワンマン電車の乗り方が分からずに乗り損ねましたが、ショップを見ながら案外が時間を潰せました。車内は結構揺れましたが、猫の絵がたくさんで可愛かったです。",スーパー駅長たま,"
〒640-0413 和歌山県紀の川市貴志川町神戸",Unknown,Unknown,"4.5
(85)",お店やスポットの電話番号を追加する,運輸サービス,34.2201984,135.2393946
0110 jun,4,1 年前,"和歌山電鐵貴志川線
たまⅡ世駅長のニタマは余り動かず、最初は作り物かて思いました。電車はいちご、おもちゃ、たま、うめ星があるようで、この時はいちご🍓が見れました。
駅舎は猫の顔がモチーフ、真ん中が入口、向かって左にたまショップ、右がカフェになってます。
赤字路線なので観光がてらニタマに
会いに電車でお出掛けしてみては😄",スーパー駅長たま,"
〒640-0413 和歌山県紀の川市貴志川町神戸",Unknown,Unknown,"4.5
(85)",お店やスポットの電話番号を追加する,運輸サービス,34.2201984,135.2393946
0110 jun,4,1 年前,"和歌山電鐵貴志川線
たまⅡ世駅長のニタマは余り動かず、最初は作り物かて思いました。電車はいちご、おもちゃ、たま、うめ星があるようで、この時はいちご🍓が見れました。
駅舎は猫の顔がモチーフ、真ん中が入口、向かって左にたまショップ、右がカフェになってます。
赤字路線なので観光がてらニタマに
会いに電車でお出掛けしてみては😄",スーパー駅長たま,"
〒640-0413 和歌山県紀の川市貴志川町神戸",Unknown,Unknown,"4.5
(85)",お店やスポットの電話番号を追加する,運輸サービス,34.2201984,135.2393946
yoshi i,4,1 年前,"平日火曜日はニタマ・よんたま両駅長が出勤日！
とのことで狙って行きましたが残念。。
この日ニタマさんが急遽体調不良でお休み、普段は伊太祈曽駅にいるよんたまさんが臨時で貴志駅に出勤していました。

初めての和歌山電鐵線、そして貴志駅。
改札出たところガラスケース内に有名な猫駅長さんがいました✨
ただ狭い空間に、ときには子供がガラスケース叩いてたりと、これはストレス溜まるだろうなと心配です。
行きと帰りで2度ケース覗いてみましたがずっと同じ場所にいて(猫飼いの身としては)気になって気になって。

和歌山電鐵さんが運営向上して(まぁ猫さんも頑張るのですが)、猫さんら幸せになること望みます🙏",スーパー駅長たま,"
〒640-0413 和歌山県紀の川市貴志川町神戸",Unknown,Unknown,"4.5
(85)",お店やスポットの電話番号を追加する,運輸サービス,34.2201984,135.2393946
yoshi i,4,1 年前,"平日火曜日はニタマ・よんたま両駅長が出勤日！
とのことで狙って行きましたが残念。。
この日ニタマさんが急遽体調不良でお休み、普段は伊太祈曽駅にいるよんたまさんが臨時で貴志駅に出勤していました。

初めての和歌山電鐵線、そして貴志駅。
改札出たところガラスケース内に有名な猫駅長さんがいました✨
ただ狭い空間に、ときには子供がガラスケース叩いてたりと、これはストレス溜まるだろうなと心配です。
行きと帰りで2度ケース覗いてみましたがずっと同じ場所にいて(猫飼いの身としては)気になって気になって。

和歌山電鐵さんが運営向上して(まぁ猫さんも頑張るのですが)、猫さんら幸せになること望みます🙏",スーパー駅長たま,"
〒640-0413 和歌山県紀の川市貴志川町神戸",Unknown,Unknown,"4.5
(85)",お店やスポットの電話番号を追加する,運輸サービス,34.2201984,135.2393946
藤澤伸也,5,5 年前,JR和歌山駅からローカル線に乗って、田園風景を眺めながら貴志駅に到着すると、かわいい猫の駅長である二タマ駅長に出会う事が出来ます。,スーパー駅長たま,"
〒640-0413 和歌山県紀の川市貴志川町神戸",Unknown,Unknown,"4.5
(85)",お店やスポットの電話番号を追加する,運輸サービス,34.2201984,135.2393946
藤澤伸也,5,5 年前,JR和歌山駅からローカル線に乗って、田園風景を眺めながら貴志駅に到着すると、かわいい猫の駅長である二タマ駅長に出会う事が出来ます。,スーパー駅長たま,"
〒640-0413 和歌山県紀の川市貴志川町神戸",Unknown,Unknown,"4.5
(85)",お店やスポットの電話番号を追加する,運輸サービス,34.2201984,135.2393946
眼鏡おやじ,4,4 年前,"猫の駅長で有名な駅🐈
現在はニタマ駅長、基本重役出勤です😆
(早朝だと会えません)

初代駅長のタマは大明神になって構内に祀られています。

タマ電車やおもちゃ電車、ななつ星ならぬうめ星電車などいろいろ走っていて楽しい鉄道会社です。",スーパー駅長たま,"
〒640-0413 和歌山県紀の川市貴志川町神戸",Unknown,Unknown,"4.5
(85)",お店やスポットの電話番号を追加する,運輸サービス,34.2201984,135.2393946
眼鏡おやじ,4,4 年前,"猫の駅長で有名な駅🐈
現在はニタマ駅長、基本重役出勤です😆
(早朝だと会えません)

初代駅長のタマは大明神になって構内に祀られています。

タマ電車やおもちゃ電車、ななつ星ならぬうめ星電車などいろいろ走っていて楽しい鉄道会社です。",スーパー駅長たま,"
〒640-0413 和歌山県紀の川市貴志川町神戸",Unknown,Unknown,"4.5
(85)",お店やスポットの電話番号を追加する,運輸サービス,34.2201984,135.2393946
