Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
まさ,4,3 週間前,"2025.4.3現在
桜が満開でした
平日ですが  春休みなので親子連れも沢山居ました",ダイハツ九州スポーツパーク大貞,"
〒871-0152 大分県中津市加来２２８３−２７",Unknown,https://www.city-nakatsu.jp/doc/2011100110191/,"4.2
(474)",お店やスポットの電話番号を追加する,公園,33.5614972,126.3319266
まさ,4,3 週間前,"2025.4.3現在
桜が満開でした
平日ですが  春休みなので親子連れも沢山居ました",ダイハツ九州スポーツパーク大貞,"
〒871-0152 大分県中津市加来２２８３−２７",Unknown,https://www.city-nakatsu.jp/doc/2011100110191/,"4.2
(474)",お店やスポットの電話番号を追加する,公園,33.5614972,126.3319266
ゆータク,5,3 週間前,"満開です🙌

お散歩も出来て花見も出来て綺麗でした …",ダイハツ九州スポーツパーク大貞,"
〒871-0152 大分県中津市加来２２８３−２７",Unknown,https://www.city-nakatsu.jp/doc/2011100110191/,"4.2
(474)",お店やスポットの電話番号を追加する,公園,33.5614972,126.3319266
ゆータク,5,3 週間前,"満開です🙌

お散歩も出来て花見も出来て綺麗でした …",ダイハツ九州スポーツパーク大貞,"
〒871-0152 大分県中津市加来２２８３−２７",Unknown,https://www.city-nakatsu.jp/doc/2011100110191/,"4.2
(474)",お店やスポットの電話番号を追加する,公園,33.5614972,126.3319266
安藤早俊,5,3 年前,九州でも有数の大変すばらしい公園の中の一つです。非常に大型の遊具がありますが、構成もよく考えられていて、小さい子供から少し大きい子まで長時間遊ぶことができます。小さい子向けのエリアもきちんと用意されており、柵で囲まれています。大型のロープジャングルジムもあり、筋トレ大好きなうちの子もとても喜んでいました。パーク内には大きな池やスタジアム、屋内型施設もあり、老若男女問わず楽しめる構成になっています。パークの近くにはイオンモールやドラッグコスモスもあるので、親御さんが買い物のついでに立ち寄るのもありですね。,ダイハツ九州スポーツパーク大貞,"
〒871-0152 大分県中津市加来２２８３−２７",Unknown,https://www.city-nakatsu.jp/doc/2011100110191/,"4.2
(474)",お店やスポットの電話番号を追加する,公園,33.5614972,126.3319266
安藤早俊,5,3 年前,九州でも有数の大変すばらしい公園の中の一つです。非常に大型の遊具がありますが、構成もよく考えられていて、小さい子供から少し大きい子まで長時間遊ぶことができます。小さい子向けのエリアもきちんと用意されており、柵で囲まれています。大型のロープジャングルジムもあり、筋トレ大好きなうちの子もとても喜んでいました。パーク内には大きな池やスタジアム、屋内型施設もあり、老若男女問わず楽しめる構成になっています。パークの近くにはイオンモールやドラッグコスモスもあるので、親御さんが買い物のついでに立ち寄るのもありですね。,ダイハツ九州スポーツパーク大貞,"
〒871-0152 大分県中津市加来２２８３−２７",Unknown,https://www.city-nakatsu.jp/doc/2011100110191/,"4.2
(474)",お店やスポットの電話番号を追加する,公園,33.5614972,126.3319266
裕子,4,3 年前,"3月30日行ってきました。ほぼ満開!
とっても綺麗です。色の濃い桜は散り始めていて、風が吹くたびに綺麗に舞って芝生の緑と桜のピンク色のコントラストがなんとも言えませんねぇ～!",ダイハツ九州スポーツパーク大貞,"
〒871-0152 大分県中津市加来２２８３−２７",Unknown,https://www.city-nakatsu.jp/doc/2011100110191/,"4.2
(474)",お店やスポットの電話番号を追加する,公園,33.5614972,126.3319266
裕子,4,3 年前,"3月30日行ってきました。ほぼ満開!
とっても綺麗です。色の濃い桜は散り始めていて、風が吹くたびに綺麗に舞って芝生の緑と桜のピンク色のコントラストがなんとも言えませんねぇ～!",ダイハツ九州スポーツパーク大貞,"
〒871-0152 大分県中津市加来２２８３−２７",Unknown,https://www.city-nakatsu.jp/doc/2011100110191/,"4.2
(474)",お店やスポットの電話番号を追加する,公園,33.5614972,126.3319266
328 “‪akubi‬” Sayu,4,2 年前,"体育館に用事があったのですが
早く着いたので朝さんぽ
こんな公園があるとは初めて知りました
ほんの一角ですが紅葉した落ち葉が色鮮やかでまた来年も来たらこの風景みられるのかな？と思ったらちょっとまた来てみたくなりました。",ダイハツ九州スポーツパーク大貞,"
〒871-0152 大分県中津市加来２２８３−２７",Unknown,https://www.city-nakatsu.jp/doc/2011100110191/,"4.2
(474)",お店やスポットの電話番号を追加する,公園,33.5614972,126.3319266
328 “‪akubi‬” Sayu,4,2 年前,"体育館に用事があったのですが
早く着いたので朝さんぽ
こんな公園があるとは初めて知りました
ほんの一角ですが紅葉した落ち葉が色鮮やかでまた来年も来たらこの風景みられるのかな？と思ったらちょっとまた来てみたくなりました。",ダイハツ九州スポーツパーク大貞,"
〒871-0152 大分県中津市加来２２８３−２７",Unknown,https://www.city-nakatsu.jp/doc/2011100110191/,"4.2
(474)",お店やスポットの電話番号を追加する,公園,33.5614972,126.3319266
