Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
なおみ,5,1 か月前,バス酔いして具合が悪かったので市販薬と水を買いに立ち寄りました。すぐ飲むなら常温の方が良いでしょうか？と配慮をしていただきました。スタッフのお声がけやお心遣いがとてもありがたかったです。店内も見やすく清潔です。その節はありがとうございました。,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
なおみ,5,1 か月前,バス酔いして具合が悪かったので市販薬と水を買いに立ち寄りました。すぐ飲むなら常温の方が良いでしょうか？と配慮をしていただきました。スタッフのお声がけやお心遣いがとてもありがたかったです。店内も見やすく清潔です。その節はありがとうございました。,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
ラモブルー,3,6 年前,商品見やすいです。設定も良かったです。男性用化粧品もう少し品揃え増やして欲しい。,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
ラモブルー,3,6 年前,商品見やすいです。設定も良かったです。男性用化粧品もう少し品揃え増やして欲しい。,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
へったりへちま,3,11 か月前,電波悪くてポイントカード等の表示が悪くて非常に苦戦しました。他にもお客さんいなかったのとレジの方が嫌な顔せず待っていてくれたで良かったけれども。,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
へったりへちま,3,11 か月前,電波悪くてポイントカード等の表示が悪くて非常に苦戦しました。他にもお客さんいなかったのとレジの方が嫌な顔せず待っていてくれたで良かったけれども。,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
茜長谷川,2,1 年前,"いつも利用させてもらってます！！
品揃えも悪くないし、ポイントも貯められるのでよく行くのですが、、、
どうかお願いします！電波悪いので改善してくれたらもっと買います！！ちなみにソフトバンクユーザーです…！
会計時すっごい不便…泣",トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
茜長谷川,2,1 年前,"いつも利用させてもらってます！！
品揃えも悪くないし、ポイントも貯められるのでよく行くのですが、、、
どうかお願いします！電波悪いので改善してくれたらもっと買います！！ちなみにソフトバンクユーザーです…！
会計時すっごい不便…泣",トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
KEI,1,1 年前,"薬の販売員のコミュニケーションが無く非常に不快だった。薬の中身や違いについて聞いても全く説明されないし、何故この商品を勧められているのかも分からない。
風邪薬系はカウンター裏陳列のため自分でパッケージ読む事も出来なかった。他のお客さんの圧もあり、よく分からないまま購入、嫌な買い物になった。
次回から薬関係は別のところで買おうと思う。
あと、電波が悪い。",トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
KEI,1,1 年前,"薬の販売員のコミュニケーションが無く非常に不快だった。薬の中身や違いについて聞いても全く説明されないし、何故この商品を勧められているのかも分からない。
風邪薬系はカウンター裏陳列のため自分でパッケージ読む事も出来なかった。他のお客さんの圧もあり、よく分からないまま購入、嫌な買い物になった。
次回から薬関係は別のところで買おうと思う。
あと、電波が悪い。",トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
あいう,2,3 年前,電話になかなかでない時がある、レジもできる人がいないのか？品出しをしている。長蛇の列ができる。コンビニのように、並んだらすぐ呼んて対応するシステムではないようです。還元率が少し下がったが、ポイントがお得！,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
あいう,2,3 年前,電話になかなかでない時がある、レジもできる人がいないのか？品出しをしている。長蛇の列ができる。コンビニのように、並んだらすぐ呼んて対応するシステムではないようです。還元率が少し下がったが、ポイントがお得！,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
kiki 6215,5,3 年前,パートさんでしょうか。ハンドクリームについて在庫などをお伺いした所、すごく親切で丁寧な対応をして頂き、とても嬉しかったし感動しました！結局探していた物ではなく勧めて下さった物を買ったのですが、そちらも良かったです♪素敵な接客を受けて、気持ち良く楽しくお買い物出来ました。どうもありがとうございました(*´▽｀*),トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
kiki 6215,5,3 年前,パートさんでしょうか。ハンドクリームについて在庫などをお伺いした所、すごく親切で丁寧な対応をして頂き、とても嬉しかったし感動しました！結局探していた物ではなく勧めて下さった物を買ったのですが、そちらも良かったです♪素敵な接客を受けて、気持ち良く楽しくお買い物出来ました。どうもありがとうございました(*´▽｀*),トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
Craft Magic,4,4 年前,JREカードの期間限定ポイントも使えたので、良かった。News  Daysでさえ使えなくて、ビーンズ内のスーパーやカルディでも使えるけど、纏まって買いたい食品は無かったのでいつも買う日用品が買えるから助かった。,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
Craft Magic,4,4 年前,JREカードの期間限定ポイントも使えたので、良かった。News  Daysでさえ使えなくて、ビーンズ内のスーパーやカルディでも使えるけど、纏まって買いたい食品は無かったのでいつも買う日用品が買えるから助かった。,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
K K,1,5 年前,本当に薬剤師？適当な応対で驚いた。しかも薬が高い、後で調べたら相場の1.5倍しました。ドラッグストアなら近くにマツキヨもあります。薬局をお探しならここ以外の他店をおすすめします。,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
K K,1,5 年前,本当に薬剤師？適当な応対で驚いた。しかも薬が高い、後で調べたら相場の1.5倍しました。ドラッグストアなら近くにマツキヨもあります。薬局をお探しならここ以外の他店をおすすめします。,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
m K,3,2 年前,"ここにしか無い商品も意外とあり便利です。
あとトモズ、JRE、PONTAと3つポイントカード出せるから👍です。 …",トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
m K,3,2 年前,"ここにしか無い商品も意外とあり便利です。
あとトモズ、JRE、PONTAと3つポイントカード出せるから👍です。 …",トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
ゆらりん,5,1 年前,お姉さんのお心遣いに感動💛またいきます！ …,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
ゆらりん,5,1 年前,お姉さんのお心遣いに感動💛またいきます！ …,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
ヒットチャンネル,4,4 年前,まぁまぁ混むけど品揃え豊富で便利です！,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
ヒットチャンネル,4,4 年前,まぁまぁ混むけど品揃え豊富で便利です！,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
y t,5,2 年前,トモズが一番好き,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
y t,5,2 年前,トモズが一番好き,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
田中しん,2,3 か月前,      3 か月前 オーナーからの返信 2 週間前 この度は、トモズビーンズ赤羽店のご利用とご投稿もいただき、誠にありがとうございます。 もしよろしければ、今後の改善のためにどのようなことがご満足いただけなかったのかをお聞かせ頂けますでしょうか。 恐縮ではございますが、何卒よろしくお願いいたします。,トモズ ビーンズ赤羽店,"
〒115-0045 東京都北区赤羽１丁目１−１ ビーンズ赤羽 １Ｆ","
03-6903-8161",https://shop.tomods.jp/detail/170/,"3.4
(22)",Unknown,ドラッグ ストア,35.7793822,139.7196637
