Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
M M,1,2 週間前,"色々見てみたかったので、予約はせず結婚指輪を見に行きました。
店内に入って指輪を見ていたら店員さんにお嬢様へプレゼントですか？と言われてしまいました。
旦那さんとは年は少し離れていますが、親と子位の差はありません。
なんだか、そう言われて気分的に良くなくやめました。
商品は素敵でした。",ハリー・ウィンストン 大丸神戸店,"
〒650-0037 兵庫県神戸市中央区明石町４０ 大丸神戸店 2F","
078-599-8333",https://www.harrywinston.com/ja/locations/asia/japan/hyogo/harry-winston-kobe-daimaru,"3.1
(9)",Unknown,宝石店,34.6890387,135.1910417
M M,1,2 週間前,"色々見てみたかったので、予約はせず結婚指輪を見に行きました。
店内に入って指輪を見ていたら店員さんにお嬢様へプレゼントですか？と言われてしまいました。
旦那さんとは年は少し離れていますが、親と子位の差はありません。
なんだか、そう言われて気分的に良くなくやめました。
商品は素敵でした。",ハリー・ウィンストン 大丸神戸店,"
〒650-0037 兵庫県神戸市中央区明石町４０ 大丸神戸店 2F","
078-599-8333",https://www.harrywinston.com/ja/locations/asia/japan/hyogo/harry-winston-kobe-daimaru,"3.1
(9)",Unknown,宝石店,34.6890387,135.1910417
西東恕（じゃき）,1,2 か月前,"ソモソモ、デパートのフロアで構える店にも拘わらず、“門番”居て、入り難いし。
貧乏人入るべからず、って感じ。
ソノ門番すら、偉そうな雰囲気w。
HARRY WINSTONの警備員ならば、特別な資格でも有る訳w？
高級店なんだろうケド、別段、買われへん値段でも無いし（毎週買う様言われれば、駄目やけどw）。

で他の投稿の如く、客の見定めしてる感じな為、他の店で買った次第。",ハリー・ウィンストン 大丸神戸店,"
〒650-0037 兵庫県神戸市中央区明石町４０ 大丸神戸店 2F","
078-599-8333",https://www.harrywinston.com/ja/locations/asia/japan/hyogo/harry-winston-kobe-daimaru,"3.1
(9)",Unknown,宝石店,34.6890387,135.1910417
西東恕（じゃき）,1,2 か月前,"ソモソモ、デパートのフロアで構える店にも拘わらず、“門番”居て、入り難いし。
貧乏人入るべからず、って感じ。
ソノ門番すら、偉そうな雰囲気w。
HARRY WINSTONの警備員ならば、特別な資格でも有る訳w？
高級店なんだろうケド、別段、買われへん値段でも無いし（毎週買う様言われれば、駄目やけどw）。

で他の投稿の如く、客の見定めしてる感じな為、他の店で買った次第。",ハリー・ウィンストン 大丸神戸店,"
〒650-0037 兵庫県神戸市中央区明石町４０ 大丸神戸店 2F","
078-599-8333",https://www.harrywinston.com/ja/locations/asia/japan/hyogo/harry-winston-kobe-daimaru,"3.1
(9)",Unknown,宝石店,34.6890387,135.1910417
Yo Hi,5,1 年前,ハリーウィンストンは、つきすぎず、離れすぎない心地良い接客で、今回も気持ち良くジュエリーを選ぶ事が出来ました。次も購入するなら神戸店かな。,ハリー・ウィンストン 大丸神戸店,"
〒650-0037 兵庫県神戸市中央区明石町４０ 大丸神戸店 2F","
078-599-8333",https://www.harrywinston.com/ja/locations/asia/japan/hyogo/harry-winston-kobe-daimaru,"3.1
(9)",Unknown,宝石店,34.6890387,135.1910417
Yo Hi,5,1 年前,ハリーウィンストンは、つきすぎず、離れすぎない心地良い接客で、今回も気持ち良くジュエリーを選ぶ事が出来ました。次も購入するなら神戸店かな。,ハリー・ウィンストン 大丸神戸店,"
〒650-0037 兵庫県神戸市中央区明石町４０ 大丸神戸店 2F","
078-599-8333",https://www.harrywinston.com/ja/locations/asia/japan/hyogo/harry-winston-kobe-daimaru,"3.1
(9)",Unknown,宝石店,34.6890387,135.1910417
長田やさり,1,2 年前,婚約指輪を見に行ったのですが、カルティエやブルガリの方は親切に対応して下さいました。ですがハリーの店員さんはジロジロこちらを見るだけで何も声をかけてくれずとても雰囲気が悪かったです。客を見た目だけで判断しているようでした。ハリーでほしい指輪があったので購入しようと思っていましたがやめました。,ハリー・ウィンストン 大丸神戸店,"
〒650-0037 兵庫県神戸市中央区明石町４０ 大丸神戸店 2F","
078-599-8333",https://www.harrywinston.com/ja/locations/asia/japan/hyogo/harry-winston-kobe-daimaru,"3.1
(9)",Unknown,宝石店,34.6890387,135.1910417
長田やさり,1,2 年前,婚約指輪を見に行ったのですが、カルティエやブルガリの方は親切に対応して下さいました。ですがハリーの店員さんはジロジロこちらを見るだけで何も声をかけてくれずとても雰囲気が悪かったです。客を見た目だけで判断しているようでした。ハリーでほしい指輪があったので購入しようと思っていましたがやめました。,ハリー・ウィンストン 大丸神戸店,"
〒650-0037 兵庫県神戸市中央区明石町４０ 大丸神戸店 2F","
078-599-8333",https://www.harrywinston.com/ja/locations/asia/japan/hyogo/harry-winston-kobe-daimaru,"3.1
(9)",Unknown,宝石店,34.6890387,135.1910417
Tsukasa Himuro,5,2 年前,"素晴らしい接客対応でした
個室に案内してくれて、ゆっくりくつろぎことができました
私が入ったさいは、1組のお客さんがいましたが、待つことなく案内してくれて、嬉しいかったです",ハリー・ウィンストン 大丸神戸店,"
〒650-0037 兵庫県神戸市中央区明石町４０ 大丸神戸店 2F","
078-599-8333",https://www.harrywinston.com/ja/locations/asia/japan/hyogo/harry-winston-kobe-daimaru,"3.1
(9)",Unknown,宝石店,34.6890387,135.1910417
Tsukasa Himuro,5,2 年前,"素晴らしい接客対応でした
個室に案内してくれて、ゆっくりくつろぎことができました
私が入ったさいは、1組のお客さんがいましたが、待つことなく案内してくれて、嬉しいかったです",ハリー・ウィンストン 大丸神戸店,"
〒650-0037 兵庫県神戸市中央区明石町４０ 大丸神戸店 2F","
078-599-8333",https://www.harrywinston.com/ja/locations/asia/japan/hyogo/harry-winston-kobe-daimaru,"3.1
(9)",Unknown,宝石店,34.6890387,135.1910417
