Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
mariko otomo,5,1 か月前,"忖度なしのネパール料理が食べられるとのことで、気になっていてようやくいけた1回目は、チキンカレーのダルバートとモモ。
ダルがほんとに美味しくて、その後の1週間は、あの味が忘れられませんでした。
我慢できずに1週間後、2回目の訪問。
ベジのダルバートとサモサ、マサラミルクティー。
こんなに爽やかなチャイは、日本で飲んだことがないです。
マサラと、多過ぎないミルクと砂糖で、すごくホッとしました。
ダルはクミンシードがたくさん、あと生姜?が入っていたと思うのですが、こういう味も毎日のようにインド人の普通の食事を食べていてもなかなかなく、いくたびに発見があるお店だと思いました。
これからも、少しずつ色々な料理をいただいてみようと思います。",バンブー チェ ヒマラヤの味,"
〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F","
03-5989-1708",https://tabelog.com/tokyo/A1304/A130404/13302735/,"4.7
(347)",Unknown,〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F,35.7232973,139.689193
mariko otomo,5,1 か月前,"忖度なしのネパール料理が食べられるとのことで、気になっていてようやくいけた1回目は、チキンカレーのダルバートとモモ。
ダルがほんとに美味しくて、その後の1週間は、あの味が忘れられませんでした。
我慢できずに1週間後、2回目の訪問。
ベジのダルバートとサモサ、マサラミルクティー。
こんなに爽やかなチャイは、日本で飲んだことがないです。
マサラと、多過ぎないミルクと砂糖で、すごくホッとしました。
ダルはクミンシードがたくさん、あと生姜?が入っていたと思うのですが、こういう味も毎日のようにインド人の普通の食事を食べていてもなかなかなく、いくたびに発見があるお店だと思いました。
これからも、少しずつ色々な料理をいただいてみようと思います。",バンブー チェ ヒマラヤの味,"
〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F","
03-5989-1708",https://tabelog.com/tokyo/A1304/A130404/13302735/,"4.7
(347)",Unknown,〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F,35.7232973,139.689193
益子貴寛,5,3 か月前,"山手線のプラットフォーム沿いにあるビルの2階、ヒマラヤの味「バンブー チェ」でランチ。

ビリヤニを注文すると、店員さんに「マトン？」と聞かれたので、マトンで。たぶんチキンなども選べるんだと思います。

香ばしく焼いたパン生地をかぶせた大きな竹筒が登場。店員さんがナイフで丸く切ってくれると、中にはたっぷりのマトンビリヤニ。これは気分が上がる。

ホールスパイスがビシッときいたビリヤニには、マトンがゴロゴロ。辛さはほどほどで食べやすい。ライタもスパイスが多めに振ってあっておいしい。パン生地も食べられるので、ボリュームも十分すぎるほど。しっかりと満足。

今度はダルバートの「バンブーセット」を食べようと心に誓いつつ、ごちそうさまでした。",バンブー チェ ヒマラヤの味,"
〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F","
03-5989-1708",https://tabelog.com/tokyo/A1304/A130404/13302735/,"4.7
(347)",Unknown,〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F,35.7232973,139.689193
益子貴寛,5,3 か月前,"山手線のプラットフォーム沿いにあるビルの2階、ヒマラヤの味「バンブー チェ」でランチ。

ビリヤニを注文すると、店員さんに「マトン？」と聞かれたので、マトンで。たぶんチキンなども選べるんだと思います。

香ばしく焼いたパン生地をかぶせた大きな竹筒が登場。店員さんがナイフで丸く切ってくれると、中にはたっぷりのマトンビリヤニ。これは気分が上がる。

ホールスパイスがビシッときいたビリヤニには、マトンがゴロゴロ。辛さはほどほどで食べやすい。ライタもスパイスが多めに振ってあっておいしい。パン生地も食べられるので、ボリュームも十分すぎるほど。しっかりと満足。

今度はダルバートの「バンブーセット」を食べようと心に誓いつつ、ごちそうさまでした。",バンブー チェ ヒマラヤの味,"
〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F","
03-5989-1708",https://tabelog.com/tokyo/A1304/A130404/13302735/,"4.7
(347)",Unknown,〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F,35.7232973,139.689193
大藪仁美,5,2 か月前,"ネワリコンボセット必食です！
チウラ（ライスフレーク）に合うおかず達がものすごくたくさんの種類出てきます！
6人くらいいないと食べきれないかもしれません。

ネパールに旅行に行くよりも、ネパールらしい体験が新大久保でできました！感謝！

スクティとドライモモ、シェルロティは次回も絶対お願いしようと思います。

お店の方もとっても親切で、日本語もとってもお上手でした！ありがとうございました！",バンブー チェ ヒマラヤの味,"
〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F","
03-5989-1708",https://tabelog.com/tokyo/A1304/A130404/13302735/,"4.7
(347)",Unknown,〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F,35.7232973,139.689193
大藪仁美,5,2 か月前,"ネワリコンボセット必食です！
チウラ（ライスフレーク）に合うおかず達がものすごくたくさんの種類出てきます！
6人くらいいないと食べきれないかもしれません。

ネパールに旅行に行くよりも、ネパールらしい体験が新大久保でできました！感謝！

スクティとドライモモ、シェルロティは次回も絶対お願いしようと思います。

お店の方もとっても親切で、日本語もとってもお上手でした！ありがとうございました！",バンブー チェ ヒマラヤの味,"
〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F","
03-5989-1708",https://tabelog.com/tokyo/A1304/A130404/13302735/,"4.7
(347)",Unknown,〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F,35.7232973,139.689193
mk-67 mk,5,5 か月前,"（クチコミが消えたので再投稿）
（2024.10）
新大久保界隈ダルバート収集10店目
お試し営業期間にタイミングが合って初訪問。
広い店内は大きなビジョンやちょっとした舞台、店名である竹をモチーフにした装飾など、すごくお金がかかってそう。
カナセットも初めて見る感じで提供されました。器もだけど、青唐辛子とカットレモンが載っているのが珍しい。
味はお洒落な装いだけど、しっかり塩が効いていて、ライスが進んでしまいます。
おかわりはダルとライスが可能です。
ランチもいいけれど、パーティー利用とかにも良さそうです。",バンブー チェ ヒマラヤの味,"
〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F","
03-5989-1708",https://tabelog.com/tokyo/A1304/A130404/13302735/,"4.7
(347)",Unknown,〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F,35.7232973,139.689193
mk-67 mk,5,5 か月前,"（クチコミが消えたので再投稿）
（2024.10）
新大久保界隈ダルバート収集10店目
お試し営業期間にタイミングが合って初訪問。
広い店内は大きなビジョンやちょっとした舞台、店名である竹をモチーフにした装飾など、すごくお金がかかってそう。
カナセットも初めて見る感じで提供されました。器もだけど、青唐辛子とカットレモンが載っているのが珍しい。
味はお洒落な装いだけど、しっかり塩が効いていて、ライスが進んでしまいます。
おかわりはダルとライスが可能です。
ランチもいいけれど、パーティー利用とかにも良さそうです。",バンブー チェ ヒマラヤの味,"
〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F","
03-5989-1708",https://tabelog.com/tokyo/A1304/A130404/13302735/,"4.7
(347)",Unknown,〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F,35.7232973,139.689193
グルメの女王,4,3 か月前,"グルメの女王です👸東京中心に食べ歩いてます！
気なるお店はいいね👍コメント📝保存よろしくお願いします。

▪️店名
バンブー チェ

▪️住所
東京都新宿区百人町1-10-7 一番街ビル 2F

▪️営業時間
月・火・水・木・金・土・日 祝日・祝前日・祝後日
11:30 - 00:00

▪️予算
昼1000〜1999円
夜2000〜3999円

▪️感想

こちらのお店は韓国の街新大久保駅から徒歩3分ほどの場所にるバンブーチェ。

ネパール料理と聞いて興味津々で来店です。

んー🤩すごい‼️

入って見るとそこは海外です。

日本人のお客様は誰1人おらず、店員さんも含めて全員外国人です。

景色を見渡すと、窓から外に山手線が走ってて、乗客とも目が合う距離で異世界な雰囲気を醸し出します。

店内は広く、ボックス席などもあり、たまにライブとかイベントとかしてるんだろうなーと思える形で、中央に舞台があります。

真ん中には大きなスクリーンもあり、音楽からして異国情緒溢れてます。

料理にも期待が持てそう☺️ワクワク

店員のイケメンのお兄さん（皆さんイケメンでした）に聞いて、人気なのはネワルコンボセットと、BBQのコンボセットと言う事で早速それを注文します。

店員の明るいお兄さんに『このセットは映えるよー💕』って言われて、楽しみに待つ事早3分…

は、早いな…。

思った以上に素早い提供に、喜んでもらいたいって意志を感じて素敵な接客です😍

名前も一つ一つ説明して頂きましたが、初めてのネパールのメニュー。

頑張っても全然聞き取れず、皆さんでメニューの写真から想像して頂けるとありがたいです。

全体的に、豆料理も多いイメージです。

日本でも見た事があるイメージだと、節分の大豆のような黒豆と煮干しのピリ辛そうに見えるもの位です。

それ以外は、味の想像もつきません。

真ん中の白っぽいものがライスパフみたいな感じで、こちらに全部混ぜて食べるのだとか😍

ライスパフは混ぜるとシャリシャリいう感じで汁物は少し吸ってくれたりしそうです。

きっと色々と混ぜて食べる文化なんだなーって思いつつ、カレーと混ぜてみました。

パリパリなライスとカレーが合う😋これは美味しいかも！

黒豆は節分の豆みたいな感じで、色々混ぜて食べる中でパリパリのライスパフや、ポリポリの大豆の食感も楽しめます。

味は全体的にスパイシーなイメージです。

んーー、食べてる間に辛くなって来た😳

スパイス聞いてますねー！辛さでいうと唐辛子系な辛さです。

お肉もマトンかな？辛めだったり、スパイシーで美味しいです。

温かいカレーは少し酸味も感じる味わいで、スパイシーだけどインドの配合とも違ってて、国の違いを感じさせます。これ、私は好きかも🥰

他にはネパール風カレー風味のなますのような大根の和物も、カレーマヨネーズ的な風味で美味しかったです。

見た目でも楽しく食感も楽しい料理でした☺️

後から出て来たのがBBQのコンボセット。

緑色のソースとレモン🍋が付いてます。

早速頂きまーす🤭
タンドリーチキンのような、チキンですね！これ美味しい🤤

砂肝も入ってます！かなり大きくてボリューミー🤩

他には、多分ぼんじりかな？これもかなり大きくて食べ甲斐があります。

マトンのようなお肉もありますが臭みもなく食べやすいです。

緑色のソースに付けて食べても美味しいですが、味がしっかりしてるやつは付けないでレモンの方が合うかも！

緑色のソースの味を表現したいのですが、何が入ってるのかさっぱり伝えられず。

皆さん食べに来て確かめてもらって、ソースの内容を私に教えてほしい位です。

こんな時にボキャブラリーと、スパイスの味の繊細さに反応出来る舌が欲しいと思いますね😉

BBQはお肉の豪快なサイズもあって、リーズナブルに感じます😍

肉好き女子なので、肉も堪能できて大満足‼️

豆類は食物繊維も多いので、お肉食べたのに気持ちはヘルシーです。

今日も美味しかったです、ご馳走様でした😋",バンブー チェ ヒマラヤの味,"
〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F","
03-5989-1708",https://tabelog.com/tokyo/A1304/A130404/13302735/,"4.7
(347)",Unknown,〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F,35.7232973,139.689193
グルメの女王,4,3 か月前,"グルメの女王です👸東京中心に食べ歩いてます！
気なるお店はいいね👍コメント📝保存よろしくお願いします。

▪️店名
バンブー チェ

▪️住所
東京都新宿区百人町1-10-7 一番街ビル 2F

▪️営業時間
月・火・水・木・金・土・日 祝日・祝前日・祝後日
11:30 - 00:00

▪️予算
昼1000〜1999円
夜2000〜3999円

▪️感想

こちらのお店は韓国の街新大久保駅から徒歩3分ほどの場所にるバンブーチェ。

ネパール料理と聞いて興味津々で来店です。

んー🤩すごい‼️

入って見るとそこは海外です。

日本人のお客様は誰1人おらず、店員さんも含めて全員外国人です。

景色を見渡すと、窓から外に山手線が走ってて、乗客とも目が合う距離で異世界な雰囲気を醸し出します。

店内は広く、ボックス席などもあり、たまにライブとかイベントとかしてるんだろうなーと思える形で、中央に舞台があります。

真ん中には大きなスクリーンもあり、音楽からして異国情緒溢れてます。

料理にも期待が持てそう☺️ワクワク

店員のイケメンのお兄さん（皆さんイケメンでした）に聞いて、人気なのはネワルコンボセットと、BBQのコンボセットと言う事で早速それを注文します。

店員の明るいお兄さんに『このセットは映えるよー💕』って言われて、楽しみに待つ事早3分…

は、早いな…。

思った以上に素早い提供に、喜んでもらいたいって意志を感じて素敵な接客です😍

名前も一つ一つ説明して頂きましたが、初めてのネパールのメニュー。

頑張っても全然聞き取れず、皆さんでメニューの写真から想像して頂けるとありがたいです。

全体的に、豆料理も多いイメージです。

日本でも見た事があるイメージだと、節分の大豆のような黒豆と煮干しのピリ辛そうに見えるもの位です。

それ以外は、味の想像もつきません。

真ん中の白っぽいものがライスパフみたいな感じで、こちらに全部混ぜて食べるのだとか😍

ライスパフは混ぜるとシャリシャリいう感じで汁物は少し吸ってくれたりしそうです。

きっと色々と混ぜて食べる文化なんだなーって思いつつ、カレーと混ぜてみました。

パリパリなライスとカレーが合う😋これは美味しいかも！

黒豆は節分の豆みたいな感じで、色々混ぜて食べる中でパリパリのライスパフや、ポリポリの大豆の食感も楽しめます。

味は全体的にスパイシーなイメージです。

んーー、食べてる間に辛くなって来た😳

スパイス聞いてますねー！辛さでいうと唐辛子系な辛さです。

お肉もマトンかな？辛めだったり、スパイシーで美味しいです。

温かいカレーは少し酸味も感じる味わいで、スパイシーだけどインドの配合とも違ってて、国の違いを感じさせます。これ、私は好きかも🥰

他にはネパール風カレー風味のなますのような大根の和物も、カレーマヨネーズ的な風味で美味しかったです。

見た目でも楽しく食感も楽しい料理でした☺️

後から出て来たのがBBQのコンボセット。

緑色のソースとレモン🍋が付いてます。

早速頂きまーす🤭
タンドリーチキンのような、チキンですね！これ美味しい🤤

砂肝も入ってます！かなり大きくてボリューミー🤩

他には、多分ぼんじりかな？これもかなり大きくて食べ甲斐があります。

マトンのようなお肉もありますが臭みもなく食べやすいです。

緑色のソースに付けて食べても美味しいですが、味がしっかりしてるやつは付けないでレモンの方が合うかも！

緑色のソースの味を表現したいのですが、何が入ってるのかさっぱり伝えられず。

皆さん食べに来て確かめてもらって、ソースの内容を私に教えてほしい位です。

こんな時にボキャブラリーと、スパイスの味の繊細さに反応出来る舌が欲しいと思いますね😉

BBQはお肉の豪快なサイズもあって、リーズナブルに感じます😍

肉好き女子なので、肉も堪能できて大満足‼️

豆類は食物繊維も多いので、お肉食べたのに気持ちはヘルシーです。

今日も美味しかったです、ご馳走様でした😋",バンブー チェ ヒマラヤの味,"
〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F","
03-5989-1708",https://tabelog.com/tokyo/A1304/A130404/13302735/,"4.7
(347)",Unknown,〒169-0073 東京都新宿区百人町１丁目１０−７ 一番街ビル 2F,35.7232973,139.689193
