Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
石崎景子,5,3 週間前,"大歩危駅から狭く細い道をかなり進んだ山奥にありますが、私は路線バスで往復したので安心して行けました。さすが「秘湯の湯」ですね！バスの本数は少ないので、帰りの時間まで2時間近くあり、1時間半温泉に浸かりました。38,3度でぬるいのでのぼせません。渓流の音を聞きながらゆっくり入っていられます♪4月1日,水曜日だったので他のお客様が少なく静かでした。アルカリ性なので薄めた乳液のようなトロトロした肌触りが気持ちよく、肌に付いて出てくる泡の感触もおもしろく楽しかったです。設備は新しく都会的なサービスで海外からのお客様が多いというのも納得します。宿泊はお高いので遠慮しますが、日帰り入浴1900円はいいと思います。ケーブルカーも楽しめるので！大変満足の一日でした。",ホテル祖谷温泉露天風呂,"
〒779-5165 徳島県三好市","
0883-75-2311",https://www.iyaonsen.co.jp/spa/,"4.5
(66)",Unknown,〒779-5165 徳島県三好市,33.9213454,133.8173719
石崎景子,5,3 週間前,"大歩危駅から狭く細い道をかなり進んだ山奥にありますが、私は路線バスで往復したので安心して行けました。さすが「秘湯の湯」ですね！バスの本数は少ないので、帰りの時間まで2時間近くあり、1時間半温泉に浸かりました。38,3度でぬるいのでのぼせません。渓流の音を聞きながらゆっくり入っていられます♪4月1日,水曜日だったので他のお客様が少なく静かでした。アルカリ性なので薄めた乳液のようなトロトロした肌触りが気持ちよく、肌に付いて出てくる泡の感触もおもしろく楽しかったです。設備は新しく都会的なサービスで海外からのお客様が多いというのも納得します。宿泊はお高いので遠慮しますが、日帰り入浴1900円はいいと思います。ケーブルカーも楽しめるので！大変満足の一日でした。",ホテル祖谷温泉露天風呂,"
〒779-5165 徳島県三好市","
0883-75-2311",https://www.iyaonsen.co.jp/spa/,"4.5
(66)",Unknown,〒779-5165 徳島県三好市,33.9213454,133.8173719
SHINTARO S,4,2 か月前,"本当に素晴らしい温泉です。星5以外はありえないと思っていたんですが、警告の意味で-1しておきます。
下の露天風呂、冬は寒いかも。日によって違うかもしれないと思うので、「かも」としておきますが、1900円の値段、往復10分という時間、寒さゆえの体調への影響、なんかを考えると、冬は避けるのが正解だと思います。ちなみに、ホテルの方はぬるいということはちゃんと説明してくれます。ただ、すごいいいお風呂だけに、凍えながら引き返すのは残念。
最近、身近な人がお風呂で亡くなったのもあって、いくら入っても体があったまるところまでいかないっていうのは、ちょっと怖いかも。
寒い日だけあっためるのは難しいのかな。",ホテル祖谷温泉露天風呂,"
〒779-5165 徳島県三好市","
0883-75-2311",https://www.iyaonsen.co.jp/spa/,"4.5
(66)",Unknown,〒779-5165 徳島県三好市,33.9213454,133.8173719
SHINTARO S,4,2 か月前,"本当に素晴らしい温泉です。星5以外はありえないと思っていたんですが、警告の意味で-1しておきます。
下の露天風呂、冬は寒いかも。日によって違うかもしれないと思うので、「かも」としておきますが、1900円の値段、往復10分という時間、寒さゆえの体調への影響、なんかを考えると、冬は避けるのが正解だと思います。ちなみに、ホテルの方はぬるいということはちゃんと説明してくれます。ただ、すごいいいお風呂だけに、凍えながら引き返すのは残念。
最近、身近な人がお風呂で亡くなったのもあって、いくら入っても体があったまるところまでいかないっていうのは、ちょっと怖いかも。
寒い日だけあっためるのは難しいのかな。",ホテル祖谷温泉露天風呂,"
〒779-5165 徳島県三好市","
0883-75-2311",https://www.iyaonsen.co.jp/spa/,"4.5
(66)",Unknown,〒779-5165 徳島県三好市,33.9213454,133.8173719
海苔巻がっちゃん長男,5,7 か月前,日本の秘湯を守る会の温泉宿に日帰り温泉で伺いました。宿に向かう道中、秘湯感満載の山道でワクワク感と、車道が狭く車のすれ違いのドキドキ感を味わいながら、峡谷にポツンとある秘湯温泉に到着。テレビで観てはいたが思ったよりケーブルカーが長く170mあるようです。5分ほどして到着していざ温泉へ！まず素晴らしい景色で峡谷！川の脇に露天風呂がありました。川の水は本当に綺麗！露天風呂の温泉は、加温無・加水無・循環無・入浴剤無・消毒液無の源泉掛け流し！更に凄いのは湯量が多くお風呂は綺麗で、湯船から溢れた温泉水はそのまま川に流れている。硫黄の香りとしシュワシュワな温泉で、体は泡だらけになり気分最高。温度は38.3度なので長く浸る事が出来た。飛行機・レンタカーを駆使し祖谷温泉の秘湯に伺ったが本当に素晴らしい温泉でした。,ホテル祖谷温泉露天風呂,"
〒779-5165 徳島県三好市","
0883-75-2311",https://www.iyaonsen.co.jp/spa/,"4.5
(66)",Unknown,〒779-5165 徳島県三好市,33.9213454,133.8173719
海苔巻がっちゃん長男,5,7 か月前,日本の秘湯を守る会の温泉宿に日帰り温泉で伺いました。宿に向かう道中、秘湯感満載の山道でワクワク感と、車道が狭く車のすれ違いのドキドキ感を味わいながら、峡谷にポツンとある秘湯温泉に到着。テレビで観てはいたが思ったよりケーブルカーが長く170mあるようです。5分ほどして到着していざ温泉へ！まず素晴らしい景色で峡谷！川の脇に露天風呂がありました。川の水は本当に綺麗！露天風呂の温泉は、加温無・加水無・循環無・入浴剤無・消毒液無の源泉掛け流し！更に凄いのは湯量が多くお風呂は綺麗で、湯船から溢れた温泉水はそのまま川に流れている。硫黄の香りとしシュワシュワな温泉で、体は泡だらけになり気分最高。温度は38.3度なので長く浸る事が出来た。飛行機・レンタカーを駆使し祖谷温泉の秘湯に伺ったが本当に素晴らしい温泉でした。,ホテル祖谷温泉露天風呂,"
〒779-5165 徳島県三好市","
0883-75-2311",https://www.iyaonsen.co.jp/spa/,"4.5
(66)",Unknown,〒779-5165 徳島県三好市,33.9213454,133.8173719
S K,3,5 か月前,"20241027

そこそこの山道をくねくね走って到達
展望風呂と露天風呂のセットの立ち寄り

まずは露天風呂
旅館エントランスから外に出てケーブルカー乗り場へ
そこから急な勾配を降ること５分で到着
降り場からさらに階段で降りる
二つの風呂あり男女入れ替えで入れるよう
この日に入れたのは渓谷の湯

渓谷を見下ろす位置にある岩造りの浴槽
首までの深さで横並びで６〜７人入れる
透明だけど湯の花が濃い場所は白濁
とろみがありしっかり硫黄臭
ぬる湯でずっと浸かっていると秋口だと少し肌寒い
洗い場はなし

展望風呂は再びフロントに戻って階段で二階下へ

浴室には大きな窓がありインフィニティプールのよう
窓のすぐ下に20人ぐらい入れそうな浴槽
肩までの深さ
熱すぎずぬるすぎずのちょうどいい温度
こちらは硫黄臭もとろみもあまり感じられなかった
こちらにはシャンプーやボディーソープ備え付き

タオル 200

1900",ホテル祖谷温泉露天風呂,"
〒779-5165 徳島県三好市","
0883-75-2311",https://www.iyaonsen.co.jp/spa/,"4.5
(66)",Unknown,〒779-5165 徳島県三好市,33.9213454,133.8173719
S K,3,5 か月前,"20241027

そこそこの山道をくねくね走って到達
展望風呂と露天風呂のセットの立ち寄り

まずは露天風呂
旅館エントランスから外に出てケーブルカー乗り場へ
そこから急な勾配を降ること５分で到着
降り場からさらに階段で降りる
二つの風呂あり男女入れ替えで入れるよう
この日に入れたのは渓谷の湯

渓谷を見下ろす位置にある岩造りの浴槽
首までの深さで横並びで６〜７人入れる
透明だけど湯の花が濃い場所は白濁
とろみがありしっかり硫黄臭
ぬる湯でずっと浸かっていると秋口だと少し肌寒い
洗い場はなし

展望風呂は再びフロントに戻って階段で二階下へ

浴室には大きな窓がありインフィニティプールのよう
窓のすぐ下に20人ぐらい入れそうな浴槽
肩までの深さ
熱すぎずぬるすぎずのちょうどいい温度
こちらは硫黄臭もとろみもあまり感じられなかった
こちらにはシャンプーやボディーソープ備え付き

タオル 200

1900",ホテル祖谷温泉露天風呂,"
〒779-5165 徳島県三好市","
0883-75-2311",https://www.iyaonsen.co.jp/spa/,"4.5
(66)",Unknown,〒779-5165 徳島県三好市,33.9213454,133.8173719
真紀,5,11 か月前,"日帰り温泉でも利用出来ました。
1900円と少しお高いですが、露天風呂専用のケーブルカーに乗り、谷へ降りて行きます。なかなかの急勾配でスリルあり！

また露天風呂が、硫黄臭プンプンで温泉感高まる！かなりのぬる湯（源泉掛け流し）でいいお湯。しかも炭酸泉で身体中を気泡に覆われます。

ゴールデンウィーク最終日、天気が悪く風が強く吹いていたので、湯から出ると寒かったです。

内湯に浸かりあったまりました。

とにかく露天風呂めちゃくちゃ良かったです！

次は泊まりで利用したいです。

しかし、道中道が狭いので対向車とすれ違えなく2回も下がりました。それが大変でした。その分秘境の温泉でした。",ホテル祖谷温泉露天風呂,"
〒779-5165 徳島県三好市","
0883-75-2311",https://www.iyaonsen.co.jp/spa/,"4.5
(66)",Unknown,〒779-5165 徳島県三好市,33.9213454,133.8173719
真紀,5,11 か月前,"日帰り温泉でも利用出来ました。
1900円と少しお高いですが、露天風呂専用のケーブルカーに乗り、谷へ降りて行きます。なかなかの急勾配でスリルあり！

また露天風呂が、硫黄臭プンプンで温泉感高まる！かなりのぬる湯（源泉掛け流し）でいいお湯。しかも炭酸泉で身体中を気泡に覆われます。

ゴールデンウィーク最終日、天気が悪く風が強く吹いていたので、湯から出ると寒かったです。

内湯に浸かりあったまりました。

とにかく露天風呂めちゃくちゃ良かったです！

次は泊まりで利用したいです。

しかし、道中道が狭いので対向車とすれ違えなく2回も下がりました。それが大変でした。その分秘境の温泉でした。",ホテル祖谷温泉露天風呂,"
〒779-5165 徳島県三好市","
0883-75-2311",https://www.iyaonsen.co.jp/spa/,"4.5
(66)",Unknown,〒779-5165 徳島県三好市,33.9213454,133.8173719
