Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
みー,5,1 か月前,"最近の訪問では、お魚メインのランチをいただきました。前菜、サラダ、メイン、パン、デザート、コーヒー。サラダがすごいボリュームでとても満足なランチでした。2回目は前回当日に行って食べられなかったので、今回は予約してクイックランチをいただきました。
ワンプレートのサラダ、メイン、スープにパン、スイーツ、コーヒーのセットでした。
この日のメインは豚肉。ソースもとても美味しくお肉も柔らかかったです。
限定１０食なので予約必須ですが、とてもリーズナブルに素敵な雰囲気でランチがいただけるのでおすすめです。",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(248)",Unknown,フランス料理店,35.9454278,137.970494
みー,5,1 か月前,"最近の訪問では、お魚メインのランチをいただきました。前菜、サラダ、メイン、パン、デザート、コーヒー。サラダがすごいボリュームでとても満足なランチでした。2回目は前回当日に行って食べられなかったので、今回は予約してクイックランチをいただきました。
ワンプレートのサラダ、メイン、スープにパン、スイーツ、コーヒーのセットでした。
この日のメインは豚肉。ソースもとても美味しくお肉も柔らかかったです。
限定１０食なので予約必須ですが、とてもリーズナブルに素敵な雰囲気でランチがいただけるのでおすすめです。",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(248)",Unknown,フランス料理店,35.9454278,137.970494
うなぎ犬,5,1 か月前,"気軽に行けるカジュアルフレンチ！

お魚とお肉のフルコース＋ペアリング３杯のコースを予約し、ランチで伺いました。

平日11時スタートにしたので途中までは静かで落ち着けて良かったです。

ワインはペアリング３杯の他にもう１杯。
出されるタイミングが完璧でしたのでお昼から飲みすぎてしまいました(笑)

テーブルの上に置いてあった使い捨てのおしぼりだけがチープに思えてちょっと残念でしたが...
店内明るく、綺麗で良かったです。",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(248)",Unknown,フランス料理店,35.9454278,137.970494
うなぎ犬,5,1 か月前,"気軽に行けるカジュアルフレンチ！

お魚とお肉のフルコース＋ペアリング３杯のコースを予約し、ランチで伺いました。

平日11時スタートにしたので途中までは静かで落ち着けて良かったです。

ワインはペアリング３杯の他にもう１杯。
出されるタイミングが完璧でしたのでお昼から飲みすぎてしまいました(笑)

テーブルの上に置いてあった使い捨てのおしぼりだけがチープに思えてちょっと残念でしたが...
店内明るく、綺麗で良かったです。",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(248)",Unknown,フランス料理店,35.9454278,137.970494
やる気、元気、食べ物“おいちいもの通信”良質なものに吸い寄せられる今日この頃,5,4 週間前,"ディナーで利用しました。
春のコースは、旬の食材を使った料理でとても美味しかったです。

丸の内のオシャレな雰囲気そのままで、とても美味しく食事させて頂きました🍽️

また利用させて頂きます。

美味〜〜〜！！！",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(248)",Unknown,フランス料理店,35.9454278,137.970494
やる気、元気、食べ物“おいちいもの通信”良質なものに吸い寄せられる今日この頃,5,4 週間前,"ディナーで利用しました。
春のコースは、旬の食材を使った料理でとても美味しかったです。

丸の内のオシャレな雰囲気そのままで、とても美味しく食事させて頂きました🍽️

また利用させて頂きます。

美味〜〜〜！！！",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(248)",Unknown,フランス料理店,35.9454278,137.970494
Co-a,5,6 か月前,"ドレスコードはありますが、スマートカジュアルを守ったうえで、私も友人もスニーカーでランチに♪♪

とても高級感のある接客で、お料理の説明とか聞き惚れてしまいます。

お酒がすごーく美味しいし、お料理も初めて食べる味だったりして嬉しく、ほんと全てが美味しい。特にメインのお肉料理が美味しかった！
パンに付けるバターまで最高でしたっ",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(248)",Unknown,フランス料理店,35.9454278,137.970494
Co-a,5,6 か月前,"ドレスコードはありますが、スマートカジュアルを守ったうえで、私も友人もスニーカーでランチに♪♪

とても高級感のある接客で、お料理の説明とか聞き惚れてしまいます。

お酒がすごーく美味しいし、お料理も初めて食べる味だったりして嬉しく、ほんと全てが美味しい。特にメインのお肉料理が美味しかった！
パンに付けるバターまで最高でしたっ",ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(248)",Unknown,フランス料理店,35.9454278,137.970494
Y K,4,8 か月前,落ち着いていて、胡蝶蘭が飾ってあったりと会食やデートに最適。食事も美味しいです。ワインのペアリングもしてくれましたが、聞かないと銘柄の説明をしてくれなかったです。あまり詳しく無かったです。全体的な感想としては、お勧めです。,ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(248)",Unknown,フランス料理店,35.9454278,137.970494
Y K,4,8 か月前,落ち着いていて、胡蝶蘭が飾ってあったりと会食やデートに最適。食事も美味しいです。ワインのペアリングもしてくれましたが、聞かないと銘柄の説明をしてくれなかったです。あまり詳しく無かったです。全体的な感想としては、お勧めです。,ミクニ マルノウチ,"
〒100-6902 東京都千代田区丸の内２丁目６−１ ブリックスクエア アネックス（別館 2階","
03-5220-3921",http://www.mikuni-marunouchi.jp/,"4.1
(248)",Unknown,フランス料理店,35.9454278,137.970494
