Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
夢丘ななみ,N/A,"Google
より（8 か月前）","御宿ではいつもサヤンテラスを利用していますが、今回初めて利用しました。
素泊まりには最適かなと思います。
１つ難点を言えば、宿泊部屋から話声やドアの開閉する音が響くので気になる人には向かないと思いました。
子供は仕方ないと思いますが、大人は気を使って欲しいと思いました。欲を言えば
トイレットペーパーの巻きが少なかったので替えのトイレットペーパーがあるとよかったです。",リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
夢丘ななみ,N/A,"Google
より（8 か月前）","御宿ではいつもサヤンテラスを利用していますが、今回初めて利用しました。
素泊まりには最適かなと思います。
１つ難点を言えば、宿泊部屋から話声やドアの開閉する音が響くので気になる人には向かないと思いました。
子供は仕方ないと思いますが、大人は気を使って欲しいと思いました。欲を言えば
トイレットペーパーの巻きが少なかったので替えのトイレットペーパーがあるとよかったです。",リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
cinnamon,N/A,"Google
より（1 年前）","冬の寒い日にツインのお部屋に宿泊しました。

玄関で靴を脱ぎ、スリッパに履き替えます。
フロントでチェックインの手続きはオーナーかな？フレンドリーかつ丁寧にご説明して下さいました。

なかなかに急な階段で２階に上がる（小さい子は危険かも）と、バストイレ付のお部屋が並んでます。
３点ユニットで換気扇がうるさくて狭いけど、キレイに掃除してあって、普通に使えます。シャワーの湯量も湯温も全く問題なし！
バスタオル、タオル、歯ブラシセット、紙コップ。備え付けのシャンプー、トリートメント、ボディーソープ。ウォシュレットはなし。

お部屋のエアコンは新しくて、寒い日でしたがあったかく過ごせました。
ベッドメイクもちゃんとしてあって、テーブルと椅子２脚も使いやすかったです。

朝、コンビニで買った朝食をダイニングで食べたとき、オーナーさんが淹れてくれたコーヒーがおいしかった。
館内も海辺のまさしくリゾートハウスといった内装で素敵でした♡

ただ、玄関で履き替えたスリッパ。
部屋の外も中もユニットバスも同じスリッパで過ごすので、部屋のタイルカーペットもちょっと気になり…靴下が脱げない感じでした。

交通量のある道路を渡らなきゃですが、海まで数分、コンビニも至近、駅も徒歩圏なので、気軽に泊まるにはとても良かったです。お世話になりました！",リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
cinnamon,N/A,"Google
より（1 年前）","冬の寒い日にツインのお部屋に宿泊しました。

玄関で靴を脱ぎ、スリッパに履き替えます。
フロントでチェックインの手続きはオーナーかな？フレンドリーかつ丁寧にご説明して下さいました。

なかなかに急な階段で２階に上がる（小さい子は危険かも）と、バストイレ付のお部屋が並んでます。
３点ユニットで換気扇がうるさくて狭いけど、キレイに掃除してあって、普通に使えます。シャワーの湯量も湯温も全く問題なし！
バスタオル、タオル、歯ブラシセット、紙コップ。備え付けのシャンプー、トリートメント、ボディーソープ。ウォシュレットはなし。

お部屋のエアコンは新しくて、寒い日でしたがあったかく過ごせました。
ベッドメイクもちゃんとしてあって、テーブルと椅子２脚も使いやすかったです。

朝、コンビニで買った朝食をダイニングで食べたとき、オーナーさんが淹れてくれたコーヒーがおいしかった。
館内も海辺のまさしくリゾートハウスといった内装で素敵でした♡

ただ、玄関で履き替えたスリッパ。
部屋の外も中もユニットバスも同じスリッパで過ごすので、部屋のタイルカーペットもちょっと気になり…靴下が脱げない感じでした。

交通量のある道路を渡らなきゃですが、海まで数分、コンビニも至近、駅も徒歩圏なので、気軽に泊まるにはとても良かったです。お世話になりました！",リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
Hito Kuro,N/A,"Google
より（1 年前）","結果：マイナスポイントが酷い

御宿で1泊してきました。
チェックイン時のフロントの男性、
チェックアウト時のフロントの女性、
どちらも丁寧な対応で素敵です。

フロント：
フロントから2Fへ上がる階段があるのですが、
フロントの床が僕の体重がありすぎるのか、
ベコベコ凹みまくりでいつ床が抜けて落ちるかとかなり怖い。
階段は頑丈そうだが、2Fの床も抜けそうで怖い。

部屋：
キレイに掃除してあり寝室として十分な感じ。
夕方にチェックインし、
西日の当たる部屋だったこともあり、
ポカポカで暖かかったですね。

ネット：
WiFiがつながらなかったり、
つながってもめっちゃ遅くてワロタ。
1Mbps程度の上り下りで遅すぎ。
あまりに使えないので、すぐに使わなくなりました。
モバイル4Gのほうがよほど快適。

トイレ、風呂：
トイレはウォッシュレットが無い程度で、
水もよく流れるので問題なし。
風呂がダメでした。
そもそも22時から6時でボイラーを止めるとかで、
夜中使えないのはかなりのマイナスポイント。
それ以外の時間もなかなかお湯が出ない。
お湯のノブを全開にして、水のノブをかなり精緻な調整が必要。
必要最低限しか使いたくならない、とても悪い例。

ほか：
20時くらいに食料を調達して帰ってくると、
宿泊客が1Fで騒いでいてうるさかった。
7時くらいから1Fで宿泊客？が騒いでいてとてもうるさかった。
1Fは談話室なのかもしれないが、
それならそれで部屋の防音もしっかりしてほしい。",リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
Hito Kuro,N/A,"Google
より（1 年前）","結果：マイナスポイントが酷い

御宿で1泊してきました。
チェックイン時のフロントの男性、
チェックアウト時のフロントの女性、
どちらも丁寧な対応で素敵です。

フロント：
フロントから2Fへ上がる階段があるのですが、
フロントの床が僕の体重がありすぎるのか、
ベコベコ凹みまくりでいつ床が抜けて落ちるかとかなり怖い。
階段は頑丈そうだが、2Fの床も抜けそうで怖い。

部屋：
キレイに掃除してあり寝室として十分な感じ。
夕方にチェックインし、
西日の当たる部屋だったこともあり、
ポカポカで暖かかったですね。

ネット：
WiFiがつながらなかったり、
つながってもめっちゃ遅くてワロタ。
1Mbps程度の上り下りで遅すぎ。
あまりに使えないので、すぐに使わなくなりました。
モバイル4Gのほうがよほど快適。

トイレ、風呂：
トイレはウォッシュレットが無い程度で、
水もよく流れるので問題なし。
風呂がダメでした。
そもそも22時から6時でボイラーを止めるとかで、
夜中使えないのはかなりのマイナスポイント。
それ以外の時間もなかなかお湯が出ない。
お湯のノブを全開にして、水のノブをかなり精緻な調整が必要。
必要最低限しか使いたくならない、とても悪い例。

ほか：
20時くらいに食料を調達して帰ってくると、
宿泊客が1Fで騒いでいてうるさかった。
7時くらいから1Fで宿泊客？が騒いでいてとてもうるさかった。
1Fは談話室なのかもしれないが、
それならそれで部屋の防音もしっかりしてほしい。",リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
PM 23:00,N/A,"Google
より（8 か月前）","浜辺は近く海水浴にもばっちりの立地
飲食店も少し歩けばあります(口コミ微妙)
近所の魚屋で刺し盛りを作ってもらったりスーパーで寿司かって宿のダイニングで食べるのも◎な感じ

宿は変わった造りですが清掃も行き届いていて清潔感あります
お風呂は三人くらい入れる多きさ
湯沸かしではないので温かったら熱いお湯を足して入るスタイル

宿オーナーは物腰柔らかく👍️",リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
PM 23:00,N/A,"Google
より（8 か月前）","浜辺は近く海水浴にもばっちりの立地
飲食店も少し歩けばあります(口コミ微妙)
近所の魚屋で刺し盛りを作ってもらったりスーパーで寿司かって宿のダイニングで食べるのも◎な感じ

宿は変わった造りですが清掃も行き届いていて清潔感あります
お風呂は三人くらい入れる多きさ
湯沸かしではないので温かったら熱いお湯を足して入るスタイル

宿オーナーは物腰柔らかく👍️",リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
Tamu Ken,N/A,"Google
より（1 年前）","家族4人素泊まりで1万円台前半は、とてもありがたい。
徒歩圏内に海鮮居酒屋。お腹いっぱいの後は、月の砂漠を散歩し、花火を楽しんでペンションに戻る。

朝は、オーナーがコーヒーを淹れてくれて、お客さんとの会話を楽しんでいる。

子供の頃、御宿の海で遊んだ。
当時、若者で溢れていた海岸。
今は、人は少ない。

バブル期のペンションといった佇まい。
子供の頃憧れていた、ドラマの世界。
素朴な宿泊施設です。",リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
Tamu Ken,N/A,"Google
より（1 年前）","家族4人素泊まりで1万円台前半は、とてもありがたい。
徒歩圏内に海鮮居酒屋。お腹いっぱいの後は、月の砂漠を散歩し、花火を楽しんでペンションに戻る。

朝は、オーナーがコーヒーを淹れてくれて、お客さんとの会話を楽しんでいる。

子供の頃、御宿の海で遊んだ。
当時、若者で溢れていた海岸。
今は、人は少ない。

バブル期のペンションといった佇まい。
子供の頃憧れていた、ドラマの世界。
素朴な宿泊施設です。",リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
Kumiko,N/A,"Google
より（2 年前）",娘と2人で宿泊しました。駅から徒歩10分位？セブンイレブン近し、海まで２〜３分。近くに飲食店もあり便利です。お風呂は大浴場もあるみたいですが部屋のユニットバスを利用、壊れていたのか？時間的に皆一斉にお風呂を利用したからなのか？シャワーにするとお湯が出ない！髪も洗ってしまったのでそのまま蛇口のお湯をかけて流しました。エアコンあり、冷蔵庫ナシなので保冷バッグがあると便利です。食事場所もありレンジも使用可。利用していませんが朝はモーニングコーヒー無料。ドライヤーとポットは貸出。,リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
Kumiko,N/A,"Google
より（2 年前）",娘と2人で宿泊しました。駅から徒歩10分位？セブンイレブン近し、海まで２〜３分。近くに飲食店もあり便利です。お風呂は大浴場もあるみたいですが部屋のユニットバスを利用、壊れていたのか？時間的に皆一斉にお風呂を利用したからなのか？シャワーにするとお湯が出ない！髪も洗ってしまったのでそのまま蛇口のお湯をかけて流しました。エアコンあり、冷蔵庫ナシなので保冷バッグがあると便利です。食事場所もありレンジも使用可。利用していませんが朝はモーニングコーヒー無料。ドライヤーとポットは貸出。,リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
アマチュアカメラマン,N/A,"Google
より（5 年前）","良い点は近くには海水浴場が沢山あるので天候が良ければ最高です。コンビニも近いし食事する場所も施設の方がマップをくれるので好きな場所で食事が楽しめます。
施設内には共用のスペースがありポットもあり冷蔵庫も共用ですがあるので便利です。部屋も清潔感があり清掃がよく行き届いています。
悪い点は家族風呂はなく男性風呂は2人利用くらいのスペースなので他の利用客が来ると気まずい感じの狭さに感じました。
朝はあったかいコーヒーを頂きました。",リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
アマチュアカメラマン,N/A,"Google
より（5 年前）","良い点は近くには海水浴場が沢山あるので天候が良ければ最高です。コンビニも近いし食事する場所も施設の方がマップをくれるので好きな場所で食事が楽しめます。
施設内には共用のスペースがありポットもあり冷蔵庫も共用ですがあるので便利です。部屋も清潔感があり清掃がよく行き届いています。
悪い点は家族風呂はなく男性風呂は2人利用くらいのスペースなので他の利用客が来ると気まずい感じの狭さに感じました。
朝はあったかいコーヒーを頂きました。",リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
有馬健二,N/A,"Google
より（8 か月前）",チェックイン前（10:30以降）から駐車場を利用させていただき助かりました。翌日はチェックアウト後は市営の駐車場へ移動しました（シーズン中は１日1000円）。,リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
有馬健二,N/A,"Google
より（8 か月前）",チェックイン前（10:30以降）から駐車場を利用させていただき助かりました。翌日はチェックアウト後は市営の駐車場へ移動しました（シーズン中は１日1000円）。,リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
Katsuta N,N/A,"Tripadvisor
より（7 年前）",オーナーご夫妻の付かず離れずの絶妙な接客で、気持ちいい時間を過ごせました。部屋も清潔だし、館内のあちこちにはオーナーさんやお友達の作品が展示されています。|特に各部屋に置いてある手作りウォーキングマップに感動。残念ながら、もう朝食サービスはやってないようですが、美味しいコーヒーは飲み放題だし、時間も自由に使えて、素泊まりもいいなぁと思いました。|また行きたい宿です。,リゾートハウス・オータニ,"
〒299-5107 千葉県夷隅郡御宿町浜５３５","
0470-68-3131",http://www.otani-onjuku.jp/,"4.1
(54)",Unknown,〒299-5107 千葉県夷隅郡御宿町浜５３５,35.3789726,137.3195422
