Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
ぷんぷい,5,1 か月前,"上野公園内の東京文化会館の2階にあるレストラン。

JR上野駅の改札口の前で常に人通りが多いという立地にありながら、大混雑することはなくて落ち着いた環境で食事ができる。

上野精養軒が経営しているので、とても美味しいレベルの高い洋食をお手頃価格で食べることができる。

ふわとろオムライスのハヤシソースのオムライスは美味しいが万人に受けそうな味で高級店にありがちなこってりとした濃厚な感じはない。

しかし、ハヤシソースがとても美味しくて満足度を最高潮に高める。
柔らかくてホロホロとほぐれる牛肉が素晴らしくて、次回来店時は絶対にビーフシチューを食べようという気になる。

フォレスティーユセットは高級感があり、コスパがいいと思える。

季節によって内容が変わるようだが、この日の組み合わせは最高だった。

別の内容の時にも来たいと感じる。
その時も絶対に美味しいのだろうと思いをはせしまう。

上野公園に行ったら必ず立ち寄りたいと感じる名店だと感じた。",レストラン フォレスティーユ,"
〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F","
03-3821-9151",https://www.seiyoken.co.jp/restaurant/t-bunka/forestier.html,"3.8
(384)",Unknown,〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F,35.7143937,139.775312
ぷんぷい,5,1 か月前,"上野公園内の東京文化会館の2階にあるレストラン。

JR上野駅の改札口の前で常に人通りが多いという立地にありながら、大混雑することはなくて落ち着いた環境で食事ができる。

上野精養軒が経営しているので、とても美味しいレベルの高い洋食をお手頃価格で食べることができる。

ふわとろオムライスのハヤシソースのオムライスは美味しいが万人に受けそうな味で高級店にありがちなこってりとした濃厚な感じはない。

しかし、ハヤシソースがとても美味しくて満足度を最高潮に高める。
柔らかくてホロホロとほぐれる牛肉が素晴らしくて、次回来店時は絶対にビーフシチューを食べようという気になる。

フォレスティーユセットは高級感があり、コスパがいいと思える。

季節によって内容が変わるようだが、この日の組み合わせは最高だった。

別の内容の時にも来たいと感じる。
その時も絶対に美味しいのだろうと思いをはせしまう。

上野公園に行ったら必ず立ち寄りたいと感じる名店だと感じた。",レストラン フォレスティーユ,"
〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F","
03-3821-9151",https://www.seiyoken.co.jp/restaurant/t-bunka/forestier.html,"3.8
(384)",Unknown,〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F,35.7143937,139.775312
Jonathan Jotaro,3,2 か月前,上野公園の東京文化会館2Fにある“フォレスティーユ精養軒”さんでランチ。数十年前から知ってましたが機会がなく今回思いつきで入店。老舗感漂う洋食屋さんでした。メニューの中でひときわ目を惹く「ふわとろオムライスハヤシソース 1950円」をいただきました。少しビターなハヤシソースにふわとろに仕上がったオムライスの組み合わせは想定通りの美味しさでしたが牛肉は想定外の量入ってました。ホロホロに煮込まれた牛肉が美味しかったです。上野公園には“精養軒”系列のレストランがいくつかあるそうです。今度は本店に行ってみようと思います。ごちそうさまでした！,レストラン フォレスティーユ,"
〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F","
03-3821-9151",https://www.seiyoken.co.jp/restaurant/t-bunka/forestier.html,"3.8
(384)",Unknown,〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F,35.7143937,139.775312
Jonathan Jotaro,3,2 か月前,上野公園の東京文化会館2Fにある“フォレスティーユ精養軒”さんでランチ。数十年前から知ってましたが機会がなく今回思いつきで入店。老舗感漂う洋食屋さんでした。メニューの中でひときわ目を惹く「ふわとろオムライスハヤシソース 1950円」をいただきました。少しビターなハヤシソースにふわとろに仕上がったオムライスの組み合わせは想定通りの美味しさでしたが牛肉は想定外の量入ってました。ホロホロに煮込まれた牛肉が美味しかったです。上野公園には“精養軒”系列のレストランがいくつかあるそうです。今度は本店に行ってみようと思います。ごちそうさまでした！,レストラン フォレスティーユ,"
〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F","
03-3821-9151",https://www.seiyoken.co.jp/restaurant/t-bunka/forestier.html,"3.8
(384)",Unknown,〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F,35.7143937,139.775312
Ayame,4,3 か月前,"歴史を感じるレストラン。
上野界隈の精養軒はほとんど行きましたが、ここにしかないというチャプスイを食べました。
素早い提供、舞台前に急いでいる方向けとのこと。創業当時からのメニューだそうです。
お肉が多い、ご飯柔らかい、コスパ悪めですが、場所代かなと思います。
ごちそうさまでした。",レストラン フォレスティーユ,"
〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F","
03-3821-9151",https://www.seiyoken.co.jp/restaurant/t-bunka/forestier.html,"3.8
(384)",Unknown,〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F,35.7143937,139.775312
Ayame,4,3 か月前,"歴史を感じるレストラン。
上野界隈の精養軒はほとんど行きましたが、ここにしかないというチャプスイを食べました。
素早い提供、舞台前に急いでいる方向けとのこと。創業当時からのメニューだそうです。
お肉が多い、ご飯柔らかい、コスパ悪めですが、場所代かなと思います。
ごちそうさまでした。",レストラン フォレスティーユ,"
〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F","
03-3821-9151",https://www.seiyoken.co.jp/restaurant/t-bunka/forestier.html,"3.8
(384)",Unknown,〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F,35.7143937,139.775312
ユカ姉,4,5 か月前,"月曜日で本店がお休みでランチにこちらに訪問　レトロ感が逆に新しいただ住まい　お客様もシニアが多く静かでゆっくり癒されます　お食事はヒレステーキ　ビールと赤ワイン　デザートに季節限定のプリンアラモードと紅茶大好きなアッサムでした
また　伺いたいです",レストラン フォレスティーユ,"
〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F","
03-3821-9151",https://www.seiyoken.co.jp/restaurant/t-bunka/forestier.html,"3.8
(384)",Unknown,〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F,35.7143937,139.775312
ユカ姉,4,5 か月前,"月曜日で本店がお休みでランチにこちらに訪問　レトロ感が逆に新しいただ住まい　お客様もシニアが多く静かでゆっくり癒されます　お食事はヒレステーキ　ビールと赤ワイン　デザートに季節限定のプリンアラモードと紅茶大好きなアッサムでした
また　伺いたいです",レストラン フォレスティーユ,"
〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F","
03-3821-9151",https://www.seiyoken.co.jp/restaurant/t-bunka/forestier.html,"3.8
(384)",Unknown,〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F,35.7143937,139.775312
いわたごろう,4,2 か月前,"有名な東京文化課会館内だけあって雰囲気は
良いです
かつしっかりとしたサービス、料理
今回はグラタンをいただきました
美味しかった
上野公園を訪れる時にまた行きたいです",レストラン フォレスティーユ,"
〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F","
03-3821-9151",https://www.seiyoken.co.jp/restaurant/t-bunka/forestier.html,"3.8
(384)",Unknown,〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F,35.7143937,139.775312
いわたごろう,4,2 か月前,"有名な東京文化課会館内だけあって雰囲気は
良いです
かつしっかりとしたサービス、料理
今回はグラタンをいただきました
美味しかった
上野公園を訪れる時にまた行きたいです",レストラン フォレスティーユ,"
〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F","
03-3821-9151",https://www.seiyoken.co.jp/restaurant/t-bunka/forestier.html,"3.8
(384)",Unknown,〒110-0007 東京都台東区上野公園５丁目５−４５ 東京文化会館 ２F,35.7143937,139.775312
