Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
IZANAGI J,5,1 年前,"メトロだからSuicaのチャージは出来ないとさ！Suicaはチャージ出来ないとか、、、けつの穴の小さいこと言うメトロって一体、、、
しかもメトロは高いし、良いとこないぞ？メトロ！笑
しかし！

ここのローソンの店員はすごく良いです✨リクエストした商品を置いてくれたりします😆

ただ、メトロが終わってると言う話しです〜",ローソン 志茂メトロピア店,"
〒115-0042 東京都北区志茂２丁目１−１８","
03-3902-6789",https://www.lawson.co.jp/,"3.3
(19)",Unknown,コンビニエンスストア,35.778324,139.7322949
IZANAGI J,5,1 年前,"メトロだからSuicaのチャージは出来ないとさ！Suicaはチャージ出来ないとか、、、けつの穴の小さいこと言うメトロって一体、、、
しかもメトロは高いし、良いとこないぞ？メトロ！笑
しかし！

ここのローソンの店員はすごく良いです✨リクエストした商品を置いてくれたりします😆

ただ、メトロが終わってると言う話しです〜",ローソン 志茂メトロピア店,"
〒115-0042 東京都北区志茂２丁目１−１８","
03-3902-6789",https://www.lawson.co.jp/,"3.3
(19)",Unknown,コンビニエンスストア,35.778324,139.7322949
rainy day,5,1 年前,たまに平日の朝に利用しています。店舗は狭くて、商品を探すのはすこし大変ですが、いつも店員さんがやさしく対応してくださり、とても良い印象です。良い歳して人見知りの自分でも行きやすくて、助かります。,ローソン 志茂メトロピア店,"
〒115-0042 東京都北区志茂２丁目１−１８","
03-3902-6789",https://www.lawson.co.jp/,"3.3
(19)",Unknown,コンビニエンスストア,35.778324,139.7322949
rainy day,5,1 年前,たまに平日の朝に利用しています。店舗は狭くて、商品を探すのはすこし大変ですが、いつも店員さんがやさしく対応してくださり、とても良い印象です。良い歳して人見知りの自分でも行きやすくて、助かります。,ローソン 志茂メトロピア店,"
〒115-0042 東京都北区志茂２丁目１−１８","
03-3902-6789",https://www.lawson.co.jp/,"3.3
(19)",Unknown,コンビニエンスストア,35.778324,139.7322949
たけ（2217）,1,2 年前,床にレジに並ぶためのマークがあるのでそこで待っていて店員から声かけられるのを待っていたのに後から来て横からレジに商品をだした人を先に会計した、店員に言っても反省してないのでローソンの印象悪くなった。この辺り以外では店舗をあまり見かけなくなったのでまた当分行かなければ良いやと感じた、あえてローソンに行かなくても良いし…セブンイレブンとか他との質の違いを感じる。,ローソン 志茂メトロピア店,"
〒115-0042 東京都北区志茂２丁目１−１８","
03-3902-6789",https://www.lawson.co.jp/,"3.3
(19)",Unknown,コンビニエンスストア,35.778324,139.7322949
たけ（2217）,1,2 年前,床にレジに並ぶためのマークがあるのでそこで待っていて店員から声かけられるのを待っていたのに後から来て横からレジに商品をだした人を先に会計した、店員に言っても反省してないのでローソンの印象悪くなった。この辺り以外では店舗をあまり見かけなくなったのでまた当分行かなければ良いやと感じた、あえてローソンに行かなくても良いし…セブンイレブンとか他との質の違いを感じる。,ローソン 志茂メトロピア店,"
〒115-0042 東京都北区志茂２丁目１−１８","
03-3902-6789",https://www.lawson.co.jp/,"3.3
(19)",Unknown,コンビニエンスストア,35.778324,139.7322949
桜田祐樹,1,6 年前,"星1にも値しない店。
買い物しても外国人も派遣もいらっしゃいませもありがとうございますも言わない。
3回連続で、違うスタッフがいらっしゃいませもありがとうございますも言わないって本当に凄い。
流石にHPからクレーム出した。
次の利用を考えていつ改善するのか問い合わせても
その改善が出来る日は教えられないってローソン様の回答をもらった。
電話でクレーム出して、店舗管轄してる人から回答をもらう、改善されたら再度利用する、としたけど
そろそろ1ヶ月経つけど返信なんか微塵も無い。
1ヶ月近くも経って改善出来ない凄い教育能力。
企業側も客選べるけどいらっしゃいませもありがとうございますも言わない人らを擁護する企業って凄い。
このサービスで満足出来ないなら来ないで構いませんってことか。",ローソン 志茂メトロピア店,"
〒115-0042 東京都北区志茂２丁目１−１８","
03-3902-6789",https://www.lawson.co.jp/,"3.3
(19)",Unknown,コンビニエンスストア,35.778324,139.7322949
桜田祐樹,1,6 年前,"星1にも値しない店。
買い物しても外国人も派遣もいらっしゃいませもありがとうございますも言わない。
3回連続で、違うスタッフがいらっしゃいませもありがとうございますも言わないって本当に凄い。
流石にHPからクレーム出した。
次の利用を考えていつ改善するのか問い合わせても
その改善が出来る日は教えられないってローソン様の回答をもらった。
電話でクレーム出して、店舗管轄してる人から回答をもらう、改善されたら再度利用する、としたけど
そろそろ1ヶ月経つけど返信なんか微塵も無い。
1ヶ月近くも経って改善出来ない凄い教育能力。
企業側も客選べるけどいらっしゃいませもありがとうございますも言わない人らを擁護する企業って凄い。
このサービスで満足出来ないなら来ないで構いませんってことか。",ローソン 志茂メトロピア店,"
〒115-0042 東京都北区志茂２丁目１−１８","
03-3902-6789",https://www.lawson.co.jp/,"3.3
(19)",Unknown,コンビニエンスストア,35.778324,139.7322949
y k,5,3 年前,"前までは外国人の店員さんで対応は普通でしたが、今日行ったところ日本人の若い店員さんにかわっており素晴らしい接客をしていただきました！
店長さんがかわったんでしょうか？入店時の挨拶や、レジでの対応がとても気持ちよかったです。
久しぶりに外に出て元気をもらいました。また伺います！",ローソン 志茂メトロピア店,"
〒115-0042 東京都北区志茂２丁目１−１８","
03-3902-6789",https://www.lawson.co.jp/,"3.3
(19)",Unknown,コンビニエンスストア,35.778324,139.7322949
y k,5,3 年前,"前までは外国人の店員さんで対応は普通でしたが、今日行ったところ日本人の若い店員さんにかわっており素晴らしい接客をしていただきました！
店長さんがかわったんでしょうか？入店時の挨拶や、レジでの対応がとても気持ちよかったです。
久しぶりに外に出て元気をもらいました。また伺います！",ローソン 志茂メトロピア店,"
〒115-0042 東京都北区志茂２丁目１−１８","
03-3902-6789",https://www.lawson.co.jp/,"3.3
(19)",Unknown,コンビニエンスストア,35.778324,139.7322949
攩齺。,5,1 年前,茶畑さんという方が本当に優しくて、深夜帯にも関わらず品切れしている味のからあげクンを揚げてくれました。本当にありがとうございました！！,ローソン 志茂メトロピア店,"
〒115-0042 東京都北区志茂２丁目１−１８","
03-3902-6789",https://www.lawson.co.jp/,"3.3
(19)",Unknown,コンビニエンスストア,35.778324,139.7322949
攩齺。,5,1 年前,茶畑さんという方が本当に優しくて、深夜帯にも関わらず品切れしている味のからあげクンを揚げてくれました。本当にありがとうございました！！,ローソン 志茂メトロピア店,"
〒115-0042 東京都北区志茂２丁目１−１８","
03-3902-6789",https://www.lawson.co.jp/,"3.3
(19)",Unknown,コンビニエンスストア,35.778324,139.7322949
