Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
kn,5,3 週間前,20代後半で異業種未経験からIT業界への転職を目指して利用しました。利用させて頂いてよかったです。 …,㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
kn,5,3 週間前,20代後半で異業種未経験からIT業界への転職を目指して利用しました。利用させて頂いてよかったです。 …,㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
しおり,5,2 週間前,"とにかく利用者に寄り添い、手厚いサポートをしてくださるエージェントさんでした。

担当してくださった前田様はとても話しやすく、接するうちに自分もこうありたいと感じさせてくれるようなお人柄でした。 …",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
しおり,5,2 週間前,"とにかく利用者に寄り添い、手厚いサポートをしてくださるエージェントさんでした。

担当してくださった前田様はとても話しやすく、接するうちに自分もこうありたいと感じさせてくれるようなお人柄でした。 …",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
ああ,5,3 週間前,栗原さんに担当していただきました。 …,㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
ああ,5,3 週間前,栗原さんに担当していただきました。 …,㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
Ellie,5,2 週間前,堂下さんに担当して頂き、大変お世話になりました。4年通った大学を中退しての転職活動で、どの業界に進むかも定まっていない状況でしたが、無事志望していた企業様から内定を頂くことができました。 …,㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
Ellie,5,2 週間前,堂下さんに担当して頂き、大変お世話になりました。4年通った大学を中退しての転職活動で、どの業界に進むかも定まっていない状況でしたが、無事志望していた企業様から内定を頂くことができました。 …,㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
Y Yagai.,5,3 週間前,前田さんにご担当いただき、初回の面談から親身になってお話を聞いてくださいました。私自身、転職に対して不安もありましたが、的確なアドバイスと温かいサポートのおかげで、前向きに活動を進めることができました。 …,㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
Y Yagai.,5,3 週間前,前田さんにご担当いただき、初回の面談から親身になってお話を聞いてくださいました。私自身、転職に対して不安もありましたが、的確なアドバイスと温かいサポートのおかげで、前向きに活動を進めることができました。 …,㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
M S,5,2 か月前,"宇佐美様にメインで担当していただき、数回高橋様にもご対応していただきました。

未経験の業界への就職活動だったため不安もありましたが宇佐美さんのポジティブなお声がけのおかげで前向きに就職活動に取り組むことができました。 …",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
M S,5,2 か月前,"宇佐美様にメインで担当していただき、数回高橋様にもご対応していただきました。

未経験の業界への就職活動だったため不安もありましたが宇佐美さんのポジティブなお声がけのおかげで前向きに就職活動に取り組むことができました。 …",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
Y A,5,1 か月前,山本さんにご担当いただきました。 …,㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
Y A,5,1 か月前,山本さんにご担当いただきました。 …,㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
吉松しょうじ,5,2 か月前,"この度、佐野様にメインで対応いただき、一度三宅様にもご対応いただきました。

登録してからご連絡いただけるまでがとても早くてよかったです。 …",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
吉松しょうじ,5,2 か月前,"この度、佐野様にメインで対応いただき、一度三宅様にもご対応いただきました。

登録してからご連絡いただけるまでがとても早くてよかったです。 …",㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
T F,5,2 か月前,初めての転職かつ異業種への挑戦で、右も左も分からない状態でしたが、担当の安田さんを中心に、履歴書や職務経歴書の添削、推薦書の作成、IT業界の説明、面接対策、学習支援、フィードバックなど、転職活動のすべてを手厚くサポートしていただきました。そのおかげで無事に内定をいただくことができ、１人では希望の職種に就くのは難しかったと思うので、本当に感謝しています。 …,㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
T F,5,2 か月前,初めての転職かつ異業種への挑戦で、右も左も分からない状態でしたが、担当の安田さんを中心に、履歴書や職務経歴書の添削、推薦書の作成、IT業界の説明、面接対策、学習支援、フィードバックなど、転職活動のすべてを手厚くサポートしていただきました。そのおかげで無事に内定をいただくことができ、１人では希望の職種に就くのは難しかったと思うので、本当に感謝しています。 …,㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
ハイビーム,5,4 週間前,田崎さんに担当していただきましたが、悩みを親身になって聞いてくださりとっても優しくて安心して転職活動ができました。面接前にも面談の時間を設けてくれたのがなにより心強かったです！ …,㈱UZUZ,"
〒160-0023 東京都新宿区西新宿３丁目１１−２０ オフィス スクエアビル新宿 3階","
03-5333-0802",http://uzuz.jp/,"4.5
(463)",Unknown,職業紹介所,35.6336389,139.6690353
