Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
tsuyoshi gurumeshi,2,1 か月前,"予約し、ランチのオープン時刻5分前に着いたが、すでに外国人が2組7名ほど並んでいた。日本人はこちら含め2組でカウンターは満席。
店内はカウンターがメインでいかにも鮨屋という雰囲気で良い。
ただ、銀座のランチで1万円と考えると個人的にはコストパフォーマンスは悪い気がした。
海外の方はお酒も進み満足そうだった。
ウニは比較的ボリュームが多かった。
パチパチした触感のデザートが印象的。",一㐂(いちき),"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル 4F","
03-6264-5390",Unknown,"3.9
(182)",ウェブサイトを追加してください,寿司店,35.6735824,139.7033535
tsuyoshi gurumeshi,2,1 か月前,"予約し、ランチのオープン時刻5分前に着いたが、すでに外国人が2組7名ほど並んでいた。日本人はこちら含め2組でカウンターは満席。
店内はカウンターがメインでいかにも鮨屋という雰囲気で良い。
ただ、銀座のランチで1万円と考えると個人的にはコストパフォーマンスは悪い気がした。
海外の方はお酒も進み満足そうだった。
ウニは比較的ボリュームが多かった。
パチパチした触感のデザートが印象的。",一㐂(いちき),"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル 4F","
03-6264-5390",Unknown,"3.9
(182)",ウェブサイトを追加してください,寿司店,35.6735824,139.7033535
金城優作,5,2 か月前,"銀座で上位ランキングに入る人気店！友達とサウナ後に夜ご飯でお邪魔しました！
中トロから始まりどのネタもとてもおいしかったです！店内は高級ある鮨の内装で大将のおもてなしもよく良いお店でした。お酒飲まなかったので料理提供スピードも早く満足な夜ご飯ができました。美味しすぎておかわりしたので通常単価は1人15000円くらいだと思います。ご馳走様でした。",一㐂(いちき),"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル 4F","
03-6264-5390",Unknown,"3.9
(182)",ウェブサイトを追加してください,寿司店,35.6735824,139.7033535
金城優作,5,2 か月前,"銀座で上位ランキングに入る人気店！友達とサウナ後に夜ご飯でお邪魔しました！
中トロから始まりどのネタもとてもおいしかったです！店内は高級ある鮨の内装で大将のおもてなしもよく良いお店でした。お酒飲まなかったので料理提供スピードも早く満足な夜ご飯ができました。美味しすぎておかわりしたので通常単価は1人15000円くらいだと思います。ご馳走様でした。",一㐂(いちき),"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル 4F","
03-6264-5390",Unknown,"3.9
(182)",ウェブサイトを追加してください,寿司店,35.6735824,139.7033535
yoka,5,1 か月前,"銀座の隠れ家寿司「一㐂」！洗練された和モダン空間で、職人技が光る江戸前寿司を堪能。新鮮なネタを使ったおまかせコースは、昼11,000円、夜18,000円（税込）。特別な日に最適な日本酒ペアリングも用意。カウンター席では職人の技を間近で楽しめ、個室は接待にも最適。予約必須。銀座で極上の寿司を味わうならここ！",一㐂(いちき),"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル 4F","
03-6264-5390",Unknown,"3.9
(182)",ウェブサイトを追加してください,寿司店,35.6735824,139.7033535
yoka,5,1 か月前,"銀座の隠れ家寿司「一㐂」！洗練された和モダン空間で、職人技が光る江戸前寿司を堪能。新鮮なネタを使ったおまかせコースは、昼11,000円、夜18,000円（税込）。特別な日に最適な日本酒ペアリングも用意。カウンター席では職人の技を間近で楽しめ、個室は接待にも最適。予約必須。銀座で極上の寿司を味わうならここ！",一㐂(いちき),"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル 4F","
03-6264-5390",Unknown,"3.9
(182)",ウェブサイトを追加してください,寿司店,35.6735824,139.7033535
kazukazu Matsushima,2,3 か月前,"【夜のおまかせコース　一㐂＠肉食系グルメアーティストkazukazu】

東京都中央区銀座の『一㐂』で「夜のおまかせコース」を食す。

最寄り駅は東京メトロ日比谷線・銀座線・丸ノ内線「銀座駅」。
駅から徒歩3分ほどの場所に構える。
2021年4月オープンの外人客目当てに特化したインバウンド狙いのお寿司屋さん。

注文したのは、「夜のおまかせコース(￥18,000(税込)+サ10%)」。

■夜のおまかせコース
【握り】
・中トロ
・アカイカ(千葉)
・コハダ(熊本)

【お椀】
・真鯛のお椀

【握り】
・生だこ(北海道)
・太刀魚(千葉)
・金目鯛昆布締め(千葉・銚子)
・漬け鮪
・かんぱち(八丈島)

【一品モノ】
・毛蟹
・鰆の幽庵焼き
・平貝の磯辺焼き

【握り】
・いくら

【一品モノ】
・稚鮎の天ぷら

【巻き物】
・一㐂巻き

【握り】
・生雲丹(北海道)
・トロの炙り
・車海老
・煮蛤

【玉】
・玉子

【巻き物】
・干瓢巻き

【お椀】
・赤出汁

【甘味】
・苺のゼリー

■総じて
店内はカウンターと個室で構成されており、総席数21席ほど。
店員さんは淡々とこなすスタイルで特にこだわったプレゼンテーションは見受けられず。
自分たち以外は見事なまでの外人客のみ。
それもそのはず特にネタやシャリにこだわっている様子は見受けられずどの握りも平凡。
まさに“銀座で寿司を食べたい”という海外の方向けの戦略通りのお寿司屋さん。
それだけに、とりあえず銀座でお寿司が食べられれば良いという人向けのお店だぁね。",一㐂(いちき),"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル 4F","
03-6264-5390",Unknown,"3.9
(182)",ウェブサイトを追加してください,寿司店,35.6735824,139.7033535
kazukazu Matsushima,2,3 か月前,"【夜のおまかせコース　一㐂＠肉食系グルメアーティストkazukazu】

東京都中央区銀座の『一㐂』で「夜のおまかせコース」を食す。

最寄り駅は東京メトロ日比谷線・銀座線・丸ノ内線「銀座駅」。
駅から徒歩3分ほどの場所に構える。
2021年4月オープンの外人客目当てに特化したインバウンド狙いのお寿司屋さん。

注文したのは、「夜のおまかせコース(￥18,000(税込)+サ10%)」。

■夜のおまかせコース
【握り】
・中トロ
・アカイカ(千葉)
・コハダ(熊本)

【お椀】
・真鯛のお椀

【握り】
・生だこ(北海道)
・太刀魚(千葉)
・金目鯛昆布締め(千葉・銚子)
・漬け鮪
・かんぱち(八丈島)

【一品モノ】
・毛蟹
・鰆の幽庵焼き
・平貝の磯辺焼き

【握り】
・いくら

【一品モノ】
・稚鮎の天ぷら

【巻き物】
・一㐂巻き

【握り】
・生雲丹(北海道)
・トロの炙り
・車海老
・煮蛤

【玉】
・玉子

【巻き物】
・干瓢巻き

【お椀】
・赤出汁

【甘味】
・苺のゼリー

■総じて
店内はカウンターと個室で構成されており、総席数21席ほど。
店員さんは淡々とこなすスタイルで特にこだわったプレゼンテーションは見受けられず。
自分たち以外は見事なまでの外人客のみ。
それもそのはず特にネタやシャリにこだわっている様子は見受けられずどの握りも平凡。
まさに“銀座で寿司を食べたい”という海外の方向けの戦略通りのお寿司屋さん。
それだけに、とりあえず銀座でお寿司が食べられれば良いという人向けのお店だぁね。",一㐂(いちき),"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル 4F","
03-6264-5390",Unknown,"3.9
(182)",ウェブサイトを追加してください,寿司店,35.6735824,139.7033535
Junko,5,1 か月前,"飲み友さんにお誘いいただき、銀座駅から徒歩数分の「一㐂」へ✨

まずは生ビールで乾杯！🍻

最初に出てきたのは、八丈島産の本マグロ・中トロ！

口に入れた瞬間、とろける食感と濃厚な甘みが広がり、贅沢すぎるスタート💓

ヤリイカは柚子の香りと塩のバランスが絶妙。塩がイカの甘さを引き立てます♬

カンパチは肉厚で弾力があり、噛むほどに旨みが溢れる食べ応え抜群の一貫。

ここで小休憩的に出てきた真鯛と菊のお椀が秀逸！

出汁が効いていて、真鯛の上品な旨みが際立つ一杯でした✨

お刺身は、長崎のハタ・千葉県の太刀魚。

藻塩・わさび・醤油でいただくと、脂の乗った魚の旨みがより引き立ちます☺

金目鯛の昆布締めは口に入れると昆布の優しい風味が広がり、奥深い味わい。

マグロの漬けは和辛子が少し添えられ、ワサビとは違った辛さがアクセントに！

ピリッとした刺激が漬けの旨みを引き立てる、新しい発見✨

サワラの酒盗焼きは身がふわふわで、お酒がどんどん進む一品。

タイラ貝の磯部焼きは噛めば噛むほど貝の旨みが広がり、思わず無言に(笑)

大将がイクラがたっぷり詰まった箱を開けると、あちこちから感嘆の声が✨

宝石のように輝くイクラは、見た目も味も格別！

そして、巻き物（一㐂巻き）が出たのでそろそろ終盤かな？と思ったら…

まだまだ続く、美味の世界！

天ぷらは稚鮎とシシトウ。稚鮎のほろ苦さと雪塩の相性が抜群。

春の訪れを感じる一皿でした🌸

「そろそろ雲丹出るかな…？」と思っていたら、まさにこのタイミングで登場！

大将、エスパーなんじゃ…！？と思うほどの絶妙なタイミングで嬉しくなりました💓

大トロの炙りは炙ることで脂が軽くなり、とろける食感がより引き立ちます。

車海老にはなんと海老味噌が添えられ、旨みが倍増…！

海老の甘みと濃厚な味噌の組み合わせが、もう最高すぎる✨

最後にいただいたのは、海老の出汁で取った赤出汁のお椀。

海老の甘さと香りが余韻となり、贅沢な締めくくりに…。

デザートは大好きな苺🍓！

よく混ぜて食べてくださいと言われ、口に入れると…

「パチパチッ！」

まるで小さい頃に食べたお菓子みたいで楽しい～✨

こんなサプライズがあるなんて、大将の遊び心に感激💓

最初から最後まで最高のお鮨とおつまみを堪能し、大満足の夜✨

銀座でこんな素晴らしい体験ができるなんて、また絶対訪れたい！

ごちそうさまでした！

・本マグロの中トロ（八丈島）
・ヤリイカ
・カンパチ
・お椀（真鯛と菊）
・刺身
長崎のハタ、千葉県の太刀魚
・金目鯛の昆布締め
・マグロの漬け
・イサキ
・毛蟹の蟹あんかけ
京菊名、春菊
・サワラの酒盗焼き
・タイラ貝の磯部焼き
・イクラ
・巻き物
一㐂巻き
・天ぷら
稚鮎とシシトウ
・馬糞雲丹（北海道）
・大トロの炙り
・車海老
・ベッタラ漬け
・干瓢巻き
・玉子
・椀
海老の出汁で取った赤出汁
・デザート

#一㐂
#お鮨
#銀座",一㐂(いちき),"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル 4F","
03-6264-5390",Unknown,"3.9
(182)",ウェブサイトを追加してください,寿司店,35.6735824,139.7033535
Junko,5,1 か月前,"飲み友さんにお誘いいただき、銀座駅から徒歩数分の「一㐂」へ✨

まずは生ビールで乾杯！🍻

最初に出てきたのは、八丈島産の本マグロ・中トロ！

口に入れた瞬間、とろける食感と濃厚な甘みが広がり、贅沢すぎるスタート💓

ヤリイカは柚子の香りと塩のバランスが絶妙。塩がイカの甘さを引き立てます♬

カンパチは肉厚で弾力があり、噛むほどに旨みが溢れる食べ応え抜群の一貫。

ここで小休憩的に出てきた真鯛と菊のお椀が秀逸！

出汁が効いていて、真鯛の上品な旨みが際立つ一杯でした✨

お刺身は、長崎のハタ・千葉県の太刀魚。

藻塩・わさび・醤油でいただくと、脂の乗った魚の旨みがより引き立ちます☺

金目鯛の昆布締めは口に入れると昆布の優しい風味が広がり、奥深い味わい。

マグロの漬けは和辛子が少し添えられ、ワサビとは違った辛さがアクセントに！

ピリッとした刺激が漬けの旨みを引き立てる、新しい発見✨

サワラの酒盗焼きは身がふわふわで、お酒がどんどん進む一品。

タイラ貝の磯部焼きは噛めば噛むほど貝の旨みが広がり、思わず無言に(笑)

大将がイクラがたっぷり詰まった箱を開けると、あちこちから感嘆の声が✨

宝石のように輝くイクラは、見た目も味も格別！

そして、巻き物（一㐂巻き）が出たのでそろそろ終盤かな？と思ったら…

まだまだ続く、美味の世界！

天ぷらは稚鮎とシシトウ。稚鮎のほろ苦さと雪塩の相性が抜群。

春の訪れを感じる一皿でした🌸

「そろそろ雲丹出るかな…？」と思っていたら、まさにこのタイミングで登場！

大将、エスパーなんじゃ…！？と思うほどの絶妙なタイミングで嬉しくなりました💓

大トロの炙りは炙ることで脂が軽くなり、とろける食感がより引き立ちます。

車海老にはなんと海老味噌が添えられ、旨みが倍増…！

海老の甘みと濃厚な味噌の組み合わせが、もう最高すぎる✨

最後にいただいたのは、海老の出汁で取った赤出汁のお椀。

海老の甘さと香りが余韻となり、贅沢な締めくくりに…。

デザートは大好きな苺🍓！

よく混ぜて食べてくださいと言われ、口に入れると…

「パチパチッ！」

まるで小さい頃に食べたお菓子みたいで楽しい～✨

こんなサプライズがあるなんて、大将の遊び心に感激💓

最初から最後まで最高のお鮨とおつまみを堪能し、大満足の夜✨

銀座でこんな素晴らしい体験ができるなんて、また絶対訪れたい！

ごちそうさまでした！

・本マグロの中トロ（八丈島）
・ヤリイカ
・カンパチ
・お椀（真鯛と菊）
・刺身
長崎のハタ、千葉県の太刀魚
・金目鯛の昆布締め
・マグロの漬け
・イサキ
・毛蟹の蟹あんかけ
京菊名、春菊
・サワラの酒盗焼き
・タイラ貝の磯部焼き
・イクラ
・巻き物
一㐂巻き
・天ぷら
稚鮎とシシトウ
・馬糞雲丹（北海道）
・大トロの炙り
・車海老
・ベッタラ漬け
・干瓢巻き
・玉子
・椀
海老の出汁で取った赤出汁
・デザート

#一㐂
#お鮨
#銀座",一㐂(いちき),"
〒104-0061 東京都中央区銀座５丁目４−１５ 西五ビル 4F","
03-6264-5390",Unknown,"3.9
(182)",ウェブサイトを追加してください,寿司店,35.6735824,139.7033535
