Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
masahiro takenaga,5,6 か月前,"御岳神社の階段の下り途中、山中に入る脇道へ。舗装も無くなり本格的な山の中へ。

初心者向けということで御岳山を選んだつもりなのだが、本当に初心者向けか？と思えるくらいの急斜面。
足元にかなり注意しないとコケる、挫くは当たり前のような環境。枕木で作られた階段のようなものもあるが、段差や幅がまちまちで、足への負荷がすごい。

登りより降りの方が筋力使うような気がする。降ってるのに疲れてる(笑)これは良い運動になりますね。水の流れる音は聞こえるものの、沢が見えない、ケーブルカーにあんなに人いたのに人とすれ違うこともなし。午前中で明るいものの、山の中の一人って怖いし不安になりますね。

なんとか降りきってようやく最初の目的地、七代の滝へ到着。この付近で滑落死亡事故もあった模様。岩も湿って少し滑るしね。足元は本当に注意。

でもこの木々に囲まれ、滝から落ちる水流を眺めてると癒される。マイナスイオンも感じる。一生懸命降ってきて良かったなと思える瞬間。登山の楽しさが少し分かった気がする。",七代の滝,"
〒198-0175 東京都青梅市御岳山２１２",Unknown,Unknown,"4.1
(352)",お店やスポットの電話番号を追加する,観光名所,35.6282606,135.7417033
masahiro takenaga,5,6 か月前,"御岳神社の階段の下り途中、山中に入る脇道へ。舗装も無くなり本格的な山の中へ。

初心者向けということで御岳山を選んだつもりなのだが、本当に初心者向けか？と思えるくらいの急斜面。
足元にかなり注意しないとコケる、挫くは当たり前のような環境。枕木で作られた階段のようなものもあるが、段差や幅がまちまちで、足への負荷がすごい。

登りより降りの方が筋力使うような気がする。降ってるのに疲れてる(笑)これは良い運動になりますね。水の流れる音は聞こえるものの、沢が見えない、ケーブルカーにあんなに人いたのに人とすれ違うこともなし。午前中で明るいものの、山の中の一人って怖いし不安になりますね。

なんとか降りきってようやく最初の目的地、七代の滝へ到着。この付近で滑落死亡事故もあった模様。岩も湿って少し滑るしね。足元は本当に注意。

でもこの木々に囲まれ、滝から落ちる水流を眺めてると癒される。マイナスイオンも感じる。一生懸命降ってきて良かったなと思える瞬間。登山の楽しさが少し分かった気がする。",七代の滝,"
〒198-0175 東京都青梅市御岳山２１２",Unknown,Unknown,"4.1
(352)",お店やスポットの電話番号を追加する,観光名所,35.6282606,135.7417033
Yoko HAMADA,5,10 か月前,"急坂を下った先に滝があります。
水量も多く迫力のある滝です。
七代の滝からロックガーデンへ行くには、鉄製の急な階段を登って、その先は木の根などが張っている登山道を進みます。
今の時期はコアジサイが満開でした。",七代の滝,"
〒198-0175 東京都青梅市御岳山２１２",Unknown,Unknown,"4.1
(352)",お店やスポットの電話番号を追加する,観光名所,35.6282606,135.7417033
Yoko HAMADA,5,10 か月前,"急坂を下った先に滝があります。
水量も多く迫力のある滝です。
七代の滝からロックガーデンへ行くには、鉄製の急な階段を登って、その先は木の根などが張っている登山道を進みます。
今の時期はコアジサイが満開でした。",七代の滝,"
〒198-0175 東京都青梅市御岳山２１２",Unknown,Unknown,"4.1
(352)",お店やスポットの電話番号を追加する,観光名所,35.6282606,135.7417033
KSK “Sugar Soul”,5,8 か月前,"滝を見にふらっと！
滝まで下る階段が結構きついです。
でも天狗岩からの滝を見に行くのはおすすめです！天狗岩で休憩できるので是非！",七代の滝,"
〒198-0175 東京都青梅市御岳山２１２",Unknown,Unknown,"4.1
(352)",お店やスポットの電話番号を追加する,観光名所,35.6282606,135.7417033
KSK “Sugar Soul”,5,8 か月前,"滝を見にふらっと！
滝まで下る階段が結構きついです。
でも天狗岩からの滝を見に行くのはおすすめです！天狗岩で休憩できるので是非！",七代の滝,"
〒198-0175 東京都青梅市御岳山２１２",Unknown,Unknown,"4.1
(352)",お店やスポットの電話番号を追加する,観光名所,35.6282606,135.7417033
Mana6u 0sawa,3,2 年前,"#2023/3/5
長尾平分岐から降りてきました。
いつまで降りるのか？と思わせるほど、ひたすら下り。
足場もいいとは言えません。

水音が聞こえてきたら、足元は岩がメインに変わります。
滑りやすいのでご注意ください。
実際、七代の滝で滑落死亡事故が発生したとの看板があります。

迎えてくれたのは、岩に囲まれた小さな滝。
少し開けた場所があるので、小休憩するのもいいでしょう。

天狗岩へは鉄階段を登っていきます。
こちらも傾斜があるので、手すりを伝って登ってください。",七代の滝,"
〒198-0175 東京都青梅市御岳山２１２",Unknown,Unknown,"4.1
(352)",お店やスポットの電話番号を追加する,観光名所,35.6282606,135.7417033
Mana6u 0sawa,3,2 年前,"#2023/3/5
長尾平分岐から降りてきました。
いつまで降りるのか？と思わせるほど、ひたすら下り。
足場もいいとは言えません。

水音が聞こえてきたら、足元は岩がメインに変わります。
滑りやすいのでご注意ください。
実際、七代の滝で滑落死亡事故が発生したとの看板があります。

迎えてくれたのは、岩に囲まれた小さな滝。
少し開けた場所があるので、小休憩するのもいいでしょう。

天狗岩へは鉄階段を登っていきます。
こちらも傾斜があるので、手すりを伝って登ってください。",七代の滝,"
〒198-0175 東京都青梅市御岳山２１２",Unknown,Unknown,"4.1
(352)",お店やスポットの電話番号を追加する,観光名所,35.6282606,135.7417033
Happy Dragon,4,1 年前,"御嶽神社から綾広の滝→ロックガーデン→天狗岩→七代の滝の順に周りました。
このルートの往復ですと七代の滝手前の急階段の登り降りを頑張れば比較的それ以外の難所は無いです。ただ距離は長くなるのでそこだけは頑張りどころです！

滝はそれ程大きくはありませんが、近くまで行けるので間近に行けば空気も冷んやりして、ここまでの急坂の事も少し忘れられるかもしれません。

とりあえずどのルートにしても急坂または急階段はあるので、それなりの準備は必要だと思います。",七代の滝,"
〒198-0175 東京都青梅市御岳山２１２",Unknown,Unknown,"4.1
(352)",お店やスポットの電話番号を追加する,観光名所,35.6282606,135.7417033
Happy Dragon,4,1 年前,"御嶽神社から綾広の滝→ロックガーデン→天狗岩→七代の滝の順に周りました。
このルートの往復ですと七代の滝手前の急階段の登り降りを頑張れば比較的それ以外の難所は無いです。ただ距離は長くなるのでそこだけは頑張りどころです！

滝はそれ程大きくはありませんが、近くまで行けるので間近に行けば空気も冷んやりして、ここまでの急坂の事も少し忘れられるかもしれません。

とりあえずどのルートにしても急坂または急階段はあるので、それなりの準備は必要だと思います。",七代の滝,"
〒198-0175 東京都青梅市御岳山２１２",Unknown,Unknown,"4.1
(352)",お店やスポットの電話番号を追加する,観光名所,35.6282606,135.7417033
