Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Gakuto 1112,5,1 か月前,"かつて大阪万博が開かれた場所にある自然公園です。太陽の塔を拝める折角の機会ということで訪れました。

公園のメインゲートをくぐれば直ぐにかの有名な太陽の塔が目の前で拝めます。これだけで入園料270円分の価値があったと感じています。

公園のメインゲート付近の、太陽の塔の周囲のエリアは広い芝生エリアや遊具（無料・有料どちらもあり）のエリアがあり、遠足として子供と遊ぶにはかなり向いていると思います。イベントを催す広場もあり、イベントが開催されることもあるようです。

メインゲートから離れたエリアは日本庭園が再現されているエリアがあり、このエリアを通って公園をぐるっと一周することができます。訪れた時期が悪く、まだ花々が開花していなかったのですが、次期さえ合えば追加料金なしで季節の花々を楽しめます。そうでなくても、都会の喧騒から離れてウォーキングを楽しむには最適なルートだと思います。

総評として、大阪の繁華街エリアから少し遠く、アクセスは決して良いとは言えないのですが、都会の喧騒から離れ、ゆったりと自然アクティビティを楽しめる素晴らしい公園だと思いました。花々がより楽しめる季節にもう一度訪れてみたいです。",万博記念公園,"
〒565-0826 大阪府吹田市千里万博公園","
06-6877-7387",http://www.expo70-park.jp/,"4.3
(19,643)",Unknown,〒565-0826 大阪府吹田市千里万博公園,34.8060284,133.0898333
Gakuto 1112,5,1 か月前,"かつて大阪万博が開かれた場所にある自然公園です。太陽の塔を拝める折角の機会ということで訪れました。

公園のメインゲートをくぐれば直ぐにかの有名な太陽の塔が目の前で拝めます。これだけで入園料270円分の価値があったと感じています。

公園のメインゲート付近の、太陽の塔の周囲のエリアは広い芝生エリアや遊具（無料・有料どちらもあり）のエリアがあり、遠足として子供と遊ぶにはかなり向いていると思います。イベントを催す広場もあり、イベントが開催されることもあるようです。

メインゲートから離れたエリアは日本庭園が再現されているエリアがあり、このエリアを通って公園をぐるっと一周することができます。訪れた時期が悪く、まだ花々が開花していなかったのですが、次期さえ合えば追加料金なしで季節の花々を楽しめます。そうでなくても、都会の喧騒から離れてウォーキングを楽しむには最適なルートだと思います。

総評として、大阪の繁華街エリアから少し遠く、アクセスは決して良いとは言えないのですが、都会の喧騒から離れ、ゆったりと自然アクティビティを楽しめる素晴らしい公園だと思いました。花々がより楽しめる季節にもう一度訪れてみたいです。",万博記念公園,"
〒565-0826 大阪府吹田市千里万博公園","
06-6877-7387",http://www.expo70-park.jp/,"4.3
(19,643)",Unknown,〒565-0826 大阪府吹田市千里万博公園,34.8060284,133.0898333
Y MOCHI,4,3 週間前,"早朝に外周道路を ランニングしました。歩道と自転車道が整備されていて 走りやすいです。適度な 起伏 もあります
。歩道からも 太陽の塔は見られます。",万博記念公園,"
〒565-0826 大阪府吹田市千里万博公園","
06-6877-7387",http://www.expo70-park.jp/,"4.3
(19,643)",Unknown,〒565-0826 大阪府吹田市千里万博公園,34.8060284,133.0898333
Y MOCHI,4,3 週間前,"早朝に外周道路を ランニングしました。歩道と自転車道が整備されていて 走りやすいです。適度な 起伏 もあります
。歩道からも 太陽の塔は見られます。",万博記念公園,"
〒565-0826 大阪府吹田市千里万博公園","
06-6877-7387",http://www.expo70-park.jp/,"4.3
(19,643)",Unknown,〒565-0826 大阪府吹田市千里万博公園,34.8060284,133.0898333
清水章次,5,1 か月前,"太陽の塔など、見どころいっぱいの広大な公園。
入園料が安いし、ご飯食べられるところもたくさんあるので、家族連れでも安心。
園内各地にある1970年の万博のモニュメントは、55年経った今見ても未来。
現在、入園料と別途料金がかかるけれど、太陽の塔の中に入ることができる。（土日は予約がおすすめ）",万博記念公園,"
〒565-0826 大阪府吹田市千里万博公園","
06-6877-7387",http://www.expo70-park.jp/,"4.3
(19,643)",Unknown,〒565-0826 大阪府吹田市千里万博公園,34.8060284,133.0898333
清水章次,5,1 か月前,"太陽の塔など、見どころいっぱいの広大な公園。
入園料が安いし、ご飯食べられるところもたくさんあるので、家族連れでも安心。
園内各地にある1970年の万博のモニュメントは、55年経った今見ても未来。
現在、入園料と別途料金がかかるけれど、太陽の塔の中に入ることができる。（土日は予約がおすすめ）",万博記念公園,"
〒565-0826 大阪府吹田市千里万博公園","
06-6877-7387",http://www.expo70-park.jp/,"4.3
(19,643)",Unknown,〒565-0826 大阪府吹田市千里万博公園,34.8060284,133.0898333
忍者ネコ,4,2 週間前,"4月7日 桜の他に ネモフィラ
ポピー、チューリップも
見頃になりました。

桜の数は約 5500本桜の種類によっては 見頃な木もあります。

ライトアップも されていて
時間は 日没～21時まで
4月8日(火)まで予定されて
います。

4月は チューリップ、花桃
ユキヤナギ
5月は ネモフィラ、ポピー
ツツジ、マリーゴールド、藤

6月は アジサイ、ハナショウブ
スイレン

7月は ヒマワリ、ハス
8月は サルスベリ
9月は ヒガンバナ

10月は コスモス、秋バラ
11月は 日本庭園の 紅葉
12月は サザンカが

例年見頃になります。

駐車場料金は
普通車        平日       土休日
2時間まで  410円    620円
3時間まで  620円    930円
4時間まで  830円    1240円
1日最大    1100円    1600円
です。",万博記念公園,"
〒565-0826 大阪府吹田市千里万博公園","
06-6877-7387",http://www.expo70-park.jp/,"4.3
(19,643)",Unknown,〒565-0826 大阪府吹田市千里万博公園,34.8060284,133.0898333
忍者ネコ,4,2 週間前,"4月7日 桜の他に ネモフィラ
ポピー、チューリップも
見頃になりました。

桜の数は約 5500本桜の種類によっては 見頃な木もあります。

ライトアップも されていて
時間は 日没～21時まで
4月8日(火)まで予定されて
います。

4月は チューリップ、花桃
ユキヤナギ
5月は ネモフィラ、ポピー
ツツジ、マリーゴールド、藤

6月は アジサイ、ハナショウブ
スイレン

7月は ヒマワリ、ハス
8月は サルスベリ
9月は ヒガンバナ

10月は コスモス、秋バラ
11月は 日本庭園の 紅葉
12月は サザンカが

例年見頃になります。

駐車場料金は
普通車        平日       土休日
2時間まで  410円    620円
3時間まで  620円    930円
4時間まで  830円    1240円
1日最大    1100円    1600円
です。",万博記念公園,"
〒565-0826 大阪府吹田市千里万博公園","
06-6877-7387",http://www.expo70-park.jp/,"4.3
(19,643)",Unknown,〒565-0826 大阪府吹田市千里万博公園,34.8060284,133.0898333
りく,4,3 日前,"万博公園は、広大な敷地を誇るまさに「公園の王国」です。日本庭園の静寂と、太陽の塔の圧倒的な存在感、そしてそこを繋ぐ緑豊かな遊歩道は、訪れる度に異なる表情を見せてくれます。春には桜並木が華やかに咲き誇り、秋には紅葉が美しく色づき、一年を通して様々な景色が楽しめます。

特に、日本庭園の池の鯉の優雅な泳ぎ姿や、自然文化園の多様な植物、そして広大な芝生広場でのんびり過ごす時間は、都会の喧騒を忘れさせてくれる癒やしのひとときです。  子供を遊ばせるにも、大人だけでゆっくり過ごすにも最適な空間です。太陽の塔を背景に記念写真を取るのも良い思い出になりますね。  飲食店も充実しているので、一日中楽しむことができます。  ただ、広大なため、歩きやすい靴で訪れることをお勧めします。  何度訪れても、新たな発見があり、飽きることのない素晴らしい場所です。  万博公園は、まさに心と体をリフレッシュできる、大阪の宝と言えるでしょう。",万博記念公園,"
〒565-0826 大阪府吹田市千里万博公園","
06-6877-7387",http://www.expo70-park.jp/,"4.3
(19,643)",Unknown,〒565-0826 大阪府吹田市千里万博公園,34.8060284,133.0898333
りく,4,3 日前,"万博公園は、広大な敷地を誇るまさに「公園の王国」です。日本庭園の静寂と、太陽の塔の圧倒的な存在感、そしてそこを繋ぐ緑豊かな遊歩道は、訪れる度に異なる表情を見せてくれます。春には桜並木が華やかに咲き誇り、秋には紅葉が美しく色づき、一年を通して様々な景色が楽しめます。

特に、日本庭園の池の鯉の優雅な泳ぎ姿や、自然文化園の多様な植物、そして広大な芝生広場でのんびり過ごす時間は、都会の喧騒を忘れさせてくれる癒やしのひとときです。  子供を遊ばせるにも、大人だけでゆっくり過ごすにも最適な空間です。太陽の塔を背景に記念写真を取るのも良い思い出になりますね。  飲食店も充実しているので、一日中楽しむことができます。  ただ、広大なため、歩きやすい靴で訪れることをお勧めします。  何度訪れても、新たな発見があり、飽きることのない素晴らしい場所です。  万博公園は、まさに心と体をリフレッシュできる、大阪の宝と言えるでしょう。",万博記念公園,"
〒565-0826 大阪府吹田市千里万博公園","
06-6877-7387",http://www.expo70-park.jp/,"4.3
(19,643)",Unknown,〒565-0826 大阪府吹田市千里万博公園,34.8060284,133.0898333
森野熊夫,5,3 か月前,エキスポシティで映画をみるために訪れました。とても広大な公園で、ブロックごとにテーマがあり、四季おりおりの草花が楽しめます。太陽の塔の威容にも圧倒されます。ちょうど紅葉の時期だったので、紅く色づいた楓が綺麗でした。次は梅の時期に梅園に来ようかな。,万博記念公園,"
〒565-0826 大阪府吹田市千里万博公園","
06-6877-7387",http://www.expo70-park.jp/,"4.3
(19,643)",Unknown,〒565-0826 大阪府吹田市千里万博公園,34.8060284,133.0898333
