Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
3匹のトトロ,5,1 か月前,"口コミを動画追加のため更新しました。
ーーーー

日本にこんな原野が残っているとは
北海道を知らない関東者には驚きでした

写真では表現できない光景に会えます。

シシガミ様がいらっしゃいます。",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
3匹のトトロ,5,1 か月前,"口コミを動画追加のため更新しました。
ーーーー

日本にこんな原野が残っているとは
北海道を知らない関東者には驚きでした

写真では表現できない光景に会えます。

シシガミ様がいらっしゃいます。",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
巽富美男,5,1 年前,1983年8月に自転車で十勝側から越えました。北海道の国道で最も標高の高い峠です。その頃は林道のような未舗装の悪路で、車はほとんど通っていませんでした。自転車部の合宿中で、延々と走り続けて峠に辿り着くと、見渡す限りの原生林が広がっていて感動しました。,三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
巽富美男,5,1 年前,1983年8月に自転車で十勝側から越えました。北海道の国道で最も標高の高い峠です。その頃は林道のような未舗装の悪路で、車はほとんど通っていませんでした。自転車部の合宿中で、延々と走り続けて峠に辿り着くと、見渡す限りの原生林が広がっていて感動しました。,三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
ズゴックR専用,5,10 か月前,"壮大な樹海は広葉樹と針葉樹が混ざっており、自然の川音や鳥の声にも癒やされます。
カフェのコーヒーも美味しく、カレーやスイーツなど軽食もできます。
心癒される場所の１つです。",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
ズゴックR専用,5,10 か月前,"壮大な樹海は広葉樹と針葉樹が混ざっており、自然の川音や鳥の声にも癒やされます。
カフェのコーヒーも美味しく、カレーやスイーツなど軽食もできます。
心癒される場所の１つです。",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
T T,3,1 年前,三国山は北海道の三つの分水点（オホーツク海、日本海、太平洋）が唯一交わる場所であり、特別な場所である。その事が一切触れられず、ただ峠があるのみ。風景も紅葉が散った後だったので、普通でした。,三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
T T,3,1 年前,三国山は北海道の三つの分水点（オホーツク海、日本海、太平洋）が唯一交わる場所であり、特別な場所である。その事が一切触れられず、ただ峠があるのみ。風景も紅葉が散った後だったので、普通でした。,三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
Maxドンキー,3,1 年前,"昨年に続いて訪ねる。
この美国峠は、北海道の国道の中で、１番標高の高い峠なのだ(資料では標高１１３９mとある)👀❕。

この峠は、四季折々美しい表情とともに、雄大な景色を提供してくれる絶景スポットだ👏。

また眼下には大自然をバックに、高さ３０m、長さ３３０mのカーブを描いてる赤い橋🌉は、松見大橋だ👏。

前回は夏場であり緑🌲🌳深い大樹海であり、今回は秋も終盤であり黃葉🍂は終わりの様子であった🆗。

頂上には、カフェがあり(美国峠cafe)自家焙煎のcoffee、🍦ソフトクリーム、食事も頂ける☺️。

展望スペースもタップリとあり、🚻トイレも設置されている。

ただトイレ🚻は、冬季間は閉鎖しているとある😅。",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
Maxドンキー,3,1 年前,"昨年に続いて訪ねる。
この美国峠は、北海道の国道の中で、１番標高の高い峠なのだ(資料では標高１１３９mとある)👀❕。

この峠は、四季折々美しい表情とともに、雄大な景色を提供してくれる絶景スポットだ👏。

また眼下には大自然をバックに、高さ３０m、長さ３３０mのカーブを描いてる赤い橋🌉は、松見大橋だ👏。

前回は夏場であり緑🌲🌳深い大樹海であり、今回は秋も終盤であり黃葉🍂は終わりの様子であった🆗。

頂上には、カフェがあり(美国峠cafe)自家焙煎のcoffee、🍦ソフトクリーム、食事も頂ける☺️。

展望スペースもタップリとあり、🚻トイレも設置されている。

ただトイレ🚻は、冬季間は閉鎖しているとある😅。",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
市川武,5,11 か月前,"北海道へツーリングに行った時に、道内で1番高い峠だと聞いて走って来ました。
徐々に登って行くので余り高い所を走ってる感じはしませんでした。展望台からは山々が綺麗に見えて良かったです。",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
市川武,5,11 か月前,"北海道へツーリングに行った時に、道内で1番高い峠だと聞いて走って来ました。
徐々に登って行くので余り高い所を走ってる感じはしませんでした。展望台からは山々が綺麗に見えて良かったです。",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
龍桜号,5,9 か月前,"上士幌のから旭川へ向かう際にトイレタイム。
カフェもあるが結構混んでる。
下りで念願の北キツネに遭遇❗️
運が良ければ見るチャンス有❗️",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
龍桜号,5,9 か月前,"上士幌のから旭川へ向かう際にトイレタイム。
カフェもあるが結構混んでる。
下りで念願の北キツネに遭遇❗️
運が良ければ見るチャンス有❗️",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
あんちゃん,4,1 年前,"日時：2023/07/07 16:00
料金：¥0
駐車場：あり
トイレ：あり
感想：大雪山を眺められる場所。そして森の中にS字の橋が映える。とても眺めが良い。
臨時駐車からは橋が割と近くに見える。

トイレのある場所にカフェもあり。
美味しそうな匂いがしていた。

ドローン飛ばしたら綺麗そうでしたが、申請書提出が間に合わず断念。
ドローンなしでも十分綺麗な景色でした。

近くに鹿が草を食べていました。
駐車場から聞こえてきた車を閉める音にびっくりして山奥へ行きました。",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
あんちゃん,4,1 年前,"日時：2023/07/07 16:00
料金：¥0
駐車場：あり
トイレ：あり
感想：大雪山を眺められる場所。そして森の中にS字の橋が映える。とても眺めが良い。
臨時駐車からは橋が割と近くに見える。

トイレのある場所にカフェもあり。
美味しそうな匂いがしていた。

ドローン飛ばしたら綺麗そうでしたが、申請書提出が間に合わず断念。
ドローンなしでも十分綺麗な景色でした。

近くに鹿が草を食べていました。
駐車場から聞こえてきた車を閉める音にびっくりして山奥へ行きました。",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
Toma Yoshino,5,1 年前,"季節によって異なった表情を見せてくれます。
紅葉の時期はお客さんが多いイメージです！",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
Toma Yoshino,5,1 年前,"季節によって異なった表情を見せてくれます。
紅葉の時期はお客さんが多いイメージです！",三国峠,"
〒078-1701 北海道上川郡上川町層雲峡",Unknown,Unknown,"4.6
(99)",Unknown,〒078-1701 北海道上川郡上川町層雲峡,43.5871695,143.1291131
