Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
Razgriz,4,3 か月前,三架橋は、3つのアーチが美しく「日本百名橋」に選ばれている市内で最も美しい橋です。長さ93m、幅員6mの鉄骨コンクリート下路式タイドアーチ橋で、観音寺市内から有明浜や名勝琴弾公園に行く途中にあります。,三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
Razgriz,4,3 か月前,三架橋は、3つのアーチが美しく「日本百名橋」に選ばれている市内で最も美しい橋です。長さ93m、幅員6mの鉄骨コンクリート下路式タイドアーチ橋で、観音寺市内から有明浜や名勝琴弾公園に行く途中にあります。,三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
乃木コチョー,5,7 か月前,"某伝説のアニメの聖地。
夜は光る。
実に神々しい。

知らん人から見たら普通の橋。
しかし分かる人から見たらロマン溢れる神聖な橋。

あなたはどっちだ。",三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
乃木コチョー,5,7 か月前,"某伝説のアニメの聖地。
夜は光る。
実に神々しい。

知らん人から見たら普通の橋。
しかし分かる人から見たらロマン溢れる神聖な橋。

あなたはどっちだ。",三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
1971あでぃだすお,4,5 年前,"観音寺市の寛永通宝と並ぶシンボルです。現在のは確か三代目です。
地元の中学生男子は腕試しで橋の欄干を登り歩き渡るらしいと聞いていますが真似しないでください。",三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
1971あでぃだすお,4,5 年前,"観音寺市の寛永通宝と並ぶシンボルです。現在のは確か三代目です。
地元の中学生男子は腕試しで橋の欄干を登り歩き渡るらしいと聞いていますが真似しないでください。",三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
トライ,5,2 年前,"ああ　真実ほど人を魅了するものはないけど
ああ　真実ほど人に残酷なものもないのだろう",三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
トライ,5,2 年前,"ああ　真実ほど人を魅了するものはないけど
ああ　真実ほど人に残酷なものもないのだろう",三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
toru travel,3,3 年前,アニメでモデルになったらしく有名であった。夜は遠くから見ると端が浮かび上がり綺麗だった。,三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
toru travel,3,3 年前,アニメでモデルになったらしく有名であった。夜は遠くから見ると端が浮かび上がり綺麗だった。,三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
てれうさ,4,6 年前,ゆゆゆ舞台でもある橋。歩行者通路があるので、徒歩や自転車も渡れます。,三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
てれうさ,4,6 年前,ゆゆゆ舞台でもある橋。歩行者通路があるので、徒歩や自転車も渡れます。,三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
師走,5,2 年前,僕の好きな「結城友奈は勇者である」の聖地となっている場所です。いつか夜や夕方の三架橋の写真も撮ってみたいです。,三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
師走,5,2 年前,僕の好きな「結城友奈は勇者である」の聖地となっている場所です。いつか夜や夕方の三架橋の写真も撮ってみたいです。,三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
サダオ魔王,5,6 年前,"とあるアニメの聖地の一つ！
夜景も最高‼‼👍 …",三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
サダオ魔王,5,6 年前,"とあるアニメの聖地の一つ！
夜景も最高‼‼👍 …",三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
岡本優（通名:天坂愛莉）,5,2 年前,"結城友奈は勇者である聖地巡礼
友奈達の通学路。
同じ場所に立つと言うのは良いものです。

夕陽も綺麗でした、和みます。",三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
岡本優（通名:天坂愛莉）,5,2 年前,"結城友奈は勇者である聖地巡礼
友奈達の通学路。
同じ場所に立つと言うのは良いものです。

夕陽も綺麗でした、和みます。",三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
T Y,4,8 年前,"""結城友奈は勇者である""の聖地である三架橋。
銭型砂絵を見に行く、もしくは見に行った帰りに時間があれば寄ってみるといいかもしれない。",三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
T Y,4,8 年前,"""結城友奈は勇者である""の聖地である三架橋。
銭型砂絵を見に行く、もしくは見に行った帰りに時間があれば寄ってみるといいかもしれない。",三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
大西忍,5,6 年前,景観が良い(*´･ω･｀)bね！冬場の夕焼け🌇は絵になる。🌅日ノ出は川の河口から絵になる。川沿いの木造の家が情緒ある。 …,三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
大西忍,5,6 年前,景観が良い(*´･ω･｀)bね！冬場の夕焼け🌇は絵になる。🌅日ノ出は川の河口から絵になる。川沿いの木造の家が情緒ある。 …,三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
カルロスごん,4,3 年前,"物心ついた頃から掛かっている橋
観音寺と言えば三架橋
夜はライトアップされてキレイ",三架橋,"
〒768-0061 香川県観音寺市５",Unknown,Unknown,"4.2
(86)",お店やスポットの電話番号を追加する,〒768-0061 香川県観音寺市５,34.1315708,133.6503701
