Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
りく,5,3 日前,"中之島公園は、都会の喧騒を忘れさせてくれる、緑豊かなオアシスです。淀川と堂島川に挟まれた立地は抜群で、川風が心地よく、特に夕暮れ時は、対岸のビル群に夕日が反射する美しい景色が楽しめます。広々とした芝生広場では、お弁当を広げてのんびり過ごす人や、ボール遊びをする子供たちの姿が見られ、活気と穏やかさが同居する空間です。

園内にはバラ園や日本庭園など、様々な景観があり、四季折々の花々を楽しむことができます。バラの季節は特に美しく、色とりどりのバラが咲き誇る様子は圧巻です。また、歴史的な建造物も点在しており、散策しながら歴史を感じることができます。ベンチも多く設置されているので、読書をしたり、ただぼーっと景色を眺めるのもおすすめです。

都会の中にあるとは思えないほど自然豊かで、心身ともにリラックスできる、まさに都会の癒やしの空間です。アクセスも良く、大阪を訪れた際はぜひ訪れてほしい場所です。  休日にはイベントも開催されていることがあるので、事前にチェックしてみるのも良いでしょう。  都会の喧騒を忘れ、ゆったりとした時間を過ごしたい方、自然と触れ合いたい方におすすめです。",中之島公園,"
〒530-0005 大阪府大阪市北区中之島１丁目１","
06-6312-8121",https://www.osakapark.osgf.or.jp/nakanoshima/,"4.2
(5,868)",Unknown,〒530-0005 大阪府大阪市北区中之島１丁目１,34.6924709,133.0683582
りく,5,3 日前,"中之島公園は、都会の喧騒を忘れさせてくれる、緑豊かなオアシスです。淀川と堂島川に挟まれた立地は抜群で、川風が心地よく、特に夕暮れ時は、対岸のビル群に夕日が反射する美しい景色が楽しめます。広々とした芝生広場では、お弁当を広げてのんびり過ごす人や、ボール遊びをする子供たちの姿が見られ、活気と穏やかさが同居する空間です。

園内にはバラ園や日本庭園など、様々な景観があり、四季折々の花々を楽しむことができます。バラの季節は特に美しく、色とりどりのバラが咲き誇る様子は圧巻です。また、歴史的な建造物も点在しており、散策しながら歴史を感じることができます。ベンチも多く設置されているので、読書をしたり、ただぼーっと景色を眺めるのもおすすめです。

都会の中にあるとは思えないほど自然豊かで、心身ともにリラックスできる、まさに都会の癒やしの空間です。アクセスも良く、大阪を訪れた際はぜひ訪れてほしい場所です。  休日にはイベントも開催されていることがあるので、事前にチェックしてみるのも良いでしょう。  都会の喧騒を忘れ、ゆったりとした時間を過ごしたい方、自然と触れ合いたい方におすすめです。",中之島公園,"
〒530-0005 大阪府大阪市北区中之島１丁目１","
06-6312-8121",https://www.osakapark.osgf.or.jp/nakanoshima/,"4.2
(5,868)",Unknown,〒530-0005 大阪府大阪市北区中之島１丁目１,34.6924709,133.0683582
miho nakamizo,5,2 か月前,"２月末の祝日、昼間に訪問。雪がらちらつき、大阪マラソンのある日でしたので、公園は、人はまばら。

バラ園から入り、1番先まで、一本道です。都市型公園で、川にはさまれて、中洲のような場所です。縦に長いですが、幅はさほど広くありません。でも、都会のオアシスとしては、充分だと思います。トイレあり。

橋の下の濡れない場所で、ダンスなどの練習をするグループが２組。

あいにく、バラはまだ咲いていませんでしたが、時期には綺麗でしょう。手入れもよくされていました。バラの年代？が、足元のタイルに書いてありました。

川沿いの散策路も並走していて、所々にベンチもあります。対岸の建物がよく見えます。散策や一息つくのに、ピッタリです。

レストランもあるようでしたが、休業？閉店？ダンボールで窓が覆ってありました。",中之島公園,"
〒530-0005 大阪府大阪市北区中之島１丁目１","
06-6312-8121",https://www.osakapark.osgf.or.jp/nakanoshima/,"4.2
(5,868)",Unknown,〒530-0005 大阪府大阪市北区中之島１丁目１,34.6924709,133.0683582
miho nakamizo,5,2 か月前,"２月末の祝日、昼間に訪問。雪がらちらつき、大阪マラソンのある日でしたので、公園は、人はまばら。

バラ園から入り、1番先まで、一本道です。都市型公園で、川にはさまれて、中洲のような場所です。縦に長いですが、幅はさほど広くありません。でも、都会のオアシスとしては、充分だと思います。トイレあり。

橋の下の濡れない場所で、ダンスなどの練習をするグループが２組。

あいにく、バラはまだ咲いていませんでしたが、時期には綺麗でしょう。手入れもよくされていました。バラの年代？が、足元のタイルに書いてありました。

川沿いの散策路も並走していて、所々にベンチもあります。対岸の建物がよく見えます。散策や一息つくのに、ピッタリです。

レストランもあるようでしたが、休業？閉店？ダンボールで窓が覆ってありました。",中之島公園,"
〒530-0005 大阪府大阪市北区中之島１丁目１","
06-6312-8121",https://www.osakapark.osgf.or.jp/nakanoshima/,"4.2
(5,868)",Unknown,〒530-0005 大阪府大阪市北区中之島１丁目１,34.6924709,133.0683582
mocmocey,4,3 週間前,中之島公園。川とビルが建ち並ぶ中に薔薇や季節の花が見れる公園がある。薔薇の前でウェディングの写真撮影をしていた。ダンスの練習や芝生で昼寝や読書。散歩しながら都会の公園を楽しむ。,中之島公園,"
〒530-0005 大阪府大阪市北区中之島１丁目１","
06-6312-8121",https://www.osakapark.osgf.or.jp/nakanoshima/,"4.2
(5,868)",Unknown,〒530-0005 大阪府大阪市北区中之島１丁目１,34.6924709,133.0683582
mocmocey,4,3 週間前,中之島公園。川とビルが建ち並ぶ中に薔薇や季節の花が見れる公園がある。薔薇の前でウェディングの写真撮影をしていた。ダンスの練習や芝生で昼寝や読書。散歩しながら都会の公園を楽しむ。,中之島公園,"
〒530-0005 大阪府大阪市北区中之島１丁目１","
06-6312-8121",https://www.osakapark.osgf.or.jp/nakanoshima/,"4.2
(5,868)",Unknown,〒530-0005 大阪府大阪市北区中之島１丁目１,34.6924709,133.0683582
pu,4,3 か月前,"堂島川と土佐堀川にはさまれた中洲を中心に広がる、大阪市で初めてできた都市公園だそう。
バラ園があり、5月と10月のバラの季節はとっても綺麗です。
京阪・大阪メトロ淀屋橋駅や北浜駅からすぐ。
中央公会堂や中之島図書館などの重厚なレトロビルが立ち並び、素敵な景観です。
イルミネーションのイベントで、雪だるまが見たくて見に行きましたー
飲食店も多数出ていて、凄い人出でした。
みおつくしプロムナードの光のトンネルも綺麗でした〜
公会堂のプロジェクションマッピングが思てた倍綺麗でした!",中之島公園,"
〒530-0005 大阪府大阪市北区中之島１丁目１","
06-6312-8121",https://www.osakapark.osgf.or.jp/nakanoshima/,"4.2
(5,868)",Unknown,〒530-0005 大阪府大阪市北区中之島１丁目１,34.6924709,133.0683582
pu,4,3 か月前,"堂島川と土佐堀川にはさまれた中洲を中心に広がる、大阪市で初めてできた都市公園だそう。
バラ園があり、5月と10月のバラの季節はとっても綺麗です。
京阪・大阪メトロ淀屋橋駅や北浜駅からすぐ。
中央公会堂や中之島図書館などの重厚なレトロビルが立ち並び、素敵な景観です。
イルミネーションのイベントで、雪だるまが見たくて見に行きましたー
飲食店も多数出ていて、凄い人出でした。
みおつくしプロムナードの光のトンネルも綺麗でした〜
公会堂のプロジェクションマッピングが思てた倍綺麗でした!",中之島公園,"
〒530-0005 大阪府大阪市北区中之島１丁目１","
06-6312-8121",https://www.osakapark.osgf.or.jp/nakanoshima/,"4.2
(5,868)",Unknown,〒530-0005 大阪府大阪市北区中之島１丁目１,34.6924709,133.0683582
miyamoto katsuya,5,4 か月前,"中之島の両岸には高層ビルが建っているが、中之島公園とバラ園にはビルが無い。そのため、中之島から河の方向を向いて空を見ると、視界の両側にはビルが建ち並び、その中央にはポッカリと空間が空いているように空が見える。地表に目をやるとバラ園と芝の景色が美しい。都会の中にいながら、ここだけ都会と隔絶されているかのような気分になるはずである。

休日の公園内には子連れが多く、活気に溢れている。中之島が富裕層から人気であることがとても良く分かった。

また、公園内には飲食店もあり、ビアガーデンもできるので一度来店してみて欲しい。",中之島公園,"
〒530-0005 大阪府大阪市北区中之島１丁目１","
06-6312-8121",https://www.osakapark.osgf.or.jp/nakanoshima/,"4.2
(5,868)",Unknown,〒530-0005 大阪府大阪市北区中之島１丁目１,34.6924709,133.0683582
miyamoto katsuya,5,4 か月前,"中之島の両岸には高層ビルが建っているが、中之島公園とバラ園にはビルが無い。そのため、中之島から河の方向を向いて空を見ると、視界の両側にはビルが建ち並び、その中央にはポッカリと空間が空いているように空が見える。地表に目をやるとバラ園と芝の景色が美しい。都会の中にいながら、ここだけ都会と隔絶されているかのような気分になるはずである。

休日の公園内には子連れが多く、活気に溢れている。中之島が富裕層から人気であることがとても良く分かった。

また、公園内には飲食店もあり、ビアガーデンもできるので一度来店してみて欲しい。",中之島公園,"
〒530-0005 大阪府大阪市北区中之島１丁目１","
06-6312-8121",https://www.osakapark.osgf.or.jp/nakanoshima/,"4.2
(5,868)",Unknown,〒530-0005 大阪府大阪市北区中之島１丁目１,34.6924709,133.0683582
