Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
まさ・なち,3,4 年前,"詩人、中原中也が生まれたのは1907年4月29日。
山口県吉敷郡下宇野令村（現・山口市 湯田温泉）
生家の跡地に造られた中原中也記念館の前に石碑があります。",中原中也誕生の地,"
〒753-0056 山口県山口市湯田温泉１丁目１１",Unknown,Unknown,"3.9
(11)",お店やスポットの電話番号を追加する,史跡,34.1647648,131.4578972
まさ・なち,3,4 年前,"詩人、中原中也が生まれたのは1907年4月29日。
山口県吉敷郡下宇野令村（現・山口市 湯田温泉）
生家の跡地に造られた中原中也記念館の前に石碑があります。",中原中也誕生の地,"
〒753-0056 山口県山口市湯田温泉１丁目１１",Unknown,Unknown,"3.9
(11)",お店やスポットの電話番号を追加する,史跡,34.1647648,131.4578972
Mika,4,1 年前,中原中也は、当時の山口中学でしたが、成績不良で落第しました。それからは、京都の学校に転入しています。而も、中原中也の実家は家事に遭っています。何か、中原中也は若い内から色々と、気苦労されたのでしょうね。中原中也と云えば、山羊の歌の詩が有名です。後は、サーカス等。中原中也記念館は、中原中也の世界観を感じて頂く為に、平成6年1994年2月18日に生誕地に開館しました。中原中也は、若い内から詩を書いてだけあって有名です。国語の教科書にも出てました。生まれは、1907年明治46年4月29日。山口県吉敷郡山口町大字下宇野令（しもうのりょう）現在の湯田温泉の中原医院で生まれました。山羊の歌は有名ですが、中原中也はそれ迄に、結構な数の作品を書いています。,中原中也誕生の地,"
〒753-0056 山口県山口市湯田温泉１丁目１１",Unknown,Unknown,"3.9
(11)",お店やスポットの電話番号を追加する,史跡,34.1647648,131.4578972
Mika,4,1 年前,中原中也は、当時の山口中学でしたが、成績不良で落第しました。それからは、京都の学校に転入しています。而も、中原中也の実家は家事に遭っています。何か、中原中也は若い内から色々と、気苦労されたのでしょうね。中原中也と云えば、山羊の歌の詩が有名です。後は、サーカス等。中原中也記念館は、中原中也の世界観を感じて頂く為に、平成6年1994年2月18日に生誕地に開館しました。中原中也は、若い内から詩を書いてだけあって有名です。国語の教科書にも出てました。生まれは、1907年明治46年4月29日。山口県吉敷郡山口町大字下宇野令（しもうのりょう）現在の湯田温泉の中原医院で生まれました。山羊の歌は有名ですが、中原中也はそれ迄に、結構な数の作品を書いています。,中原中也誕生の地,"
〒753-0056 山口県山口市湯田温泉１丁目１１",Unknown,Unknown,"3.9
(11)",お店やスポットの電話番号を追加する,史跡,34.1647648,131.4578972
y O,4,1 年前,"大きく立派なカイヅカイブキが植えられていました
ライトアップしていて迫力がありました",中原中也誕生の地,"
〒753-0056 山口県山口市湯田温泉１丁目１１",Unknown,Unknown,"3.9
(11)",お店やスポットの電話番号を追加する,史跡,34.1647648,131.4578972
y O,4,1 年前,"大きく立派なカイヅカイブキが植えられていました
ライトアップしていて迫力がありました",中原中也誕生の地,"
〒753-0056 山口県山口市湯田温泉１丁目１１",Unknown,Unknown,"3.9
(11)",お店やスポットの電話番号を追加する,史跡,34.1647648,131.4578972
多田野G G,4,3 年前,中原中也記念館前でのクリスマスイルミネーションである。なかなか良い。,中原中也誕生の地,"
〒753-0056 山口県山口市湯田温泉１丁目１１",Unknown,Unknown,"3.9
(11)",お店やスポットの電話番号を追加する,史跡,34.1647648,131.4578972
多田野G G,4,3 年前,中原中也記念館前でのクリスマスイルミネーションである。なかなか良い。,中原中也誕生の地,"
〒753-0056 山口県山口市湯田温泉１丁目１１",Unknown,Unknown,"3.9
(11)",お店やスポットの電話番号を追加する,史跡,34.1647648,131.4578972
かっくん,3,3 年前,"中原中也誕生の地
記念館",中原中也誕生の地,"
〒753-0056 山口県山口市湯田温泉１丁目１１",Unknown,Unknown,"3.9
(11)",お店やスポットの電話番号を追加する,史跡,34.1647648,131.4578972
かっくん,3,3 年前,"中原中也誕生の地
記念館",中原中也誕生の地,"
〒753-0056 山口県山口市湯田温泉１丁目１１",Unknown,Unknown,"3.9
(11)",お店やスポットの電話番号を追加する,史跡,34.1647648,131.4578972
