Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
小川治,5,1 週間前,"子供が煩いのは仕方ない
爺さんと婆さんは黙れ",丸亀市立中央図書館,"
〒763-0022 香川県丸亀市浜町８０−１","
0877-22-3746",https://www.marugame-city-library.jp/,"3.9
(39)",Unknown,公立図書館,34.2909648,133.7158493
小川治,5,1 週間前,"子供が煩いのは仕方ない
爺さんと婆さんは黙れ",丸亀市立中央図書館,"
〒763-0022 香川県丸亀市浜町８０−１","
0877-22-3746",https://www.marugame-city-library.jp/,"3.9
(39)",Unknown,公立図書館,34.2909648,133.7158493
あゆ,2,2 年前,施設がとても綺麗で雰囲気がよく、本も絵本や小説から画集や専門書まで充実していてお気に入りの場所ですが、スタッフさんがうるさい所だけが欠点です。声が大きいおじさんを初め、おばさん達もよく喋ります。受付でさえ静かな声で接して下さる飯山図書館を見習って下さい。,丸亀市立中央図書館,"
〒763-0022 香川県丸亀市浜町８０−１","
0877-22-3746",https://www.marugame-city-library.jp/,"3.9
(39)",Unknown,公立図書館,34.2909648,133.7158493
あゆ,2,2 年前,施設がとても綺麗で雰囲気がよく、本も絵本や小説から画集や専門書まで充実していてお気に入りの場所ですが、スタッフさんがうるさい所だけが欠点です。声が大きいおじさんを初め、おばさん達もよく喋ります。受付でさえ静かな声で接して下さる飯山図書館を見習って下さい。,丸亀市立中央図書館,"
〒763-0022 香川県丸亀市浜町８０−１","
0877-22-3746",https://www.marugame-city-library.jp/,"3.9
(39)",Unknown,公立図書館,34.2909648,133.7158493
KK D,4,5 年前,2020年3月まで全面工事中。学習スペースも本を貸すこともできない。,丸亀市立中央図書館,"
〒763-0022 香川県丸亀市浜町８０−１","
0877-22-3746",https://www.marugame-city-library.jp/,"3.9
(39)",Unknown,公立図書館,34.2909648,133.7158493
KK D,4,5 年前,2020年3月まで全面工事中。学習スペースも本を貸すこともできない。,丸亀市立中央図書館,"
〒763-0022 香川県丸亀市浜町８０−１","
0877-22-3746",https://www.marugame-city-library.jp/,"3.9
(39)",Unknown,公立図書館,34.2909648,133.7158493
細貝隆史,4,5 年前,中讃の図書館では蔵書数が多く、館内もモダンな雰囲気で居心地は良いです。学習席・机はありますが、部屋分けされた学習室(自習室)ではないので館内の音楽(クラシック音楽)や雑音は聞こえます。,丸亀市立中央図書館,"
〒763-0022 香川県丸亀市浜町８０−１","
0877-22-3746",https://www.marugame-city-library.jp/,"3.9
(39)",Unknown,公立図書館,34.2909648,133.7158493
細貝隆史,4,5 年前,中讃の図書館では蔵書数が多く、館内もモダンな雰囲気で居心地は良いです。学習席・机はありますが、部屋分けされた学習室(自習室)ではないので館内の音楽(クラシック音楽)や雑音は聞こえます。,丸亀市立中央図書館,"
〒763-0022 香川県丸亀市浜町８０−１","
0877-22-3746",https://www.marugame-city-library.jp/,"3.9
(39)",Unknown,公立図書館,34.2909648,133.7158493
キンモクセイ,4,4 年前,塗り絵の教材が欲しくて電話で問い合わせをしてみました。とっても親切で探していただいて電話連絡をくれました。無理をいえばもう少し種類が欲しかったです。私が求めていたのは認知症対応で、デイサービスとかで使われているような教材でした。文具店にも、本屋さんにも無いのです。検討していただけたら嬉しいです。,丸亀市立中央図書館,"
〒763-0022 香川県丸亀市浜町８０−１","
0877-22-3746",https://www.marugame-city-library.jp/,"3.9
(39)",Unknown,公立図書館,34.2909648,133.7158493
キンモクセイ,4,4 年前,塗り絵の教材が欲しくて電話で問い合わせをしてみました。とっても親切で探していただいて電話連絡をくれました。無理をいえばもう少し種類が欲しかったです。私が求めていたのは認知症対応で、デイサービスとかで使われているような教材でした。文具店にも、本屋さんにも無いのです。検討していただけたら嬉しいです。,丸亀市立中央図書館,"
〒763-0022 香川県丸亀市浜町８０−１","
0877-22-3746",https://www.marugame-city-library.jp/,"3.9
(39)",Unknown,公立図書館,34.2909648,133.7158493
