Name,Rating,Date,Review,Place_Name,Address,Phone,Website,Place_Rating,Total_Reviews,Categories,Latitude,Longitude
akimustang,5,4 か月前,"12月上旬の土曜の朝にJR小田原駅東口の4番バス停から桃源台行きに8:55に乗り、9:39頃に仙石バス停に到着して、乙女峠→長尾山→金時山→矢倉沢峠→仙石バス停で登山を楽しみました♪
天気は恵まれ、晴れて風もなく絶好の登山日和でしたが、いつもはかなり綺麗に見える富士山は雲がかかって富士山の山頂近辺が見えなかったのは残念でしたね♪
仲間と登山を楽しめ良かったです♪
若い日本人男女登山客も多かったですね♪",乙女峠,"
〒412-0023 静岡県御殿場市深沢",Unknown,Unknown,"4.5
(6)",Unknown,峠,35.2807652,138.988474
akimustang,5,4 か月前,"12月上旬の土曜の朝にJR小田原駅東口の4番バス停から桃源台行きに8:55に乗り、9:39頃に仙石バス停に到着して、乙女峠→長尾山→金時山→矢倉沢峠→仙石バス停で登山を楽しみました♪
天気は恵まれ、晴れて風もなく絶好の登山日和でしたが、いつもはかなり綺麗に見える富士山は雲がかかって富士山の山頂近辺が見えなかったのは残念でしたね♪
仲間と登山を楽しめ良かったです♪
若い日本人男女登山客も多かったですね♪",乙女峠,"
〒412-0023 静岡県御殿場市深沢",Unknown,Unknown,"4.5
(6)",Unknown,峠,35.2807652,138.988474
Masahiko Midorikawa,4,6 か月前,天気が良ければ富士山もバッチリ見えます。テーブル席があり、休憩やランチにも絶好の場所です。,乙女峠,"
〒412-0023 静岡県御殿場市深沢",Unknown,Unknown,"4.5
(6)",Unknown,峠,35.2807652,138.988474
Masahiko Midorikawa,4,6 か月前,天気が良ければ富士山もバッチリ見えます。テーブル席があり、休憩やランチにも絶好の場所です。,乙女峠,"
〒412-0023 静岡県御殿場市深沢",Unknown,Unknown,"4.5
(6)",Unknown,峠,35.2807652,138.988474
jewell bia,5,4 年前,"トンネルの話です。
箱根側からトンネルに入ります。直線で数百メートルくらいの長さです。ライトつけないと暗いです。トンネルを抜けると右手に富士山がこつ然と現れます。かなり感動します。しかし意識していないと、とっさに車を停めようと思えないでしょう。多くの人は少し走ればすぐにまた見えるだろうと考えそのまま坂を下り始めるでしょう。でもそのチャンスもうないですよ。見えてもだいぶ下になってからですよ。帰りはもう曇ってて見えないかもしれませんよ。",乙女峠,"
〒412-0023 静岡県御殿場市深沢",Unknown,Unknown,"4.5
(6)",Unknown,峠,35.2807652,138.988474
jewell bia,5,4 年前,"トンネルの話です。
箱根側からトンネルに入ります。直線で数百メートルくらいの長さです。ライトつけないと暗いです。トンネルを抜けると右手に富士山がこつ然と現れます。かなり感動します。しかし意識していないと、とっさに車を停めようと思えないでしょう。多くの人は少し走ればすぐにまた見えるだろうと考えそのまま坂を下り始めるでしょう。でもそのチャンスもうないですよ。見えてもだいぶ下になってからですよ。帰りはもう曇ってて見えないかもしれませんよ。",乙女峠,"
〒412-0023 静岡県御殿場市深沢",Unknown,Unknown,"4.5
(6)",Unknown,峠,35.2807652,138.988474
Nephi Huang,5,8 か月前,"バスで通過
富士山がくっきり見えます
大きな山ですね(￣^￣)ゞ",乙女峠,"
〒412-0023 静岡県御殿場市深沢",Unknown,Unknown,"4.5
(6)",Unknown,峠,35.2807652,138.988474
Nephi Huang,5,8 か月前,"バスで通過
富士山がくっきり見えます
大きな山ですね(￣^￣)ゞ",乙女峠,"
〒412-0023 静岡県御殿場市深沢",Unknown,Unknown,"4.5
(6)",Unknown,峠,35.2807652,138.988474
菅原宏,5,4 か月前,      4 か月前,乙女峠,"
〒412-0023 静岡県御殿場市深沢",Unknown,Unknown,"4.5
(6)",Unknown,峠,35.2807652,138.988474
菅原宏,5,4 か月前,      4 か月前,乙女峠,"
〒412-0023 静岡県御殿場市深沢",Unknown,Unknown,"4.5
(6)",Unknown,峠,35.2807652,138.988474
n o (ジジ),3,5 か月前,      5 か月前,乙女峠,"
〒412-0023 静岡県御殿場市深沢",Unknown,Unknown,"4.5
(6)",Unknown,峠,35.2807652,138.988474
n o (ジジ),3,5 か月前,      5 か月前,乙女峠,"
〒412-0023 静岡県御殿場市深沢",Unknown,Unknown,"4.5
(6)",Unknown,峠,35.2807652,138.988474
